,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,ORLANDO_ACTION,GOLDEN STATE_SCORE,ORLANDO_SCORE
0,1,11:39.0,Shooting foul by E. Payton (drawn by H. Barnes),,0,0
1,1,11:39.0,H. Barnes makes free throw 1 of 3,,1,0
2,1,11:39.0,H. Barnes misses free throw 2 of 3,,1,0
3,1,11:39.0,Offensive rebound by Team,,1,0
4,1,11:39.0,H. Barnes misses free throw 3 of 3,,1,0
5,1,11:38.0,,Defensive rebound by A. Gordon,1,0
6,1,11:29.0,,N. Vučević misses 2-pt jump shot from 9 ft,1,0
7,1,11:28.0,Defensive rebound by S. Curry,,1,0
8,1,11:22.0,S. Curry makes 2-pt layup at rim (assist by A. Bogut),,3,0
9,1,11:12.0,,V. Oladipo makes 3-pt jump shot from 24 ft (assist by E. Payton),3,3
10,1,11:05.0,Turnover by S. Curry (bad pass; steal by E. Fournier),,3,3
11,1,10:59.0,,V. Oladipo misses 3-pt jump shot from 24 ft,3,3
12,1,10:58.0,Defensive rebound by D. Green,,3,3
13,1,10:49.0,S. Curry makes 2-pt layup from 1 ft (assist by A. Bogut),,5,3
14,1,10:30.0,,A. Gordon makes 2-pt layup from 1 ft,5,5
15,1,10:18.0,Turnover by D. Green (lost ball),,5,5
16,1,10:11.0,,E. Fournier misses 3-pt jump shot from 24 ft,5,5
17,1,10:10.0,Defensive rebound by S. Curry,,5,5
18,1,10:05.0,K. Thompson makes 3-pt jump shot from 25 ft (assist by S. Curry),,8,5
19,1,9:52.0,,V. Oladipo misses 2-pt jump shot from 9 ft,8,5
20,1,9:50.0,Defensive rebound by D. Green,,8,5
21,1,9:45.0,D. Green misses 2-pt jump shot from 4 ft (block by N. Vučević),,8,5
22,1,9:42.0,,Defensive rebound by E. Payton,8,5
23,1,9:39.0,,Shooting foul by A. Bogut (drawn by N. Vučević),8,5
24,1,9:39.0,,N. Vučević misses free throw 1 of 2,8,5
25,1,9:39.0,,Offensive rebound by Team,8,5
26,1,9:39.0,,N. Vučević makes free throw 2 of 2,8,6
27,1,9:17.0,K. Thompson misses 2-pt layup from 2 ft,,8,6
28,1,9:15.0,,Defensive rebound by N. Vučević,8,6
29,1,9:05.0,,V. Oladipo misses 2-pt layup from 1 ft (block by A. Bogut),8,6
30,1,9:00.0,,Offensive rebound by N. Vučević,8,6
31,1,9:00.0,,N. Vučević makes 2-pt layup from 2 ft,8,8
32,1,8:52.0,Personal foul by A. Gordon (drawn by D. Green),,8,8
33,1,8:46.0,K. Thompson misses 2-pt jump shot from 7 ft,,8,8
34,1,8:43.0,Offensive rebound by A. Bogut,,8,8
35,1,8:38.0,Turnover by D. Green (bad pass; steal by V. Oladipo),,8,8
36,1,8:28.0,,A. Gordon makes 3-pt jump shot from 23 ft (assist by N. Vučević),8,11
37,1,8:19.0,Personal foul by V. Oladipo (drawn by S. Curry),,8,11
38,1,8:10.0,S. Curry misses 3-pt jump shot from 26 ft,,8,11
39,1,8:09.0,,Defensive rebound by E. Fournier,8,11
40,1,8:03.0,,E. Fournier misses 2-pt layup from 1 ft (block by A. Bogut),8,11
41,1,8:02.0,,Offensive rebound by Team,8,11
42,1,7:50.0,,N. Vučević makes 2-pt jump shot from 11 ft,8,13
43,1,7:37.0,D. Green misses 2-pt jump shot from 9 ft,,8,13
44,1,7:34.0,,Defensive rebound by Team,8,13
45,1,7:24.0,,E. Fournier makes 2-pt layup from 1 ft,8,15
46,1,7:17.0,K. Thompson makes 2-pt layup from 2 ft (assist by S. Curry),,10,15
47,1,7:07.0,,N. Vučević misses 2-pt jump shot from 19 ft,10,15
48,1,7:06.0,Defensive rebound by D. Green,,10,15
49,1,7:03.0,Turnover by H. Barnes (bad pass; steal by E. Fournier),,10,15
50,1,6:53.0,,N. Vučević misses 2-pt layup from 1 ft,10,15
51,1,6:52.0,Defensive rebound by A. Bogut,,10,15
52,1,6:47.0,D. Green makes 2-pt dunk at rim (assist by S. Curry),,12,15
53,1,6:45.0,,Orlando full timeout,12,15
54,1,6:32.0,,E. Fournier misses 2-pt jump shot from 10 ft,12,15
55,1,6:31.0,Defensive rebound by K. Thompson,,12,15
56,1,6:17.0,H. Barnes misses 2-pt layup from 2 ft (block by N. Vučević),,12,15
57,1,6:15.0,Offensive rebound by A. Bogut,,12,15
58,1,6:13.0,A. Bogut makes 2-pt hook shot from 3 ft,,14,15
59,1,5:55.0,,V. Oladipo makes 2-pt layup from 1 ft,14,17
60,1,5:45.0,S. Curry makes 3-pt jump shot from 25 ft,,17,17
61,1,5:28.0,,E. Payton makes 3-pt jump shot from 25 ft (assist by N. Vučević),17,20
62,1,5:11.0,,Violation by N. Vučević (kicked ball),17,20
63,1,5:11.0,A. Iguodala enters the game for H. Barnes,,17,20
64,1,4:59.0,K. Thompson misses 3-pt jump shot from 25 ft,,17,20
65,1,4:57.0,,Defensive rebound by V. Oladipo,17,20
66,1,4:44.0,,E. Fournier makes 3-pt jump shot from 24 ft (assist by V. Oladipo),17,23
67,1,4:27.0,S. Curry makes 3-pt jump shot from 25 ft (assist by D. Green),,20,23
68,1,4:19.0,,Turnover by E. Payton (bad pass),20,23
69,1,4:19.0,,E. İlyasova enters the game for A. Gordon,20,23
70,1,4:19.0,A. Varejão enters the game for A. Bogut,,20,23
71,1,4:19.0,L. Barbosa enters the game for K. Thompson,,20,23
72,1,4:01.0,L. Barbosa makes 2-pt layup from 1 ft (assist by A. Varejão),,22,23
73,1,3:47.0,,V. Oladipo misses 2-pt jump shot from 9 ft,22,23
74,1,3:46.0,Defensive rebound by A. Iguodala,,22,23
75,1,3:42.0,L. Barbosa makes 2-pt layup from 1 ft (assist by A. Iguodala),,24,23
76,1,3:28.0,,E. Fournier makes 2-pt jump shot from 7 ft (assist by V. Oladipo),24,25
77,1,3:28.0,,Shooting foul by S. Curry (drawn by E. Fournier),24,25
78,1,3:28.0,,E. Fournier makes free throw 1 of 1,24,26
79,1,3:12.0,Turnover by D. Green (lost ball),,24,26
80,1,3:12.0,,M. Hezonja enters the game for E. Fournier,24,26
81,1,2:57.0,,Turnover by N. Vučević (lost ball; steal by A. Varejão),24,26
82,1,2:51.0,L. Barbosa misses 2-pt jump shot from 22 ft,,24,26
83,1,2:50.0,Offensive rebound by A. Varejão,,24,26
84,1,2:50.0,A. Varejão misses 2-pt layup from 1 ft,,24,26
85,1,2:47.0,,Defensive rebound by E. Payton,24,26
86,1,2:42.0,,Turnover by E. Payton (bad pass; steal by D. Green),24,26
87,1,2:38.0,Turnover by D. Green (bad pass; steal by E. İlyasova),,24,26
88,1,2:26.0,,M. Hezonja misses 3-pt jump shot from 24 ft,24,26
89,1,2:25.0,Defensive rebound by A. Varejão,,24,26
90,1,2:15.0,S. Curry misses 3-pt jump shot from 25 ft,,24,26
91,1,2:14.0,,Defensive rebound by V. Oladipo,24,26
92,1,2:05.0,,E. Payton makes 2-pt layup from 1 ft,24,28
93,1,1:55.0,L. Barbosa makes 2-pt layup from 1 ft,,26,28
94,1,1:45.0,,Shooting foul by A. Varejão (drawn by N. Vučević),26,28
95,1,1:45.0,Golden State full timeout,,26,28
96,1,1:45.0,,B. Jennings enters the game for E. Payton,26,28
97,1,1:45.0,H. Barnes enters the game for D. Green,,26,28
98,1,1:45.0,,N. Vučević makes free throw 1 of 2,26,29
99,1,1:45.0,,N. Vučević makes free throw 2 of 2,26,30
100,1,1:24.0,S. Curry makes 2-pt jump shot from 17 ft (assist by A. Iguodala),,28,30
101,1,1:07.0,,N. Vučević misses 2-pt jump shot from 20 ft,28,30
102,1,1:06.0,Defensive rebound by L. Barbosa,,28,30
103,1,1:00.0,Turnover by L. Barbosa (bad pass; steal by V. Oladipo),,28,30
104,1,1:00.0,,Turnover by N. Vučević (bad pass),28,30
105,1,1:00.0,,J. Smith enters the game for N. Vučević,28,30
106,1,0:55.0,L. Barbosa misses 3-pt jump shot from 25 ft,,28,30
107,1,0:54.0,,Defensive rebound by E. İlyasova,28,30
108,1,0:38.0,,V. Oladipo misses 2-pt jump shot from 17 ft,28,30
109,1,0:37.0,Defensive rebound by A. Iguodala,,28,30
110,1,0:32.0,A. Varejão makes 2-pt layup from 2 ft (assist by A. Iguodala),,30,30
111,1,0:16.0,,E. İlyasova misses 2-pt jump shot from 17 ft,30,30
112,1,0:13.0,Defensive rebound by H. Barnes,,30,30
113,1,0:01.0,S. Curry makes 2-pt layup from 2 ft (assist by A. Varejão),,32,30
114,1,0:01.0,Shooting foul by J. Smith (drawn by S. Curry),,32,30
115,1,0:01.0,,E. Fournier enters the game for V. Oladipo,32,30
116,1,0:01.0,S. Curry makes free throw 1 of 1,,33,30
117,1,0:00.0,,M. Hezonja misses 3-pt jump shot from 57 ft,33,30
118,1,0:00.0,,Offensive rebound by Team,33,30
119,2,11:43.0,,Shooting foul by L. Barbosa (drawn by J. Smith),33,30
120,2,11:43.0,,J. Smith misses free throw 1 of 2,33,30
121,2,11:43.0,,Offensive rebound by Team,33,30
122,2,11:43.0,,J. Smith makes free throw 2 of 2,33,31
123,2,11:28.0,H. Barnes misses 2-pt jump shot from 19 ft,,33,31
124,2,11:26.0,,Defensive rebound by E. İlyasova,33,31
125,2,11:19.0,,J. Smith misses 2-pt jump shot from 23 ft,33,31
126,2,11:18.0,Defensive rebound by M. Speights,,33,31
127,2,11:08.0,Turnover by L. Barbosa (lost ball; steal by B. Jennings),,33,31
128,2,10:57.0,,J. Smith misses 2-pt jump shot from 15 ft,33,31
129,2,10:56.0,Defensive rebound by A. Iguodala,,33,31
130,2,10:49.0,S. Livingston misses 2-pt jump shot from 10 ft,,33,31
131,2,10:47.0,Offensive rebound by L. Barbosa,,33,31
132,2,10:46.0,L. Barbosa misses 2-pt jump shot from 4 ft,,33,31
133,2,10:46.0,Offensive rebound by Team,,33,31
134,2,10:38.0,M. Speights makes 2-pt jump shot from 16 ft (assist by S. Livingston),,35,31
135,2,10:25.0,,M. Hezonja misses 2-pt jump shot from 10 ft,35,31
136,2,10:24.0,,Offensive rebound by Team,35,31
137,2,10:24.0,Loose ball foul by H. Barnes (drawn by E. İlyasova),,35,31
138,2,10:11.0,,B. Jennings misses 3-pt jump shot from 22 ft,35,31
139,2,10:10.0,Defensive rebound by S. Livingston,,35,31
