,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,SAN ANTONIO_ACTION,LA LAKERS_SCORE,SAN ANTONIO_SCORE
0,1,11:47.0,,L. Aldridge misses 2-pt jump shot from 4 ft,0,0
1,1,11:46.0,,Offensive rebound by L. Aldridge,0,0
2,1,11:45.0,,L. Aldridge makes 2-pt layup from 2 ft,0,2
3,1,11:26.0,L. Williams makes 2-pt jump shot from 13 ft,,2,2
4,1,11:00.0,,L. Aldridge makes 2-pt jump shot from 18 ft (assist by R. McCallum),2,4
5,1,10:46.0,D. Russell makes 2-pt layup from 2 ft,,4,4
6,1,10:37.0,,L. Aldridge makes 2-pt layup from 1 ft (assist by T. Duncan),4,6
7,1,10:18.0,R. Hibbert misses 2-pt hook shot from 11 ft,,4,6
8,1,10:17.0,,Defensive rebound by T. Duncan,4,6
9,1,10:07.0,,Shooting foul by L. Nance (drawn by T. Duncan),4,6
10,1,10:07.0,,T. Duncan misses free throw 1 of 2,4,6
11,1,10:07.0,,Offensive rebound by Team,4,6
12,1,10:07.0,,T. Duncan misses free throw 2 of 2,4,6
13,1,10:06.0,Defensive rebound by Team,,4,6
14,1,9:54.0,D. Russell misses 3-pt jump shot from 24 ft,,4,6
15,1,9:53.0,,Defensive rebound by K. Leonard,4,6
16,1,9:40.0,,T. Duncan makes 2-pt layup from 2 ft (assist by K. Leonard),4,8
17,1,9:30.0,K. Bryant makes 2-pt jump shot from 21 ft (assist by D. Russell),,6,8
18,1,9:18.0,,K. Leonard makes 2-pt jump shot from 12 ft,6,10
19,1,9:03.0,L. Nance misses 2-pt layup from 2 ft (block by D. Green),,6,10
20,1,9:02.0,Offensive rebound by K. Bryant,,6,10
21,1,8:57.0,L. Williams makes 3-pt jump shot from 25 ft (assist by K. Bryant),,9,10
22,1,8:40.0,,K. Leonard misses 3-pt jump shot from 24 ft,9,10
23,1,8:40.0,Defensive rebound by Team,,9,10
24,1,8:27.0,D. Russell makes 3-pt jump shot from 25 ft (assist by L. Williams),,12,10
25,1,8:05.0,,D. Green misses 3-pt jump shot from 25 ft,12,10
26,1,8:04.0,Defensive rebound by K. Bryant,,12,10
27,1,7:53.0,D. Russell makes 2-pt jump shot from 19 ft,,14,10
28,1,7:31.0,,Turnover by T. Duncan (bad pass; steal by D. Russell),14,10
29,1,7:26.0,Turnover by D. Russell (bad pass; steal by D. Green),,14,10
30,1,7:08.0,,L. Aldridge makes 2-pt jump shot from 15 ft,14,12
31,1,6:55.0,R. Hibbert misses 2-pt jump shot from 19 ft,,14,12
32,1,6:54.0,,Defensive rebound by D. Green,14,12
33,1,6:43.0,,D. Green makes 3-pt jump shot from 25 ft (assist by R. McCallum),14,15
34,1,6:23.0,K. Bryant makes 3-pt jump shot from 23 ft (assist by D. Russell),,17,15
35,1,6:09.0,,L. Aldridge misses 2-pt jump shot from 13 ft,17,15
36,1,6:08.0,Defensive rebound by K. Bryant,,17,15
37,1,5:52.0,K. Bryant makes 2-pt jump shot from 16 ft (assist by R. Hibbert),,19,15
38,1,5:52.0,,San Antonio full timeout,19,15
39,1,5:35.0,,K. Leonard misses 2-pt layup at rim (block by R. Hibbert),19,15
40,1,5:34.0,Defensive rebound by K. Bryant,,19,15
41,1,5:30.0,Turnover by D. Russell (lost ball; steal by K. Leonard),,19,15
42,1,5:07.0,,R. McCallum misses 2-pt jump shot from 20 ft,19,15
43,1,5:06.0,,Offensive rebound by K. Leonard,19,15
44,1,5:06.0,,K. Leonard misses 2-pt layup from 2 ft,19,15
45,1,5:03.0,Defensive rebound by R. Hibbert,,19,15
46,1,4:54.0,L. Williams makes 2-pt jump shot from 18 ft (assist by D. Russell),,21,15
47,1,4:36.0,,L. Aldridge misses 2-pt jump shot from 21 ft,21,15
48,1,4:35.0,Defensive rebound by D. Russell,,21,15
49,1,4:23.0,R. Hibbert misses 2-pt hook shot from 4 ft,,21,15
50,1,4:22.0,,Defensive rebound by L. Aldridge,21,15
51,1,4:03.0,,K. Leonard misses 3-pt jump shot from 25 ft,21,15
52,1,4:02.0,Defensive rebound by D. Russell,,21,15
53,1,3:54.0,Turnover by L. Nance (bad pass; steal by K. Leonard),,21,15
54,1,3:49.0,,K. Leonard makes 2-pt dunk at rim,21,17
55,1,3:35.0,K. Bryant makes 2-pt jump shot from 17 ft,,23,17
56,1,3:23.0,,Turnover by L. Aldridge (bad pass; steal by L. Williams),23,17
57,1,3:15.0,L. Williams misses 3-pt jump shot from 25 ft,,23,17
58,1,3:14.0,Offensive rebound by R. Hibbert,,23,17
