,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,PHILADELPHIA_ACTION,MINNESOTA_SCORE,PHILADELPHIA_SCORE
0,1,11:48.0,,Personal block foul by K. Towns (drawn by I. Smith),0,0
1,1,11:36.0,,I. Smith misses 2-pt jump shot from 7 ft,0,0
2,1,11:35.0,Defensive rebound by K. Towns,,0,0
3,1,11:19.0,K. Towns makes 2-pt jump shot from 17 ft (assist by A. Wiggins),,2,0
4,1,11:06.0,,N. Stauskas misses 3-pt jump shot from 25 ft (block by A. Wiggins),2,0
5,1,11:05.0,,Offensive rebound by N. Noel,2,0
6,1,11:03.0,,N. Noel makes 2-pt jump shot from 5 ft,2,2
7,1,10:49.0,K. Garnett makes 2-pt layup from 1 ft (assist by R. Rubio),,4,2
8,1,10:44.0,,J. Grant makes 2-pt layup from 1 ft (assist by I. Smith),4,4
9,1,10:31.0,K. Towns misses 2-pt jump shot from 19 ft,,4,4
10,1,10:30.0,,Defensive rebound by N. Stauskas,4,4
11,1,10:15.0,,Def 3 sec tech foul by K. Garnett,4,4
12,1,10:15.0,,N. Stauskas misses technical free throw,4,4
13,1,10:15.0,,Offensive rebound by Team,4,4
14,1,10:05.0,,Turnover by I. Smith (lost ball; steal by K. Garnett),4,4
15,1,10:00.0,Shooting foul by N. Stauskas (drawn by A. Wiggins),,4,4
16,1,10:00.0,A. Wiggins misses free throw 1 of 2,,4,4
17,1,10:00.0,Offensive rebound by Team,,4,4
18,1,10:00.0,A. Wiggins makes free throw 2 of 2,,5,4
19,1,9:38.0,,J. Grant misses 2-pt layup from 2 ft,5,4
20,1,9:37.0,Defensive rebound by K. Towns,,5,4
21,1,9:29.0,R. Rubio makes 2-pt jump shot from 18 ft (assist by T. Prince),,7,4
22,1,9:16.0,,Personal foul by A. Wiggins (drawn by N. Stauskas),7,4
23,1,9:03.0,,N. Noel makes 2-pt layup from 1 ft (assist by J. Grant),7,6
24,1,8:47.0,Shooting foul by J. Okafor (drawn by A. Wiggins),,7,6
25,1,8:47.0,A. Wiggins makes free throw 1 of 2,,8,6
26,1,8:47.0,A. Wiggins makes free throw 2 of 2,,9,6
27,1,8:31.0,,N. Stauskas makes 2-pt dunk at rim (assist by I. Smith),9,8
28,1,8:23.0,Minnesota full timeout,,9,8
29,1,8:11.0,T. Prince makes 2-pt jump shot from 9 ft (assist by K. Garnett),,11,8
30,1,7:47.0,,N. Stauskas misses 2-pt jump shot from 21 ft,11,8
31,1,7:44.0,Defensive rebound by Team,,11,8
32,1,7:34.0,Personal foul by J. Grant (drawn by A. Wiggins),,11,8
33,1,7:23.0,A. Wiggins makes 2-pt layup from 1 ft (assist by K. Towns),,13,8
34,1,7:07.0,,I. Smith makes 2-pt jump shot from 11 ft (assist by J. Grant),13,10
35,1,6:52.0,G. Dieng enters the game for K. Garnett,,13,10
36,1,6:52.0,Turnover by T. Prince (bad pass),,13,10
37,1,6:28.0,,I. Smith misses 2-pt jump shot from 18 ft,13,10
38,1,6:25.0,Defensive rebound by A. Wiggins,,13,10
39,1,6:21.0,Turnover by R. Rubio (lost ball; steal by J. Okafor),,13,10
40,1,6:15.0,,I. Smith makes 2-pt jump shot from 4 ft (assist by J. Okafor),13,12
41,1,6:00.0,Personal block foul by J. Grant (drawn by A. Wiggins),,13,12
42,1,6:00.0,,J. Sampson enters the game for J. Grant,13,12
43,1,5:54.0,T. Prince misses 2-pt jump shot from 11 ft,,13,12
44,1,5:54.0,,Defensive rebound by N. Noel,13,12
45,1,5:44.0,,N. Noel makes 2-pt jump shot from 17 ft (assist by I. Smith),13,14
46,1,5:30.0,R. Rubio makes 2-pt jump shot from 18 ft,,15,14
47,1,5:07.0,,Personal foul by A. Wiggins (drawn by N. Noel),15,14
48,1,5:07.0,,Philadelphia full timeout,15,14
49,1,5:07.0,S. Muhammad enters the game for A. Wiggins,,15,14
50,1,4:56.0,,J. Okafor makes 2-pt jump shot from 6 ft,15,16
51,1,4:29.0,G. Dieng misses 2-pt jump shot from 4 ft (block by N. Noel),,15,16
52,1,4:27.0,Offensive rebound by Team,,15,16
53,1,4:27.0,Turnover by Team (shot clock),,15,16
54,1,4:27.0,,H. Thompson enters the game for N. Stauskas,15,16
55,1,4:15.0,,Turnover by J. Okafor (lost ball; steal by R. Rubio),15,16
56,1,4:12.0,Minnesota full timeout,,15,16
57,1,4:12.0,,R. Holmes enters the game for J. Okafor,15,16
58,1,3:57.0,S. Muhammad makes 2-pt jump shot from 9 ft,,17,16
59,1,3:53.0,,Turnover by I. Smith (bad pass; steal by G. Dieng),17,16
60,1,3:45.0,T. Prince makes 2-pt jump shot from 20 ft (assist by R. Rubio),,19,16
61,1,3:24.0,,I. Smith misses 2-pt jump shot from 9 ft,19,16
62,1,3:20.0,,Offensive rebound by Team,19,16
63,1,3:20.0,Z. LaVine enters the game for R. Rubio,,19,16
64,1,3:20.0,,T. McConnell enters the game for I. Smith,19,16
65,1,3:15.0,,T. McConnell misses 3-pt jump shot from 42 ft,19,16
66,1,3:14.0,,Offensive rebound by Team,19,16
67,1,3:14.0,,Turnover by Team (shot clock),19,16
68,1,3:04.0,K. Towns misses 2-pt jump shot from 20 ft,,19,16
69,1,3:03.0,,Defensive rebound by J. Sampson,19,16
70,1,2:57.0,,H. Thompson misses 3-pt jump shot from 26 ft,19,16
71,1,2:54.0,,Offensive rebound by N. Noel,19,16
72,1,2:49.0,,Personal foul by K. Towns (drawn by N. Noel),19,16
73,1,2:49.0,,C. Landry enters the game for N. Noel,19,16
74,1,2:49.0,A. Payne enters the game for K. Towns,,19,16
75,1,2:35.0,,C. Landry makes 2-pt jump shot from 20 ft (assist by T. McConnell),19,18
76,1,2:15.0,Def 3 sec tech foul by H. Thompson,,19,18
77,1,2:15.0,S. Muhammad misses technical free throw,,19,18
78,1,2:15.0,Offensive rebound by Team,,19,18
79,1,2:14.0,Turnover by T. Prince (bad pass; steal by T. McConnell),,19,18
80,1,2:10.0,,R. Holmes makes 2-pt dunk at rim (assist by T. McConnell),19,20
81,1,1:47.0,Shooting foul by J. Sampson (drawn by S. Muhammad),,19,20
82,1,1:47.0,S. Muhammad makes free throw 1 of 2,,20,20
83,1,1:47.0,T. Jones enters the game for Z. LaVine,,20,20
84,1,1:47.0,,R. Covington enters the game for J. Sampson,20,20
85,1,1:47.0,S. Muhammad makes free throw 2 of 2,,21,20
86,1,1:36.0,,R. Holmes makes 2-pt layup from 1 ft,21,22
87,1,1:36.0,,Shooting foul by G. Dieng (drawn by R. Holmes),21,22
88,1,1:36.0,,R. Holmes makes free throw 1 of 1,21,23
89,1,1:16.0,T. Jones makes 2-pt jump shot from 8 ft (assist by T. Prince),,23,23
90,1,0:55.0,,T. McConnell misses 3-pt jump shot from 24 ft,23,23
91,1,0:54.0,,Offensive rebound by C. Landry,23,23
92,1,0:51.0,,C. Landry makes 2-pt layup from 1 ft,23,25
93,1,0:39.0,Turnover by T. Jones (bad pass; steal by T. McConnell),,23,25
94,1,0:35.0,,R. Holmes makes 2-pt dunk at rim (assist by R. Covington),23,27
95,1,0:17.0,T. Prince makes 2-pt jump shot from 8 ft (assist by A. Payne),,25,27
96,1,0:00.0,,H. Thompson makes 2-pt layup from 1 ft (assist by T. McConnell),25,29
97,2,11:40.0,T. Prince misses 2-pt jump shot from 17 ft,,25,29
98,2,11:38.0,,Defensive rebound by T. McConnell,25,29
