,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,SAN ANTONIO_ACTION,CHARLOTTE_SCORE,SAN ANTONIO_SCORE
0,1,11:45.0,P. Hairston misses 3-pt jump shot from 23 ft,,0,0
1,1,11:44.0,,Defensive rebound by T. Duncan,0,0
2,1,11:29.0,,D. Green misses 3-pt jump shot from 25 ft,0,0
3,1,11:28.0,Defensive rebound by A. Jefferson,,0,0
4,1,11:14.0,N. Batum misses 2-pt layup from 2 ft,,0,0
5,1,11:13.0,Offensive rebound by A. Jefferson,,0,0
6,1,11:09.0,M. Williams misses 3-pt jump shot from 24 ft,,0,0
7,1,11:08.0,,Defensive rebound by T. Duncan,0,0
8,1,10:53.0,,T. Parker makes 2-pt layup at rim (assist by T. Duncan),0,2
9,1,10:42.0,Shooting foul by L. Aldridge (drawn by P. Hairston),,0,2
10,1,10:42.0,P. Hairston makes free throw 1 of 2,,1,2
11,1,10:42.0,P. Hairston makes free throw 2 of 2,,2,2
12,1,10:26.0,,Shooting foul by P. Hairston (drawn by T. Parker),2,2
13,1,10:26.0,,T. Parker misses free throw 1 of 2,2,2
14,1,10:26.0,,Offensive rebound by Team,2,2
15,1,10:26.0,,T. Parker misses free throw 2 of 2,2,2
16,1,10:26.0,Defensive rebound by Team,,2,2
17,1,10:15.0,Turnover by K. Walker (lost ball),,2,2
18,1,9:59.0,,L. Aldridge makes 2-pt layup from 1 ft,2,4
19,1,9:38.0,K. Walker misses 2-pt jump shot from 4 ft,,2,4
20,1,9:37.0,,Defensive rebound by D. Green,2,4
21,1,9:29.0,,T. Duncan misses 2-pt jump shot from 20 ft,2,4
22,1,9:28.0,Defensive rebound by M. Williams,,2,4
23,1,9:18.0,A. Jefferson makes 2-pt jump shot from 17 ft,,4,4
24,1,8:53.0,,L. Aldridge makes 2-pt jump shot from 16 ft (assist by D. Green),4,6
25,1,8:41.0,Turnover by N. Batum (lost ball; steal by K. Leonard),,4,6
26,1,8:36.0,,T. Parker makes 2-pt layup from 1 ft (assist by D. Green),4,8
27,1,8:21.0,K. Walker makes 2-pt jump shot from 19 ft,,6,8
28,1,8:03.0,,Turnover by T. Parker (bad pass; steal by N. Batum),6,8
29,1,7:49.0,P. Hairston misses 2-pt layup from 2 ft,,6,8
30,1,7:48.0,,Defensive rebound by L. Aldridge,6,8
31,1,7:39.0,,L. Aldridge misses 2-pt jump shot from 21 ft,6,8
32,1,7:38.0,Defensive rebound by P. Hairston,,6,8
33,1,7:34.0,Personal block foul by L. Aldridge (drawn by K. Walker),,6,8
34,1,7:34.0,,D. West enters the game for L. Aldridge,6,8
35,1,7:23.0,K. Walker makes 2-pt jump shot from 18 ft,,8,8
36,1,7:11.0,,Turnover by T. Duncan (bad pass; steal by M. Williams),8,8
37,1,7:06.0,Personal foul by D. Green (drawn by A. Jefferson),,8,8
38,1,6:59.0,K. Walker makes 2-pt layup at rim,,10,8
39,1,6:43.0,,K. Leonard misses 3-pt jump shot from 24 ft,10,8
40,1,6:42.0,Defensive rebound by A. Jefferson,,10,8
41,1,6:26.0,K. Walker makes 2-pt layup from 2 ft,,12,8
42,1,6:26.0,,San Antonio full timeout,12,8
43,1,6:26.0,,M. Ginóbili enters the game for D. Green,12,8
44,1,6:26.0,C. Zeller enters the game for M. Williams,,12,8
45,1,6:16.0,,Turnover by D. West (bad pass; steal by C. Zeller),12,8
46,1,6:12.0,Shooting foul by K. Leonard (drawn by K. Walker),,12,8
47,1,6:12.0,K. Walker makes free throw 1 of 2,,13,8
48,1,6:12.0,K. Walker makes free throw 2 of 2,,14,8
49,1,6:01.0,,D. West makes 2-pt jump shot from 18 ft (assist by T. Parker),14,10
50,1,5:47.0,Turnover by K. Walker (bad pass; steal by T. Parker),,14,10
51,1,5:39.0,,Shooting foul by C. Zeller (drawn by T. Parker),14,10
52,1,5:39.0,,T. Parker misses free throw 1 of 2,14,10
53,1,5:39.0,,Offensive rebound by Team,14,10
54,1,5:39.0,,B. Diaw enters the game for T. Duncan,14,10
55,1,5:39.0,,T. Parker makes free throw 2 of 2,14,11
56,1,5:19.0,K. Walker misses 2-pt jump shot from 20 ft,,14,11
57,1,5:18.0,,Defensive rebound by D. West,14,11
58,1,5:01.0,,Turnover by M. Ginóbili (bad pass; steal by N. Batum),14,11
59,1,4:51.0,P. Hairston misses 3-pt jump shot from 22 ft,,14,11
60,1,4:50.0,Offensive rebound by C. Zeller,,14,11
61,1,4:50.0,,Loose ball foul by B. Diaw (drawn by C. Zeller),14,11
62,1,4:50.0,C. Zeller makes free throw 1 of 2,,15,11
63,1,4:50.0,C. Zeller misses free throw 2 of 2,,15,11
64,1,4:49.0,,Defensive rebound by K. Leonard,15,11
65,1,4:36.0,,B. Diaw makes 2-pt layup from 2 ft (assist by T. Parker),15,13
66,1,4:17.0,A. Jefferson misses 2-pt jump shot from 8 ft,,15,13
67,1,4:15.0,Offensive rebound by C. Zeller,,15,13
68,1,4:15.0,C. Zeller misses 2-pt layup from 1 ft,,15,13
69,1,4:14.0,,Defensive rebound by K. Leonard,15,13
70,1,4:06.0,,M. Ginóbili misses 3-pt jump shot from 24 ft,15,13
71,1,4:05.0,Defensive rebound by P. Hairston,,15,13
72,1,4:01.0,Turnover by P. Hairston (bad pass; steal by T. Parker),,15,13
73,1,3:57.0,,T. Parker misses 2-pt layup at rim,15,13
74,1,3:55.0,Defensive rebound by P. Hairston,,15,13
75,1,3:50.0,K. Walker makes 2-pt layup from 1 ft,,17,13
76,1,3:34.0,,K. Leonard makes 2-pt jump shot from 17 ft (assist by T. Parker),17,15
77,1,3:20.0,,P. Mills enters the game for T. Parker,17,15
78,1,3:20.0,J. Lamb enters the game for P. Hairston,,17,15
79,1,3:20.0,J. Lin enters the game for A. Jefferson,,17,15
80,1,3:20.0,S. Hawes enters the game for K. Walker,,17,15
81,1,3:13.0,J. Lin makes 2-pt jump shot from 3 ft,,19,15
82,1,3:02.0,,Shooting foul by N. Batum (drawn by D. West),19,15
83,1,3:02.0,,D. West misses free throw 1 of 2,19,15
84,1,3:02.0,,Offensive rebound by Team,19,15
85,1,3:02.0,,D. West makes free throw 2 of 2,19,16
86,1,2:46.0,C. Zeller misses 3-pt jump shot from 25 ft,,19,16
87,1,2:45.0,,Defensive rebound by K. Leonard,19,16
88,1,2:33.0,,K. Leonard makes 2-pt jump shot from 18 ft,19,18
89,1,2:23.0,Turnover by S. Hawes (bad pass; steal by M. Ginóbili),,19,18
90,1,2:19.0,,M. Ginóbili makes 2-pt layup from 1 ft,19,20
91,1,2:11.0,Charlotte full timeout,,19,20
92,1,2:10.0,Turnover by J. Lamb (bad pass; steal by M. Ginóbili),,19,20
93,1,1:55.0,,P. Mills makes 2-pt jump shot from 20 ft (assist by B. Diaw),19,22
94,1,1:40.0,Personal foul by B. Diaw (drawn by J. Lamb),,19,22
95,1,1:40.0,J. Lamb misses free throw 1 of 2,,19,22
96,1,1:40.0,Offensive rebound by Team,,19,22
97,1,1:40.0,J. Lamb misses free throw 2 of 2,,19,22
98,1,1:40.0,,Defensive rebound by D. West,19,22
99,1,1:26.0,,D. West makes 2-pt jump shot from 18 ft (assist by B. Diaw),19,24
100,1,1:12.0,J. Lin misses 2-pt layup from 2 ft,,19,24
101,1,1:11.0,Offensive rebound by N. Batum,,19,24
102,1,1:04.0,J. Lin misses 3-pt jump shot from 22 ft,,19,24
103,1,1:03.0,,Defensive rebound by P. Mills,19,24
104,1,0:56.0,,D. West misses 2-pt jump shot from 18 ft,19,24
105,1,0:55.0,Defensive rebound by C. Zeller,,19,24
106,1,0:43.0,J. Lin makes 2-pt jump shot from 4 ft,,21,24
107,1,0:34.0,,B. Diaw makes 2-pt layup from 2 ft (assist by D. West),21,26
108,1,0:22.0,Turnover by N. Batum (lost ball; steal by K. Leonard),,21,26
109,1,0:03.0,,K. Leonard makes 3-pt jump shot from 24 ft (assist by M. Ginóbili),21,29
110,1,0:00.0,J. Lin misses 3-pt jump shot from 28 ft,,21,29
111,1,0:00.0,Offensive rebound by Team,,21,29
112,2,11:43.0,,R. Butler makes 2-pt layup from 1 ft (assist by D. West),21,31
113,2,11:23.0,M. Williams misses 2-pt layup at rim,,21,31
114,2,11:21.0,,Defensive rebound by M. Ginóbili,21,31
115,2,11:14.0,,Turnover by P. Mills (step out of bounds),21,31
116,2,11:03.0,J. Lamb misses 2-pt jump shot from 19 ft,,21,31
117,2,11:02.0,,Defensive rebound by D. Green,21,31
118,2,10:46.0,,D. Green misses 3-pt jump shot from 24 ft,21,31
119,2,10:45.0,,Offensive rebound by D. West,21,31
120,2,10:45.0,,Personal foul by S. Hawes (drawn by D. West),21,31
121,2,10:34.0,,L. Aldridge enters the game for D. West,21,31
122,2,10:30.0,,M. Ginóbili makes 2-pt jump shot from 15 ft (assist by P. Mills),21,33
123,2,10:16.0,Personal foul by M. Ginóbili (drawn by J. Lamb),,21,33
124,2,10:16.0,F. Kaminsky enters the game for C. Zeller,,21,33
125,2,10:16.0,,K. Anderson enters the game for M. Ginóbili,21,33
126,2,10:08.0,J. Lin makes 2-pt jump shot from 15 ft (assist by F. Kaminsky),,23,33
127,2,9:50.0,,P. Mills misses 3-pt jump shot from 23 ft,23,33
128,2,9:49.0,Defensive rebound by S. Hawes,,23,33
129,2,9:35.0,S. Hawes makes 2-pt hook shot from 10 ft,,25,33
130,2,9:11.0,,P. Mills makes 2-pt layup from 1 ft (assist by L. Aldridge),25,35
131,2,8:57.0,S. Hawes makes 2-pt layup from 1 ft (assist by J. Lin),,27,35
132,2,8:36.0,,L. Aldridge misses 2-pt jump shot from 14 ft,27,35
133,2,8:35.0,Defensive rebound by S. Hawes,,27,35
134,2,8:28.0,Offensive foul by J. Lin (drawn by P. Mills),,27,35
135,2,8:28.0,Turnover by J. Lin (offensive foul),,27,35
136,2,8:28.0,Official timeout,,27,35
137,2,8:28.0,,T. Duncan enters the game for R. Butler,27,35
138,2,8:13.0,,L. Aldridge makes 2-pt jump shot from 13 ft (assist by D. Green),27,37
139,2,8:13.0,,Shooting foul by M. Williams (drawn by L. Aldridge),27,37
140,2,8:13.0,,L. Aldridge makes free throw 1 of 1,27,38
141,2,8:01.0,J. Lin misses 2-pt jump shot from 18 ft,,27,38
142,2,7:59.0,Offensive rebound by Team,,27,38
143,2,7:59.0,Personal foul by P. Mills (drawn by J. Lin),,27,38
144,2,7:59.0,A. Jefferson enters the game for S. Hawes,,27,38
145,2,7:59.0,,T. Parker enters the game for P. Mills,27,38
146,2,7:46.0,A. Jefferson makes 2-pt jump shot from 3 ft,,29,38
147,2,7:37.0,,Offensive foul by T. Duncan (drawn by J. Lin),29,38
148,2,7:37.0,,Turnover by T. Duncan (offensive foul),29,38
149,2,7:17.0,A. Jefferson misses 2-pt jump shot from 13 ft,,29,38
150,2,7:16.0,,Defensive rebound by L. Aldridge,29,38
151,2,7:02.0,,Shooting foul by J. Lin (drawn by T. Parker),29,38
152,2,7:02.0,,T. Parker makes free throw 1 of 2,29,39
153,2,7:02.0,K. Walker enters the game for J. Lin,,29,39
154,2,7:02.0,,T. Parker makes free throw 2 of 2,29,40
155,2,6:49.0,Shooting foul by K. Anderson (drawn by A. Jefferson),,29,40
156,2,6:49.0,A. Jefferson misses free throw 1 of 2,,29,40
157,2,6:49.0,Offensive rebound by Team,,29,40
158,2,6:49.0,,K. Leonard enters the game for K. Anderson,29,40
159,2,6:49.0,A. Jefferson makes free throw 2 of 2,,30,40
160,2,6:39.0,,L. Aldridge makes 2-pt jump shot from 8 ft (assist by K. Leonard),30,42
161,2,6:24.0,K. Walker makes 2-pt layup from 2 ft,,32,42
162,2,6:12.0,,L. Aldridge makes 2-pt jump shot from 18 ft (assist by T. Parker),32,44
163,2,5:57.0,F. Kaminsky makes 3-pt jump shot from 24 ft (assist by K. Walker),,35,44
164,2,5:45.0,,Personal foul by J. Lamb (drawn by K. Leonard),35,44
165,2,5:45.0,,San Antonio full timeout,35,44
166,2,5:45.0,N. Batum enters the game for J. Lamb,,35,44
