,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,ORLANDO_ACTION,WASHINGTON_SCORE,ORLANDO_SCORE
0,1,11:33.0,M. Gortat misses 2-pt hook shot from 8 ft,,0,0
1,1,11:33.0,,Defensive rebound by C. Frye,0,0
2,1,11:14.0,,V. Oladipo makes 2-pt jump shot from 13 ft,0,2
3,1,11:00.0,Turnover by J. Wall (lost ball; steal by V. Oladipo),,0,2
4,1,10:51.0,,Turnover by C. Frye (bad pass; steal by O. Porter),0,2
5,1,10:44.0,J. Dudley makes 2-pt jump shot from 16 ft (assist by G. Temple),,2,2
6,1,10:29.0,,T. Harris misses 3-pt jump shot from 24 ft,2,2
7,1,10:29.0,Defensive rebound by M. Gortat,,2,2
8,1,10:18.0,M. Gortat makes 2-pt jump shot from 11 ft (assist by J. Wall),,4,2
9,1,10:18.0,Violation by Team (delay of game),,4,2
10,1,10:03.0,,V. Oladipo misses 2-pt jump shot from 20 ft,4,2
11,1,10:01.0,,Offensive rebound by C. Frye,4,2
12,1,9:50.0,,N. Vučević makes 2-pt jump shot from 18 ft,4,4
13,1,9:43.0,Shooting foul by T. Harris (drawn by M. Gortat),,4,4
14,1,9:43.0,M. Gortat makes free throw 1 of 2,,5,4
15,1,9:43.0,M. Gortat makes free throw 2 of 2,,6,4
16,1,9:27.0,,Turnover by V. Oladipo (bad pass; steal by J. Wall),6,4
17,1,9:21.0,O. Porter makes 2-pt layup from 1 ft (assist by J. Wall),,8,4
18,1,9:05.0,,T. Harris misses 2-pt layup at rim (block by M. Gortat),8,4
19,1,9:05.0,,Offensive rebound by Team,8,4
20,1,8:55.0,,C. Frye makes 2-pt dunk at rim (assist by N. Vučević),8,6
21,1,8:38.0,M. Gortat misses 2-pt jump shot from 12 ft,,8,6
22,1,8:38.0,,Defensive rebound by C. Frye,8,6
23,1,8:21.0,,E. Fournier makes 3-pt jump shot from 25 ft (assist by N. Vučević),8,9
24,1,8:01.0,Turnover by O. Porter (step out of bounds),,8,9
25,1,7:51.0,,V. Oladipo misses 3-pt jump shot from 24 ft,8,9
26,1,7:51.0,Defensive rebound by M. Gortat,,8,9
27,1,7:41.0,J. Wall makes 2-pt jump shot from 16 ft,,10,9
28,1,7:17.0,,Turnover by V. Oladipo (bad pass; steal by O. Porter),10,9
29,1,7:15.0,Shooting block foul by V. Oladipo (drawn by O. Porter),,10,9
30,1,7:15.0,O. Porter makes free throw 1 of 2,,11,9
31,1,7:15.0,O. Porter makes free throw 2 of 2,,12,9
32,1,6:52.0,,Turnover by E. Fournier (bad pass; steal by J. Wall),12,9
33,1,6:47.0,J. Wall makes 2-pt layup at rim,,14,9
34,1,6:36.0,,C. Frye makes 2-pt dunk at rim (assist by N. Vučević),14,11
35,1,6:18.0,M. Gortat makes 2-pt hook shot from 11 ft,,16,11
36,1,5:50.0,,E. Fournier misses 2-pt jump shot from 17 ft,16,11
37,1,5:50.0,,Offensive rebound by V. Oladipo,16,11
38,1,5:48.0,,V. Oladipo misses 2-pt layup from 2 ft,16,11
39,1,5:48.0,Defensive rebound by M. Gortat,,16,11
40,1,5:48.0,Personal take foul by E. Fournier (drawn by J. Wall),,16,11
41,1,5:48.0,,Orlando full timeout,16,11
42,1,5:34.0,Turnover by J. Wall (bad pass; steal by N. Vučević),,16,11
43,1,5:11.0,,E. Fournier misses 2-pt jump shot from 20 ft,16,11
44,1,5:11.0,Defensive rebound by J. Dudley,,16,11
45,1,5:04.0,G. Temple makes 2-pt jump shot from 17 ft (assist by J. Wall),,18,11
46,1,4:52.0,,Shooting foul by J. Dudley (drawn by V. Oladipo),18,11
47,1,4:52.0,,V. Oladipo makes free throw 1 of 2,18,12
48,1,4:52.0,K. Oubre enters the game for O. Porter,,18,12
49,1,4:52.0,,A. Gordon enters the game for C. Frye,18,12
50,1,4:52.0,,V. Oladipo makes free throw 2 of 2,18,13
51,1,4:38.0,J. Wall misses 2-pt jump shot from 17 ft,,18,13
52,1,4:37.0,Offensive rebound by J. Dudley,,18,13
53,1,4:28.0,G. Temple makes 3-pt jump shot from 22 ft (assist by J. Wall),,21,13
54,1,4:13.0,,N. Vučević makes 2-pt jump shot from 18 ft (assist by E. Fournier),21,15
55,1,4:04.0,Turnover by G. Temple (bad pass; steal by T. Harris),,21,15
56,1,4:00.0,,V. Oladipo makes 2-pt dunk at rim,21,17
57,1,3:37.0,J. Dudley misses 3-pt jump shot from 23 ft,,21,17
58,1,3:35.0,,Defensive rebound by Team,21,17
59,1,3:16.0,,E. Fournier misses 2-pt jump shot from 17 ft,21,17
60,1,3:15.0,Defensive rebound by G. Temple,,21,17
61,1,3:08.0,G. Temple misses 2-pt layup from 1 ft (block by V. Oladipo),,21,17
62,1,3:07.0,,Defensive rebound by N. Vučević,21,17
63,1,2:58.0,,Personal foul by M. Gortat (drawn by N. Vučević),21,17
64,1,2:58.0,Washington full timeout,,21,17
65,1,2:58.0,R. Sessions enters the game for J. Wall,,21,17
66,1,2:58.0,,M. Hezonja enters the game for E. Fournier,21,17
67,1,2:58.0,,S. Napier enters the game for V. Oladipo,21,17
68,1,2:53.0,,Turnover by T. Harris (lost ball; steal by K. Oubre),21,17
69,1,2:38.0,J. Dudley misses 2-pt jump shot from 14 ft,,21,17
70,1,2:37.0,Offensive rebound by M. Gortat,,21,17
71,1,2:36.0,M. Gortat makes 2-pt layup from 1 ft,,23,17
72,1,2:16.0,,S. Napier misses 2-pt jump shot from 7 ft,23,17
73,1,2:15.0,Defensive rebound by J. Dudley,,23,17
74,1,2:11.0,G. Temple misses 2-pt layup from 1 ft (block by M. Hezonja),,23,17
75,1,2:10.0,Offensive rebound by Team,,23,17
76,1,2:10.0,,J. Smith enters the game for N. Vučević,23,17
77,1,2:10.0,O. Porter enters the game for J. Dudley,,23,17
78,1,2:10.0,G. Neal enters the game for G. Temple,,23,17
79,1,1:59.0,R. Sessions misses 2-pt jump shot from 11 ft,,23,17
80,1,1:59.0,,Defensive rebound by T. Harris,23,17
81,1,1:35.0,,Turnover by S. Napier (lost ball; steal by M. Gortat),23,17
82,1,1:30.0,O. Porter makes 2-pt layup from 1 ft (assist by R. Sessions),,25,17
83,1,1:13.0,,J. Smith misses 2-pt jump shot from 18 ft,25,17
84,1,1:12.0,Defensive rebound by M. Gortat,,25,17
85,1,0:55.0,Turnover by K. Oubre (lost ball; steal by A. Gordon),,25,17
86,1,0:49.0,,M. Hezonja misses 2-pt layup from 2 ft (block by G. Neal),25,17
87,1,0:47.0,,Offensive rebound by M. Hezonja,25,17
88,1,0:34.0,,S. Napier misses 3-pt jump shot from 25 ft,25,17
89,1,0:32.0,,Offensive rebound by M. Hezonja,25,17
90,1,0:26.0,,A. Gordon misses 3-pt jump shot from 23 ft,25,17
91,1,0:26.0,Defensive rebound by M. Gortat,,25,17
92,1,0:02.0,G. Neal makes 2-pt jump shot from 21 ft,,27,17
93,1,0:00.0,,S. Napier misses 3-pt jump shot from 25 ft,27,17
94,1,0:00.0,,Offensive rebound by Team,27,17
95,2,11:43.0,,Personal foul by K. Oubre (drawn by J. Smith),27,17
96,2,11:43.0,,J. Smith makes free throw 1 of 2,27,18
97,2,11:43.0,,J. Smith makes free throw 2 of 2,27,19
98,2,11:27.0,R. Sessions misses 2-pt jump shot from 5 ft,,27,19
99,2,11:27.0,,Defensive rebound by S. Napier,27,19
100,2,11:17.0,,Personal foul by G. Neal (drawn by J. Smith),27,19
101,2,11:09.0,,J. Smith misses 2-pt jump shot from 18 ft,27,19
102,2,11:09.0,Defensive rebound by K. Oubre,,27,19
103,2,10:58.0,Shooting foul by J. Smith (drawn by R. Sessions),,27,19
104,2,10:58.0,R. Sessions makes free throw 1 of 2,,28,19
105,2,10:58.0,R. Sessions makes free throw 2 of 2,,29,19
106,2,10:45.0,,Shooting foul by K. Oubre (drawn by M. Hezonja),29,19
107,2,10:45.0,,M. Hezonja makes free throw 1 of 2,29,20
108,2,10:45.0,,V. Oladipo enters the game for S. Napier,29,20
109,2,10:45.0,,M. Hezonja makes free throw 2 of 2,29,21
110,2,10:24.0,D. Gooden makes 2-pt jump shot from 20 ft (assist by G. Neal),,31,21
111,2,10:05.0,,J. Smith makes 2-pt jump shot from 11 ft,31,23
112,2,9:54.0,D. Gooden makes 3-pt jump shot from 24 ft (assist by R. Sessions),,34,23
113,2,9:38.0,,Personal foul by D. Gooden (drawn by J. Smith),34,23
114,2,9:29.0,,J. Smith misses 2-pt jump shot from 19 ft,34,23
115,2,9:27.0,,Offensive rebound by A. Gordon,34,23
116,2,9:27.0,,A. Gordon makes 2-pt layup from 1 ft,34,25
117,2,9:14.0,D. Gooden misses 3-pt jump shot from 24 ft,,34,25
118,2,9:13.0,,Defensive rebound by A. Gordon,34,25
119,2,9:07.0,,A. Gordon makes 2-pt layup at rim (assist by M. Hezonja),34,27
120,2,9:00.0,Washington full timeout,,34,27
121,2,9:00.0,G. Temple enters the game for K. Oubre,,34,27
122,2,8:55.0,Turnover by R. Sessions (lost ball; steal by J. Smith),,34,27
123,2,8:49.0,,Shooting foul by G. Neal (drawn by V. Oladipo),34,27
124,2,8:49.0,,V. Oladipo misses free throw 1 of 2,34,27
125,2,8:49.0,,Offensive rebound by Team,34,27
126,2,8:49.0,J. Wall enters the game for R. Sessions,,34,27
127,2,8:49.0,,V. Oladipo makes free throw 2 of 2,34,28
128,2,8:28.0,J. Wall makes 3-pt jump shot from 23 ft (assist by G. Temple),,37,28
129,2,8:11.0,,V. Oladipo misses 2-pt layup from 1 ft (block by D. Gooden),37,28
130,2,8:10.0,Defensive rebound by G. Temple,,37,28
131,2,8:03.0,O. Porter makes 3-pt jump shot from 23 ft (assist by G. Neal),,40,28
132,2,7:42.0,,A. Gordon makes 3-pt jump shot from 22 ft (assist by M. Hezonja),40,31
133,2,7:38.0,Turnover by G. Neal (lost ball; steal by A. Gordon),,40,31
134,2,7:26.0,,Personal foul by G. Temple (drawn by V. Oladipo),40,31
135,2,7:26.0,,V. Oladipo makes free throw 1 of 2,40,32
