,QUARTER,TIME_REMAINING,DETROIT_ACTION,CLEVELAND_ACTION,DETROIT_SCORE,CLEVELAND_SCORE
0,1,11:42.0,M. Morris makes 2-pt jump shot from 19 ft (assist by R. Jackson),,2,0
1,1,11:28.0,,K. Irving misses 2-pt jump shot from 15 ft,2,0
2,1,11:27.0,,Offensive rebound by T. Thompson,2,0
3,1,11:22.0,,K. Love makes 3-pt jump shot from 24 ft (assist by L. James),2,3
4,1,11:07.0,T. Harris misses 3-pt jump shot from 22 ft,,2,3
5,1,11:06.0,,Defensive rebound by L. James,2,3
6,1,10:42.0,,J. Smith misses 3-pt jump shot from 25 ft,2,3
7,1,10:41.0,Defensive rebound by M. Morris,,2,3
8,1,10:36.0,Turnover by R. Jackson (lost ball; steal by K. Irving),,2,3
9,1,10:30.0,,L. James makes 2-pt layup from 1 ft,2,5
10,1,10:06.0,A. Drummond misses 2-pt jump shot from 13 ft,,2,5
11,1,10:05.0,,Defensive rebound by K. Love,2,5
12,1,9:58.0,,K. Irving misses 2-pt jump shot from 21 ft,2,5
13,1,9:57.0,Defensive rebound by R. Jackson,,2,5
14,1,9:51.0,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,,2,5
15,1,9:48.0,Offensive rebound by T. Harris,,2,5
16,1,9:48.0,T. Harris makes 2-pt layup at rim,,4,5
17,1,9:26.0,,K. Love makes 2-pt jump shot from 17 ft (assist by J. Smith),4,7
18,1,9:03.0,M. Morris makes 2-pt jump shot from 12 ft (assist by R. Jackson),,6,7
19,1,8:45.0,,K. Love misses 2-pt jump shot from 14 ft,6,7
20,1,8:44.0,Defensive rebound by T. Harris,,6,7
21,1,8:37.0,Turnover by T. Harris (bad pass; steal by J. Smith),,6,7
22,1,8:31.0,,L. James makes 2-pt layup from 1 ft (assist by T. Thompson),6,9
23,1,8:13.0,M. Morris makes 2-pt jump shot from 17 ft,,8,9
24,1,7:51.0,,K. Irving misses 3-pt jump shot from 25 ft,8,9
25,1,7:51.0,Defensive rebound by A. Drummond,,8,9
26,1,7:36.0,R. Jackson makes 3-pt jump shot from 25 ft (assist by T. Harris),,11,9
27,1,7:13.0,,L. James makes 2-pt layup from 1 ft (assist by K. Irving),11,11
28,1,7:00.0,Turnover by R. Jackson (bad pass; steal by K. Love),,11,11
29,1,6:50.0,,K. Love misses 3-pt jump shot from 25 ft,11,11
30,1,6:50.0,,Offensive rebound by K. Irving,11,11
31,1,6:46.0,,Turnover by K. Love (bad pass; steal by T. Harris),11,11
32,1,6:37.0,K. Caldwell-Pope makes 2-pt jump shot from 20 ft (assist by M. Morris),,13,11
33,1,6:37.0,,Cleveland full timeout,13,11
34,1,6:25.0,,L. James misses 2-pt jump shot from 8 ft,13,11
35,1,6:24.0,,Offensive rebound by T. Thompson,13,11
36,1,5:59.0,,K. Irving misses 2-pt jump shot from 17 ft,13,11
37,1,5:58.0,Defensive rebound by T. Harris,,13,11
38,1,5:43.0,,Violation by J. Smith (kicked ball),13,11
39,1,5:32.0,K. Caldwell-Pope makes 3-pt jump shot from 27 ft (assist by R. Jackson),,16,11
40,1,5:06.0,,J. Smith misses 3-pt jump shot from 27 ft,16,11
41,1,5:05.0,Defensive rebound by K. Caldwell-Pope,,16,11
42,1,4:56.0,K. Caldwell-Pope makes 2-pt jump shot from 9 ft,,18,11
43,1,4:38.0,,K. Irving makes 3-pt jump shot from 24 ft (assist by L. James),18,14
44,1,4:11.0,M. Morris misses 3-pt jump shot from 25 ft,,18,14
45,1,4:10.0,,Defensive rebound by K. Irving,18,14
46,1,4:01.0,,L. James makes 2-pt layup at rim (assist by K. Irving),18,16
47,1,3:41.0,R. Jackson makes 2-pt layup from 1 ft,,20,16
48,1,3:21.0,,Personal foul by T. Harris,20,16
49,1,3:21.0,,M. Dellavedova enters the game for K. Irving,20,16
50,1,3:21.0,S. Johnson enters the game for T. Harris,,20,16
51,1,3:08.0,,M. Dellavedova makes 2-pt jump shot from 7 ft (assist by L. James),20,18
52,1,2:42.0,M. Morris misses 2-pt jump shot from 13 ft,,20,18
53,1,2:42.0,,Defensive rebound by T. Thompson,20,18
54,1,2:28.0,,Personal foul by R. Jackson,20,18
55,1,2:28.0,Detroit full timeout,,20,18
56,1,2:28.0,S. Blake enters the game for R. Jackson,,20,18
57,1,2:28.0,,I. Shumpert enters the game for K. Love,20,18
58,1,2:18.0,,J. Smith makes 3-pt jump shot from 25 ft (assist by L. James),20,21
59,1,2:01.0,K. Caldwell-Pope misses 2-pt jump shot from 17 ft,,20,21
60,1,2:01.0,,Defensive rebound by J. Smith,20,21
61,1,1:45.0,,L. James misses 2-pt jump shot from 8 ft,20,21
62,1,1:43.0,Defensive rebound by S. Johnson,,20,21
