,QUARTER,TIME_REMAINING,CHICAGO_ACTION,ORLANDO_ACTION,CHICAGO_SCORE,ORLANDO_SCORE
0,1,11:43.0,P. Gasol misses 2-pt jump shot from 14 ft,,0,0
1,1,11:42.0,,Defensive rebound by A. Gordon,0,0
2,1,11:27.0,,N. Vučević makes 2-pt hook shot from 10 ft (assist by V. Oladipo),0,2
3,1,11:12.0,E. Moore makes 2-pt jump shot from 6 ft,,2,2
4,1,11:12.0,Shooting foul by V. Oladipo (drawn by E. Moore),,2,2
5,1,11:12.0,E. Moore makes free throw 1 of 1,,3,2
6,1,11:02.0,,M. Hezonja makes 3-pt jump shot from 24 ft,3,5
7,1,10:47.0,P. Gasol misses 2-pt jump shot from 18 ft,,3,5
8,1,10:47.0,,Defensive rebound by Team,3,5
9,1,10:47.0,Loose ball foul by C. Bairstow (drawn by M. Hezonja),,3,5
10,1,10:34.0,,Turnover by E. Payton (lost ball; steal by D. Rose),3,5
11,1,10:24.0,D. Rose makes 2-pt jump shot from 18 ft,,5,5
12,1,10:15.0,,N. Vučević misses 2-pt jump shot from 18 ft,5,5
13,1,10:14.0,Defensive rebound by M. Dunleavy,,5,5
14,1,10:01.0,P. Gasol misses 2-pt jump shot from 17 ft,,5,5
15,1,9:59.0,,Defensive rebound by A. Gordon,5,5
16,1,9:51.0,,V. Oladipo makes 2-pt jump shot from 20 ft,5,7
17,1,9:31.0,E. Moore misses 2-pt jump shot from 18 ft,,5,7
18,1,9:29.0,,Defensive rebound by A. Gordon,5,7
19,1,9:21.0,,N. Vučević makes 2-pt jump shot from 18 ft (assist by A. Gordon),5,9
20,1,9:10.0,Turnover by D. Rose (bad pass),,5,9
21,1,8:51.0,,E. Payton makes 3-pt jump shot from 23 ft (assist by M. Hezonja),5,12
22,1,8:36.0,Turnover by P. Gasol (bad pass),,5,12
23,1,8:25.0,,M. Hezonja makes 2-pt jump shot from 17 ft (assist by E. Payton),5,14
24,1,8:25.0,Chicago full timeout,,5,14
25,1,8:06.0,P. Gasol misses 2-pt jump shot from 10 ft,,5,14
26,1,8:04.0,,Defensive rebound by A. Gordon,5,14
27,1,7:51.0,,M. Hezonja misses 2-pt jump shot from 21 ft,5,14
28,1,7:50.0,Defensive rebound by C. Bairstow,,5,14
29,1,7:34.0,D. Rose makes 2-pt layup from 2 ft,,7,14
30,1,7:09.0,,N. Vučević makes 3-pt jump shot from 25 ft,7,17
31,1,7:00.0,M. Dunleavy misses 2-pt jump shot from 7 ft,,7,17
32,1,6:58.0,,Defensive rebound by V. Oladipo,7,17
33,1,6:55.0,,Shooting foul by C. Bairstow (drawn by A. Gordon),7,17
34,1,6:55.0,,A. Gordon makes free throw 1 of 2,7,18
35,1,6:55.0,B. Portis enters the game for C. Bairstow,,7,18
36,1,6:55.0,,A. Gordon makes free throw 2 of 2,7,19
37,1,6:46.0,Shooting foul by E. Payton (drawn by D. Rose),,7,19
38,1,6:46.0,D. Rose makes free throw 1 of 2,,8,19
39,1,6:46.0,D. Rose makes free throw 2 of 2,,9,19
40,1,6:28.0,,A. Gordon misses 3-pt jump shot from 23 ft,9,19
41,1,6:27.0,,Offensive rebound by N. Vučević,9,19
42,1,6:26.0,,N. Vučević misses 2-pt layup from 2 ft,9,19
43,1,6:23.0,Defensive rebound by P. Gasol,,9,19
44,1,6:09.0,P. Gasol makes 2-pt jump shot from 19 ft (assist by D. Rose),,11,19
45,1,6:02.0,,V. Oladipo misses 2-pt jump shot from 16 ft,11,19
46,1,6:01.0,,Offensive rebound by A. Gordon,11,19
47,1,5:52.0,,A. Gordon misses 3-pt jump shot from 25 ft,11,19
48,1,5:51.0,Defensive rebound by P. Gasol,,11,19
49,1,5:41.0,P. Gasol makes 2-pt jump shot from 18 ft (assist by D. Rose),,13,19
50,1,5:22.0,,M. Hezonja makes 2-pt jump shot from 7 ft,13,21
51,1,5:10.0,D. Rose makes 2-pt jump shot from 18 ft,,15,21
52,1,4:58.0,,N. Vučević misses 2-pt jump shot from 7 ft (block by P. Gasol),15,21
53,1,4:56.0,Defensive rebound by D. Rose,,15,21
54,1,4:48.0,D. Rose misses 2-pt layup from 2 ft,,15,21
55,1,4:47.0,,Defensive rebound by N. Vučević,15,21
56,1,4:39.0,,V. Oladipo makes 2-pt layup from 1 ft (assist by E. Payton),15,23
57,1,4:20.0,P. Gasol misses 3-pt jump shot from 25 ft,,15,23
58,1,4:19.0,,Defensive rebound by A. Gordon,15,23
59,1,4:08.0,,N. Vučević misses 2-pt jump shot from 14 ft,15,23
60,1,4:07.0,Defensive rebound by M. Dunleavy,,15,23
61,1,4:00.0,E. Moore makes 2-pt jump shot from 9 ft,,17,23
62,1,3:58.0,,Orlando full timeout,17,23
63,1,3:58.0,,E. İlyasova enters the game for A. Gordon,17,23
64,1,3:58.0,A. Brooks enters the game for M. Dunleavy,,17,23
65,1,3:58.0,D. McDermott enters the game for D. Rose,,17,23
66,1,3:39.0,,M. Hezonja makes 3-pt jump shot from 25 ft (assist by N. Vučević),17,26
67,1,3:11.0,A. Brooks misses 3-pt jump shot from 28 ft,,17,26
68,1,3:10.0,,Defensive rebound by E. İlyasova,17,26
69,1,3:00.0,,V. Oladipo makes 2-pt jump shot from 15 ft,17,28
70,1,2:42.0,B. Portis misses 2-pt jump shot from 12 ft,,17,28
71,1,2:41.0,,Defensive rebound by E. İlyasova,17,28
72,1,2:32.0,,E. İlyasova makes 3-pt jump shot from 25 ft (assist by E. Payton),17,31
73,1,2:12.0,B. Portis makes 2-pt dunk at rim (assist by E. Moore),,19,31
74,1,1:49.0,,N. Vučević misses 2-pt jump shot from 20 ft,19,31
75,1,1:48.0,Defensive rebound by D. McDermott,,19,31
76,1,1:40.0,,J. Smith enters the game for N. Vučević,19,31
77,1,1:40.0,,C. Watson enters the game for V. Oladipo,19,31
78,1,1:30.0,D. McDermott misses 3-pt jump shot from 27 ft,,19,31
79,1,1:29.0,,Defensive rebound by J. Smith,19,31
