,QUARTER,TIME_REMAINING,BOSTON_ACTION,UTAH_ACTION,BOSTON_SCORE,UTAH_SCORE
0,1,11:46.0,,Turnover by D. Favors (bad pass),0,0
1,1,11:32.0,I. Thomas misses 2-pt jump shot from 6 ft,,0,0
2,1,11:31.0,Offensive rebound by I. Thomas,,0,0
3,1,11:28.0,I. Thomas misses 2-pt layup from 2 ft,,0,0
4,1,11:27.0,,Defensive rebound by D. Favors,0,0
5,1,11:16.0,,D. Favors makes 2-pt jump shot from 13 ft (assist by R. Neto),0,2
6,1,11:03.0,A. Bradley makes 3-pt jump shot from 23 ft (assist by I. Thomas),,3,2
7,1,10:46.0,,Shooting foul by A. Johnson (drawn by D. Favors),3,2
8,1,10:46.0,,D. Favors makes free throw 1 of 2,3,3
9,1,10:46.0,,D. Favors makes free throw 2 of 2,3,4
10,1,10:32.0,I. Thomas misses 2-pt layup from 1 ft (block by R. Gobert),,3,4
11,1,10:31.0,Offensive rebound by A. Johnson,,3,4
12,1,10:31.0,A. Johnson misses 2-pt layup from 1 ft (block by D. Favors),,3,4
13,1,10:31.0,,Defensive rebound by R. Hood,3,4
14,1,10:12.0,,R. Neto makes 3-pt jump shot from 24 ft (assist by R. Gobert),3,7
15,1,9:49.0,A. Bradley misses 3-pt jump shot from 24 ft,,3,7
16,1,9:48.0,,Defensive rebound by D. Favors,3,7
17,1,9:34.0,,G. Hayward misses 3-pt jump shot from 24 ft,3,7
18,1,9:33.0,Defensive rebound by J. Crowder,,3,7
19,1,9:22.0,I. Thomas makes 2-pt jump shot from 10 ft,,5,7
20,1,8:59.0,,D. Favors misses 2-pt jump shot from 19 ft,5,7
21,1,8:59.0,Defensive rebound by J. Crowder,,5,7
22,1,8:47.0,J. Sullinger misses 2-pt jump shot from 6 ft,,5,7
23,1,8:46.0,,Defensive rebound by R. Gobert,5,7
24,1,8:25.0,,R. Neto makes 2-pt layup from 1 ft,5,9
25,1,8:08.0,Shooting foul by R. Neto (drawn by I. Thomas),,5,9
26,1,8:08.0,I. Thomas makes free throw 1 of 3,,6,9
27,1,8:08.0,I. Thomas makes free throw 2 of 3,,7,9
