,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,PHILADELPHIA_ACTION,MEMPHIS_SCORE,PHILADELPHIA_SCORE
0,1,11:34.0,M. Conley misses 2-pt jump shot from 13 ft,,0,0
1,1,11:32.0,Offensive rebound by J. Green,,0,0
2,1,11:26.0,M. Conley makes 3-pt jump shot from 26 ft (assist by M. Gasol),,3,0
3,1,11:08.0,,I. Canaan makes 3-pt jump shot from 24 ft (assist by T. Wroten),3,3
4,1,10:46.0,Personal foul by J. Grant (drawn by M. Gasol),,3,3
5,1,10:37.0,C. Lee misses 2-pt layup from 1 ft (block by I. Canaan),,3,3
6,1,10:35.0,,Defensive rebound by R. Covington,3,3
7,1,10:31.0,,J. Grant makes 2-pt layup from 1 ft (assist by R. Covington),3,5
8,1,10:25.0,M. Barnes misses 2-pt layup at rim (block by J. Grant),,3,5
9,1,10:21.0,,Defensive rebound by T. Wroten,3,5
10,1,10:05.0,,R. Covington misses 2-pt jump shot from 22 ft (block by M. Barnes),3,5
11,1,10:03.0,,Offensive rebound by R. Covington,3,5
12,1,10:02.0,,R. Covington makes 2-pt layup from 2 ft,3,7
13,1,9:43.0,Turnover by M. Barnes (bad pass),,3,7
14,1,9:27.0,,J. Grant misses 2-pt jump shot from 11 ft,3,7
15,1,9:24.0,Defensive rebound by M. Gasol,,3,7
16,1,9:09.0,M. Gasol misses 2-pt jump shot from 6 ft,,3,7
17,1,9:07.0,Offensive rebound by J. Green,,3,7
18,1,9:07.0,J. Green makes 2-pt layup from 1 ft,,5,7
19,1,8:58.0,,T. Wroten misses 2-pt jump shot from 4 ft (block by M. Barnes),5,7
20,1,8:55.0,Defensive rebound by M. Barnes,,5,7
21,1,8:40.0,M. Gasol misses 2-pt jump shot from 8 ft,,5,7
22,1,8:37.0,,Defensive rebound by J. Grant,5,7
23,1,8:31.0,,Personal foul by M. Barnes (drawn by J. Okafor),5,7
24,1,8:19.0,,Shooting block foul by M. Gasol (drawn by R. Covington),5,7
25,1,8:19.0,,R. Covington makes free throw 1 of 2,5,8
26,1,8:19.0,,R. Covington makes free throw 2 of 2,5,9
27,1,8:03.0,M. Gasol makes 2-pt hook shot from 6 ft,,7,9
28,1,8:03.0,Shooting foul by J. Okafor (drawn by M. Gasol),,7,9
29,1,8:03.0,M. Gasol makes free throw 1 of 1,,8,9
30,1,7:57.0,,Personal foul by J. Green (drawn by J. Grant),8,9
31,1,7:47.0,,J. Okafor makes 2-pt dunk at rim (assist by R. Covington),8,11
32,1,7:35.0,M. Conley misses 2-pt layup at rim,,8,11
33,1,7:32.0,,Defensive rebound by T. Wroten,8,11
34,1,7:29.0,,Turnover by T. Wroten (bad pass; steal by J. Green),8,11
35,1,7:24.0,C. Lee makes 2-pt dunk at rim (assist by M. Conley),,10,11
36,1,7:11.0,,R. Covington misses 3-pt jump shot from 26 ft,10,11
37,1,7:10.0,Defensive rebound by Team,,10,11
38,1,6:54.0,M. Barnes misses 3-pt jump shot from 23 ft,,10,11
39,1,6:51.0,,Defensive rebound by J. Okafor,10,11
40,1,6:44.0,,J. Okafor misses 2-pt jump shot from 13 ft,10,11
41,1,6:43.0,Defensive rebound by Team,,10,11
42,1,6:26.0,M. Gasol makes 2-pt jump shot from 15 ft,,12,11
43,1,6:12.0,,J. Okafor makes 2-pt layup at rim,12,13
44,1,5:47.0,C. Lee makes 2-pt jump shot from 9 ft (assist by M. Gasol),,14,13
45,1,5:47.0,,Philadelphia full timeout,14,13
46,1,5:47.0,Z. Randolph enters the game for J. Green,,14,13
47,1,5:47.0,,T. McConnell enters the game for T. Wroten,14,13
48,1,5:47.0,,N. Noel enters the game for J. Grant,14,13
49,1,5:35.0,,N. Noel makes 2-pt dunk at rim,14,15
50,1,5:35.0,,Shooting foul by Z. Randolph (drawn by N. Noel),14,15
51,1,5:35.0,,N. Noel makes free throw 1 of 1,14,16
52,1,5:21.0,M. Gasol makes 2-pt jump shot from 19 ft (assist by M. Conley),,16,16
53,1,4:57.0,,I. Canaan misses 3-pt jump shot from 26 ft,16,16
54,1,4:56.0,Defensive rebound by Z. Randolph,,16,16
