,QUARTER,TIME_REMAINING,PHOENIX_ACTION,DALLAS_ACTION,PHOENIX_SCORE,DALLAS_SCORE
0,1,11:36.0,M. Teletović makes 3-pt jump shot from 25 ft (assist by D. Booker),,3,0
1,1,11:12.0,,D. Williams makes 2-pt jump shot from 17 ft,3,2
2,1,11:03.0,Turnover by A. Goodwin (bad pass; steal by Z. Pachulia),,3,2
3,1,10:58.0,,Z. Pachulia makes 2-pt layup at rim,3,4
4,1,10:32.0,M. Teletović misses 2-pt jump shot from 10 ft,,3,4
5,1,10:30.0,,Defensive rebound by Z. Pachulia,3,4
6,1,10:27.0,,Shooting block foul by M. Teletović (drawn by C. Parsons),3,4
7,1,10:27.0,,C. Parsons makes free throw 1 of 2,3,5
8,1,10:27.0,,C. Parsons makes free throw 2 of 2,3,6
9,1,10:17.0,D. Booker misses 3-pt jump shot from 24 ft,,3,6
10,1,10:16.0,,Defensive rebound by D. Williams,3,6
11,1,10:08.0,,W. Matthews misses 2-pt layup from 4 ft,3,6
12,1,10:06.0,Defensive rebound by D. Booker,,3,6
13,1,10:00.0,P. Tucker misses 3-pt jump shot from 23 ft,,3,6
14,1,9:57.0,,Defensive rebound by R. Felton,3,6
15,1,9:46.0,,Turnover by Z. Pachulia (lost ball; steal by T. Chandler),3,6
16,1,9:28.0,A. Goodwin misses 2-pt layup from 1 ft,,3,6
17,1,9:27.0,Offensive rebound by T. Chandler,,3,6
18,1,9:27.0,T. Chandler makes 2-pt dunk at rim,,5,6
19,1,9:11.0,,C. Parsons misses 3-pt jump shot from 24 ft,5,6
20,1,9:11.0,Defensive rebound by D. Booker,,5,6
21,1,9:02.0,M. Teletović makes 3-pt jump shot from 23 ft (assist by D. Booker),,8,6
22,1,8:45.0,,C. Parsons makes 2-pt layup at rim,8,8
23,1,8:24.0,M. Teletović misses 3-pt jump shot from 23 ft,,8,8
24,1,8:21.0,,Defensive rebound by R. Felton,8,8
25,1,8:16.0,,C. Parsons makes 3-pt jump shot from 23 ft (assist by R. Felton),8,11
26,1,8:02.0,D. Booker misses 3-pt jump shot from 25 ft,,8,11
27,1,8:00.0,Offensive rebound by A. Goodwin,,8,11
28,1,7:59.0,A. Goodwin misses 2-pt layup at rim,,8,11
29,1,7:57.0,,Defensive rebound by Z. Pachulia,8,11
30,1,7:50.0,,Turnover by C. Parsons (bad pass),8,11
31,1,7:38.0,Personal foul by R. Felton (drawn by D. Booker),,8,11
32,1,7:25.0,P. Tucker makes 2-pt layup from 2 ft (assist by T. Chandler),,10,11
33,1,7:14.0,,Personal foul by A. Goodwin (drawn by D. Williams),10,11
34,1,7:00.0,,D. Williams makes 2-pt jump shot from 20 ft,10,13
35,1,6:49.0,Turnover by D. Booker (step out of bounds),,10,13
36,1,6:40.0,,Shooting foul by T. Chandler (drawn by Z. Pachulia),10,13
37,1,6:40.0,,Z. Pachulia makes free throw 1 of 2,10,14
38,1,6:40.0,,Z. Pachulia misses free throw 2 of 2,10,14
39,1,6:39.0,Defensive rebound by T. Chandler,,10,14
40,1,6:24.0,A. Goodwin misses 2-pt layup from 2 ft,,10,14
41,1,6:22.0,,Defensive rebound by W. Matthews,10,14
42,1,6:18.0,,R. Felton misses 2-pt layup from 1 ft (block by D. Booker),10,14
43,1,6:18.0,,Offensive rebound by Team,10,14
44,1,6:18.0,,J. Barea enters the game for R. Felton,10,14
45,1,6:18.0,,C. Villanueva enters the game for C. Parsons,10,14
46,1,6:15.0,,D. Williams misses 2-pt jump shot from 19 ft,10,14
47,1,6:14.0,Defensive rebound by D. Booker,,10,14
48,1,6:06.0,M. Teletović misses 2-pt jump shot from 15 ft,,10,14
49,1,6:05.0,,Defensive rebound by Team,10,14
50,1,5:45.0,,W. Matthews misses 2-pt jump shot from 8 ft (block by T. Chandler),10,14
51,1,5:42.0,Defensive rebound by P. Tucker,,10,14
52,1,5:27.0,Def 3 sec tech foul by W. Matthews,,10,14
53,1,5:27.0,,Dallas full timeout,10,14
54,1,5:27.0,A. Len enters the game for T. Chandler,,10,14
55,1,5:27.0,D. Booker makes technical free throw,,11,14
56,1,5:16.0,P. Tucker misses 2-pt hook shot from 5 ft,,11,14
57,1,5:14.0,,Defensive rebound by Z. Pachulia,11,14
58,1,4:51.0,,W. Matthews misses 3-pt jump shot from 24 ft,11,14
59,1,4:51.0,,Offensive rebound by C. Villanueva,11,14
60,1,4:45.0,,D. Williams misses 3-pt jump shot from 24 ft,11,14
61,1,4:45.0,Defensive rebound by A. Len,,11,14
