,QUARTER,TIME_REMAINING,DENVER_ACTION,PORTLAND_ACTION,DENVER_SCORE,PORTLAND_SCORE
0,1,11:35.0,N. Jokić makes 2-pt hook shot from 5 ft,,2,0
1,1,11:19.0,,M. Plumlee misses 2-pt hook shot from 6 ft,2,0
2,1,11:17.0,Defensive rebound by J. Nurkić,,2,0
3,1,11:10.0,Turnover by N. Jokić (traveling),,2,0
4,1,10:59.0,,D. Lillard misses 3-pt jump shot from 26 ft,2,0
5,1,10:59.0,Defensive rebound by J. Nurkić,,2,0
6,1,10:41.0,E. Mudiay misses 3-pt jump shot from 25 ft,,2,0
7,1,10:40.0,,Defensive rebound by C. McCollum,2,0
8,1,10:36.0,,C. McCollum makes 2-pt layup from 1 ft,2,2
9,1,10:22.0,Turnover by G. Harris (bad pass; steal by D. Lillard),,2,2
10,1,10:16.0,,D. Lillard makes 2-pt layup at rim,2,4
11,1,10:00.0,J. Nurkić misses 2-pt jump shot from 18 ft,,2,4
12,1,9:57.0,Offensive rebound by N. Jokić,,2,4
13,1,9:57.0,N. Jokić misses 2-pt layup at rim,,2,4
14,1,9:54.0,,Defensive rebound by C. McCollum,2,4
15,1,9:41.0,,A. Aminu misses 3-pt jump shot from 24 ft,2,4
16,1,9:41.0,Defensive rebound by Team,,2,4
17,1,9:30.0,G. Harris misses 2-pt layup from 1 ft,,2,4
18,1,9:29.0,Offensive rebound by J. Nurkić,,2,4
19,1,9:27.0,J. Nurkić makes 2-pt layup at rim,,4,4
20,1,9:16.0,,C. McCollum misses 3-pt jump shot from 25 ft,4,4
21,1,9:15.0,Defensive rebound by M. Miller,,4,4
22,1,9:09.0,M. Miller makes 3-pt jump shot from 25 ft (assist by E. Mudiay),,7,4
23,1,8:50.0,,C. McCollum makes 2-pt jump shot from 11 ft,7,6
24,1,8:43.0,M. Miller misses 3-pt jump shot from 26 ft,,7,6
25,1,8:42.0,,Defensive rebound by M. Plumlee,7,6
26,1,8:38.0,,Turnover by A. Aminu (bad pass),7,6
27,1,8:28.0,Personal foul by M. Harkless,,7,6
28,1,8:20.0,E. Mudiay makes 2-pt layup from 2 ft,,9,6
29,1,8:09.0,,D. Lillard makes 2-pt layup from 1 ft,9,8
30,1,7:58.0,J. Nurkić misses 2-pt hook shot from 4 ft,,9,8
31,1,7:57.0,,Defensive rebound by Team,9,8
32,1,7:49.0,,M. Harkless misses 2-pt jump shot from 8 ft,9,8
33,1,7:48.0,Defensive rebound by M. Miller,,9,8
34,1,7:38.0,E. Mudiay makes 2-pt layup at rim (assist by N. Jokić),,11,8
35,1,7:17.0,,A. Aminu misses 3-pt jump shot from 25 ft,11,8
36,1,7:16.0,Defensive rebound by J. Nurkić,,11,8
37,1,7:06.0,N. Jokić makes 2-pt layup from 1 ft (assist by J. Nurkić),,13,8
38,1,6:45.0,,M. Harkless misses 2-pt jump shot from 15 ft,13,8
39,1,6:45.0,Defensive rebound by M. Miller,,13,8
40,1,6:34.0,E. Mudiay misses 2-pt jump shot from 12 ft,,13,8
41,1,6:33.0,Offensive rebound by J. Nurkić,,13,8
42,1,6:30.0,E. Mudiay misses 2-pt layup from 1 ft (block by M. Plumlee),,13,8
43,1,6:28.0,,Defensive rebound by M. Plumlee,13,8
44,1,6:15.0,,D. Lillard makes 2-pt layup at rim,13,10
45,1,5:59.0,M. Miller misses 3-pt jump shot from 27 ft,,13,10
46,1,5:59.0,Offensive rebound by N. Jokić,,13,10
47,1,5:56.0,Turnover by E. Mudiay (bad pass),,13,10
48,1,5:56.0,,Portland full timeout,13,10
49,1,5:46.0,,D. Lillard misses 2-pt jump shot from 15 ft,13,10
50,1,5:45.0,Defensive rebound by J. Nurkić,,13,10
51,1,5:28.0,M. Miller makes 2-pt hook shot from 3 ft (assist by J. Nurkić),,15,10
52,1,5:12.0,,A. Aminu makes 3-pt jump shot from 24 ft (assist by D. Lillard),15,13
53,1,5:02.0,E. Mudiay misses 2-pt layup from 1 ft,,15,13
54,1,5:00.0,,Defensive rebound by A. Aminu,15,13
55,1,4:54.0,,M. Harkless misses 2-pt layup from 1 ft,15,13
56,1,4:54.0,Defensive rebound by Team,,15,13
57,1,4:54.0,,B. Roberts enters the game for C. McCollum,15,13
58,1,4:54.0,,A. Crabbe enters the game for M. Harkless,15,13
59,1,4:43.0,Turnover by E. Mudiay (bad pass; steal by M. Plumlee),,15,13
60,1,4:39.0,,M. Plumlee makes 2-pt layup from 1 ft,15,15
61,1,4:17.0,J. Nurkić makes 2-pt hook shot from 6 ft (assist by M. Miller),,17,15
62,1,4:02.0,,Shooting foul by M. Miller (drawn by A. Crabbe),17,15
63,1,4:02.0,,A. Crabbe misses free throw 1 of 3,17,15
64,1,4:02.0,,Offensive rebound by Team,17,15
65,1,4:02.0,,A. Crabbe makes free throw 2 of 3,17,16
66,1,4:02.0,J. Sampson enters the game for M. Miller,,17,16
67,1,4:02.0,,A. Crabbe makes free throw 3 of 3,17,17
68,1,3:48.0,E. Mudiay misses 2-pt jump shot from 10 ft,,17,17
69,1,3:47.0,Offensive rebound by N. Jokić,,17,17
70,1,3:47.0,N. Jokić makes 2-pt layup from 2 ft,,19,17
71,1,3:27.0,,Turnover by M. Plumlee (bad pass; steal by J. Nurkić),19,17
72,1,3:24.0,Turnover by J. Nurkić (lost ball; steal by M. Plumlee),,19,17
73,1,3:18.0,,Shooting foul by J. Nurkić (drawn by A. Aminu),19,17
74,1,3:18.0,,A. Aminu makes free throw 1 of 2,19,18
75,1,3:18.0,,E. Davis enters the game for M. Plumlee,19,18
76,1,3:18.0,K. Faried enters the game for J. Nurkić,,19,18
77,1,3:18.0,W. Barton enters the game for G. Harris,,19,18
78,1,3:18.0,,A. Aminu makes free throw 2 of 2,19,19
79,1,3:01.0,N. Jokić makes 2-pt dunk at rim (assist by E. Mudiay),,21,19
80,1,2:44.0,,E. Davis misses 2-pt layup from 1 ft,21,19
81,1,2:42.0,Defensive rebound by N. Jokić,,21,19
82,1,2:39.0,E. Mudiay makes 2-pt layup from 1 ft (assist by N. Jokić),,23,19
83,1,2:29.0,,D. Lillard misses 3-pt jump shot from 22 ft,23,19
84,1,2:28.0,Defensive rebound by W. Barton,,23,19
85,1,2:18.0,K. Faried makes 2-pt hook shot from 3 ft (assist by W. Barton),,25,19
86,1,2:00.0,,Shooting foul by K. Faried (drawn by E. Davis),25,19
87,1,2:00.0,Denver full timeout,,25,19
88,1,2:00.0,,N. Vonleh enters the game for A. Aminu,25,19
89,1,2:00.0,,E. Davis misses free throw 1 of 2,25,19
90,1,2:00.0,,Offensive rebound by Team,25,19
91,1,2:00.0,,E. Davis misses free throw 2 of 2,25,19
92,1,1:59.0,Defensive rebound by K. Faried,,25,19
93,1,1:49.0,Personal foul by B. Roberts,,25,19
94,1,1:39.0,E. Mudiay makes 2-pt layup from 1 ft,,27,19
95,1,1:39.0,,Violation by N. Vonleh (def goaltending),27,19
96,1,1:24.0,,A. Crabbe makes 2-pt jump shot from 16 ft,27,21
97,1,1:24.0,,Shooting foul by J. Sampson (drawn by A. Crabbe),27,21
98,1,1:24.0,,A. Crabbe makes free throw 1 of 1,27,22
99,1,1:16.0,Turnover by N. Jokić (bad pass; steal by D. Lillard),,27,22
100,1,1:11.0,,D. Lillard misses 2-pt layup from 1 ft,27,22
101,1,1:10.0,Defensive rebound by N. Jokić,,27,22
102,1,1:05.0,Turnover by K. Faried (bad pass; steal by A. Crabbe),,27,22
103,1,1:01.0,,Shooting foul by N. Jokić (drawn by D. Lillard),27,22
104,1,1:01.0,,D. Lillard makes free throw 1 of 2,27,23
105,1,1:01.0,,D. Lillard makes free throw 2 of 2,27,24
106,1,0:51.0,Shooting foul by N. Vonleh (drawn by K. Faried),,27,24
107,1,0:51.0,K. Faried misses free throw 1 of 2,,27,24
108,1,0:51.0,Offensive rebound by Team,,27,24
109,1,0:51.0,K. Faried makes free throw 2 of 2,,28,24
