,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,BOSTON_ACTION,LA CLIPPERS_SCORE,BOSTON_SCORE
0,1,11:42.0,J. Redick makes 2-pt jump shot from 19 ft (assist by C. Paul),,2,0
1,1,11:28.0,,J. Crowder misses 3-pt jump shot from 24 ft,2,0
2,1,11:27.0,,Offensive rebound by Team,2,0
3,1,11:22.0,,A. Bradley makes 2-pt jump shot from 14 ft (assist by J. Sullinger),2,2
4,1,11:05.0,J. Redick misses 2-pt layup from 1 ft,,2,2
5,1,11:04.0,,Defensive rebound by J. Sullinger,2,2
6,1,10:57.0,,A. Bradley misses 3-pt jump shot from 25 ft,2,2
7,1,10:55.0,Defensive rebound by D. Jordan,,2,2
8,1,10:47.0,C. Paul makes 2-pt jump shot from 18 ft,,4,2
9,1,10:33.0,,J. Sullinger makes 2-pt jump shot from 21 ft (assist by A. Johnson),4,4
10,1,10:10.0,P. Pierce makes 3-pt jump shot from 25 ft (assist by C. Paul),,7,4
11,1,10:01.0,,I. Thomas misses 3-pt jump shot from 25 ft,7,4
12,1,10:00.0,Defensive rebound by D. Jordan,,7,4
13,1,9:43.0,J. Redick makes 3-pt jump shot from 25 ft (assist by L. Mbah a Moute),,10,4
14,1,9:25.0,,A. Johnson misses 2-pt layup from 1 ft,10,4
15,1,9:24.0,Defensive rebound by C. Paul,,10,4
16,1,9:15.0,L. Mbah a Moute misses 2-pt layup from 1 ft (block by J. Crowder),,10,4
17,1,9:14.0,,Defensive rebound by J. Sullinger,10,4
18,1,9:02.0,,J. Crowder makes 3-pt jump shot from 23 ft (assist by J. Sullinger),10,7
19,1,8:38.0,Personal foul by J. Crowder (drawn by D. Jordan),,10,7
20,1,8:30.0,D. Jordan misses 2-pt layup at rim,,10,7
21,1,8:29.0,Offensive rebound by D. Jordan,,10,7
22,1,8:29.0,D. Jordan makes 2-pt dunk at rim,,12,7
23,1,8:24.0,,J. Crowder makes 2-pt dunk at rim (assist by I. Thomas),12,9
24,1,8:02.0,Turnover by C. Paul (bad pass; steal by I. Thomas),,12,9
25,1,7:57.0,,I. Thomas makes 2-pt layup from 1 ft,12,11
26,1,7:49.0,C. Paul makes 2-pt jump shot from 20 ft,,14,11
27,1,7:31.0,,I. Thomas misses 2-pt layup at rim,14,11
28,1,7:31.0,Defensive rebound by P. Pierce,,14,11
29,1,7:26.0,P. Pierce misses 3-pt jump shot from 25 ft,,14,11
30,1,7:23.0,,Defensive rebound by I. Thomas,14,11
31,1,7:18.0,,J. Sullinger misses 3-pt jump shot from 24 ft,14,11
32,1,7:17.0,Defensive rebound by J. Redick,,14,11
33,1,7:07.0,C. Paul makes 2-pt jump shot from 16 ft,,16,11
34,1,6:52.0,,J. Sullinger makes 2-pt jump shot from 9 ft (assist by I. Thomas),16,13
