,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,NEW ORLEANS_ACTION,SACRAMENTO_SCORE,NEW ORLEANS_SCORE
0,1,11:39.0,,Turnover by N. Cole (bad pass; steal by D. Cousins),0,0
1,1,11:38.0,Personal foul by Ö. Aşık (drawn by D. Cousins),,0,0
2,1,11:23.0,W. Cauley-Stein misses 2-pt layup from 1 ft,,0,0
3,1,11:23.0,,Defensive rebound by R. Anderson,0,0
4,1,11:14.0,,N. Cole misses 3-pt jump shot from 24 ft,0,0
5,1,11:14.0,Defensive rebound by R. Rondo,,0,0
6,1,11:09.0,Turnover by R. Rondo (bad pass; steal by N. Cole),,0,0
7,1,11:03.0,,A. Gee makes 2-pt layup from 2 ft (assist by N. Cole),0,2
8,1,10:47.0,B. McLemore makes 2-pt jump shot from 20 ft (assist by D. Cousins),,2,2
9,1,10:34.0,,B. Dejean-Jones misses 2-pt jump shot from 19 ft,2,2
10,1,10:33.0,Defensive rebound by O. Casspi,,2,2
11,1,10:25.0,D. Cousins misses 2-pt layup from 1 ft,,2,2
12,1,10:24.0,,Defensive rebound by N. Cole,2,2
13,1,10:19.0,,N. Cole misses 2-pt jump shot from 19 ft,2,2
14,1,10:18.0,Defensive rebound by W. Cauley-Stein,,2,2
15,1,10:09.0,O. Casspi makes 3-pt jump shot from 23 ft (assist by R. Rondo),,5,2
16,1,9:56.0,,R. Anderson makes 2-pt jump shot from 22 ft,5,4
17,1,9:39.0,B. McLemore misses 3-pt jump shot from 25 ft,,5,4
18,1,9:38.0,,Defensive rebound by N. Cole,5,4
19,1,9:25.0,,R. Anderson makes 2-pt jump shot from 4 ft (assist by N. Cole),5,6
20,1,9:11.0,D. Cousins misses 2-pt jump shot from 20 ft,,5,6
21,1,9:10.0,,Defensive rebound by N. Cole,5,6
22,1,8:53.0,,R. Anderson makes 3-pt jump shot from 24 ft (assist by B. Dejean-Jones),5,9
23,1,8:40.0,Offensive foul by D. Cousins (drawn by Ö. Aşık),,5,9
24,1,8:40.0,Turnover by D. Cousins (offensive foul),,5,9
25,1,8:30.0,,R. Anderson misses 3-pt jump shot from 24 ft,5,9
26,1,8:29.0,Defensive rebound by R. Rondo,,5,9
27,1,8:20.0,D. Cousins misses 2-pt layup from 1 ft (block by Ö. Aşık),,5,9
28,1,8:19.0,,Defensive rebound by R. Anderson,5,9
29,1,8:14.0,,B. Dejean-Jones makes 2-pt dunk at rim (assist by R. Anderson),5,11
30,1,8:07.0,Sacramento full timeout,,5,11
31,1,7:57.0,R. Rondo makes 2-pt layup from 1 ft,,7,11
32,1,7:48.0,,Personal foul by W. Cauley-Stein (drawn by N. Cole),7,11
33,1,7:39.0,,Ö. Aşık makes 2-pt dunk at rim (assist by N. Cole),7,13
34,1,7:22.0,O. Casspi makes 2-pt layup from 1 ft (assist by B. McLemore),,9,13
35,1,7:12.0,,B. Dejean-Jones makes 3-pt jump shot from 25 ft (assist by R. Anderson),9,16
36,1,6:58.0,R. Rondo makes 3-pt jump shot from 24 ft (assist by D. Cousins),,12,16
37,1,6:50.0,,R. Anderson makes 3-pt jump shot from 25 ft (assist by N. Cole),12,19
38,1,6:39.0,D. Cousins makes 2-pt dunk at rim (assist by R. Rondo),,14,19
39,1,6:21.0,,Turnover by N. Cole (bad pass),14,19
40,1,6:21.0,M. Belinelli enters the game for B. McLemore,,14,19
41,1,6:21.0,J. Anderson enters the game for W. Cauley-Stein,,14,19
42,1,6:12.0,,Violation by R. Anderson (kicked ball),14,19
43,1,5:58.0,O. Casspi makes 3-pt jump shot from 25 ft (assist by R. Rondo),,17,19
44,1,5:48.0,,N. Cole misses 2-pt layup from 1 ft,17,19
45,1,5:48.0,,Offensive rebound by Team,17,19
46,1,5:43.0,,R. Anderson misses 2-pt jump shot from 17 ft,17,19
47,1,5:42.0,Defensive rebound by R. Rondo,,17,19
