,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,BROOKLYN_ACTION,MILWAUKEE_SCORE,BROOKLYN_SCORE
0,1,11:48.0,,B. Lopez makes 2-pt layup from 1 ft (assist by T. Young),0,2
1,1,11:24.0,G. Monroe makes 2-pt hook shot from 9 ft,,2,2
2,1,11:11.0,,Turnover by B. Lopez (3 sec),2,2
3,1,10:54.0,G. Monroe makes 2-pt layup from 1 ft (assist by K. Middleton),,4,2
4,1,10:32.0,,M. Brown misses 3-pt jump shot from 24 ft,4,2
5,1,10:31.0,Defensive rebound by G. Antetokounmpo,,4,2
6,1,10:13.0,J. Bayless makes 3-pt jump shot from 26 ft (assist by G. Monroe),,7,2
7,1,10:00.0,,Personal foul by K. Middleton (drawn by J. Johnson),7,2
8,1,9:49.0,,J. Jack misses 2-pt jump shot from 10 ft,7,2
9,1,9:48.0,,Offensive rebound by B. Lopez,7,2
10,1,9:47.0,,B. Lopez misses 2-pt layup from 1 ft,7,2
11,1,9:46.0,,Offensive rebound by Team,7,2
12,1,9:36.0,,Personal foul by G. Antetokounmpo (drawn by J. Jack),7,2
13,1,9:30.0,,Turnover by J. Jack (bad pass; steal by M. Carter-Williams),7,2
14,1,9:27.0,,Violation by M. Brown (def goaltending),7,2
15,1,9:27.0,G. Antetokounmpo makes 2-pt layup from 1 ft,,9,2
16,1,9:27.0,Shooting foul by J. Jack (drawn by G. Antetokounmpo),,9,2
17,1,9:27.0,G. Antetokounmpo misses free throw 1 of 1,,9,2
18,1,9:26.0,,Defensive rebound by T. Young,9,2
19,1,9:12.0,,M. Brown makes 3-pt jump shot from 25 ft (assist by T. Young),9,5
20,1,8:53.0,Shooting foul by M. Brown (drawn by M. Carter-Williams),,9,5
21,1,8:53.0,M. Carter-Williams misses free throw 1 of 2,,9,5
22,1,8:53.0,Offensive rebound by Team,,9,5
23,1,8:53.0,M. Carter-Williams makes free throw 2 of 2,,10,5
24,1,8:31.0,,B. Lopez makes 2-pt jump shot from 20 ft (assist by T. Young),10,7
25,1,8:10.0,M. Carter-Williams makes 2-pt layup from 2 ft (assist by G. Antetokounmpo),,12,7
26,1,7:57.0,,J. Jack misses 2-pt jump shot from 19 ft,12,7
27,1,7:56.0,Defensive rebound by G. Monroe,,12,7
28,1,7:49.0,G. Antetokounmpo makes 3-pt jump shot from 24 ft (assist by M. Carter-Williams),,15,7
29,1,7:33.0,,J. Johnson makes 3-pt jump shot from 22 ft (assist by J. Jack),15,10
30,1,7:23.0,Shooting foul by J. Johnson (drawn by K. Middleton),,15,10
31,1,7:23.0,K. Middleton misses free throw 1 of 2,,15,10
32,1,7:23.0,Offensive rebound by Team,,15,10
33,1,7:23.0,K. Middleton makes free throw 2 of 2,,16,10
34,1,7:06.0,,T. Young misses 2-pt layup from 1 ft (block by G. Monroe),16,10
35,1,7:05.0,,Offensive rebound by T. Young,16,10
36,1,7:03.0,,T. Young makes 2-pt layup from 2 ft,16,12
37,1,6:49.0,M. Carter-Williams misses 2-pt layup from 1 ft,,16,12
38,1,6:48.0,,Defensive rebound by J. Jack,16,12
39,1,6:38.0,,J. Johnson misses 3-pt jump shot from 24 ft,16,12
40,1,6:37.0,Defensive rebound by G. Antetokounmpo,,16,12
41,1,6:22.0,K. Middleton misses 2-pt jump shot from 10 ft,,16,12
42,1,6:21.0,,Defensive rebound by B. Lopez,16,12
43,1,6:15.0,,Shooting foul by M. Carter-Williams (drawn by J. Johnson),16,12
44,1,6:15.0,,J. Johnson makes free throw 1 of 2,16,13
45,1,6:15.0,,J. Johnson makes free throw 2 of 2,16,14
46,1,5:57.0,G. Monroe makes 2-pt jump shot from 16 ft,,18,14
47,1,5:38.0,,B. Lopez makes 2-pt jump shot from 15 ft (assist by J. Johnson),18,16
48,1,5:25.0,Shooting foul by T. Young (drawn by G. Antetokounmpo),,18,16
49,1,5:25.0,,Brooklyn full timeout,18,16
50,1,5:25.0,G. Vásquez enters the game for J. Bayless,,18,16
51,1,5:25.0,G. Antetokounmpo makes free throw 1 of 2,,19,16
52,1,5:25.0,G. Antetokounmpo makes free throw 2 of 2,,20,16
53,1,5:01.0,,J. Johnson makes 2-pt jump shot from 21 ft,20,18
54,1,4:46.0,K. Middleton makes 3-pt jump shot from 23 ft (assist by G. Vásquez),,23,18
55,1,4:30.0,,T. Young makes 2-pt jump shot from 7 ft (assist by J. Johnson),23,20
56,1,4:10.0,G. Antetokounmpo misses 2-pt layup from 2 ft,,23,20
57,1,4:09.0,,Defensive rebound by B. Lopez,23,20
58,1,4:05.0,,T. Young makes 2-pt layup from 1 ft (assist by J. Jack),23,22
59,1,4:05.0,,Personal foul by M. Carter-Williams (drawn by T. Young),23,22
60,1,4:05.0,J. Bayless enters the game for M. Carter-Williams,,23,22
61,1,4:05.0,M. Plumlee enters the game for G. Monroe,,23,22
62,1,4:05.0,,T. Young makes free throw 1 of 1,23,23
63,1,3:43.0,,B. Lopez makes 2-pt jump shot from 16 ft,23,25
64,1,3:43.0,,Shooting foul by M. Plumlee (drawn by B. Lopez),23,25
65,1,3:43.0,,B. Lopez makes free throw 1 of 1,23,26
66,1,3:31.0,J. Bayless misses 2-pt jump shot from 12 ft (block by B. Lopez),,23,26
67,1,3:29.0,,Defensive rebound by T. Young,23,26
68,1,3:23.0,,Shooting foul by M. Plumlee (drawn by J. Jack),23,26
69,1,3:23.0,,J. Jack makes 2-pt layup from 1 ft,23,28
70,1,3:23.0,J. O'Bryant enters the game for G. Antetokounmpo,,23,28
71,1,3:23.0,,J. Jack makes free throw 1 of 1,23,29
72,1,3:07.0,Personal foul by M. Brown (drawn by J. Bayless),,23,29
73,1,3:07.0,J. Bayless misses free throw 1 of 2,,23,29
74,1,3:07.0,Offensive rebound by Team,,23,29
75,1,3:07.0,,A. Bargnani enters the game for T. Young,23,29
76,1,3:07.0,J. Bayless misses free throw 2 of 2,,23,29
77,1,3:06.0,Offensive rebound by Team,,23,29
78,1,2:51.0,M. Plumlee makes 2-pt layup from 2 ft (assist by J. Bayless),,25,29
79,1,2:33.0,,J. Jack makes 2-pt jump shot from 8 ft,25,31
80,1,2:23.0,G. Vásquez misses 3-pt jump shot from 24 ft,,25,31
81,1,2:22.0,Offensive rebound by M. Plumlee,,25,31
82,1,2:16.0,J. Bayless makes 3-pt jump shot from 23 ft (assist by M. Plumlee),,28,31
83,1,2:00.0,Offensive charge foul by B. Lopez (drawn by J. O'Bryant),,28,31
84,1,2:00.0,,Turnover by B. Lopez (offensive foul),28,31
85,1,2:00.0,Milwaukee full timeout,,28,31
86,1,1:41.0,G. Vásquez misses 2-pt jump shot from 8 ft,,28,31
87,1,1:40.0,Offensive rebound by J. O'Bryant,,28,31
88,1,1:38.0,J. O'Bryant makes 2-pt hook shot from 4 ft,,30,31
89,1,1:15.0,,A. Bargnani misses 3-pt jump shot from 26 ft,30,31
90,1,1:14.0,Defensive rebound by J. Bayless,,30,31
91,1,1:06.0,J. Bayless misses 2-pt jump shot from 10 ft,,30,31
92,1,1:05.0,,Defensive rebound by A. Bargnani,30,31
93,1,0:52.0,,A. Bargnani misses 2-pt jump shot from 19 ft,30,31
94,1,0:51.0,Defensive rebound by M. Plumlee,,30,31
95,1,0:36.0,Turnover by J. Bayless (bad pass),,30,31
96,1,0:27.0,,Turnover by B. Lopez (lost ball; steal by G. Vásquez),30,31
97,1,0:22.0,G. Vásquez misses 2-pt layup from 3 ft (block by M. Brown),,30,31
98,1,0:19.0,Offensive rebound by K. Middleton,,30,31
99,1,0:17.0,J. Bayless makes 3-pt jump shot from 23 ft (assist by K. Middleton),,33,31
100,1,0:05.0,,Personal foul by M. Plumlee (drawn by J. Jack),33,31
101,1,0:05.0,,J. Jack makes free throw 1 of 2,33,32
102,1,0:05.0,C. Copeland enters the game for M. Plumlee,,33,32
103,1,0:05.0,,R. Hollis-Jefferson enters the game for B. Lopez,33,32
104,1,0:05.0,,T. Robinson enters the game for J. Johnson,33,32
105,1,0:05.0,,B. Bogdanović enters the game for M. Brown,33,32
106,1,0:05.0,,J. Jack makes free throw 2 of 2,33,33
107,1,0:01.0,K. Middleton misses 3-pt jump shot from 27 ft,,33,33
108,1,0:00.0,Offensive rebound by Team,,33,33
109,2,11:40.0,G. Monroe makes 2-pt hook shot from 4 ft,,35,33
110,2,11:19.0,,Personal foul by G. Vásquez (drawn by B. Bogdanović),35,33
111,2,11:07.0,,B. Bogdanović makes 2-pt jump shot from 8 ft,35,35
112,2,10:48.0,J. O'Bryant misses 2-pt layup from 2 ft,,35,35
113,2,10:47.0,,Defensive rebound by B. Bogdanović,35,35
114,2,10:32.0,,A. Bargnani misses 2-pt jump shot from 6 ft,35,35
115,2,10:31.0,Defensive rebound by J. Bayless,,35,35
116,2,10:25.0,J. Bayless misses 3-pt jump shot from 26 ft,,35,35
117,2,10:24.0,,Defensive rebound by T. Robinson,35,35
118,2,10:08.0,,S. Larkin makes 2-pt jump shot from 12 ft (assist by T. Robinson),35,37
119,2,9:46.0,Turnover by G. Antetokounmpo (lost ball),,35,37
120,2,9:39.0,,Personal foul by J. Bayless (drawn by S. Larkin),35,37
121,2,9:29.0,,B. Bogdanović misses 2-pt layup from 2 ft,35,37
122,2,9:28.0,,Offensive rebound by A. Bargnani,35,37
123,2,9:27.0,,A. Bargnani misses 2-pt layup from 1 ft,35,37
124,2,9:26.0,,Offensive rebound by A. Bargnani,35,37
125,2,9:25.0,,A. Bargnani misses 2-pt layup at rim,35,37
126,2,9:24.0,,Offensive rebound by A. Bargnani,35,37
127,2,9:23.0,,Shooting foul by G. Antetokounmpo (drawn by A. Bargnani),35,37
128,2,9:23.0,,A. Bargnani makes free throw 1 of 2,35,38
129,2,9:23.0,,A. Bargnani makes free throw 2 of 2,35,39
130,2,9:02.0,J. Bayless makes 3-pt jump shot from 24 ft (assist by J. O'Bryant),,38,39
131,2,8:44.0,,S. Larkin makes 2-pt jump shot from 18 ft (assist by B. Bogdanović),38,41
132,2,8:33.0,Official timeout,,38,41
133,2,8:22.0,Shooting foul by R. Hollis-Jefferson (drawn by G. Antetokounmpo),,38,41
134,2,8:22.0,G. Antetokounmpo makes free throw 1 of 2,,39,41
135,2,8:22.0,G. Antetokounmpo makes free throw 2 of 2,,40,41
136,2,8:05.0,,T. Robinson misses 2-pt layup from 2 ft (block by J. O'Bryant),40,41
137,2,8:04.0,Defensive rebound by G. Monroe,,40,41
138,2,7:47.0,G. Antetokounmpo makes 2-pt layup from 1 ft,,42,41
139,2,7:42.0,,Turnover by T. Robinson (bad pass),42,41
140,2,7:42.0,,J. Johnson enters the game for R. Hollis-Jefferson,42,41
141,2,7:38.0,J. O'Bryant makes 2-pt jump shot from 10 ft (assist by G. Antetokounmpo),,44,41
142,2,7:17.0,,A. Bargnani misses 2-pt jump shot from 13 ft,44,41
143,2,7:16.0,Defensive rebound by G. Monroe,,44,41
144,2,7:07.0,Personal foul by T. Robinson (drawn by G. Monroe),,44,41
145,2,7:07.0,G. Monroe makes free throw 1 of 2,,45,41
146,2,7:07.0,,T. Young enters the game for A. Bargnani,45,41
147,2,7:07.0,,B. Lopez enters the game for T. Robinson,45,41
148,2,7:07.0,G. Monroe makes free throw 2 of 2,,46,41
149,2,6:58.0,,Turnover by S. Larkin (bad pass),46,41
150,2,6:40.0,G. Monroe makes 2-pt jump shot from 6 ft,,48,41
151,2,6:23.0,,B. Lopez misses 2-pt hook shot from 5 ft,48,41
152,2,6:22.0,,Offensive rebound by Team,48,41
153,2,6:22.0,K. Middleton enters the game for G. Antetokounmpo,,48,41
154,2,6:22.0,,Brooklyn full timeout,48,41
155,2,6:18.0,,B. Bogdanović misses 2-pt jump shot from 16 ft,48,41
156,2,6:17.0,,Offensive rebound by J. Johnson,48,41
157,2,6:15.0,,J. Johnson misses 2-pt layup from 1 ft,48,41
158,2,6:14.0,Defensive rebound by G. Monroe,,48,41
159,2,6:06.0,J. Bayless misses 3-pt jump shot from 23 ft,,48,41
160,2,6:05.0,,Defensive rebound by B. Lopez,48,41
161,2,5:54.0,,B. Bogdanović makes 2-pt jump shot from 9 ft,48,43
162,2,5:43.0,J. Bayless makes 2-pt dunk at rim (assist by G. Vásquez),,50,43
163,2,5:22.0,Offensive charge foul by S. Larkin (drawn by J. O'Bryant),,50,43
164,2,5:22.0,,Turnover by S. Larkin (offensive foul),50,43
165,2,5:22.0,,J. Jack enters the game for S. Larkin,50,43
166,2,5:09.0,K. Middleton makes 2-pt jump shot from 16 ft (assist by G. Vásquez),,52,43
167,2,4:52.0,,Turnover by J. Jack (lost ball),52,43
168,2,4:35.0,G. Vásquez misses 2-pt jump shot from 18 ft,,52,43
169,2,4:34.0,,Defensive rebound by J. Johnson,52,43
170,2,4:24.0,,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by J. Jack),52,46
171,2,4:09.0,G. Vásquez misses 3-pt jump shot from 25 ft,,52,46
172,2,4:07.0,,Defensive rebound by T. Young,52,46
173,2,4:01.0,,Turnover by T. Young (lost ball; steal by G. Monroe),52,46
174,2,3:57.0,,Loose ball foul by T. Young (drawn by J. Bayless),52,46
175,2,3:57.0,M. Carter-Williams enters the game for G. Vásquez,,52,46
176,2,3:57.0,G. Antetokounmpo enters the game for J. O'Bryant,,52,46
177,2,3:35.0,G. Antetokounmpo misses 3-pt jump shot from 26 ft,,52,46
178,2,3:34.0,,Defensive rebound by J. Johnson,52,46
179,2,3:27.0,,J. Johnson misses 3-pt jump shot from 26 ft,52,46
180,2,3:25.0,,Offensive rebound by T. Young,52,46
181,2,3:23.0,,T. Young misses 2-pt layup from 3 ft (block by G. Antetokounmpo),52,46
182,2,3:22.0,Defensive rebound by G. Monroe,,52,46
183,2,3:15.0,J. Bayless misses 3-pt jump shot from 24 ft,,52,46
184,2,3:14.0,Offensive rebound by G. Antetokounmpo,,52,46
185,2,3:01.0,,M. Brown enters the game for T. Young,52,46
186,2,2:59.0,G. Antetokounmpo makes 2-pt layup from 3 ft (assist by M. Carter-Williams),,54,46
187,2,2:47.0,,Turnover by J. Jack (lost ball; steal by K. Middleton),54,46
188,2,2:41.0,G. Antetokounmpo makes 2-pt layup at rim (assist by K. Middleton),,56,46
189,2,2:39.0,,Brooklyn full timeout,56,46
190,2,2:39.0,Milwaukee full timeout,,56,46
191,2,2:29.0,,B. Lopez misses 2-pt layup from 3 ft,56,46
192,2,2:28.0,Defensive rebound by G. Antetokounmpo,,56,46
193,2,2:06.0,G. Monroe misses 2-pt hook shot from 7 ft,,56,46
194,2,2:05.0,,Defensive rebound by M. Brown,56,46
195,2,1:53.0,,J. Johnson misses 3-pt jump shot from 23 ft,56,46
196,2,1:52.0,Defensive rebound by G. Monroe,,56,46
197,2,1:49.0,Shooting block foul by J. Jack (drawn by J. Bayless),,56,46
198,2,1:49.0,J. Bayless misses free throw 1 of 2,,56,46
199,2,1:49.0,Offensive rebound by Team,,56,46
200,2,1:49.0,,W. Ellington enters the game for J. Jack,56,46
201,2,1:49.0,J. Bayless makes free throw 2 of 2,,57,46
202,2,1:35.0,,M. Brown misses 2-pt jump shot from 19 ft,57,46
203,2,1:34.0,Defensive rebound by M. Carter-Williams,,57,46
204,2,1:29.0,G. Antetokounmpo misses 2-pt layup from 2 ft (block by B. Lopez),,57,46
205,2,1:27.0,,Defensive rebound by B. Lopez,57,46
206,2,1:21.0,,B. Bogdanović misses 2-pt jump shot from 7 ft (block by M. Carter-Williams),57,46
207,2,1:20.0,,Offensive rebound by Team,57,46
208,2,1:11.0,,Turnover by B. Bogdanović (bad pass),57,46
209,2,1:05.0,G. Monroe makes 2-pt jump shot from 17 ft (assist by J. Bayless),,59,46
210,2,0:54.0,,Personal foul by J. Bayless (drawn by B. Lopez),59,46
211,2,0:48.0,,M. Brown makes 2-pt layup from 2 ft,59,48
212,2,0:47.0,Turnover by M. Carter-Williams (traveling),,59,48
213,2,0:35.0,,B. Bogdanović misses 3-pt jump shot from 24 ft,59,48
214,2,0:34.0,Defensive rebound by G. Antetokounmpo,,59,48
215,2,0:22.0,K. Middleton misses 2-pt jump shot from 10 ft,,59,48
216,2,0:21.0,,Defensive rebound by B. Lopez,59,48
217,2,0:02.0,,B. Bogdanović misses 3-pt jump shot from 24 ft,59,48
218,2,0:01.0,Defensive rebound by K. Middleton,,59,48
219,3,11:38.0,G. Antetokounmpo misses 3-pt jump shot from 26 ft,,59,48
220,3,11:37.0,,Defensive rebound by Team,59,48
221,3,11:26.0,,Personal foul by G. Monroe (drawn by B. Lopez),59,48
222,3,11:14.0,,J. Jack makes 3-pt jump shot from 27 ft (assist by J. Johnson),59,51
223,3,10:52.0,G. Antetokounmpo misses 2-pt layup at rim,,59,51
224,3,10:50.0,Offensive rebound by G. Antetokounmpo,,59,51
225,3,10:48.0,G. Antetokounmpo misses 2-pt layup from 2 ft,,59,51
226,3,10:47.0,,Defensive rebound by B. Lopez,59,51
227,3,10:28.0,,M. Brown misses 3-pt jump shot from 25 ft,59,51
228,3,10:26.0,Defensive rebound by G. Monroe,,59,51
229,3,10:16.0,G. Monroe makes 2-pt jump shot from 17 ft (assist by M. Carter-Williams),,61,51
230,3,10:04.0,,T. Young makes 2-pt hook shot from 3 ft (assist by J. Johnson),61,53
