,QUARTER,TIME_REMAINING,DENVER_ACTION,SAN ANTONIO_ACTION,DENVER_SCORE,SAN ANTONIO_SCORE
0,1,11:46.0,,T. Duncan makes 2-pt layup from 2 ft (assist by T. Parker),0,2
1,1,11:26.0,J. Hickson misses 2-pt jump shot from 11 ft,,0,2
2,1,11:24.0,Offensive rebound by G. Harris,,0,2
3,1,11:09.0,E. Mudiay misses 2-pt jump shot from 4 ft,,0,2
4,1,11:08.0,,Defensive rebound by K. Leonard,0,2
5,1,11:03.0,,D. Green misses 3-pt jump shot from 24 ft,0,2
6,1,11:02.0,Defensive rebound by D. Gallinari,,0,2
7,1,10:51.0,K. Faried misses 2-pt jump shot from 6 ft,,0,2
8,1,10:50.0,,Defensive rebound by L. Aldridge,0,2
9,1,10:29.0,,L. Aldridge makes 2-pt jump shot from 15 ft (assist by T. Parker),0,4
10,1,10:09.0,G. Harris makes 2-pt jump shot from 15 ft (assist by K. Faried),,2,4
11,1,9:52.0,,L. Aldridge makes 2-pt jump shot from 17 ft (assist by T. Parker),2,6
12,1,9:34.0,G. Harris makes 2-pt layup from 1 ft,,4,6
13,1,9:15.0,,T. Parker misses 2-pt layup from 2 ft,4,6
14,1,9:14.0,Defensive rebound by K. Faried,,4,6
15,1,9:03.0,J. Hickson misses 2-pt jump shot from 5 ft,,4,6
16,1,9:02.0,,Defensive rebound by T. Duncan,4,6
17,1,8:51.0,,L. Aldridge misses 2-pt jump shot from 11 ft,4,6
18,1,8:50.0,,Offensive rebound by T. Duncan,4,6
19,1,8:46.0,,Turnover by D. Green (bad pass; steal by K. Faried),4,6
20,1,8:35.0,J. Hickson misses 2-pt jump shot from 5 ft (block by T. Duncan),,4,6
21,1,8:34.0,,Defensive rebound by L. Aldridge,4,6
22,1,8:24.0,,T. Parker misses 2-pt jump shot from 5 ft,4,6
23,1,8:23.0,,Offensive rebound by L. Aldridge,4,6
24,1,8:23.0,,L. Aldridge misses 2-pt layup from 3 ft,4,6
25,1,8:22.0,Defensive rebound by K. Faried,,4,6
26,1,8:08.0,J. Hickson misses 2-pt jump shot from 11 ft,,4,6
27,1,8:07.0,,Defensive rebound by Team,4,6
28,1,7:55.0,,K. Leonard makes 2-pt layup from 1 ft (assist by T. Duncan),4,8
29,1,7:54.0,Denver full timeout,,4,8
30,1,7:40.0,D. Gallinari misses 2-pt jump shot from 14 ft,,4,8
31,1,7:39.0,,Defensive rebound by D. Green,4,8
32,1,7:27.0,,L. Aldridge misses 2-pt jump shot from 18 ft,4,8
33,1,7:26.0,,Offensive rebound by T. Duncan,4,8
34,1,7:11.0,,T. Duncan makes 2-pt jump shot from 7 ft (assist by T. Parker),4,10
35,1,6:54.0,E. Mudiay misses 2-pt jump shot from 16 ft,,4,10
36,1,6:53.0,,Defensive rebound by D. Green,4,10
37,1,6:36.0,,Shooting foul by E. Mudiay (drawn by T. Parker),4,10
38,1,6:36.0,,T. Parker makes free throw 1 of 2,4,11
39,1,6:36.0,N. Jokić enters the game for J. Hickson,,4,11
40,1,6:36.0,,T. Parker makes free throw 2 of 2,4,12
41,1,6:24.0,G. Harris makes 2-pt jump shot from 2 ft (assist by K. Faried),,6,12
42,1,6:15.0,,Personal foul by K. Faried (drawn by L. Aldridge),6,12
43,1,6:08.0,,T. Parker makes 2-pt layup from 1 ft,6,14
44,1,5:56.0,Shooting foul by T. Duncan (drawn by D. Gallinari),,6,14
45,1,5:56.0,D. Gallinari makes free throw 1 of 2,,7,14
46,1,5:56.0,,K. Anderson enters the game for D. Green,7,14
47,1,5:56.0,D. Gallinari makes free throw 2 of 2,,8,14
48,1,5:42.0,,T. Parker makes 2-pt jump shot from 6 ft,8,16
49,1,5:34.0,E. Mudiay misses 2-pt jump shot from 15 ft,,8,16
50,1,5:33.0,,Defensive rebound by K. Leonard,8,16
51,1,5:22.0,,Turnover by T. Parker (bad pass; steal by G. Harris),8,16
52,1,5:18.0,Shooting foul by T. Parker (drawn by E. Mudiay),,8,16
53,1,5:18.0,E. Mudiay makes 2-pt layup from 1 ft (assist by G. Harris),,10,16
54,1,5:18.0,,B. Diaw enters the game for T. Duncan,10,16
55,1,5:18.0,E. Mudiay makes free throw 1 of 1,,11,16
56,1,5:03.0,,L. Aldridge misses 2-pt jump shot from 18 ft,11,16
57,1,5:02.0,Defensive rebound by D. Gallinari,,11,16
58,1,4:54.0,D. Gallinari misses 2-pt jump shot from 4 ft,,11,16
59,1,4:53.0,Offensive rebound by D. Gallinari,,11,16
60,1,4:52.0,D. Gallinari misses 2-pt layup from 2 ft,,11,16
61,1,4:51.0,Offensive rebound by D. Gallinari,,11,16
62,1,4:50.0,D. Gallinari misses 2-pt layup from 1 ft (block by L. Aldridge),,11,16
63,1,4:49.0,Offensive rebound by D. Gallinari,,11,16
64,1,4:49.0,Personal foul by B. Diaw (drawn by D. Gallinari),,11,16
65,1,4:41.0,G. Harris makes 3-pt jump shot from 26 ft (assist by E. Mudiay),,14,16
66,1,4:41.0,,San Antonio full timeout,14,16
67,1,4:41.0,,P. Mills enters the game for T. Parker,14,16
68,1,4:41.0,,R. Butler enters the game for K. Anderson,14,16
69,1,4:22.0,,K. Leonard misses 2-pt jump shot from 10 ft,14,16
70,1,4:20.0,Defensive rebound by K. Faried,,14,16
71,1,3:58.0,G. Harris misses 2-pt layup from 1 ft,,14,16
72,1,3:57.0,,Defensive rebound by P. Mills,14,16
73,1,3:37.0,,P. Mills makes 3-pt jump shot from 25 ft (assist by L. Aldridge),14,19
74,1,3:27.0,E. Mudiay misses 2-pt jump shot from 7 ft,,14,19
75,1,3:26.0,Offensive rebound by N. Jokić,,14,19
76,1,3:25.0,N. Jokić misses 2-pt layup from 1 ft,,14,19
77,1,3:24.0,Offensive rebound by N. Jokić,,14,19
78,1,3:23.0,N. Jokić misses 2-pt layup from 1 ft (block by P. Mills),,14,19
79,1,3:22.0,,Defensive rebound by K. Leonard,14,19
80,1,3:01.0,,R. Butler makes 3-pt jump shot from 25 ft (assist by P. Mills),14,22
81,1,2:52.0,Denver full timeout,,14,22
82,1,2:52.0,D. Arthur enters the game for K. Faried,,14,22
83,1,2:52.0,J. Nelson enters the game for E. Mudiay,,14,22
84,1,2:45.0,N. Jokić makes 2-pt jump shot from 8 ft (assist by J. Nelson),,16,22
85,1,2:30.0,,B. Diaw misses 2-pt jump shot from 6 ft,16,22
86,1,2:30.0,,Offensive rebound by L. Aldridge,16,22
87,1,2:30.0,,Shooting foul by J. Nelson (drawn by L. Aldridge),16,22
88,1,2:30.0,,L. Aldridge makes free throw 1 of 2,16,23
89,1,2:30.0,W. Barton enters the game for G. Harris,,16,23
90,1,2:30.0,,L. Aldridge makes free throw 2 of 2,16,24
91,1,2:15.0,N. Jokić makes 2-pt layup from 1 ft (assist by W. Barton),,18,24
92,1,1:59.0,,P. Mills makes 3-pt jump shot from 25 ft (assist by R. Butler),18,27
93,1,1:41.0,N. Jokić makes 2-pt layup from 1 ft (assist by D. Gallinari),,20,27
94,1,1:25.0,,Personal foul by N. Jokić (drawn by L. Aldridge),20,27
95,1,1:25.0,,D. Green enters the game for K. Leonard,20,27
96,1,1:25.0,,D. West enters the game for L. Aldridge,20,27
97,1,1:25.0,R. Foye enters the game for D. Gallinari,,20,27
98,1,1:10.0,,D. Green misses 2-pt jump shot from 18 ft,20,27
99,1,1:09.0,Defensive rebound by W. Barton,,20,27
100,1,0:59.0,D. Arthur misses 2-pt jump shot from 16 ft,,20,27
101,1,0:58.0,,Defensive rebound by R. Butler,20,27
102,1,0:48.0,,Turnover by B. Diaw (bad pass; steal by N. Jokić),20,27
103,1,0:41.0,D. Arthur misses 2-pt jump shot from 6 ft,,20,27
104,1,0:40.0,Offensive rebound by N. Jokić,,20,27
105,1,0:40.0,Shooting foul by D. Green (drawn by N. Jokić),,20,27
106,1,0:40.0,N. Jokić makes free throw 1 of 2,,21,27
107,1,0:40.0,N. Jokić makes free throw 2 of 2,,22,27
108,1,0:33.0,,P. Mills makes 2-pt jump shot from 17 ft,22,29
109,1,0:17.0,Turnover by R. Foye (bad pass; steal by P. Mills),,22,29
110,1,0:14.0,,Shooting foul by N. Jokić (drawn by D. Green),22,29
111,1,0:14.0,,D. Green makes free throw 1 of 2,22,30
112,1,0:14.0,,D. Green makes free throw 2 of 2,22,31
113,1,0:03.0,J. Nelson misses 2-pt jump shot from 22 ft,,22,31
114,1,0:02.0,Offensive rebound by D. Arthur,,22,31
115,1,0:01.0,D. Arthur makes 2-pt layup at rim,,24,31
116,1,0:00.0,,D. Green misses 3-pt jump shot from 62 ft,24,31
117,1,0:00.0,,Offensive rebound by Team,24,31
118,2,11:41.0,D. Arthur makes 2-pt jump shot from 16 ft (assist by W. Barton),,26,31
119,2,11:22.0,,P. Mills makes 2-pt jump shot from 16 ft (assist by R. Butler),26,33
120,2,11:13.0,W. Barton misses 2-pt jump shot from 16 ft,,26,33
121,2,11:12.0,,Defensive rebound by P. Mills,26,33
122,2,11:02.0,,P. Mills misses 2-pt jump shot from 17 ft,26,33
123,2,11:01.0,Defensive rebound by N. Jokić,,26,33
124,2,10:51.0,N. Jokić misses 2-pt layup from 2 ft,,26,33
125,2,10:50.0,,Defensive rebound by D. West,26,33
126,2,10:34.0,,B. Diaw makes 2-pt layup from 1 ft,26,35
127,2,10:19.0,R. Foye misses 2-pt jump shot from 22 ft,,26,35
128,2,10:18.0,,Defensive rebound by P. Mills,26,35
129,2,10:01.0,,P. Mills makes 3-pt jump shot from 23 ft (assist by R. Butler),26,38
130,2,10:00.0,Denver full timeout,,26,38
131,2,9:42.0,J. Nelson makes 3-pt jump shot from 24 ft (assist by W. Barton),,29,38
132,2,9:21.0,,D. West makes 2-pt jump shot from 13 ft (assist by D. Green),29,40
133,2,9:09.0,W. Barton misses 2-pt jump shot from 8 ft,,29,40
134,2,9:08.0,Offensive rebound by W. Barton,,29,40
135,2,9:06.0,W. Barton makes 2-pt layup from 2 ft,,31,40
136,2,9:00.0,,Turnover by P. Mills (lost ball; steal by W. Barton),31,40
137,2,8:56.0,W. Barton makes 2-pt dunk at rim,,33,40
138,2,8:43.0,,Personal foul by W. Barton (drawn by P. Mills),33,40
139,2,8:34.0,,D. West makes 2-pt jump shot from 6 ft (assist by D. Green),33,42
140,2,8:34.0,,Shooting foul by D. Arthur (drawn by D. West),33,42
141,2,8:34.0,,K. Leonard enters the game for R. Butler,33,42
142,2,8:34.0,,D. West makes free throw 1 of 1,33,43
143,2,8:20.0,D. Arthur misses 2-pt jump shot from 16 ft,,33,43
144,2,8:19.0,,Defensive rebound by K. Leonard,33,43
145,2,8:03.0,,K. Leonard misses 2-pt jump shot from 15 ft,33,43
146,2,8:02.0,Defensive rebound by N. Jokić,,33,43
147,2,7:54.0,J. Nelson misses 2-pt jump shot from 4 ft,,33,43
148,2,7:52.0,Offensive rebound by N. Jokić,,33,43
149,2,7:52.0,N. Jokić makes 2-pt jump shot at rim,,35,43
150,2,7:32.0,,P. Mills misses 2-pt jump shot from 20 ft,35,43
151,2,7:30.0,Defensive rebound by D. Arthur,,35,43
152,2,7:22.0,W. Barton makes 2-pt jump shot from 6 ft,,37,43
153,2,7:22.0,,San Antonio full timeout,37,43
154,2,7:22.0,,T. Parker enters the game for P. Mills,37,43
155,2,7:22.0,,T. Duncan enters the game for B. Diaw,37,43
156,2,7:11.0,,Def 3 sec tech foul by N. Jokić,37,43
157,2,7:11.0,,K. Leonard makes technical free throw,37,44
158,2,7:02.0,,T. Parker makes 2-pt layup from 2 ft (assist by T. Duncan),37,46
159,2,6:53.0,Personal foul by K. Leonard (drawn by W. Barton),,37,46
160,2,6:35.0,D. Arthur makes 3-pt jump shot from 24 ft (assist by R. Foye),,40,46
161,2,6:23.0,,Personal foul by R. Foye (drawn by T. Duncan),40,46
162,2,6:23.0,,L. Aldridge enters the game for D. West,40,46
163,2,6:23.0,E. Mudiay enters the game for J. Nelson,,40,46
164,2,6:05.0,,K. Leonard makes 3-pt jump shot from 24 ft (assist by D. Green),40,49
165,2,5:51.0,W. Barton misses 2-pt jump shot from 6 ft,,40,49
166,2,5:50.0,Offensive rebound by N. Jokić,,40,49
167,2,5:50.0,N. Jokić makes 2-pt jump shot at rim,,42,49
168,2,5:33.0,,T. Duncan makes 2-pt layup from 1 ft (assist by T. Parker),42,51
169,2,5:18.0,Turnover by D. Arthur (bad pass; steal by T. Duncan),,42,51
170,2,5:10.0,,K. Leonard makes 3-pt jump shot from 24 ft (assist by T. Parker),42,54
171,2,5:10.0,Denver full timeout,,42,54
172,2,5:10.0,,P. Mills enters the game for D. Green,42,54
173,2,5:10.0,J. Hickson enters the game for N. Jokić,,42,54
174,2,5:10.0,D. Gallinari enters the game for D. Arthur,,42,54
175,2,5:10.0,K. Faried enters the game for R. Foye,,42,54
176,2,4:47.0,E. Mudiay misses 2-pt jump shot from 7 ft (block by T. Duncan),,42,54
177,2,4:46.0,,Defensive rebound by T. Duncan,42,54
178,2,4:37.0,,Turnover by T. Parker (bad pass; steal by J. Hickson),42,54
179,2,4:31.0,W. Barton makes 2-pt jump shot from 9 ft,,44,54
180,2,4:10.0,,T. Duncan makes 2-pt jump shot from 17 ft (assist by K. Leonard),44,56
181,2,4:00.0,Shooting foul by T. Duncan (drawn by J. Hickson),,44,56
182,2,4:00.0,J. Hickson makes free throw 1 of 2,,45,56
183,2,4:00.0,G. Harris enters the game for W. Barton,,45,56
184,2,4:00.0,J. Hickson makes free throw 2 of 2,,46,56
185,2,3:40.0,,T. Duncan misses 2-pt jump shot from 6 ft,46,56
186,2,3:39.0,Defensive rebound by E. Mudiay,,46,56
187,2,3:32.0,K. Faried misses 2-pt jump shot from 8 ft (block by L. Aldridge),,46,56
188,2,3:30.0,Offensive rebound by E. Mudiay,,46,56
189,2,3:14.0,J. Hickson makes 2-pt jump shot from 3 ft,,48,56
190,2,3:06.0,,Shooting foul by J. Hickson (drawn by T. Parker),48,56
191,2,3:06.0,,T. Parker misses free throw 1 of 2,48,56
192,2,3:06.0,,Offensive rebound by Team,48,56
193,2,3:06.0,,T. Parker makes free throw 2 of 2,48,57
194,2,2:49.0,K. Faried makes 2-pt hook shot from 6 ft (assist by E. Mudiay),,50,57
195,2,2:34.0,,T. Duncan makes 2-pt layup from 2 ft (assist by T. Parker),50,59
196,2,2:23.0,K. Faried makes 2-pt dunk at rim (assist by E. Mudiay),,52,59
197,2,2:08.0,,T. Parker misses 2-pt jump shot from 15 ft,52,59
198,2,2:07.0,Defensive rebound by J. Hickson,,52,59
199,2,1:56.0,E. Mudiay misses 2-pt jump shot from 15 ft,,52,59
200,2,1:55.0,,Defensive rebound by L. Aldridge,52,59
201,2,1:48.0,,T. Duncan misses 2-pt jump shot from 4 ft (block by D. Gallinari),52,59
202,2,1:47.0,Defensive rebound by K. Faried,,52,59
203,2,1:42.0,Shooting foul by L. Aldridge (drawn by G. Harris),,52,59
204,2,1:42.0,G. Harris makes free throw 1 of 2,,53,59
205,2,1:42.0,G. Harris makes free throw 2 of 2,,54,59
