,QUARTER,TIME_REMAINING,DENVER_ACTION,ORLANDO_ACTION,DENVER_SCORE,ORLANDO_SCORE
0,1,11:47.0,N. Jokić makes 2-pt layup from 2 ft (assist by G. Harris),,2,0
1,1,11:32.0,,V. Oladipo misses 2-pt jump shot from 21 ft,2,0
2,1,11:31.0,,Offensive rebound by B. Jennings,2,0
3,1,11:20.0,,E. Fournier makes 2-pt jump shot from 7 ft,2,2
4,1,10:58.0,E. Mudiay misses 2-pt layup from 2 ft,,2,2
5,1,10:56.0,,Defensive rebound by A. Gordon,2,2
6,1,10:49.0,,Personal foul by J. Sampson,2,2
7,1,10:34.0,,D. Dedmon misses 2-pt jump shot from 11 ft,2,2
8,1,10:33.0,,Offensive rebound by A. Gordon,2,2
9,1,10:23.0,,A. Gordon makes 2-pt jump shot from 18 ft,2,4
10,1,10:11.0,Turnover by G. Harris (lost ball),,2,4
11,1,10:03.0,,E. Fournier misses 3-pt jump shot from 24 ft,2,4
12,1,10:02.0,Defensive rebound by E. Mudiay,,2,4
13,1,9:50.0,K. Faried makes 2-pt layup from 1 ft (assist by N. Jokić),,4,4
14,1,9:32.0,,A. Gordon makes 3-pt jump shot from 24 ft (assist by B. Jennings),4,7
15,1,9:30.0,Denver full timeout,,4,7
16,1,9:13.0,Turnover by N. Jokić (lost ball; steal by D. Dedmon),,4,7
17,1,9:08.0,,V. Oladipo makes 2-pt dunk at rim,4,9
18,1,8:54.0,J. Sampson makes 2-pt dunk at rim (assist by K. Faried),,6,9
19,1,8:35.0,,A. Gordon makes 2-pt jump shot from 16 ft (assist by B. Jennings),6,11
20,1,8:18.0,G. Harris misses 2-pt layup from 2 ft,,6,11
21,1,8:16.0,Offensive rebound by N. Jokić,,6,11
22,1,8:16.0,N. Jokić makes 2-pt layup from 1 ft,,8,11
23,1,7:58.0,,A. Gordon makes 2-pt dunk at rim (assist by V. Oladipo),8,13
24,1,7:36.0,N. Jokić makes 3-pt jump shot from 24 ft (assist by E. Mudiay),,11,13
25,1,7:22.0,,D. Dedmon misses 2-pt layup from 2 ft,11,13
26,1,7:21.0,Defensive rebound by K. Faried,,11,13
27,1,7:11.0,Turnover by J. Sampson (bad pass; steal by B. Jennings),,11,13
28,1,7:07.0,,B. Jennings makes 2-pt layup from 1 ft,11,15
29,1,6:50.0,E. Mudiay misses 3-pt jump shot from 24 ft,,11,15
30,1,6:48.0,Offensive rebound by K. Faried,,11,15
31,1,6:46.0,K. Faried makes 2-pt layup from 2 ft,,13,15
32,1,6:31.0,,A. Gordon makes 3-pt jump shot from 23 ft (assist by E. Fournier),13,18
33,1,6:17.0,J. Sampson misses 3-pt jump shot from 23 ft,,13,18
34,1,6:15.0,Offensive rebound by N. Jokić,,13,18
35,1,6:15.0,Shooting foul by D. Dedmon (drawn by K. Faried),,13,18
36,1,6:15.0,K. Faried misses free throw 1 of 2,,13,18
37,1,6:15.0,Offensive rebound by Team,,13,18
38,1,6:15.0,J. Lauvergne enters the game for N. Jokić,,13,18
39,1,6:15.0,A. Toupane enters the game for J. Sampson,,13,18
40,1,6:15.0,K. Faried makes free throw 2 of 2,,14,18
41,1,6:06.0,D. Arthur enters the game for K. Faried,,14,18
42,1,5:59.0,,E. Fournier makes 3-pt jump shot from 24 ft (assist by B. Jennings),14,21
43,1,5:41.0,J. Lauvergne misses 2-pt hook shot from 7 ft,,14,21
44,1,5:40.0,,Defensive rebound by Team,14,21
45,1,5:40.0,,J. Smith enters the game for D. Dedmon,14,21
46,1,5:29.0,,E. Fournier makes 2-pt layup from 2 ft (assist by V. Oladipo),14,23
47,1,5:28.0,Denver full timeout,,14,23
48,1,5:28.0,D. Augustin enters the game for G. Harris,,14,23
49,1,5:28.0,W. Barton enters the game for E. Mudiay,,14,23
50,1,5:10.0,D. Arthur makes 2-pt jump shot from 17 ft (assist by D. Augustin),,16,23
51,1,4:46.0,,E. Fournier makes 3-pt jump shot from 24 ft,16,26
52,1,4:22.0,D. Augustin misses 2-pt layup from 2 ft (block by V. Oladipo),,16,26
53,1,4:19.0,,Defensive rebound by J. Smith,16,26
54,1,4:12.0,,B. Jennings misses 3-pt jump shot from 22 ft,16,26
55,1,4:11.0,Defensive rebound by A. Toupane,,16,26
56,1,3:56.0,A. Toupane makes 3-pt jump shot from 23 ft (assist by J. Lauvergne),,19,26
57,1,3:39.0,,J. Smith makes 2-pt jump shot from 19 ft (assist by V. Oladipo),19,28
58,1,3:25.0,Turnover by D. Augustin (bad pass),,19,28
59,1,3:25.0,,E. İlyasova enters the game for A. Gordon,19,28
60,1,3:25.0,,C. Watson enters the game for B. Jennings,19,28
61,1,3:11.0,,J. Smith misses 2-pt jump shot from 20 ft,19,28
62,1,3:10.0,Defensive rebound by D. Arthur,,19,28
63,1,3:00.0,J. Lauvergne makes 2-pt hook shot from 8 ft,,21,28
64,1,2:39.0,,J. Smith misses 2-pt layup from 1 ft,21,28
65,1,2:38.0,Defensive rebound by J. Lauvergne,,21,28
66,1,2:36.0,,M. Hezonja enters the game for E. Fournier,21,28
67,1,2:26.0,J. Lauvergne makes 2-pt jump shot from 4 ft (assist by D. Augustin),,23,28
68,1,2:05.0,,J. Smith makes 2-pt jump shot from 10 ft (assist by M. Hezonja),23,30
69,1,1:48.0,W. Barton makes 2-pt dunk at rim (assist by D. Augustin),,25,30
70,1,1:30.0,,V. Oladipo makes 2-pt jump shot from 20 ft,25,32
71,1,1:15.0,A. Toupane misses 3-pt jump shot from 23 ft,,25,32
72,1,1:15.0,,Defensive rebound by Team,25,32
73,1,1:15.0,Loose ball foul by J. Lauvergne,,25,32
74,1,1:15.0,,Orlando full timeout,25,32
75,1,1:00.0,,M. Hezonja misses 3-pt jump shot from 25 ft,25,32
76,1,0:59.0,Defensive rebound by D. Arthur,,25,32
77,1,0:51.0,A. Toupane misses 2-pt jump shot from 11 ft,,25,32
78,1,0:49.0,,Defensive rebound by E. İlyasova,25,32
79,1,0:36.0,,J. Smith misses 2-pt jump shot from 13 ft,25,32
80,1,0:35.0,Defensive rebound by J. Lauvergne,,25,32
81,1,0:22.0,D. Augustin misses 2-pt layup from 1 ft,,25,32
82,1,0:20.0,,Defensive rebound by J. Smith,25,32
83,1,0:15.0,,V. Oladipo misses 3-pt jump shot from 24 ft,25,32
84,1,0:13.0,Defensive rebound by D. Augustin,,25,32
85,1,0:12.0,Personal take foul by C. Watson,,25,32
86,1,0:00.0,W. Barton misses 2-pt jump shot from 21 ft,,25,32
87,1,0:00.0,Offensive rebound by Team,,25,32
88,2,11:47.0,,J. Smith makes 2-pt jump shot from 11 ft (assist by M. Hezonja),25,34
89,2,11:24.0,J. Lauvergne makes 2-pt hook shot from 7 ft (assist by D. Arthur),,27,34
90,2,10:57.0,,C. Watson misses 3-pt jump shot from 23 ft,27,34
91,2,10:55.0,Defensive rebound by D. Arthur,,27,34
92,2,10:40.0,D. Arthur misses 3-pt jump shot from 24 ft,,27,34
93,2,10:38.0,,Defensive rebound by M. Hezonja,27,34
94,2,10:30.0,,E. İlyasova makes 2-pt layup from 1 ft (assist by C. Watson),27,36
95,2,10:16.0,A. Toupane misses 2-pt jump shot from 19 ft,,27,36
96,2,10:14.0,,Defensive rebound by J. Smith,27,36
97,2,9:59.0,,E. Fournier misses 2-pt jump shot from 7 ft,27,36
98,2,9:57.0,Defensive rebound by J. Lauvergne,,27,36
99,2,9:47.0,D. Arthur makes 2-pt layup from 1 ft (assist by D. Augustin),,29,36
100,2,9:38.0,,C. Watson misses 2-pt jump shot from 16 ft,29,36
101,2,9:37.0,Defensive rebound by D. Augustin,,29,36
102,2,9:26.0,D. Arthur misses 2-pt jump shot from 16 ft,,29,36
103,2,9:24.0,Offensive rebound by W. Barton,,29,36
104,2,9:21.0,Shooting foul by J. Smith (drawn by W. Barton),,29,36
105,2,9:21.0,W. Barton makes free throw 1 of 2,,30,36
106,2,9:21.0,W. Barton makes free throw 2 of 2,,31,36
107,2,9:05.0,,E. Fournier makes 3-pt jump shot from 22 ft (assist by C. Watson),31,39
108,2,8:47.0,Shooting foul by J. Smith (drawn by W. Barton),,31,39
109,2,8:47.0,Official timeout,,31,39
110,2,8:47.0,,D. Dedmon enters the game for J. Smith,31,39
111,2,8:47.0,W. Barton makes free throw 1 of 2,,32,39
112,2,8:47.0,W. Barton makes free throw 2 of 2,,33,39
113,2,8:33.0,,Turnover by E. Fournier (lost ball),33,39
114,2,8:17.0,J. Lauvergne makes 2-pt hook shot from 5 ft,,35,39
115,2,7:51.0,,C. Watson makes 2-pt layup from 1 ft (assist by M. Hezonja),35,41
116,2,7:32.0,Turnover by D. Augustin (bad pass),,35,41
117,2,7:18.0,,E. Fournier makes 2-pt jump shot from 21 ft,35,43
118,2,7:03.0,W. Barton makes 2-pt layup from 2 ft,,37,43
119,2,6:54.0,,M. Hezonja misses 3-pt jump shot from 26 ft,37,43
120,2,6:52.0,Defensive rebound by J. Lauvergne,,37,43
121,2,6:43.0,Turnover by W. Barton (lost ball; steal by M. Hezonja),,37,43
122,2,6:36.0,,M. Hezonja makes 2-pt layup from 2 ft,37,45
123,2,6:16.0,D. Arthur misses 3-pt jump shot from 24 ft,,37,45
124,2,6:15.0,,Defensive rebound by M. Hezonja,37,45
125,2,6:13.0,,Turnover by M. Hezonja (lost ball; steal by D. Augustin),37,45
126,2,6:05.0,W. Barton makes 2-pt dunk at rim (assist by D. Arthur),,39,45
127,2,5:50.0,,C. Watson misses 2-pt jump shot from 19 ft,39,45
128,2,5:49.0,Defensive rebound by J. Lauvergne,,39,45
129,2,5:40.0,J. Lauvergne misses 3-pt jump shot from 24 ft,,39,45
130,2,5:39.0,,Defensive rebound by D. Dedmon,39,45
131,2,5:35.0,,Shooting foul by D. Arthur (drawn by E. İlyasova),39,45
132,2,5:35.0,,Orlando full timeout,39,45
133,2,5:35.0,,V. Oladipo enters the game for M. Hezonja,39,45
134,2,5:35.0,N. Jokić enters the game for J. Lauvergne,,39,45
135,2,5:35.0,G. Harris enters the game for A. Toupane,,39,45
136,2,5:35.0,E. Mudiay enters the game for D. Augustin,,39,45
137,2,5:35.0,,E. İlyasova misses free throw 1 of 2,39,45
138,2,5:35.0,,Offensive rebound by Team,39,45
139,2,5:35.0,,E. İlyasova makes free throw 2 of 2,39,46
140,2,5:26.0,Turnover by E. Mudiay (bad pass),,39,46
141,2,5:26.0,,A. Gordon enters the game for E. İlyasova,39,46
142,2,5:12.0,,V. Oladipo makes 2-pt jump shot from 9 ft,39,48
143,2,4:45.0,D. Arthur makes 2-pt jump shot from 11 ft,,41,48
144,2,4:35.0,,Turnover by C. Watson (bad pass; steal by N. Jokić),41,48
145,2,4:24.0,G. Harris makes 2-pt jump shot from 5 ft,,43,48
146,2,4:24.0,Shooting foul by A. Gordon (drawn by G. Harris),,43,48
147,2,4:24.0,,B. Jennings enters the game for C. Watson,43,48
148,2,4:24.0,G. Harris makes free throw 1 of 1,,44,48
149,2,4:00.0,,V. Oladipo makes 2-pt jump shot from 18 ft (assist by B. Jennings),44,50
150,2,3:49.0,W. Barton misses 2-pt dunk at rim (block by V. Oladipo),,44,50
151,2,3:47.0,,Defensive rebound by E. Fournier,44,50
152,2,3:38.0,,Turnover by B. Jennings (bad pass; steal by D. Arthur),44,50
153,2,3:32.0,G. Harris misses 3-pt jump shot from 23 ft,,44,50
154,2,3:31.0,,Defensive rebound by Team,44,50
155,2,3:19.0,,V. Oladipo makes 2-pt jump shot from 20 ft (assist by B. Jennings),44,52
156,2,3:01.0,E. Mudiay misses 2-pt jump shot from 11 ft,,44,52
157,2,3:00.0,,Defensive rebound by E. Fournier,44,52
158,2,2:53.0,,Personal foul by W. Barton,44,52
159,2,2:53.0,Denver full timeout,,44,52
160,2,2:53.0,K. Faried enters the game for D. Arthur,,44,52
161,2,2:35.0,,B. Jennings makes 2-pt jump shot from 14 ft,44,54
162,2,2:03.0,N. Jokić misses 2-pt jump shot from 19 ft,,44,54
163,2,2:01.0,,Defensive rebound by V. Oladipo,44,54
164,2,1:55.0,,E. Fournier makes 3-pt jump shot from 26 ft (assist by B. Jennings),44,57
