,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,HOUSTON_ACTION,LA LAKERS_SCORE,HOUSTON_SCORE
0,1,11:36.0,,Turnover by T. Ariza (step out of bounds),0,0
1,1,11:20.0,Turnover by D. Russell (bad pass; steal by J. Harden),,0,0
2,1,11:15.0,,J. Harden makes 2-pt layup from 1 ft,0,2
3,1,10:57.0,R. Hibbert makes 2-pt jump shot from 17 ft (assist by J. Randle),,2,2
4,1,10:46.0,,Shooting foul by R. Hibbert (drawn by D. Howard),2,2
5,1,10:46.0,,D. Howard makes free throw 1 of 2,2,3
6,1,10:46.0,,D. Howard misses free throw 2 of 2,2,3
7,1,10:45.0,,Offensive rebound by D. Motiejūnas,2,3
8,1,10:41.0,,Turnover by J. Harden (back court),2,3
9,1,10:26.0,Turnover by J. Randle (bad pass),,2,3
10,1,10:19.0,,T. Ariza misses 3-pt jump shot from 22 ft,2,3
11,1,10:18.0,,Offensive rebound by D. Motiejūnas,2,3
12,1,10:18.0,,D. Motiejūnas misses 2-pt layup from 1 ft,2,3
13,1,10:17.0,Defensive rebound by J. Randle,,2,3
14,1,10:09.0,Turnover by J. Randle (bad pass; steal by D. Howard),,2,3
15,1,10:04.0,,D. Motiejūnas makes 2-pt dunk at rim (assist by J. Harden),2,5
16,1,9:45.0,K. Bryant misses 3-pt jump shot from 23 ft,,2,5
17,1,9:45.0,,Defensive rebound by D. Motiejūnas,2,5
18,1,9:34.0,,D. Howard makes 2-pt dunk at rim (assist by D. Motiejūnas),2,7
19,1,9:21.0,Personal foul by D. Howard,,2,7
20,1,9:13.0,J. Clarkson misses 3-pt jump shot from 24 ft,,2,7
21,1,9:12.0,,Defensive rebound by D. Howard,2,7
22,1,8:55.0,,P. Beverley makes 2-pt layup at rim (assist by J. Harden),2,9
23,1,8:40.0,K. Bryant makes 2-pt layup at rim,,4,9
24,1,8:33.0,,D. Motiejūnas misses 2-pt hook shot from 7 ft,4,9
25,1,8:32.0,Defensive rebound by J. Randle,,4,9
26,1,8:26.0,K. Bryant makes 3-pt jump shot from 25 ft (assist by J. Clarkson),,7,9
27,1,8:10.0,,J. Harden misses 2-pt jump shot from 17 ft,7,9
28,1,8:09.0,Defensive rebound by K. Bryant,,7,9
29,1,7:59.0,K. Bryant misses 2-pt jump shot from 13 ft,,7,9
30,1,7:58.0,,Defensive rebound by D. Howard,7,9
31,1,7:53.0,,Turnover by T. Ariza (step out of bounds),7,9
32,1,7:35.0,Turnover by J. Randle (offensive foul),,7,9
33,1,7:35.0,,Offensive charge foul by J. Randle (drawn by D. Motiejūnas),7,9
34,1,7:18.0,,D. Motiejūnas misses 2-pt layup from 2 ft,7,9
35,1,7:18.0,Defensive rebound by R. Hibbert,,7,9
36,1,7:05.0,J. Randle makes 2-pt jump shot from 18 ft (assist by R. Hibbert),,9,9
37,1,6:43.0,,Turnover by J. Harden (bad pass; steal by R. Hibbert),9,9
38,1,6:35.0,K. Bryant misses 2-pt layup from 1 ft,,9,9
39,1,6:34.0,,Defensive rebound by D. Howard,9,9
40,1,6:26.0,,D. Motiejūnas makes 2-pt jump shot from 8 ft (assist by T. Ariza),9,11
41,1,6:10.0,Personal block foul by D. Motiejūnas,,9,11
42,1,6:10.0,M. Huertas enters the game for J. Clarkson,,9,11
43,1,6:10.0,,M. Beasley enters the game for D. Motiejūnas,9,11
44,1,6:03.0,Turnover by D. Russell (bad pass; steal by J. Harden),,9,11
45,1,5:58.0,,T. Ariza makes 2-pt dunk at rim (assist by P. Beverley),9,13
46,1,5:36.0,K. Bryant makes 2-pt jump shot from 10 ft,,11,13
47,1,5:21.0,,T. Ariza misses 3-pt jump shot from 23 ft,11,13
48,1,5:20.0,Defensive rebound by J. Randle,,11,13
49,1,5:11.0,M. Huertas makes 2-pt layup from 2 ft (assist by J. Randle),,13,13
50,1,5:11.0,,Houston full timeout,13,13
51,1,5:11.0,,C. Capela enters the game for D. Howard,13,13
52,1,4:54.0,,J. Harden misses 2-pt jump shot from 16 ft,13,13
53,1,4:53.0,Defensive rebound by J. Randle,,13,13
54,1,4:29.0,D. Russell misses 2-pt jump shot from 15 ft,,13,13
55,1,4:28.0,,Defensive rebound by M. Beasley,13,13
56,1,4:12.0,,J. Harden makes 3-pt jump shot from 24 ft,13,16
57,1,3:58.0,Shooting foul by J. Harden (drawn by K. Bryant),,13,16
58,1,3:58.0,K. Bryant makes free throw 1 of 3,,14,16
59,1,3:58.0,K. Bryant makes free throw 2 of 3,,15,16
60,1,3:58.0,,J. Terry enters the game for P. Beverley,15,16
61,1,3:58.0,K. Bryant makes free throw 3 of 3,,16,16
62,1,3:48.0,,J. Harden makes 2-pt jump shot from 8 ft,16,18
63,1,3:48.0,,Shooting foul by J. Randle (drawn by J. Harden),16,18
64,1,3:48.0,L. Nance enters the game for R. Hibbert,,16,18
65,1,3:48.0,T. Black enters the game for J. Randle,,16,18
66,1,3:48.0,,J. Harden makes free throw 1 of 1,16,19
67,1,3:23.0,Turnover by Team (shot clock),,16,19
68,1,3:18.0,,Turnover by J. Terry (bad pass; steal by D. Russell),16,19
69,1,3:16.0,,Violation by J. Terry (kicked ball),16,19
70,1,3:09.0,T. Black makes 2-pt dunk at rim (assist by L. Nance),,18,19
71,1,2:54.0,,M. Beasley misses 2-pt layup from 2 ft (block by T. Black),18,19
72,1,2:52.0,,Offensive rebound by M. Beasley,18,19
73,1,2:51.0,,M. Beasley makes 2-pt jump shot from 16 ft,18,21
74,1,2:30.0,K. Bryant misses 3-pt jump shot from 23 ft,,18,21
75,1,2:29.0,Offensive rebound by L. Nance,,18,21
76,1,2:29.0,L. Nance makes 2-pt layup at rim,,20,21
77,1,2:19.0,,J. Terry makes 3-pt jump shot from 23 ft (assist by J. Harden),20,24
78,1,2:11.0,Turnover by K. Bryant (bad pass),,20,24
79,1,2:11.0,LA Lakers full timeout,,20,24
80,1,1:58.0,,J. Harden misses 3-pt jump shot from 24 ft,20,24
81,1,1:56.0,,Offensive rebound by C. Capela,20,24
82,1,1:54.0,,C. Capela makes 2-pt layup from 2 ft,20,26
83,1,1:37.0,Turnover by L. Nance (lost ball; steal by M. Beasley),,20,26
84,1,1:27.0,,T. Ariza misses 3-pt jump shot from 24 ft,20,26
85,1,1:27.0,,Offensive rebound by C. Capela,20,26
86,1,1:17.0,,J. Harden misses 2-pt jump shot from 11 ft,20,26
87,1,1:16.0,Defensive rebound by T. Black,,20,26
88,1,1:03.0,T. Black makes 2-pt dunk at rim (assist by M. Huertas),,22,26
89,1,0:49.0,,M. Beasley misses 3-pt jump shot from 23 ft,22,26
90,1,0:48.0,Defensive rebound by T. Black,,22,26
91,1,0:40.0,K. Bryant makes 3-pt jump shot from 27 ft (assist by D. Russell),,25,26
92,1,0:29.0,,J. Harden misses 2-pt layup from 1 ft,25,26
93,1,0:26.0,,Offensive rebound by M. Beasley,25,26
94,1,0:24.0,,J. Harden makes 3-pt jump shot from 24 ft (assist by M. Beasley),25,29
95,1,0:01.0,Shooting foul by C. Capela (drawn by K. Bryant),,25,29
96,1,0:01.0,K. Bryant makes free throw 1 of 2,,26,29
97,1,0:01.0,K. Bryant makes free throw 2 of 2,,27,29
98,2,12:00.0,,Technical foul by T. Ariza,27,29
99,2,12:00.0,M. Huertas misses technical free throw,,27,29
100,2,12:00.0,Offensive rebound by Team,,27,29
101,2,11:43.0,M. Huertas makes 2-pt jump shot from 7 ft (assist by L. Nance),,29,29
102,2,11:28.0,,C. Capela misses 2-pt jump shot from 6 ft,29,29
103,2,11:27.0,,Offensive rebound by C. Brewer,29,29
104,2,11:22.0,,M. Beasley makes 2-pt jump shot from 5 ft (assist by C. Brewer),29,31
105,2,11:06.0,M. World Peace misses 3-pt jump shot from 23 ft,,29,31
106,2,11:06.0,,Defensive rebound by P. Beverley,29,31
107,2,10:58.0,,C. Brewer misses 2-pt jump shot from 10 ft,29,31
108,2,10:57.0,,Offensive rebound by Team,29,31
109,2,10:56.0,,Personal foul by M. World Peace,29,31
110,2,10:46.0,,M. Beasley makes 2-pt layup from 2 ft (assist by P. Beverley),29,33
111,2,10:29.0,M. World Peace makes 3-pt jump shot from 23 ft (assist by M. Huertas),,32,33
112,2,10:16.0,,Turnover by P. Beverley (lost ball; steal by L. Nance),32,33
113,2,10:09.0,J. Clarkson makes 2-pt layup from 2 ft (assist by M. World Peace),,34,33
114,2,9:52.0,,C. Brewer misses 2-pt jump shot from 3 ft,34,33
115,2,9:51.0,Defensive rebound by J. Clarkson,,34,33
116,2,9:49.0,Personal foul by P. Beverley,,34,33
117,2,9:42.0,J. Clarkson misses 3-pt jump shot from 25 ft,,34,33
118,2,9:41.0,,Defensive rebound by C. Capela,34,33
119,2,9:34.0,,J. Terry misses 3-pt jump shot from 24 ft,34,33
120,2,9:33.0,Defensive rebound by J. Clarkson,,34,33
121,2,9:23.0,M. Huertas misses 2-pt jump shot from 10 ft,,34,33
122,2,9:22.0,,Defensive rebound by C. Capela,34,33
123,2,9:12.0,,Turnover by C. Capela (bad pass; steal by L. Nance),34,33
124,2,9:07.0,Turnover by J. Clarkson (bad pass),,34,33
125,2,8:51.0,,Turnover by M. Beasley (bad pass; steal by M. Huertas),34,33
126,2,8:45.0,L. Nance makes 2-pt jump shot from 7 ft (assist by M. Huertas),,36,33
127,2,8:45.0,,Houston full timeout,36,33
128,2,8:45.0,,D. Howard enters the game for M. Beasley,36,33
129,2,8:45.0,,J. Smith enters the game for C. Capela,36,33
130,2,8:29.0,,J. Smith makes 3-pt jump shot from 24 ft (assist by J. Terry),36,36
131,2,8:05.0,T. Black makes 2-pt hook shot from 5 ft (assist by J. Clarkson),,38,36
132,2,7:40.0,,D. Howard misses 2-pt hook shot from 5 ft,38,36
133,2,7:39.0,Defensive rebound by J. Clarkson,,38,36
134,2,7:29.0,J. Clarkson misses 3-pt jump shot from 22 ft,,38,36
135,2,7:28.0,,Defensive rebound by J. Smith,38,36
136,2,7:22.0,,C. Brewer makes 2-pt layup from 1 ft (assist by J. Smith),38,38
137,2,7:02.0,M. Huertas misses 2-pt jump shot from 13 ft,,38,38
138,2,7:01.0,Offensive rebound by T. Black,,38,38
139,2,6:55.0,L. Nance makes 2-pt dunk at rim (assist by M. Huertas),,40,38
140,2,6:31.0,,J. Smith misses 3-pt jump shot from 24 ft,40,38
141,2,6:30.0,Defensive rebound by M. World Peace,,40,38
