,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,NEW ORLEANS_ACTION,MILWAUKEE_SCORE,NEW ORLEANS_SCORE
0,1,11:45.0,,Turnover by T. Evans (bad pass),0,0
1,1,11:24.0,G. Antetokounmpo misses 2-pt jump shot from 13 ft,,0,0
2,1,11:24.0,,Defensive rebound by Ö. Aşık,0,0
3,1,11:10.0,,A. Davis misses 3-pt jump shot from 22 ft,0,0
4,1,11:09.0,Defensive rebound by J. Parker,,0,0
5,1,10:52.0,J. Parker misses 2-pt jump shot from 4 ft (block by A. Davis),,0,0
6,1,10:51.0,,Defensive rebound by A. Davis,0,0
7,1,10:33.0,,T. Evans misses 2-pt jump shot from 4 ft (block by G. Antetokounmpo),0,0
8,1,10:33.0,,Offensive rebound by Team,0,0
9,1,10:29.0,,N. Cole misses 3-pt jump shot from 23 ft (block by J. Parker),0,0
10,1,10:28.0,,Offensive rebound by A. Gee,0,0
11,1,10:26.0,,A. Gee misses 2-pt layup from 1 ft (block by G. Monroe),0,0
12,1,10:25.0,Defensive rebound by G. Monroe,,0,0
13,1,10:22.0,J. Parker makes 2-pt layup from 1 ft (assist by M. Carter-Williams),,2,0
14,1,10:09.0,,A. Davis makes 2-pt layup from 1 ft (assist by N. Cole),2,2
15,1,10:00.0,M. Carter-Williams makes 2-pt layup from 2 ft,,4,2
16,1,10:00.0,Shooting foul by N. Cole (drawn by M. Carter-Williams),,4,2
17,1,10:00.0,M. Carter-Williams makes free throw 1 of 1,,5,2
18,1,9:42.0,,T. Evans misses 2-pt layup from 1 ft,5,2
19,1,9:41.0,Defensive rebound by K. Middleton,,5,2
20,1,9:37.0,Personal foul by N. Cole (drawn by G. Antetokounmpo),,5,2
21,1,9:37.0,,T. Douglas enters the game for N. Cole,5,2
22,1,9:31.0,K. Middleton makes 3-pt jump shot from 26 ft (assist by J. Parker),,8,2
23,1,9:14.0,,Personal foul by J. Parker (drawn by A. Gee),8,2
24,1,8:58.0,,T. Evans misses 3-pt jump shot from 24 ft,8,2
25,1,8:58.0,Defensive rebound by G. Monroe,,8,2
26,1,8:50.0,Turnover by G. Antetokounmpo (bad pass),,8,2
