,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,CHARLOTTE_ACTION,PHILADELPHIA_SCORE,CHARLOTTE_SCORE
0,1,11:45.0,,A. Jefferson misses 2-pt jump shot from 9 ft,0,0
1,1,11:44.0,Defensive rebound by T. McConnell,,0,0
2,1,11:32.0,J. Okafor misses 2-pt jump shot from 10 ft (block by A. Jefferson),,0,0
3,1,11:30.0,,Defensive rebound by J. Lin,0,0
4,1,11:16.0,,Shooting foul by R. Covington (drawn by A. Jefferson),0,0
5,1,11:16.0,,A. Jefferson misses free throw 1 of 2,0,0
6,1,11:16.0,,Offensive rebound by Team,0,0
7,1,11:16.0,,A. Jefferson makes free throw 2 of 2,0,1
8,1,10:54.0,R. Covington misses 3-pt jump shot from 24 ft,,0,1
9,1,10:53.0,,Defensive rebound by A. Jefferson,0,1
10,1,10:42.0,,K. Walker makes 2-pt layup from 1 ft,0,3
11,1,10:22.0,N. Stauskas misses 2-pt layup from 1 ft (block by M. Williams),,0,3
12,1,10:20.0,,Defensive rebound by A. Jefferson,0,3
13,1,10:13.0,,K. Walker makes 3-pt jump shot from 25 ft (assist by N. Batum),0,6
14,1,9:49.0,J. Okafor misses 2-pt jump shot from 6 ft (block by A. Jefferson),,0,6
15,1,9:48.0,,Defensive rebound by M. Williams,0,6
16,1,9:42.0,,J. Lin misses 3-pt jump shot from 24 ft,0,6
17,1,9:41.0,Defensive rebound by J. Okafor,,0,6
18,1,9:29.0,J. Okafor makes 2-pt layup from 1 ft (assist by T. McConnell),,2,6
19,1,9:07.0,,J. Lin makes 2-pt layup at rim (assist by K. Walker),2,8
20,1,8:45.0,J. Grant makes 2-pt dunk at rim (assist by R. Covington),,4,8
21,1,8:30.0,,K. Walker makes 2-pt jump shot from 15 ft (assist by J. Lin),4,10
22,1,8:19.0,T. McConnell misses 2-pt jump shot from 8 ft,,4,10
23,1,8:18.0,Offensive rebound by J. Grant,,4,10
24,1,8:08.0,Shooting foul by A. Jefferson (drawn by R. Covington),,4,10
25,1,8:08.0,R. Covington makes free throw 1 of 2,,5,10
26,1,8:08.0,R. Covington makes free throw 2 of 2,,6,10
