,QUARTER,TIME_REMAINING,ATLANTA_ACTION,LA CLIPPERS_ACTION,ATLANTA_SCORE,LA CLIPPERS_SCORE
0,1,11:40.0,,J. Redick misses 3-pt jump shot from 30 ft,0,0
1,1,11:40.0,,Offensive rebound by J. Green,0,0
2,1,11:37.0,,J. Green makes 2-pt layup from 2 ft,0,2
3,1,11:23.0,J. Teague makes 3-pt jump shot from 26 ft (assist by A. Horford),,3,2
4,1,11:09.0,,P. Pierce makes 3-pt jump shot from 26 ft (assist by C. Paul),3,5
5,1,10:57.0,A. Horford misses 2-pt jump shot from 13 ft,,3,5
6,1,10:56.0,,Defensive rebound by D. Jordan,3,5
7,1,10:46.0,,C. Paul makes 2-pt jump shot from 16 ft,3,7
8,1,10:34.0,Turnover by K. Korver (bad pass),,3,7
9,1,10:21.0,,C. Paul misses 2-pt jump shot from 4 ft,3,7
10,1,10:18.0,Defensive rebound by J. Teague,,3,7
11,1,10:07.0,,Violation by P. Pierce (kicked ball),3,7
12,1,9:57.0,A. Horford misses 3-pt jump shot from 25 ft,,3,7
13,1,9:56.0,,Defensive rebound by J. Green,3,7
14,1,9:46.0,,J. Green makes 2-pt layup from 2 ft,3,9
15,1,9:46.0,,Shooting foul by A. Horford (drawn by J. Green),3,9
16,1,9:46.0,,J. Green misses free throw 1 of 1,3,9
17,1,9:43.0,Defensive rebound by P. Millsap,,3,9
18,1,9:32.0,K. Bazemore misses 2-pt layup from 3 ft (block by D. Jordan),,3,9
19,1,9:30.0,Offensive rebound by P. Millsap,,3,9
20,1,9:26.0,P. Millsap makes 2-pt layup from 3 ft (assist by K. Bazemore),,5,9
21,1,9:16.0,,P. Pierce misses 3-pt jump shot from 25 ft,5,9
22,1,9:15.0,Defensive rebound by A. Horford,,5,9
23,1,9:08.0,K. Bazemore misses 2-pt jump shot from 16 ft,,5,9
24,1,9:07.0,Offensive rebound by A. Horford,,5,9
25,1,8:58.0,P. Millsap makes 2-pt jump shot from 4 ft (assist by K. Korver),,7,9
26,1,8:58.0,Shooting foul by P. Pierce (drawn by P. Millsap),,7,9
27,1,8:58.0,P. Millsap misses free throw 1 of 1,,7,9
28,1,8:56.0,,Defensive rebound by D. Jordan,7,9
29,1,8:44.0,,C. Paul makes 3-pt jump shot from 27 ft,7,12
30,1,8:14.0,A. Horford misses 2-pt jump shot from 11 ft,,7,12
31,1,8:12.0,,Defensive rebound by D. Jordan,7,12
32,1,8:08.0,,Shooting foul by P. Millsap (drawn by P. Pierce),7,12
33,1,8:08.0,,P. Pierce makes free throw 1 of 2,7,13
34,1,8:08.0,,P. Pierce makes free throw 2 of 2,7,14
35,1,7:49.0,K. Bazemore makes 2-pt layup from 2 ft (assist by P. Millsap),,9,14
36,1,7:39.0,,J. Redick misses 3-pt jump shot from 27 ft,9,14
37,1,7:38.0,Defensive rebound by P. Millsap,,9,14
38,1,7:34.0,P. Millsap makes 2-pt jump shot from 4 ft,,11,14
39,1,7:34.0,Shooting foul by J. Green (drawn by P. Millsap),,11,14
40,1,7:34.0,K. Humphries enters the game for A. Horford,,11,14
41,1,7:34.0,P. Millsap makes free throw 1 of 1,,12,14
42,1,7:17.0,,J. Redick makes 2-pt jump shot from 17 ft (assist by C. Paul),12,16
43,1,6:58.0,P. Millsap misses 2-pt jump shot from 16 ft,,12,16
44,1,6:55.0,,Defensive rebound by C. Paul,12,16
45,1,6:42.0,,J. Redick misses 3-pt jump shot from 23 ft,12,16
46,1,6:41.0,Defensive rebound by P. Millsap,,12,16
47,1,6:30.0,K. Humphries misses 2-pt layup from 4 ft (block by D. Jordan),,12,16
48,1,6:29.0,Offensive rebound by P. Millsap,,12,16
49,1,6:29.0,P. Millsap makes 2-pt layup from 1 ft,,14,16
50,1,6:12.0,,J. Redick makes 3-pt jump shot from 24 ft (assist by C. Paul),14,19
51,1,6:01.0,K. Korver makes 3-pt jump shot from 26 ft (assist by K. Humphries),,17,19
52,1,5:43.0,,P. Pierce makes 2-pt layup from 2 ft (assist by C. Paul),17,21
53,1,5:43.0,,Shooting foul by K. Korver (drawn by P. Pierce),17,21
54,1,5:43.0,,LA Clippers full timeout,17,21
55,1,5:43.0,T. Sefolosha enters the game for K. Bazemore,,17,21
56,1,5:43.0,,P. Pierce makes free throw 1 of 1,17,22
57,1,5:23.0,T. Sefolosha misses 2-pt jump shot from 18 ft,,17,22
58,1,5:22.0,,Defensive rebound by J. Redick,17,22
59,1,5:12.0,,P. Pierce misses 3-pt jump shot from 27 ft,17,22
60,1,5:11.0,Defensive rebound by T. Sefolosha,,17,22
61,1,5:00.0,K. Humphries misses 3-pt jump shot from 26 ft,,17,22
62,1,5:00.0,,Defensive rebound by Team,17,22
63,1,5:00.0,,W. Johnson enters the game for P. Pierce,17,22
64,1,5:00.0,T. Hardaway enters the game for K. Korver,,17,22
65,1,4:52.0,,C. Paul misses 2-pt jump shot from 18 ft,17,22
66,1,4:50.0,Defensive rebound by P. Millsap,,17,22
67,1,4:33.0,J. Teague makes 2-pt layup from 1 ft,,19,22
68,1,4:20.0,,C. Paul makes 2-pt layup from 2 ft,19,24
69,1,4:06.0,T. Hardaway misses 3-pt jump shot from 23 ft,,19,24
70,1,4:05.0,,Defensive rebound by D. Jordan,19,24
71,1,3:49.0,,J. Redick makes 3-pt jump shot from 26 ft (assist by W. Johnson),19,27
72,1,3:47.0,Atlanta full timeout,,19,27
73,1,3:47.0,D. Schröder enters the game for J. Teague,,19,27
74,1,3:36.0,P. Millsap misses 2-pt jump shot from 3 ft (block by J. Green),,19,27
75,1,3:34.0,,Defensive rebound by D. Jordan,19,27
76,1,3:27.0,,J. Green makes 3-pt jump shot from 26 ft (assist by C. Paul),19,30
77,1,3:09.0,Personal foul by W. Johnson (drawn by P. Millsap),,19,30
78,1,3:09.0,A. Horford enters the game for K. Humphries,,19,30
79,1,3:09.0,,J. Crawford enters the game for J. Redick,19,30
80,1,2:56.0,Offensive foul by T. Sefolosha (drawn by C. Paul),,19,30
81,1,2:56.0,Turnover by T. Sefolosha (offensive foul),,19,30
82,1,2:38.0,,W. Johnson misses 3-pt jump shot from 25 ft,19,30
83,1,2:37.0,Defensive rebound by D. Schröder,,19,30
84,1,2:29.0,T. Hardaway makes 2-pt jump shot from 17 ft (assist by D. Schröder),,21,30
85,1,2:01.0,,J. Green makes 3-pt jump shot from 27 ft (assist by C. Paul),21,33
86,1,1:48.0,Turnover by D. Schröder (lost ball; steal by D. Jordan),,21,33
87,1,1:44.0,,C. Paul makes 2-pt layup from 1 ft (assist by D. Jordan),21,35
88,1,1:26.0,D. Schröder makes 2-pt jump shot from 12 ft,,23,35
89,1,1:09.0,,D. Jordan makes 2-pt layup from 1 ft,23,37
90,1,0:50.0,P. Millsap misses 2-pt jump shot from 4 ft (block by W. Johnson),,23,37
91,1,0:47.0,,Defensive rebound by D. Jordan,23,37
92,1,0:39.0,,C. Paul misses 2-pt jump shot from 13 ft,23,37
93,1,0:35.0,Defensive rebound by P. Millsap,,23,37
94,1,0:31.0,,A. Rivers enters the game for J. Green,23,37
95,1,0:31.0,M. Scott enters the game for P. Millsap,,23,37
96,1,0:29.0,D. Schröder makes 2-pt jump shot from 17 ft (assist by T. Hardaway),,25,37
97,1,0:05.0,,C. Paul misses 2-pt jump shot from 6 ft,25,37
98,1,0:03.0,Defensive rebound by A. Horford,,25,37
99,1,0:01.0,T. Sefolosha misses 3-pt jump shot from 31 ft,,25,37
100,1,0:00.0,Offensive rebound by Team,,25,37
101,2,11:44.0,D. Schröder misses 2-pt layup from 4 ft (block by C. Aldrich),,25,37
102,2,11:41.0,,Defensive rebound by C. Aldrich,25,37
103,2,11:19.0,,Turnover by Team (shot clock),25,37
104,2,11:08.0,D. Schröder misses 2-pt jump shot from 17 ft,,25,37
105,2,11:05.0,,Defensive rebound by W. Johnson,25,37
106,2,10:57.0,,P. Prigioni makes 3-pt jump shot from 28 ft,25,40
107,2,10:41.0,Turnover by M. Scott (bad pass; steal by C. Aldrich),,25,40
108,2,10:20.0,,C. Aldrich makes 2-pt hook shot from 3 ft (assist by A. Rivers),25,42
109,2,10:08.0,Personal foul by W. Johnson (drawn by T. Hardaway),,25,42
110,2,10:00.0,A. Horford misses 2-pt jump shot from 19 ft,,25,42
111,2,9:59.0,,Defensive rebound by W. Johnson,25,42
112,2,9:40.0,,W. Johnson misses 2-pt jump shot from 22 ft,25,42
113,2,9:38.0,Defensive rebound by T. Sefolosha,,25,42
