,QUARTER,TIME_REMAINING,MIAMI_ACTION,LA CLIPPERS_ACTION,MIAMI_SCORE,LA CLIPPERS_SCORE
0,1,11:35.0,L. Deng misses 2-pt layup from 2 ft,,0,0
1,1,11:35.0,,Defensive rebound by Team,0,0
2,1,11:22.0,,J. Redick misses 2-pt jump shot from 12 ft,0,0
3,1,11:21.0,Defensive rebound by D. Wade,,0,0
4,1,11:14.0,D. Wade misses 2-pt jump shot from 20 ft,,0,0
5,1,11:14.0,,Defensive rebound by P. Pierce,0,0
6,1,11:05.0,,C. Aldrich makes 2-pt dunk at rim (assist by C. Paul),0,2
7,1,10:39.0,C. Bosh misses 2-pt layup from 3 ft (block by L. Mbah a Moute),,0,2
8,1,10:38.0,,Defensive rebound by P. Pierce,0,2
9,1,10:27.0,,P. Pierce misses 3-pt jump shot from 26 ft,0,2
10,1,10:27.0,Defensive rebound by J. Winslow,,0,2
11,1,10:19.0,C. Bosh misses 3-pt jump shot from 25 ft,,0,2
12,1,10:18.0,,Defensive rebound by C. Aldrich,0,2
13,1,10:05.0,,C. Aldrich makes 2-pt hook shot from 4 ft (assist by C. Paul),0,4
14,1,9:50.0,Turnover by C. Bosh (bad pass),,0,4
15,1,9:43.0,,C. Aldrich misses 2-pt hook shot from 5 ft,0,4
16,1,9:41.0,Defensive rebound by C. Bosh,,0,4
17,1,9:30.0,C. Bosh misses 3-pt jump shot from 25 ft,,0,4
18,1,9:29.0,Offensive rebound by L. Deng,,0,4
19,1,9:28.0,L. Deng misses 2-pt layup from 2 ft,,0,4
20,1,9:23.0,Offensive rebound by L. Deng,,0,4
21,1,9:20.0,Turnover by J. Winslow (lost ball; steal by C. Paul),,0,4
22,1,9:07.0,,C. Paul misses 2-pt jump shot from 15 ft,0,4
23,1,9:05.0,Defensive rebound by C. Bosh,,0,4
24,1,8:58.0,Turnover by L. Deng (bad pass; steal by C. Aldrich),,0,4
25,1,8:44.0,,C. Paul makes 3-pt jump shot from 25 ft,0,7
26,1,8:32.0,Miami full timeout,,0,7
27,1,8:20.0,D. Wade makes 2-pt jump shot from 12 ft (assist by J. Winslow),,2,7
28,1,7:56.0,,P. Pierce makes 2-pt jump shot from 16 ft (assist by C. Paul),2,9
29,1,7:36.0,J. Winslow makes 2-pt jump shot from 15 ft (assist by L. Deng),,4,9
30,1,7:18.0,,Turnover by C. Aldrich (lost ball),4,9
31,1,6:58.0,B. Udrih makes 3-pt jump shot from 23 ft (assist by C. Bosh),,7,9
32,1,6:47.0,,C. Paul misses 3-pt jump shot from 24 ft,7,9
33,1,6:47.0,Defensive rebound by C. Bosh,,7,9
34,1,6:40.0,Shooting foul by P. Pierce (drawn by D. Wade),,7,9
35,1,6:40.0,D. Wade makes free throw 1 of 2,,8,9
36,1,6:40.0,G. Green enters the game for L. Deng,,8,9
37,1,6:40.0,D. Wade misses free throw 2 of 2,,8,9
38,1,6:38.0,,Defensive rebound by L. Mbah a Moute,8,9
39,1,6:28.0,,C. Aldrich misses 2-pt hook shot from 3 ft,8,9
40,1,6:23.0,Defensive rebound by G. Green,,8,9
41,1,6:20.0,B. Udrih misses 3-pt jump shot from 25 ft,,8,9
42,1,6:20.0,,Defensive rebound by C. Paul,8,9
43,1,6:20.0,,Personal take foul by B. Udrih (drawn by C. Paul),8,9
44,1,6:20.0,T. Johnson enters the game for D. Wade,,8,9
45,1,6:08.0,,P. Pierce misses 3-pt jump shot from 26 ft,8,9
46,1,6:07.0,Defensive rebound by J. Winslow,,8,9
47,1,6:01.0,Shooting foul by C. Aldrich (drawn by C. Bosh),,8,9
48,1,6:01.0,C. Bosh makes 2-pt layup from 2 ft (assist by B. Udrih),,10,9
49,1,6:01.0,,J. Crawford enters the game for C. Aldrich,10,9
50,1,6:01.0,C. Bosh makes free throw 1 of 1,,11,9
51,1,5:46.0,,C. Paul misses 2-pt jump shot from 16 ft,11,9
52,1,5:45.0,Defensive rebound by J. Winslow,,11,9
53,1,5:32.0,C. Bosh makes 2-pt jump shot from 3 ft (assist by T. Johnson),,13,9
54,1,5:26.0,,Turnover by C. Paul (bad pass; steal by T. Johnson),13,9
55,1,5:17.0,Turnover by B. Udrih (bad pass; steal by C. Paul),,13,9
56,1,5:11.0,,J. Redick misses 2-pt layup from 2 ft,13,9
57,1,5:09.0,,Offensive rebound by C. Paul,13,9
58,1,5:07.0,,C. Paul makes 2-pt jump shot from 5 ft,13,11
59,1,4:48.0,G. Green makes 2-pt jump shot from 8 ft (assist by C. Bosh),,15,11
60,1,4:27.0,,J. Crawford misses 2-pt jump shot from 20 ft,15,11
61,1,4:27.0,,Offensive rebound by C. Paul,15,11
62,1,4:22.0,,C. Paul makes 2-pt jump shot from 12 ft,15,13
63,1,4:03.0,G. Green misses 2-pt jump shot from 17 ft,,15,13
64,1,4:02.0,,Defensive rebound by C. Paul,15,13
65,1,3:51.0,,P. Pierce makes 2-pt jump shot from 8 ft (assist by C. Paul),15,15
66,1,3:35.0,J. Winslow misses 2-pt layup from 3 ft,,15,15
67,1,3:34.0,,Defensive rebound by J. Redick,15,15
68,1,3:23.0,,C. Paul misses 2-pt jump shot from 19 ft,15,15
69,1,3:22.0,Defensive rebound by C. Bosh,,15,15
70,1,3:16.0,Shooting foul by L. Mbah a Moute (drawn by C. Bosh),,15,15
71,1,3:16.0,C. Bosh misses free throw 1 of 2,,15,15
72,1,3:16.0,Offensive rebound by Team,,15,15
73,1,3:16.0,L. Deng enters the game for J. Winslow,,15,15
74,1,3:16.0,D. Wade enters the game for B. Udrih,,15,15
75,1,3:16.0,,A. Rivers enters the game for P. Pierce,15,15
76,1,3:16.0,,J. Smith enters the game for L. Mbah a Moute,15,15
77,1,3:16.0,C. Bosh makes free throw 2 of 2,,16,15
78,1,3:04.0,,J. Redick misses 3-pt jump shot from 25 ft,16,15
79,1,3:04.0,Defensive rebound by T. Johnson,,16,15
80,1,2:56.0,C. Bosh misses 2-pt jump shot from 16 ft,,16,15
81,1,2:55.0,,Defensive rebound by C. Paul,16,15
82,1,2:49.0,,C. Paul misses 2-pt layup from 1 ft,16,15
83,1,2:46.0,Defensive rebound by C. Bosh,,16,15
84,1,2:43.0,,LA Clippers full timeout,16,15
85,1,2:43.0,,W. Johnson enters the game for J. Redick,16,15
86,1,2:43.0,,P. Prigioni enters the game for C. Paul,16,15
87,1,2:43.0,H. Whiteside enters the game for C. Bosh,,16,15
88,1,2:42.0,Turnover by T. Johnson (bad pass; steal by J. Smith),,16,15
89,1,2:31.0,,Personal foul by G. Green (drawn by A. Rivers),16,15
90,1,2:22.0,,Turnover by P. Prigioni (bad pass; steal by G. Green),16,15
91,1,2:16.0,L. Deng makes 2-pt layup from 2 ft (assist by G. Green),,18,15
92,1,1:56.0,,A. Rivers misses 2-pt jump shot from 10 ft,18,15
93,1,1:54.0,Defensive rebound by H. Whiteside,,18,15
94,1,1:42.0,G. Green makes 3-pt jump shot from 25 ft (assist by T. Johnson),,21,15
95,1,1:21.0,,J. Crawford misses 3-pt jump shot from 25 ft,21,15
96,1,1:21.0,Defensive rebound by H. Whiteside,,21,15
97,1,1:05.0,Turnover by D. Wade (lost ball; steal by P. Prigioni),,21,15
98,1,1:00.0,,W. Johnson misses 3-pt jump shot from 26 ft,21,15
99,1,0:58.0,Defensive rebound by H. Whiteside,,21,15
100,1,0:58.0,Personal foul by P. Prigioni (drawn by H. Whiteside),,21,15
101,1,0:46.0,D. Wade makes 2-pt layup from 2 ft,,23,15
102,1,0:31.0,,W. Johnson makes 2-pt jump shot from 14 ft (assist by P. Prigioni),23,17
103,1,0:06.0,L. Deng misses 3-pt jump shot from 23 ft,,23,17
104,1,0:06.0,Offensive rebound by D. Wade,,23,17
105,1,0:03.0,D. Wade makes 2-pt layup from 2 ft,,25,17
106,1,0:01.0,,J. Crawford misses 3-pt jump shot from 52 ft,25,17
107,1,0:00.0,,Offensive rebound by Team,25,17
108,2,11:50.0,,A. Rivers makes 2-pt jump shot from 4 ft (assist by J. Smith),25,19
