,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,NEW ORLEANS_ACTION,PHILADELPHIA_SCORE,NEW ORLEANS_SCORE
0,1,11:46.0,,Shooting foul by J. Okafor (drawn by A. Davis),0,0
1,1,11:46.0,,A. Davis makes free throw 1 of 2,0,1
2,1,11:46.0,,A. Davis misses free throw 2 of 2,0,1
3,1,11:45.0,Defensive rebound by J. Okafor,,0,1
4,1,11:36.0,R. Covington misses 3-pt jump shot from 26 ft,,0,1
5,1,11:35.0,,Defensive rebound by B. Dejean-Jones,0,1
6,1,11:29.0,,B. Dejean-Jones misses 2-pt layup from 1 ft,0,1
7,1,11:28.0,Defensive rebound by N. Noel,,0,1
8,1,11:25.0,Turnover by N. Noel (bad pass),,0,1
9,1,11:14.0,,Offensive foul by Ö. Aşık (drawn by N. Stauskas),0,1
10,1,11:14.0,,Turnover by Ö. Aşık (offensive foul),0,1
11,1,10:49.0,J. Okafor misses 2-pt jump shot from 7 ft,,0,1
12,1,10:48.0,,Defensive rebound by A. Davis,0,1
13,1,10:39.0,,N. Cole makes 2-pt jump shot from 21 ft,0,3
14,1,10:23.0,R. Covington makes 2-pt layup from 2 ft (assist by N. Noel),,2,3
15,1,10:23.0,Shooting foul by D. Cunningham (drawn by R. Covington),,2,3
16,1,10:23.0,R. Covington makes free throw 1 of 1,,3,3
17,1,10:15.0,,A. Davis misses 2-pt jump shot from 9 ft,3,3
18,1,10:14.0,Defensive rebound by N. Noel,,3,3
19,1,10:02.0,Turnover by N. Noel (bad pass; steal by Ö. Aşık),,3,3
20,1,9:57.0,,Ö. Aşık makes 2-pt dunk at rim (assist by B. Dejean-Jones),3,5
21,1,9:41.0,N. Stauskas makes 2-pt layup at rim (assist by N. Noel),,5,5
22,1,9:32.0,,Shooting foul by J. Okafor (drawn by A. Davis),5,5
23,1,9:32.0,,A. Davis makes free throw 1 of 2,5,6
24,1,9:32.0,,A. Davis misses free throw 2 of 2,5,6
25,1,9:31.0,,Offensive rebound by Ö. Aşık,5,6
26,1,9:31.0,,Ö. Aşık makes 2-pt layup at rim,5,8
27,1,9:20.0,J. Okafor misses 2-pt hook shot from 8 ft,,5,8
28,1,9:19.0,,Defensive rebound by Ö. Aşık,5,8
29,1,9:14.0,,Turnover by B. Dejean-Jones (bad pass),5,8
30,1,8:59.0,Personal block foul by N. Cole,,5,8
31,1,8:47.0,R. Covington misses 3-pt jump shot from 27 ft,,5,8
32,1,8:46.0,,Defensive rebound by Ö. Aşık,5,8
33,1,8:35.0,,B. Dejean-Jones misses 2-pt dunk at rim,5,8
34,1,8:34.0,,Offensive rebound by Ö. Aşık,5,8
35,1,8:31.0,,Ö. Aşık misses 2-pt layup at rim (block by J. Okafor),5,8
36,1,8:29.0,Defensive rebound by N. Noel,,5,8
37,1,8:20.0,J. Okafor misses 2-pt jump shot from 10 ft (block by A. Davis),,5,8
38,1,8:19.0,,Defensive rebound by Ö. Aşık,5,8
39,1,8:13.0,,N. Cole makes 2-pt layup from 1 ft,5,10
40,1,7:58.0,N. Noel misses 2-pt hook shot from 7 ft,,5,10
41,1,7:56.0,,Defensive rebound by Ö. Aşık,5,10
42,1,7:52.0,,N. Cole misses 2-pt jump shot from 13 ft,5,10
43,1,7:46.0,Defensive rebound by R. Covington,,5,10
44,1,7:41.0,,T. Douglas enters the game for N. Cole,5,10
45,1,7:29.0,I. Smith misses 2-pt jump shot from 6 ft,,5,10
46,1,7:28.0,Offensive rebound by N. Noel,,5,10
47,1,7:28.0,N. Noel makes 2-pt dunk at rim,,7,10
48,1,7:12.0,,Turnover by B. Dejean-Jones (bad pass; steal by N. Stauskas),7,10
49,1,7:02.0,N. Stauskas makes 3-pt jump shot from 24 ft (assist by R. Covington),,10,10
50,1,6:41.0,,A. Davis misses 2-pt jump shot from 8 ft,10,10
51,1,6:40.0,,Offensive rebound by D. Cunningham,10,10
52,1,6:36.0,,B. Dejean-Jones misses 3-pt jump shot from 24 ft,10,10
53,1,6:34.0,Defensive rebound by J. Okafor,,10,10
54,1,6:25.0,,Offensive charge foul by J. Okafor (drawn by Ö. Aşık),10,10
55,1,6:25.0,Turnover by J. Okafor (offensive foul),,10,10
56,1,6:25.0,J. Grant enters the game for J. Okafor,,10,10
57,1,6:25.0,,J. Holiday enters the game for B. Dejean-Jones,10,10
58,1,6:12.0,,Shooting foul by J. Grant (drawn by A. Davis),10,10
59,1,6:12.0,,A. Davis makes free throw 1 of 2,10,11
60,1,6:12.0,,A. Davis makes free throw 2 of 2,10,12
61,1,6:12.0,Philadelphia full timeout,,10,12
62,1,5:58.0,Turnover by N. Stauskas (lost ball; steal by J. Holiday),,10,12
63,1,5:56.0,,J. Holiday makes 2-pt layup at rim,10,14
64,1,5:39.0,J. Grant misses 2-pt jump shot from 18 ft,,10,14
65,1,5:37.0,,Defensive rebound by Ö. Aşık,10,14
66,1,5:15.0,,J. Holiday misses 2-pt jump shot from 12 ft,10,14
67,1,5:14.0,Defensive rebound by R. Covington,,10,14
68,1,5:06.0,R. Covington makes 3-pt jump shot from 26 ft (assist by I. Smith),,13,14
69,1,4:50.0,,Shooting foul by R. Covington (drawn by A. Davis),13,14
70,1,4:50.0,,A. Davis makes free throw 1 of 2,13,15
71,1,4:50.0,H. Thompson enters the game for N. Stauskas,,13,15
72,1,4:50.0,,A. Davis makes free throw 2 of 2,13,16
73,1,4:40.0,R. Covington misses 3-pt jump shot from 25 ft,,13,16
74,1,4:39.0,,Defensive rebound by A. Davis,13,16
75,1,4:35.0,,Personal foul by H. Thompson,13,16
76,1,4:35.0,,J. Holiday makes free throw 1 of 2,13,17
77,1,4:35.0,,R. Anderson enters the game for Ö. Aşık,13,17
78,1,4:35.0,,J. Holiday makes free throw 2 of 2,13,18
79,1,4:16.0,Shooting foul by R. Anderson (drawn by J. Grant),,13,18
80,1,4:16.0,J. Grant makes free throw 1 of 2,,14,18
81,1,4:16.0,I. Canaan enters the game for R. Covington,,14,18
82,1,4:16.0,J. Grant makes free throw 2 of 2,,15,18
83,1,4:02.0,,Shooting foul by J. Grant (drawn by A. Davis),15,18
84,1,4:02.0,,A. Davis makes free throw 1 of 1,15,19
85,1,4:02.0,,A. Davis makes 2-pt dunk at rim (assist by J. Holiday),15,21
86,1,3:48.0,T. McConnell enters the game for J. Grant,,15,21
87,1,3:45.0,N. Noel makes 2-pt jump shot from 5 ft,,17,21
88,1,3:29.0,,J. Holiday makes 2-pt layup from 2 ft,17,23
89,1,3:23.0,Personal foul by T. Douglas,,17,23
90,1,3:12.0,T. McConnell makes 2-pt jump shot from 9 ft,,19,23
91,1,2:53.0,,R. Anderson misses 2-pt jump shot from 18 ft,19,23
92,1,2:52.0,Defensive rebound by T. McConnell,,19,23
93,1,2:42.0,N. Noel makes 2-pt jump shot from 11 ft,,21,23
94,1,2:34.0,,A. Davis makes 2-pt jump shot from 9 ft,21,25
95,1,2:34.0,,Shooting foul by H. Thompson (drawn by A. Davis),21,25
96,1,2:34.0,,New Orleans full timeout,21,25
97,1,2:34.0,,A. Gee enters the game for D. Cunningham,21,25
98,1,2:34.0,R. Holmes enters the game for N. Noel,,21,25
99,1,2:34.0,J. Grant enters the game for I. Smith,,21,25
100,1,2:34.0,,A. Davis makes free throw 1 of 1,21,26
101,1,2:17.0,T. McConnell misses 2-pt jump shot from 7 ft (block by T. Douglas),,21,26
102,1,2:16.0,,Defensive rebound by A. Gee,21,26
103,1,2:11.0,,A. Davis makes 2-pt dunk at rim (assist by J. Holiday),21,28
104,1,1:47.0,I. Canaan makes 3-pt jump shot from 24 ft (assist by T. McConnell),,24,28
105,1,1:28.0,,J. Holiday makes 2-pt layup from 2 ft (assist by A. Davis),24,30
106,1,1:09.0,I. Canaan misses 2-pt layup at rim (block by A. Davis),,24,30
107,1,1:08.0,,Defensive rebound by A. Davis,24,30
108,1,1:03.0,,A. Davis makes 2-pt jump shot from 13 ft,24,32
109,1,0:49.0,Turnover by J. Grant (lost ball; steal by T. Douglas),,24,32
110,1,0:45.0,,A. Davis makes 2-pt layup from 1 ft (assist by T. Douglas),24,34
111,1,0:27.0,J. Grant makes 2-pt jump shot from 4 ft,,26,34
112,1,0:14.0,,R. Anderson makes 3-pt jump shot from 25 ft (assist by J. Holiday),26,37
113,1,0:00.0,R. Holmes misses 3-pt jump shot from 24 ft,,26,37
114,1,0:00.0,Offensive rebound by Team,,26,37
115,2,11:41.0,H. Thompson makes 2-pt layup from 1 ft (assist by C. Landry),,28,37
116,2,11:17.0,,R. Anderson makes 3-pt jump shot from 25 ft (assist by A. Gee),28,40
117,2,11:06.0,Personal foul by N. Cole,,28,40
118,2,11:06.0,N. Noel enters the game for J. Grant,,28,40
119,2,10:58.0,Def 3 sec tech foul by A. Ajinça,,28,40
120,2,10:58.0,I. Canaan makes technical free throw,,29,40
121,2,10:58.0,,J. Holiday enters the game for T. Douglas,29,40
122,2,10:53.0,Turnover by T. McConnell (bad pass; steal by A. Gee),,29,40
123,2,10:45.0,,R. Anderson misses 2-pt jump shot from 21 ft,29,40
124,2,10:44.0,Defensive rebound by Team,,29,40
125,2,10:36.0,Personal foul by A. Gee,,29,40
126,2,10:26.0,C. Landry misses 2-pt jump shot from 17 ft,,29,40
127,2,10:24.0,,Defensive rebound by R. Anderson,29,40
128,2,10:17.0,,J. Holiday makes 3-pt jump shot from 25 ft,29,43
129,2,10:10.0,Philadelphia full timeout,,29,43
130,2,9:57.0,N. Noel misses 2-pt jump shot from 11 ft,,29,43
131,2,9:56.0,Offensive rebound by C. Landry,,29,43
