,QUARTER,TIME_REMAINING,UTAH_ACTION,CHARLOTTE_ACTION,UTAH_SCORE,CHARLOTTE_SCORE
0,1,11:46.0,,Turnover by N. Batum (bad pass; steal by R. Gobert),0,0
1,1,11:30.0,G. Hayward makes 3-pt jump shot from 25 ft (assist by T. Lyles),,3,0
2,1,11:15.0,,C. Zeller makes 2-pt dunk at rim (assist by M. Williams),3,2
3,1,10:59.0,R. Hood misses 3-pt jump shot from 24 ft,,3,2
4,1,10:58.0,,Defensive rebound by P. Hairston,3,2
5,1,10:36.0,,K. Walker makes 2-pt jump shot from 16 ft,3,4
6,1,10:16.0,R. Gobert makes 2-pt layup from 1 ft (assist by G. Hayward),,5,4
7,1,9:57.0,,Shooting foul by T. Lyles (drawn by M. Williams),5,4
8,1,9:57.0,,M. Williams makes free throw 1 of 2,5,5
9,1,9:57.0,,M. Williams makes free throw 2 of 2,5,6
10,1,9:41.0,R. Hood misses 3-pt jump shot from 25 ft,,5,6
11,1,9:40.0,,Defensive rebound by M. Williams,5,6
12,1,9:36.0,,Shooting foul by R. Neto (drawn by K. Walker),5,6
13,1,9:36.0,,K. Walker misses free throw 1 of 2,5,6
14,1,9:36.0,,Offensive rebound by Team,5,6
15,1,9:36.0,,K. Walker makes free throw 2 of 2,5,7
16,1,9:20.0,R. Neto misses 3-pt jump shot from 24 ft,,5,7
17,1,9:19.0,,Defensive rebound by P. Hairston,5,7
18,1,9:02.0,,N. Batum makes 3-pt jump shot from 23 ft,5,10
19,1,8:43.0,G. Hayward makes 2-pt jump shot from 6 ft,,7,10
20,1,8:27.0,,Personal foul by G. Hayward (drawn by P. Hairston),7,10
21,1,8:17.0,,K. Walker makes 3-pt jump shot from 23 ft (assist by N. Batum),7,13
22,1,7:59.0,T. Lyles misses 2-pt jump shot from 10 ft,,7,13
23,1,7:54.0,,Defensive rebound by N. Batum,7,13
24,1,7:49.0,,N. Batum misses 3-pt jump shot from 26 ft,7,13
25,1,7:47.0,Defensive rebound by T. Lyles,,7,13
26,1,7:45.0,R. Gobert makes 2-pt layup at rim (assist by R. Neto),,9,13
27,1,7:45.0,Shooting foul by P. Hairston (drawn by R. Gobert),,9,13
28,1,7:45.0,R. Gobert makes free throw 1 of 1,,10,13
29,1,7:33.0,,N. Batum makes 2-pt jump shot from 18 ft,10,15
30,1,7:11.0,G. Hayward makes 3-pt jump shot from 25 ft,,13,15
31,1,6:53.0,,K. Walker makes 3-pt jump shot from 24 ft (assist by N. Batum),13,18
32,1,6:39.0,G. Hayward makes 2-pt dunk at rim (assist by T. Lyles),,15,18
33,1,6:24.0,,C. Zeller misses 2-pt jump shot from 19 ft,15,18
34,1,6:24.0,,Offensive rebound by Team,15,18
35,1,6:24.0,Loose ball foul by R. Hood (drawn by M. Williams),,15,18
36,1,6:24.0,T. Burke enters the game for R. Neto,,15,18
37,1,6:12.0,,K. Walker makes 3-pt jump shot from 24 ft,15,21
38,1,5:51.0,T. Burke misses 3-pt jump shot from 24 ft,,15,21
39,1,5:50.0,,Defensive rebound by K. Walker,15,21
40,1,5:38.0,,C. Zeller misses 2-pt layup from 1 ft,15,21
41,1,5:37.0,Defensive rebound by R. Gobert,,15,21
42,1,5:27.0,G. Hayward makes 2-pt jump shot from 18 ft,,17,21
43,1,5:10.0,,K. Walker misses 2-pt jump shot from 15 ft,17,21
44,1,5:09.0,Defensive rebound by R. Hood,,17,21
45,1,4:54.0,R. Hood misses 3-pt jump shot from 24 ft,,17,21
46,1,4:53.0,,Defensive rebound by M. Williams,17,21
47,1,4:49.0,,Charlotte full timeout,17,21
48,1,4:49.0,,F. Kaminsky enters the game for P. Hairston,17,21
