,QUARTER,TIME_REMAINING,CHICAGO_ACTION,NEW ORLEANS_ACTION,CHICAGO_SCORE,NEW ORLEANS_SCORE
0,1,11:41.0,,T. Douglas makes 2-pt layup from 1 ft,0,2
1,1,11:32.0,J. Holiday makes 2-pt layup from 1 ft,,2,2
2,1,11:13.0,,L. Babbitt misses 2-pt jump shot from 9 ft,2,2
3,1,11:12.0,Defensive rebound by M. Dunleavy,,2,2
4,1,11:07.0,Personal foul by T. Douglas,,2,2
5,1,11:07.0,,T. Frazier enters the game for T. Douglas,2,2
6,1,11:01.0,M. Dunleavy makes 3-pt jump shot from 24 ft (assist by N. Mirotić),,5,2
7,1,10:52.0,,Turnover by T. Frazier (bad pass; steal by M. Dunleavy),5,2
8,1,10:50.0,M. Dunleavy makes 2-pt layup from 1 ft,,7,2
9,1,10:30.0,,Ö. Aşık misses 2-pt layup from 1 ft (block by J. Butler),7,2
10,1,10:29.0,,Offensive rebound by Team,7,2
11,1,10:25.0,,L. Babbitt misses 2-pt layup from 2 ft,7,2
12,1,10:21.0,,Offensive rebound by J. Ennis,7,2
13,1,10:21.0,,J. Ennis misses 2-pt layup from 1 ft,7,2
14,1,10:21.0,,Offensive rebound by L. Babbitt,7,2
15,1,10:21.0,,L. Babbitt makes 2-pt dunk at rim,7,4
16,1,10:04.0,J. Holiday makes 2-pt jump shot from 13 ft,,9,4
17,1,9:59.0,,Personal block foul by J. Holiday,9,4
18,1,9:59.0,,T. Douglas enters the game for T. Frazier,9,4
19,1,9:45.0,,D. Cunningham makes 2-pt layup at rim,9,6
20,1,9:21.0,M. Dunleavy makes 2-pt jump shot from 18 ft,,11,6
21,1,9:08.0,,Ö. Aşık makes 2-pt dunk at rim (assist by L. Babbitt),11,8
22,1,8:47.0,J. Holiday makes 3-pt jump shot from 24 ft (assist by J. Butler),,14,8
23,1,8:36.0,,Ö. Aşık makes 2-pt layup from 2 ft (assist by L. Babbitt),14,10
24,1,8:16.0,Def 3 sec tech foul by Ö. Aşık,,14,10
25,1,8:16.0,J. Butler makes technical free throw,,15,10
26,1,8:05.0,Personal foul by D. Cunningham,,15,10
27,1,7:51.0,C. Felício makes 2-pt layup from 2 ft (assist by J. Butler),,17,10
28,1,7:29.0,,Shooting foul by C. Felício (drawn by J. Ennis),17,10
29,1,7:29.0,,J. Ennis makes free throw 1 of 2,17,11
30,1,7:29.0,,J. Ennis makes free throw 2 of 2,17,12
31,1,7:17.0,Turnover by J. Butler (bad pass; steal by Ö. Aşık),,17,12
32,1,7:10.0,,J. Ennis misses 3-pt jump shot from 23 ft,17,12
33,1,7:09.0,Defensive rebound by J. Holiday,,17,12
34,1,7:04.0,M. Dunleavy misses 3-pt jump shot from 24 ft,,17,12
35,1,7:04.0,,Defensive rebound by Ö. Aşık,17,12
36,1,6:53.0,,T. Douglas makes 3-pt jump shot from 24 ft,17,15
37,1,6:38.0,J. Butler makes 2-pt jump shot from 17 ft,,19,15
38,1,6:24.0,,Offensive foul by Ö. Aşık (drawn by J. Holiday),19,15
39,1,6:24.0,,Turnover by Ö. Aşık (offensive foul),19,15
40,1,6:13.0,N. Mirotić misses 2-pt jump shot from 9 ft,,19,15
41,1,6:11.0,,Defensive rebound by T. Douglas,19,15
42,1,5:58.0,,D. Cunningham makes 2-pt dunk at rim (assist by L. Babbitt),19,17
43,1,5:43.0,C. Felício makes 2-pt jump shot from 18 ft (assist by J. Butler),,21,17
44,1,5:28.0,,Shooting foul by J. Holiday (drawn by Ö. Aşık),21,17
45,1,5:28.0,,New Orleans full timeout,21,17
46,1,5:28.0,D. McDermott enters the game for J. Holiday,,21,17
47,1,5:28.0,,Ö. Aşık makes free throw 1 of 2,21,18
48,1,5:28.0,,Ö. Aşık misses free throw 2 of 2,21,18
49,1,5:26.0,Defensive rebound by N. Mirotić,,21,18
50,1,5:13.0,J. Butler makes 2-pt jump shot from 20 ft,,23,18
51,1,5:01.0,,T. Douglas makes 2-pt layup at rim (assist by Ö. Aşık),23,20
52,1,4:48.0,Turnover by J. Butler (bad pass; steal by Ö. Aşık),,23,20
53,1,4:44.0,,L. Babbitt misses 2-pt layup from 2 ft,23,20
54,1,4:43.0,,Offensive rebound by L. Babbitt,23,20
55,1,4:42.0,,L. Babbitt misses 2-pt layup from 2 ft,23,20
56,1,4:41.0,,Offensive rebound by L. Babbitt,23,20
57,1,4:41.0,,L. Babbitt misses 2-pt layup from 2 ft,23,20
58,1,4:40.0,Defensive rebound by N. Mirotić,,23,20
59,1,4:28.0,N. Mirotić misses 3-pt jump shot from 25 ft,,23,20
60,1,4:26.0,Offensive rebound by Team,,23,20
61,1,4:04.0,N. Mirotić misses 3-pt jump shot from 25 ft,,23,20
62,1,4:03.0,,Defensive rebound by T. Douglas,23,20
63,1,3:51.0,,Ö. Aşık makes 2-pt layup from 2 ft (assist by J. Ennis),23,22
64,1,3:36.0,N. Mirotić misses 2-pt hook shot from 7 ft,,23,22
65,1,3:35.0,,Defensive rebound by Ö. Aşık,23,22
66,1,3:30.0,,D. Cunningham misses 2-pt layup from 1 ft (block by M. Dunleavy),23,22
67,1,3:30.0,,Offensive rebound by Team,23,22
68,1,3:30.0,B. Portis enters the game for N. Mirotić,,23,22
69,1,3:30.0,A. Brooks enters the game for J. Butler,,23,22
70,1,3:21.0,,J. Ennis misses 2-pt jump shot from 15 ft,23,22
71,1,3:21.0,Defensive rebound by M. Dunleavy,,23,22
72,1,3:01.0,B. Portis misses 2-pt jump shot from 9 ft,,23,22
73,1,3:01.0,,Defensive rebound by Ö. Aşık,23,22
74,1,2:51.0,,Shooting foul by D. McDermott (drawn by J. Ennis),23,22
75,1,2:51.0,Chicago full timeout,,23,22
76,1,2:51.0,T. Snell enters the game for M. Dunleavy,,23,22
77,1,2:51.0,,T. Frazier enters the game for D. Cunningham,23,22
78,1,2:51.0,,J. Hamilton enters the game for T. Douglas,23,22
79,1,2:51.0,,J. Ennis makes free throw 1 of 2,23,23
80,1,2:51.0,,J. Ennis makes free throw 2 of 2,23,24
81,1,2:29.0,A. Brooks misses 2-pt jump shot from 10 ft,,23,24
82,1,2:27.0,,Defensive rebound by J. Ennis,23,24
