,QUARTER,TIME_REMAINING,PHOENIX_ACTION,TORONTO_ACTION,PHOENIX_SCORE,TORONTO_SCORE
0,1,11:37.0,,D. DeRozan misses 2-pt jump shot from 15 ft,0,0
1,1,11:36.0,Defensive rebound by B. Knight,,0,0
2,1,11:20.0,P. Tucker misses 2-pt jump shot from 9 ft,,0,0
3,1,11:18.0,,Defensive rebound by D. Carroll,0,0
4,1,11:06.0,,Shooting foul by P. Tucker (drawn by D. Carroll),0,0
5,1,11:06.0,,D. Carroll makes free throw 1 of 2,0,1
6,1,11:06.0,,D. Carroll misses free throw 2 of 2,0,1
7,1,11:05.0,Defensive rebound by B. Knight,,0,1
8,1,10:46.0,M. Morris misses 2-pt jump shot from 19 ft,,0,1
9,1,10:45.0,,Defensive rebound by B. Biyombo,0,1
10,1,10:34.0,,L. Scola misses 2-pt jump shot from 7 ft,0,1
11,1,10:33.0,Defensive rebound by A. Len,,0,1
12,1,10:27.0,E. Bledsoe misses 3-pt jump shot from 24 ft,,0,1
13,1,10:26.0,,Defensive rebound by L. Scola,0,1
14,1,10:12.0,,D. DeRozan misses 2-pt jump shot from 15 ft,0,1
15,1,10:11.0,Defensive rebound by M. Morris,,0,1
16,1,10:02.0,B. Knight makes 2-pt jump shot from 17 ft,,2,1
17,1,9:53.0,,Shooting foul by E. Bledsoe (drawn by D. DeRozan),2,1
18,1,9:53.0,,D. DeRozan makes free throw 1 of 2,2,2
19,1,9:53.0,,D. DeRozan makes free throw 2 of 2,2,3
20,1,9:30.0,A. Len makes 2-pt hook shot from 6 ft (assist by E. Bledsoe),,4,3
21,1,9:11.0,,K. Lowry misses 3-pt jump shot from 24 ft,4,3
22,1,9:10.0,Defensive rebound by A. Len,,4,3
23,1,8:55.0,A. Len makes 2-pt layup from 1 ft,,6,3
24,1,8:41.0,,L. Scola misses 2-pt jump shot from 8 ft,6,3
25,1,8:40.0,Defensive rebound by A. Len,,6,3
26,1,8:32.0,E. Bledsoe makes 3-pt jump shot from 24 ft,,9,3
27,1,8:18.0,,Shooting foul by P. Tucker (drawn by D. DeRozan),9,3
28,1,8:18.0,,D. DeRozan makes free throw 1 of 2,9,4
29,1,8:18.0,T. Warren enters the game for P. Tucker,,9,4
30,1,8:18.0,,D. DeRozan makes free throw 2 of 2,9,5
31,1,7:59.0,T. Warren makes 2-pt jump shot from 7 ft (assist by M. Morris),,11,5
32,1,7:39.0,,D. Carroll makes 3-pt jump shot from 24 ft (assist by D. DeRozan),11,8
33,1,7:26.0,B. Knight misses 2-pt hook shot from 8 ft,,11,8
34,1,7:25.0,Offensive rebound by B. Knight,,11,8
35,1,7:16.0,M. Morris misses 3-pt jump shot from 24 ft,,11,8
36,1,7:16.0,,Defensive rebound by D. Carroll,11,8
37,1,7:09.0,,K. Lowry makes 3-pt jump shot from 24 ft (assist by D. Carroll),11,11
38,1,6:45.0,M. Morris misses 2-pt jump shot from 17 ft,,11,11
39,1,6:45.0,,Defensive rebound by K. Lowry,11,11
40,1,6:32.0,,D. Carroll misses 2-pt layup from 1 ft (block by B. Knight),11,11
41,1,6:32.0,Defensive rebound by Team,,11,11
42,1,6:17.0,E. Bledsoe misses 2-pt jump shot from 3 ft,,11,11
43,1,6:16.0,Offensive rebound by M. Morris,,11,11
44,1,6:14.0,M. Morris makes 2-pt layup at rim,,13,11
45,1,6:09.0,,Toronto full timeout,13,11
46,1,5:58.0,,K. Lowry misses 3-pt jump shot from 25 ft (block by E. Bledsoe),13,11
47,1,5:57.0,Defensive rebound by M. Morris,,13,11
48,1,5:53.0,E. Bledsoe misses 2-pt jump shot from 3 ft (block by B. Biyombo),,13,11
49,1,5:51.0,Offensive rebound by T. Warren,,13,11
50,1,5:49.0,T. Warren makes 2-pt layup from 1 ft,,15,11
51,1,5:37.0,,D. Carroll misses 3-pt jump shot from 23 ft,15,11
52,1,5:36.0,Defensive rebound by M. Morris,,15,11
53,1,5:17.0,M. Morris misses 2-pt jump shot from 20 ft,,15,11
54,1,5:16.0,,Defensive rebound by D. Carroll,15,11
55,1,5:06.0,,D. Carroll makes 2-pt layup from 1 ft (assist by K. Lowry),15,13
56,1,4:42.0,B. Knight misses 3-pt jump shot from 23 ft,,15,13
57,1,4:41.0,,Defensive rebound by L. Scola,15,13
58,1,4:29.0,,Shooting foul by M. Morris (drawn by L. Scola),15,13
59,1,4:29.0,,L. Scola makes free throw 1 of 2,15,14
60,1,4:29.0,J. Leuer enters the game for A. Len,,15,14
61,1,4:29.0,R. Price enters the game for E. Bledsoe,,15,14
62,1,4:29.0,,C. Joseph enters the game for D. DeRozan,15,14
63,1,4:29.0,,L. Scola makes free throw 2 of 2,15,15
64,1,4:15.0,J. Leuer makes 2-pt jump shot from 19 ft (assist by M. Morris),,17,15
65,1,3:55.0,,Turnover by K. Lowry (bad pass; steal by T. Warren),17,15
66,1,3:44.0,T. Warren misses 2-pt jump shot from 3 ft (block by B. Biyombo),,17,15
