,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,PHOENIX_ACTION,LA CLIPPERS_SCORE,PHOENIX_SCORE
0,1,11:46.0,,Turnover by R. Price (bad pass; steal by C. Aldrich),0,0
1,1,11:36.0,Turnover by P. Prigioni (bad pass; steal by D. Booker),,0,0
2,1,11:26.0,,J. Leuer makes 2-pt layup from 1 ft (assist by A. Len),0,2
3,1,11:04.0,P. Pierce makes 2-pt jump shot from 18 ft,,2,2
4,1,10:53.0,,D. Booker misses 2-pt jump shot from 19 ft,2,2
5,1,10:52.0,,Offensive rebound by J. Leuer,2,2
6,1,10:48.0,,J. Leuer makes 2-pt layup at rim,2,4
7,1,10:33.0,P. Pierce misses 3-pt jump shot from 24 ft,,2,4
8,1,10:32.0,,Defensive rebound by A. Len,2,4
9,1,10:25.0,,P. Tucker misses 3-pt jump shot from 23 ft,2,4
10,1,10:24.0,Defensive rebound by P. Prigioni,,2,4
11,1,10:09.0,Turnover by C. Aldrich (3 sec),,2,4
12,1,9:54.0,,R. Price misses 3-pt jump shot from 24 ft,2,4
13,1,9:54.0,Defensive rebound by C. Aldrich,,2,4
14,1,9:39.0,C. Aldrich makes 2-pt hook shot from 3 ft (assist by P. Prigioni),,4,4
15,1,9:29.0,,A. Len misses 2-pt jump shot from 20 ft,4,4
16,1,9:29.0,Defensive rebound by P. Pierce,,4,4
17,1,9:19.0,L. Mbah a Moute misses 2-pt jump shot from 20 ft,,4,4
18,1,9:18.0,,Defensive rebound by D. Booker,4,4
19,1,9:13.0,Offensive charge foul by D. Booker (drawn by A. Rivers),,4,4
20,1,9:13.0,,Turnover by D. Booker (offensive foul),4,4
21,1,9:06.0,Shooting foul by P. Tucker (drawn by C. Aldrich),,4,4
22,1,9:06.0,C. Aldrich makes free throw 1 of 2,,5,4
23,1,9:06.0,C. Aldrich makes free throw 2 of 2,,6,4
24,1,8:57.0,,Turnover by P. Tucker (bad pass),6,4
25,1,8:41.0,Turnover by P. Pierce (bad pass; steal by J. Leuer),,6,4
26,1,8:37.0,,P. Tucker makes 2-pt layup from 1 ft (assist by R. Price),6,6
27,1,8:37.0,,Shooting foul by C. Aldrich (drawn by P. Tucker),6,6
28,1,8:37.0,,P. Tucker makes free throw 1 of 1,6,7
29,1,8:28.0,Turnover by P. Prigioni (bad pass; steal by P. Tucker),,6,7
30,1,8:22.0,,D. Booker makes 3-pt jump shot from 25 ft (assist by J. Leuer),6,10
31,1,8:09.0,C. Aldrich makes 2-pt dunk at rim (assist by L. Mbah a Moute),,8,10
32,1,7:46.0,,P. Tucker misses 2-pt jump shot from 10 ft,8,10
33,1,7:44.0,Defensive rebound by P. Pierce,,8,10
34,1,7:38.0,P. Pierce misses 2-pt layup from 3 ft (block by J. Leuer),,8,10
35,1,7:38.0,Offensive rebound by Team,,8,10
36,1,7:28.0,A. Rivers misses 2-pt jump shot from 18 ft,,8,10
37,1,7:28.0,,Defensive rebound by P. Tucker,8,10
38,1,7:19.0,,J. Leuer misses 2-pt jump shot from 20 ft,8,10
39,1,7:18.0,,Offensive rebound by P. Tucker,8,10
40,1,7:15.0,,P. Tucker makes 2-pt layup from 1 ft,8,12
41,1,7:03.0,P. Prigioni misses 3-pt jump shot from 23 ft,,8,12
42,1,7:02.0,,Defensive rebound by J. Leuer,8,12
43,1,6:52.0,,Shooting foul by C. Aldrich (drawn by A. Len),8,12
44,1,6:52.0,,A. Len misses free throw 1 of 2,8,12
45,1,6:52.0,,Offensive rebound by Team,8,12
46,1,6:52.0,J. Ayres enters the game for C. Aldrich,,8,12
47,1,6:52.0,,A. Len misses free throw 2 of 2,8,12
48,1,6:51.0,,Offensive rebound by J. Leuer,8,12
49,1,6:35.0,,R. Price misses 3-pt jump shot from 25 ft,8,12
50,1,6:35.0,Defensive rebound by P. Prigioni,,8,12
51,1,6:16.0,J. Ayres misses 2-pt hook shot from 8 ft,,8,12
52,1,6:15.0,,Defensive rebound by J. Leuer,8,12
53,1,6:08.0,,Turnover by D. Booker (bad pass; steal by P. Prigioni),8,12
54,1,6:04.0,W. Johnson enters the game for P. Pierce,,8,12
55,1,6:04.0,J. Green enters the game for L. Mbah a Moute,,8,12
56,1,5:53.0,P. Prigioni misses 3-pt jump shot from 23 ft,,8,12
57,1,5:52.0,,Defensive rebound by P. Tucker,8,12
58,1,5:43.0,,Turnover by R. Price (lost ball; steal by P. Prigioni),8,12
59,1,5:37.0,W. Johnson misses 2-pt jump shot from 8 ft,,8,12
60,1,5:35.0,,Defensive rebound by J. Leuer,8,12
61,1,5:30.0,,Phoenix full timeout,8,12
62,1,5:30.0,C. Wilcox enters the game for P. Prigioni,,8,12
63,1,5:30.0,,A. Goodwin enters the game for J. Leuer,8,12
64,1,5:30.0,,M. Teletović enters the game for R. Price,8,12
65,1,5:29.0,,Personal foul by W. Johnson,8,12
66,1,5:29.0,,A. Len makes free throw 1 of 2,8,13
67,1,5:29.0,,A. Len makes free throw 2 of 2,8,14
68,1,5:16.0,A. Rivers misses 3-pt jump shot from 24 ft,,8,14
69,1,5:15.0,,Defensive rebound by M. Teletović,8,14
70,1,5:08.0,,P. Tucker makes 2-pt layup from 1 ft (assist by A. Goodwin),8,16
71,1,5:08.0,,Shooting foul by J. Green (drawn by P. Tucker),8,16
72,1,5:08.0,,P. Tucker misses free throw 1 of 1,8,16
73,1,5:07.0,Defensive rebound by J. Ayres,,8,16
74,1,4:53.0,Def 3 sec tech foul by A. Len,,8,16
75,1,4:53.0,A. Rivers makes technical free throw,,9,16
76,1,4:44.0,C. Wilcox makes 3-pt jump shot from 24 ft (assist by A. Rivers),,12,16
77,1,4:22.0,,A. Goodwin misses 2-pt jump shot from 19 ft,12,16
78,1,4:22.0,,Offensive rebound by Team,12,16
79,1,4:22.0,Loose ball foul by A. Rivers,,12,16
80,1,4:22.0,,P. Tucker makes free throw 1 of 2,12,17
81,1,4:22.0,,P. Tucker makes free throw 2 of 2,12,18
82,1,4:12.0,J. Ayres makes 2-pt jump shot from 14 ft (assist by A. Rivers),,14,18
83,1,3:49.0,,A. Len misses 2-pt jump shot from 8 ft,14,18
84,1,3:48.0,Defensive rebound by J. Green,,14,18
85,1,3:43.0,Turnover by J. Green (lost ball; steal by A. Goodwin),,14,18
86,1,3:39.0,,Turnover by A. Goodwin (bad pass; steal by W. Johnson),14,18
87,1,3:31.0,A. Rivers makes 3-pt jump shot from 23 ft (assist by J. Green),,17,18
88,1,3:14.0,,Turnover by D. Booker (lost ball),17,18
89,1,3:02.0,A. Rivers misses 2-pt layup from 2 ft,,17,18
90,1,3:01.0,Offensive rebound by A. Rivers,,17,18
91,1,2:58.0,A. Rivers misses 2-pt layup at rim,,17,18
92,1,2:57.0,,Defensive rebound by A. Len,17,18
93,1,2:45.0,,D. Booker misses 3-pt jump shot from 26 ft,17,18
94,1,2:45.0,Defensive rebound by A. Rivers,,17,18
95,1,2:32.0,C. Wilcox makes 3-pt jump shot from 23 ft (assist by A. Rivers),,20,18
96,1,2:16.0,,D. Booker misses 3-pt jump shot from 24 ft,20,18
97,1,2:15.0,Defensive rebound by J. Green,,20,18
98,1,2:03.0,W. Johnson misses 3-pt jump shot from 23 ft,,20,18
99,1,2:02.0,,Defensive rebound by P. Tucker,20,18
100,1,1:59.0,,Shooting foul by W. Johnson (drawn by M. Teletović),20,18
101,1,1:59.0,LA Clippers full timeout,,20,18
102,1,1:59.0,,A. Williams enters the game for A. Len,20,18
103,1,1:59.0,,J. Jenkins enters the game for D. Booker,20,18
104,1,1:59.0,P. Prigioni enters the game for A. Rivers,,20,18
105,1,1:59.0,,M. Teletović makes free throw 1 of 2,20,19
106,1,1:59.0,,M. Teletović makes free throw 2 of 2,20,20
107,1,1:48.0,W. Johnson makes 3-pt jump shot from 22 ft (assist by P. Prigioni),,23,20
108,1,1:30.0,,M. Teletović misses 2-pt jump shot from 6 ft,23,20
109,1,1:27.0,Defensive rebound by J. Ayres,,23,20
110,1,1:20.0,P. Prigioni misses 2-pt jump shot from 15 ft,,23,20
111,1,1:19.0,Offensive rebound by P. Prigioni,,23,20
112,1,1:05.0,J. Ayres makes 2-pt layup from 1 ft (assist by J. Green),,25,20
113,1,0:59.0,,M. Teletović misses 3-pt jump shot from 25 ft,25,20
114,1,0:58.0,Defensive rebound by C. Wilcox,,25,20
115,1,0:46.0,Personal foul by M. Teletović,,25,20
116,1,0:41.0,C. Wilcox misses 2-pt jump shot from 18 ft,,25,20
117,1,0:40.0,,Defensive rebound by A. Williams,25,20
118,1,0:30.0,,P. Tucker makes 3-pt jump shot from 24 ft (assist by A. Goodwin),25,23
119,1,0:20.0,Shooting foul by A. Williams (drawn by J. Ayres),,25,23
120,1,0:20.0,J. Ayres makes free throw 1 of 2,,26,23
121,1,0:20.0,B. Dawson enters the game for W. Johnson,,26,23
122,1,0:20.0,J. Ayres makes free throw 2 of 2,,27,23
123,1,0:03.0,,A. Williams makes 2-pt layup from 1 ft,27,25
124,1,0:00.0,P. Prigioni misses 3-pt jump shot from 63 ft,,27,25
125,1,0:00.0,Offensive rebound by Team,,27,25
126,2,11:43.0,W. Johnson makes 2-pt jump shot from 18 ft (assist by J. Green),,29,25
127,2,11:31.0,,A. Williams makes 2-pt layup at rim (assist by M. Teletović),29,27
128,2,11:31.0,,Shooting foul by J. Ayres (drawn by A. Williams),29,27
129,2,11:31.0,,A. Williams makes free throw 1 of 1,29,28
130,2,11:10.0,J. Ayres misses 2-pt layup from 1 ft (block by A. Williams),,29,28
131,2,11:09.0,,Defensive rebound by C. Budinger,29,28
132,2,11:00.0,,A. Williams makes 2-pt hook shot from 8 ft,29,30
133,2,10:49.0,Turnover by J. Green (lost ball; steal by A. Williams),,29,30
134,2,10:42.0,,A. Goodwin misses 2-pt layup from 1 ft,29,30
135,2,10:41.0,,Offensive rebound by C. Budinger,29,30
136,2,10:41.0,,C. Budinger makes 2-pt layup at rim,29,32
137,2,10:17.0,J. Green misses 2-pt jump shot from 17 ft,,29,32
138,2,10:15.0,,Defensive rebound by A. Williams,29,32
139,2,10:03.0,,M. Teletović makes 2-pt jump shot from 3 ft,29,34
140,2,10:03.0,LA Clippers full timeout,,29,34
141,2,10:03.0,P. Pierce enters the game for J. Ayres,,29,34
142,2,9:57.0,Shooting block foul by A. Williams (drawn by J. Green),,29,34
143,2,9:57.0,J. Green makes free throw 1 of 2,,30,34
144,2,9:57.0,J. Green makes free throw 2 of 2,,31,34
145,2,9:47.0,,M. Teletović makes 3-pt jump shot from 24 ft (assist by J. Jenkins),31,37
146,2,9:32.0,J. Green makes 2-pt jump shot from 11 ft (assist by P. Prigioni),,33,37
147,2,9:15.0,,A. Goodwin misses 2-pt layup from 4 ft,33,37
148,2,9:12.0,Defensive rebound by P. Pierce,,33,37
149,2,9:06.0,W. Johnson makes 3-pt jump shot from 23 ft (assist by P. Prigioni),,36,37
150,2,8:56.0,A. Rivers enters the game for W. Johnson,,36,37
151,2,8:52.0,,Personal foul by C. Wilcox,36,37
152,2,8:45.0,,C. Budinger misses 3-pt jump shot from 24 ft,36,37
153,2,8:45.0,,Offensive rebound by A. Williams,36,37
154,2,8:42.0,,A. Williams makes 2-pt layup from 1 ft,36,39
155,2,8:18.0,J. Green misses 2-pt layup from 1 ft,,36,39
156,2,8:16.0,Offensive rebound by J. Green,,36,39
157,2,8:16.0,J. Green makes 2-pt layup from 2 ft,,38,39
158,2,8:03.0,,C. Budinger misses 2-pt layup from 2 ft (block by C. Wilcox),38,39
159,2,8:00.0,Defensive rebound by C. Wilcox,,38,39
160,2,7:57.0,C. Wilcox makes 2-pt layup from 1 ft,,40,39
161,2,7:56.0,,Phoenix full timeout,40,39
162,2,7:56.0,,D. Booker enters the game for J. Jenkins,40,39
163,2,7:56.0,,A. Len enters the game for C. Budinger,40,39
164,2,7:41.0,,M. Teletović misses 3-pt jump shot from 25 ft,40,39
165,2,7:41.0,,Offensive rebound by A. Williams,40,39
166,2,7:40.0,,Shooting foul by P. Pierce (drawn by A. Williams),40,39
167,2,7:40.0,,A. Williams makes free throw 1 of 2,40,40
168,2,7:40.0,,A. Williams makes free throw 2 of 2,40,41
169,2,7:27.0,P. Pierce misses 3-pt jump shot from 22 ft,,40,41
170,2,7:26.0,,Defensive rebound by A. Goodwin,40,41
171,2,7:20.0,,A. Goodwin makes 2-pt layup at rim,40,43
172,2,7:04.0,A. Rivers makes 2-pt layup from 1 ft,,42,43
173,2,6:50.0,,M. Teletović misses 2-pt jump shot from 9 ft,42,43
174,2,6:48.0,Defensive rebound by P. Prigioni,,42,43
175,2,6:37.0,C. Wilcox misses 3-pt jump shot from 24 ft,,42,43
176,2,6:37.0,,Defensive rebound by M. Teletović,42,43
177,2,6:29.0,,A. Williams misses 2-pt jump shot from 4 ft,42,43
178,2,6:28.0,Defensive rebound by J. Green,,42,43
179,2,6:19.0,J. Green misses 3-pt jump shot from 24 ft,,42,43
180,2,6:17.0,,Defensive rebound by A. Goodwin,42,43
181,2,6:03.0,,A. Goodwin makes 2-pt jump shot from 7 ft,42,45
182,2,6:03.0,,Shooting foul by C. Wilcox (drawn by A. Goodwin),42,45
183,2,6:03.0,C. Aldrich enters the game for J. Green,,42,45
184,2,6:03.0,,P. Tucker enters the game for A. Williams,42,45
185,2,6:03.0,,A. Goodwin misses free throw 1 of 1,42,45
186,2,6:03.0,Defensive rebound by C. Wilcox,,42,45
187,2,5:54.0,P. Prigioni misses 3-pt jump shot from 25 ft,,42,45
188,2,5:53.0,Offensive rebound by C. Aldrich,,42,45
189,2,5:49.0,C. Wilcox misses 3-pt jump shot from 24 ft,,42,45
190,2,5:48.0,,Defensive rebound by M. Teletović,42,45
191,2,5:42.0,,A. Goodwin misses 2-pt layup at rim,42,45
192,2,5:41.0,,Offensive rebound by Team,42,45
193,2,5:41.0,,R. Price enters the game for A. Goodwin,42,45
194,2,5:41.0,W. Johnson enters the game for C. Wilcox,,42,45
195,2,5:37.0,,D. Booker makes 2-pt jump shot from 19 ft (assist by P. Tucker),42,47
196,2,5:11.0,P. Pierce makes 2-pt jump shot from 17 ft,,44,47
197,2,4:59.0,,P. Tucker misses 2-pt layup from 2 ft (block by P. Pierce),44,47
198,2,4:56.0,,Offensive rebound by M. Teletović,44,47
199,2,4:56.0,,M. Teletović makes 2-pt layup at rim,44,49
200,2,4:44.0,W. Johnson misses 2-pt jump shot from 15 ft,,44,49
201,2,4:44.0,,Defensive rebound by P. Tucker,44,49
202,2,4:34.0,,A. Len misses 2-pt layup at rim,44,49
203,2,4:32.0,Defensive rebound by C. Aldrich,,44,49
204,2,4:21.0,Shooting foul by P. Tucker (drawn by A. Rivers),,44,49
205,2,4:21.0,A. Rivers makes 2-pt layup from 2 ft,,46,49
206,2,4:21.0,,J. Leuer enters the game for M. Teletović,46,49
207,2,4:21.0,A. Rivers misses free throw 1 of 1,,46,49
208,2,4:20.0,,Defensive rebound by J. Leuer,46,49
209,2,3:58.0,,A. Len makes 2-pt dunk at rim (assist by R. Price),46,51
210,2,3:40.0,W. Johnson makes 3-pt jump shot from 25 ft (assist by P. Prigioni),,49,51
211,2,3:25.0,,D. Booker misses 2-pt layup from 2 ft,49,51
212,2,3:24.0,Defensive rebound by C. Aldrich,,49,51
213,2,3:15.0,P. Pierce makes 2-pt jump shot from 10 ft,,51,51
214,2,2:56.0,,J. Leuer makes 2-pt jump shot from 17 ft (assist by R. Price),51,53
215,2,2:35.0,A. Rivers makes 2-pt jump shot from 10 ft,,53,53
216,2,2:23.0,,A. Len misses 2-pt jump shot from 11 ft (block by C. Aldrich),53,53
217,2,2:22.0,Defensive rebound by C. Aldrich,,53,53
218,2,2:13.0,A. Rivers makes 2-pt layup from 2 ft,,55,53
219,2,1:58.0,,R. Price makes 3-pt jump shot from 23 ft (assist by P. Tucker),55,56
220,2,1:46.0,A. Rivers misses 3-pt jump shot from 24 ft,,55,56
221,2,1:46.0,,Defensive rebound by Team,55,56
222,2,1:46.0,Official timeout,,55,56
223,2,1:46.0,J. Ayres enters the game for C. Aldrich,,55,56
224,2,1:35.0,,A. Len makes 2-pt dunk at rim (assist by D. Booker),55,58
225,2,1:10.0,Turnover by W. Johnson (lost ball),,55,58
226,2,1:00.0,,D. Booker makes 2-pt layup from 1 ft,55,60
227,2,0:57.0,Offensive foul by J. Ayres (drawn by D. Booker),,55,60
228,2,0:57.0,Turnover by J. Ayres (offensive foul),,55,60
229,2,0:57.0,J. Green enters the game for W. Johnson,,55,60
230,2,0:48.0,,D. Booker misses 2-pt jump shot from 19 ft,55,60
231,2,0:44.0,Defensive rebound by J. Ayres,,55,60
232,2,0:42.0,Turnover by P. Prigioni (lost ball; steal by R. Price),,55,60
233,2,0:38.0,,P. Tucker makes 2-pt dunk at rim (assist by R. Price),55,62
234,2,0:38.0,LA Clippers full timeout,,55,62
235,2,0:38.0,W. Johnson enters the game for J. Green,,55,62
236,2,0:33.0,W. Johnson misses 3-pt jump shot from 25 ft,,55,62
237,2,0:32.0,,Defensive rebound by J. Leuer,55,62
238,2,0:09.0,,R. Price misses 3-pt jump shot from 25 ft,55,62
239,2,0:08.0,,Offensive rebound by J. Leuer,55,62
240,2,0:02.0,,A. Len misses 2-pt jump shot from 5 ft (block by W. Johnson),55,62
241,2,0:01.0,Defensive rebound by P. Prigioni,,55,62
242,2,0:00.0,P. Prigioni misses 3-pt jump shot from 52 ft,,55,62
243,2,0:00.0,Offensive rebound by Team,,55,62
244,3,11:38.0,P. Prigioni misses 2-pt jump shot from 11 ft,,55,62
245,3,11:36.0,,Defensive rebound by D. Booker,55,62
246,3,11:22.0,,Turnover by J. Leuer (bad pass; steal by A. Rivers),55,62
247,3,11:08.0,A. Rivers misses 2-pt layup from 2 ft,,55,62
248,3,11:07.0,,Defensive rebound by A. Len,55,62
249,3,10:48.0,,D. Booker misses 2-pt jump shot from 11 ft,55,62
250,3,10:47.0,,Offensive rebound by J. Leuer,55,62
251,3,10:36.0,,J. Leuer makes 2-pt hook shot from 8 ft,55,64
252,3,10:11.0,P. Pierce misses 3-pt jump shot from 24 ft,,55,64
