,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,HOUSTON_ACTION,SACRAMENTO_SCORE,HOUSTON_SCORE
0,1,11:36.0,,J. Harden misses 3-pt jump shot from 22 ft,0,0
1,1,11:35.0,Defensive rebound by O. Casspi,,0,0
2,1,11:27.0,D. Cousins makes 2-pt jump shot from 17 ft (assist by R. Rondo),,2,0
3,1,11:12.0,,J. Harden misses 2-pt jump shot from 4 ft,2,0
4,1,11:11.0,Defensive rebound by D. Cousins,,2,0
5,1,11:03.0,B. McLemore makes 2-pt dunk at rim (assist by R. Rondo),,4,0
6,1,10:48.0,,P. Beverley makes 3-pt jump shot from 25 ft,4,3
7,1,10:34.0,D. Cousins misses 3-pt jump shot from 23 ft,,4,3
8,1,10:33.0,,Defensive rebound by Team,4,3
9,1,10:22.0,,P. Beverley misses 2-pt jump shot from 6 ft,4,3
10,1,10:21.0,Defensive rebound by D. Cousins,,4,3
11,1,10:18.0,Shooting foul by J. Harden (drawn by O. Casspi),,4,3
12,1,10:18.0,O. Casspi makes free throw 1 of 2,,5,3
13,1,10:18.0,O. Casspi makes free throw 2 of 2,,6,3
14,1,9:57.0,,D. Howard makes 2-pt layup at rim (assist by C. Capela),6,5
15,1,9:37.0,B. McLemore misses 3-pt jump shot from 25 ft,,6,5
16,1,9:37.0,,Defensive rebound by C. Capela,6,5
17,1,9:23.0,,P. Beverley makes 3-pt jump shot from 24 ft,6,8
18,1,9:10.0,Turnover by R. Gay (bad pass; steal by D. Howard),,6,8
19,1,9:10.0,,Personal foul by R. Gay (drawn by D. Howard),6,8
20,1,8:52.0,,Personal foul by D. Cousins (drawn by D. Howard),6,8
21,1,8:45.0,,C. Capela makes 2-pt dunk at rim (assist by P. Beverley),6,10
22,1,8:35.0,Turnover by O. Casspi (step out of bounds),,6,10
23,1,8:27.0,,J. Harden misses 2-pt jump shot from 8 ft,6,10
24,1,8:26.0,Defensive rebound by D. Cousins,,6,10
25,1,8:23.0,R. Gay makes 2-pt layup from 2 ft (assist by D. Cousins),,8,10
26,1,8:07.0,,T. Ariza misses 3-pt jump shot from 24 ft,8,10
27,1,8:06.0,Defensive rebound by B. McLemore,,8,10
28,1,7:58.0,R. Rondo misses 2-pt layup from 4 ft,,8,10
29,1,7:58.0,,Defensive rebound by D. Howard,8,10
30,1,7:48.0,Violation by D. Cousins (kicked ball),,8,10
31,1,7:34.0,,T. Ariza misses 3-pt jump shot from 22 ft,8,10
32,1,7:34.0,Defensive rebound by R. Gay,,8,10
33,1,7:26.0,O. Casspi makes 2-pt layup from 2 ft (assist by D. Cousins),,10,10
34,1,7:11.0,,P. Beverley misses 3-pt jump shot from 24 ft,10,10
35,1,7:10.0,Defensive rebound by B. McLemore,,10,10
36,1,7:05.0,Turnover by R. Rondo (bad pass; steal by C. Capela),,10,10
37,1,7:05.0,,Personal foul by R. Gay (drawn by C. Capela),10,10
38,1,7:05.0,Q. Acy enters the game for R. Gay,,10,10
39,1,6:45.0,,J. Harden makes 3-pt jump shot from 24 ft,10,13
40,1,6:34.0,D. Cousins misses 3-pt jump shot from 24 ft,,10,13
41,1,6:33.0,,Defensive rebound by C. Capela,10,13
42,1,6:13.0,,C. Capela misses 2-pt jump shot from 3 ft (block by B. McLemore),10,13
43,1,6:12.0,,Offensive rebound by D. Howard,10,13
44,1,6:12.0,,D. Howard makes 2-pt layup from 1 ft,10,15
45,1,6:12.0,,Shooting foul by Q. Acy (drawn by D. Howard),10,15
46,1,6:12.0,,T. Jones enters the game for C. Capela,10,15
47,1,6:12.0,,C. Brewer enters the game for T. Ariza,10,15
48,1,6:12.0,,D. Howard misses free throw 1 of 1,10,15
49,1,6:11.0,Defensive rebound by B. McLemore,,10,15
50,1,5:53.0,R. Rondo makes 2-pt layup from 2 ft,,12,15
51,1,5:45.0,,Turnover by D. Howard (lost ball; steal by R. Rondo),12,15
52,1,5:36.0,B. McLemore misses 2-pt jump shot from 3 ft,,12,15
53,1,5:34.0,Offensive rebound by Q. Acy,,12,15
54,1,5:34.0,Q. Acy misses 2-pt layup from 1 ft,,12,15
55,1,5:33.0,,Defensive rebound by D. Howard,12,15
56,1,5:27.0,,C. Brewer misses 3-pt jump shot from 24 ft,12,15
57,1,5:27.0,,Offensive rebound by D. Howard,12,15
58,1,5:24.0,Loose ball foul by O. Casspi (drawn by P. Beverley),,12,15
59,1,5:24.0,,Houston full timeout,12,15
60,1,5:24.0,,D. Motiejūnas enters the game for D. Howard,12,15
61,1,5:24.0,,P. Beverley makes free throw 1 of 2,12,16
62,1,5:24.0,,P. Beverley misses free throw 2 of 2,12,16
63,1,5:21.0,,Offensive rebound by Team,12,16
64,1,5:21.0,,T. Lawson enters the game for P. Beverley,12,16
65,1,5:14.0,,Turnover by C. Brewer (bad pass; steal by R. Rondo),12,16
66,1,5:08.0,Q. Acy makes 2-pt layup at rim (assist by R. Rondo),,14,16
67,1,5:03.0,,Turnover by T. Lawson (dbl dribble),14,16
68,1,5:03.0,M. Belinelli enters the game for B. McLemore,,14,16
69,1,4:52.0,,Offensive charge foul by D. Cousins (drawn by D. Motiejūnas),14,16
70,1,4:52.0,Turnover by D. Cousins (offensive foul),,14,16
71,1,4:52.0,K. Koufos enters the game for D. Cousins,,14,16
72,1,4:31.0,,T. Lawson misses 3-pt jump shot from 24 ft,14,16
73,1,4:30.0,,Offensive rebound by C. Brewer,14,16
74,1,4:19.0,,D. Motiejūnas misses 2-pt layup from 2 ft,14,16
75,1,4:18.0,,Offensive rebound by T. Jones,14,16
76,1,4:18.0,,T. Jones makes 2-pt layup from 1 ft,14,18
