,QUARTER,TIME_REMAINING,BOSTON_ACTION,PHILADELPHIA_ACTION,BOSTON_SCORE,PHILADELPHIA_SCORE
0,1,11:43.0,,N. Noel misses 2-pt layup from 1 ft,0,0
1,1,11:42.0,,Offensive rebound by N. Noel,0,0
2,1,11:42.0,,N. Noel makes 2-pt hook shot from 1 ft,0,2
3,1,11:29.0,I. Thomas misses 2-pt layup from 4 ft,,0,2
4,1,11:29.0,,Defensive rebound by J. Sampson,0,2
5,1,11:21.0,,J. Okafor misses 2-pt jump shot from 15 ft,0,2
6,1,11:19.0,Defensive rebound by A. Johnson,,0,2
7,1,11:02.0,A. Johnson makes 2-pt dunk at rim (assist by J. Crowder),,2,2
8,1,10:49.0,,Def 3 sec tech foul by A. Johnson,2,2
9,1,10:49.0,,R. Covington makes technical free throw,2,3
10,1,10:37.0,,I. Smith makes 2-pt jump shot from 16 ft,2,5
11,1,10:21.0,J. Sullinger misses 2-pt jump shot from 18 ft,,2,5
12,1,10:18.0,Offensive rebound by A. Johnson,,2,5
13,1,10:14.0,J. Crowder makes 3-pt jump shot from 25 ft (assist by I. Thomas),,5,5
14,1,9:48.0,,I. Smith misses 2-pt jump shot from 16 ft,5,5
15,1,9:46.0,Defensive rebound by A. Johnson,,5,5
16,1,9:41.0,I. Thomas misses 3-pt jump shot from 24 ft,,5,5
17,1,9:37.0,,Defensive rebound by J. Okafor,5,5
18,1,9:32.0,,Turnover by I. Smith (lost ball; steal by J. Sullinger),5,5
19,1,9:29.0,I. Thomas makes 2-pt layup from 1 ft (assist by J. Sullinger),,7,5
20,1,9:29.0,Shooting foul by J. Okafor (drawn by I. Thomas),,7,5
21,1,9:29.0,I. Thomas makes free throw 1 of 1,,8,5
22,1,9:12.0,Offensive charge foul by J. Sampson (drawn by J. Crowder),,8,5
23,1,9:12.0,,Turnover by J. Sampson (offensive foul),8,5
24,1,8:56.0,A. Bradley misses 2-pt jump shot from 18 ft (block by I. Smith),,8,5
25,1,8:53.0,Offensive rebound by J. Sullinger,,8,5
26,1,8:50.0,I. Thomas makes 2-pt jump shot from 18 ft (assist by J. Sullinger),,10,5
27,1,8:42.0,,J. Sampson misses 2-pt jump shot from 3 ft,10,5
28,1,8:40.0,Defensive rebound by A. Johnson,,10,5
29,1,8:22.0,J. Sullinger makes 2-pt jump shot from 17 ft (assist by A. Bradley),,12,5
30,1,8:04.0,,N. Noel misses 2-pt jump shot from 16 ft,12,5
31,1,8:03.0,Defensive rebound by A. Bradley,,12,5
32,1,7:56.0,A. Bradley makes 3-pt jump shot from 25 ft,,15,5
33,1,7:56.0,,Philadelphia full timeout,15,5
34,1,7:56.0,,H. Thompson enters the game for J. Sampson,15,5
35,1,7:40.0,,I. Smith makes 2-pt jump shot from 11 ft,15,7
36,1,7:24.0,J. Sullinger misses 2-pt jump shot from 18 ft,,15,7
37,1,7:22.0,,Defensive rebound by N. Noel,15,7
38,1,7:16.0,,Turnover by I. Smith (lost ball),15,7
39,1,7:07.0,I. Thomas misses 2-pt jump shot from 12 ft,,15,7
40,1,7:05.0,Offensive rebound by A. Johnson,,15,7
41,1,7:02.0,J. Crowder makes 3-pt jump shot from 25 ft (assist by A. Johnson),,18,7
42,1,6:44.0,,R. Covington makes 3-pt jump shot from 25 ft (assist by I. Smith),18,10
43,1,6:32.0,A. Bradley misses 2-pt layup from 1 ft,,18,10
44,1,6:30.0,,Defensive rebound by N. Noel,18,10
45,1,6:15.0,,J. Okafor makes 2-pt jump shot from 12 ft (assist by I. Smith),18,12
46,1,5:59.0,I. Thomas misses 2-pt jump shot from 3 ft (block by J. Okafor),,18,12
47,1,5:59.0,,Defensive rebound by Team,18,12
48,1,5:59.0,,J. Grant enters the game for N. Noel,18,12
49,1,5:44.0,,R. Covington makes 3-pt jump shot from 26 ft (assist by J. Grant),18,15
50,1,5:23.0,J. Crowder misses 3-pt jump shot from 26 ft,,18,15
51,1,5:20.0,Offensive rebound by A. Johnson,,18,15
52,1,5:19.0,Turnover by A. Johnson (bad pass; steal by J. Grant),,18,15
53,1,5:13.0,,J. Grant misses 2-pt layup from 2 ft,18,15
54,1,5:10.0,,Offensive rebound by R. Covington,18,15
55,1,5:10.0,,R. Covington misses 2-pt layup from 2 ft,18,15
56,1,5:09.0,Defensive rebound by J. Sullinger,,18,15
57,1,5:02.0,A. Bradley makes 3-pt jump shot from 23 ft (assist by A. Johnson),,21,15
58,1,4:44.0,,R. Covington makes 3-pt jump shot from 26 ft (assist by I. Smith),21,18
59,1,4:30.0,I. Thomas makes 2-pt layup from 1 ft (assist by A. Johnson),,23,18
60,1,4:07.0,,H. Thompson misses 2-pt jump shot from 15 ft,23,18
61,1,4:05.0,Defensive rebound by J. Sullinger,,23,18
62,1,3:52.0,J. Crowder misses 2-pt jump shot from 14 ft,,23,18
63,1,3:49.0,Offensive rebound by J. Sullinger,,23,18
64,1,3:49.0,J. Sullinger makes 2-pt layup from 1 ft,,25,18
65,1,3:37.0,,Def 3 sec tech foul by A. Johnson,25,18
66,1,3:37.0,,R. Covington misses technical free throw,25,18
67,1,3:37.0,,Offensive rebound by Team,25,18
68,1,3:37.0,E. Turner enters the game for J. Crowder,,25,18
69,1,3:37.0,M. Smart enters the game for J. Sullinger,,25,18
70,1,3:37.0,,T. McConnell enters the game for J. Okafor,25,18
71,1,3:37.0,,R. Holmes enters the game for I. Smith,25,18
72,1,3:23.0,,Turnover by Team (shot clock),25,18
73,1,3:08.0,A. Johnson misses 2-pt hook shot from 4 ft,,25,18
74,1,3:06.0,Offensive rebound by A. Johnson,,25,18
75,1,3:05.0,A. Johnson misses 2-pt layup from 2 ft,,25,18
76,1,3:04.0,,Defensive rebound by T. McConnell,25,18
77,1,2:54.0,,J. Grant misses 3-pt jump shot from 23 ft,25,18
78,1,2:52.0,,Offensive rebound by R. Holmes,25,18
79,1,2:49.0,,H. Thompson makes 3-pt jump shot from 23 ft (assist by R. Holmes),25,21
80,1,2:47.0,Boston full timeout,,25,21
81,1,2:47.0,J. Jerebko enters the game for I. Thomas,,25,21
82,1,2:47.0,K. Olynyk enters the game for A. Johnson,,25,21
83,1,2:47.0,,I. Canaan enters the game for R. Covington,25,21
84,1,2:34.0,A. Bradley misses 2-pt jump shot from 5 ft (block by H. Thompson),,25,21
85,1,2:28.0,Offensive rebound by Team,,25,21
86,1,2:23.0,M. Smart makes 2-pt jump shot from 10 ft (assist by A. Bradley),,27,21
87,1,2:14.0,,T. McConnell misses 2-pt jump shot from 14 ft,27,21
88,1,2:14.0,Defensive rebound by Team,,27,21
89,1,1:57.0,J. Jerebko misses 3-pt jump shot from 25 ft,,27,21
90,1,1:55.0,,Defensive rebound by T. McConnell,27,21
91,1,1:44.0,,T. McConnell misses 2-pt jump shot from 3 ft,27,21
92,1,1:42.0,,Offensive rebound by R. Holmes,27,21
93,1,1:41.0,,R. Holmes makes 2-pt jump shot from 5 ft,27,23
