,QUARTER,TIME_REMAINING,DENVER_ACTION,MINNESOTA_ACTION,DENVER_SCORE,MINNESOTA_SCORE
0,1,11:36.0,D. Gallinari misses 2-pt jump shot from 21 ft,,0,0
1,1,11:34.0,,Defensive rebound by K. Garnett,0,0
2,1,11:26.0,,A. Wiggins makes 3-pt jump shot from 24 ft (assist by R. Rubio),0,3
3,1,11:13.0,Turnover by D. Gallinari (traveling),,0,3
4,1,10:59.0,,A. Wiggins misses 2-pt jump shot from 17 ft,0,3
5,1,10:58.0,Defensive rebound by J. Lauvergne,,0,3
6,1,10:47.0,,Offensive charge foul by J. Lauvergne (drawn by K. Garnett),0,3
7,1,10:47.0,Turnover by J. Lauvergne (offensive foul),,0,3
8,1,10:37.0,,Turnover by A. Wiggins (bad pass; steal by J. Nelson),0,3
9,1,10:24.0,G. Harris makes 2-pt layup at rim,,2,3
10,1,10:08.0,,A. Wiggins misses 2-pt layup from 2 ft,2,3
11,1,10:08.0,Defensive rebound by Team,,2,3
12,1,9:42.0,G. Harris makes 2-pt jump shot from 14 ft,,4,3
13,1,9:30.0,,K. Towns misses 2-pt jump shot from 12 ft,4,3
14,1,9:28.0,Defensive rebound by J. Lauvergne,,4,3
15,1,9:15.0,J. Lauvergne misses 2-pt jump shot from 4 ft,,4,3
16,1,9:14.0,,Defensive rebound by K. Garnett,4,3
17,1,9:07.0,,Shooting foul by J. Nelson (drawn by R. Rubio),4,3
18,1,9:07.0,,R. Rubio makes free throw 1 of 2,4,4
19,1,9:07.0,,R. Rubio makes free throw 2 of 2,4,5
20,1,8:49.0,Personal foul by A. Wiggins (drawn by D. Gallinari),,4,5
21,1,8:42.0,J. Nelson misses 2-pt jump shot from 20 ft,,4,5
22,1,8:41.0,,Defensive rebound by K. Towns,4,5
23,1,8:35.0,,Minnesota full timeout,4,5
24,1,8:26.0,,K. Garnett makes 2-pt jump shot from 13 ft (assist by K. Martin),4,7
25,1,7:59.0,K. Faried makes 2-pt jump shot from 15 ft (assist by D. Gallinari),,6,7
26,1,7:43.0,,A. Wiggins makes 2-pt jump shot from 9 ft (assist by K. Towns),6,9
27,1,7:29.0,K. Faried makes 2-pt layup from 2 ft (assist by D. Gallinari),,8,9
28,1,7:10.0,,K. Garnett misses 2-pt jump shot from 20 ft,8,9
29,1,7:09.0,Defensive rebound by J. Lauvergne,,8,9
30,1,7:04.0,Personal foul by R. Rubio (drawn by J. Nelson),,8,9
31,1,6:56.0,K. Faried misses 2-pt jump shot from 12 ft,,8,9
32,1,6:55.0,,Defensive rebound by K. Garnett,8,9
33,1,6:45.0,,K. Garnett makes 2-pt jump shot from 20 ft (assist by K. Martin),8,11
34,1,6:32.0,K. Faried misses 2-pt jump shot from 3 ft (block by K. Towns),,8,11
35,1,6:30.0,Offensive rebound by K. Faried,,8,11
36,1,6:30.0,Personal foul by K. Garnett (drawn by K. Faried),,8,11
37,1,6:25.0,Turnover by J. Nelson (bad pass; steal by K. Garnett),,8,11
38,1,6:21.0,,K. Martin misses 2-pt layup from 2 ft,8,11
39,1,6:20.0,Defensive rebound by G. Harris,,8,11
40,1,6:12.0,Shooting foul by K. Garnett (drawn by K. Faried),,8,11
41,1,6:12.0,K. Faried misses free throw 1 of 2,,8,11
42,1,6:12.0,Offensive rebound by Team,,8,11
43,1,6:12.0,K. Faried misses free throw 2 of 2,,8,11
44,1,6:11.0,Offensive rebound by J. Lauvergne,,8,11
45,1,6:11.0,J. Lauvergne makes 2-pt layup from 1 ft,,10,11
46,1,5:58.0,,Shooting foul by J. Nelson (drawn by R. Rubio),10,11
47,1,5:58.0,,R. Rubio makes free throw 1 of 2,10,12
48,1,5:58.0,,R. Rubio misses free throw 2 of 2,10,12
49,1,5:57.0,Defensive rebound by K. Faried,,10,12
50,1,5:57.0,Personal foul by K. Towns (drawn by K. Faried),,10,12
51,1,5:57.0,,Technical foul by K. Towns,10,12
52,1,5:57.0,D. Gallinari makes technical free throw,,11,12
53,1,5:57.0,K. Faried makes free throw 1 of 2,,12,12
54,1,5:57.0,K. Faried misses free throw 2 of 2,,12,12
55,1,5:56.0,,Defensive rebound by R. Rubio,12,12
56,1,5:45.0,,K. Martin misses 2-pt jump shot from 9 ft,12,12
57,1,5:43.0,,Offensive rebound by K. Garnett,12,12
58,1,5:40.0,,K. Towns misses 2-pt dunk at rim,12,12
59,1,5:39.0,Defensive rebound by K. Faried,,12,12
60,1,5:33.0,J. Lauvergne makes 3-pt jump shot from 24 ft (assist by J. Nelson),,15,12
