,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,CHICAGO_ACTION,SACRAMENTO_SCORE,CHICAGO_SCORE
0,1,11:44.0,,M. Dunleavy misses 3-pt jump shot from 25 ft,0,0
1,1,11:43.0,Defensive rebound by Q. Acy,,0,0
2,1,11:19.0,R. Gay makes 3-pt jump shot from 22 ft (assist by J. Anderson),,3,0
3,1,11:07.0,,T. Gibson misses 2-pt jump shot from 7 ft (block by D. Cousins),3,0
4,1,11:04.0,,Offensive rebound by T. Gibson,3,0
5,1,11:03.0,,T. Gibson makes 2-pt layup from 2 ft,3,2
6,1,10:46.0,Turnover by D. Cousins (bad pass; steal by J. Butler),,3,2
7,1,10:32.0,,P. Gasol misses 2-pt jump shot from 18 ft,3,2
8,1,10:31.0,Defensive rebound by D. Cousins,,3,2
9,1,10:20.0,R. Rondo misses 2-pt jump shot from 20 ft,,3,2
10,1,10:19.0,,Defensive rebound by P. Gasol,3,2
11,1,9:55.0,,T. Gibson misses 2-pt jump shot from 17 ft,3,2
12,1,9:53.0,Defensive rebound by R. Rondo,,3,2
13,1,9:50.0,Turnover by R. Rondo (bad pass; steal by J. Butler),,3,2
14,1,9:44.0,,D. Rose makes 2-pt jump shot from 7 ft,3,4
15,1,9:24.0,Q. Acy makes 2-pt jump shot from 18 ft (assist by J. Anderson),,5,4
16,1,9:11.0,,M. Dunleavy misses 3-pt jump shot from 25 ft,5,4
17,1,9:10.0,Defensive rebound by R. Gay,,5,4
18,1,9:04.0,R. Rondo makes 2-pt layup from 2 ft (assist by R. Gay),,7,4
19,1,8:54.0,,D. Rose makes 2-pt jump shot from 7 ft,7,6
20,1,8:26.0,J. Anderson misses 3-pt jump shot from 24 ft,,7,6
21,1,8:25.0,,Defensive rebound by D. Rose,7,6
22,1,8:12.0,,T. Gibson misses 2-pt layup from 1 ft,7,6
23,1,8:11.0,,Offensive rebound by P. Gasol,7,6
24,1,8:11.0,,P. Gasol makes 2-pt layup from 1 ft,7,8
25,1,8:09.0,,Technical foul by T. Gibson,7,8
26,1,8:09.0,R. Gay makes technical free throw,,8,8
27,1,7:52.0,D. Cousins misses 2-pt jump shot from 9 ft (block by T. Gibson),,8,8
28,1,7:51.0,,Defensive rebound by M. Dunleavy,8,8
29,1,7:43.0,,T. Gibson makes 2-pt jump shot from 11 ft (assist by P. Gasol),8,10
30,1,7:27.0,Turnover by R. Gay (bad pass; steal by J. Butler),,8,10
31,1,7:27.0,,Personal foul by R. Gay,8,10
32,1,7:16.0,,J. Butler misses 2-pt jump shot from 18 ft,8,10
33,1,7:14.0,Defensive rebound by R. Rondo,,8,10
34,1,7:10.0,J. Anderson makes 2-pt dunk at rim (assist by R. Rondo),,10,10
35,1,6:59.0,,D. Rose misses 2-pt jump shot from 15 ft,10,10
36,1,6:59.0,,Offensive rebound by Team,10,10
37,1,6:46.0,,Shooting foul by R. Rondo (drawn by J. Butler),10,10
38,1,6:46.0,,J. Butler makes free throw 1 of 3,10,11
39,1,6:46.0,,J. Butler makes free throw 2 of 3,10,12
40,1,6:46.0,,J. Butler makes free throw 3 of 3,10,13
41,1,6:35.0,R. Rondo makes 2-pt layup from 2 ft,,12,13
