,QUARTER,TIME_REMAINING,TORONTO_ACTION,PHILADELPHIA_ACTION,TORONTO_SCORE,PHILADELPHIA_SCORE
0,1,11:43.0,,J. Okafor misses 2-pt jump shot from 16 ft,0,0
1,1,11:41.0,Defensive rebound by J. Johnson,,0,0
2,1,11:25.0,K. Lowry makes 3-pt jump shot from 26 ft (assist by D. DeRozan),,3,0
3,1,11:01.0,,N. Stauskas misses 3-pt jump shot from 26 ft,3,0
4,1,11:01.0,,Offensive rebound by J. Grant,3,0
5,1,11:01.0,,Shooting foul by L. Scola (drawn by J. Grant),3,0
6,1,11:01.0,,J. Grant misses free throw 1 of 2,3,0
7,1,11:01.0,,Offensive rebound by Team,3,0
8,1,11:01.0,,J. Grant misses free throw 2 of 2,3,0
9,1,10:59.0,,Offensive rebound by Team,3,0
10,1,10:49.0,,J. Okafor misses 2-pt layup from 2 ft,3,0
11,1,10:47.0,,Offensive rebound by J. Grant,3,0
12,1,10:47.0,,J. Grant misses 2-pt layup from 2 ft,3,0
13,1,10:45.0,Defensive rebound by J. Valančiūnas,,3,0
14,1,10:41.0,Shooting foul by T. McConnell (drawn by K. Lowry),,3,0
15,1,10:41.0,K. Lowry makes free throw 1 of 2,,4,0
16,1,10:41.0,K. Lowry makes free throw 2 of 2,,5,0
17,1,10:23.0,,J. Okafor makes 2-pt layup from 1 ft (assist by N. Stauskas),5,2
18,1,9:57.0,K. Lowry misses 2-pt jump shot from 8 ft,,5,2
19,1,9:55.0,Offensive rebound by Team,,5,2
20,1,9:44.0,J. Valančiūnas misses 2-pt jump shot from 6 ft (block by J. Okafor),,5,2
21,1,9:42.0,,Defensive rebound by T. McConnell,5,2
22,1,9:38.0,,T. McConnell makes 2-pt layup from 1 ft,5,4
23,1,9:21.0,D. DeRozan makes 2-pt jump shot from 17 ft (assist by K. Lowry),,7,4
24,1,9:09.0,,N. Stauskas makes 3-pt jump shot from 25 ft (assist by T. McConnell),7,7
25,1,9:00.0,Personal foul by N. Stauskas (drawn by D. DeRozan),,7,7
26,1,8:54.0,D. DeRozan misses 2-pt jump shot from 18 ft,,7,7
27,1,8:53.0,,Defensive rebound by J. Sampson,7,7
28,1,8:44.0,,J. Okafor makes 2-pt dunk at rim (assist by N. Stauskas),7,9
29,1,8:19.0,,Violation by J. Okafor (def goaltending),7,9
30,1,8:19.0,L. Scola makes 2-pt hook shot from 5 ft,,9,9
31,1,8:10.0,,Shooting foul by J. Valančiūnas (drawn by J. Grant),9,9
32,1,8:10.0,,J. Grant makes free throw 1 of 2,9,10
33,1,8:10.0,,J. Grant makes free throw 2 of 2,9,11
34,1,8:01.0,D. DeRozan misses 2-pt layup from 2 ft (block by J. Okafor),,9,11
35,1,8:01.0,,Defensive rebound by Team,9,11
36,1,7:49.0,,J. Okafor misses 2-pt jump shot from 12 ft,9,11
37,1,7:47.0,,Offensive rebound by J. Sampson,9,11
38,1,7:46.0,,J. Sampson makes 2-pt layup from 2 ft,9,13
39,1,7:28.0,L. Scola misses 2-pt jump shot from 11 ft,,9,13
40,1,7:27.0,Offensive rebound by L. Scola,,9,13
41,1,7:26.0,L. Scola misses 2-pt jump shot from 9 ft,,9,13
42,1,7:26.0,Offensive rebound by J. Valančiūnas,,9,13
43,1,7:26.0,Shooting foul by J. Grant (drawn by J. Valančiūnas),,9,13
44,1,7:26.0,J. Valančiūnas makes free throw 1 of 2,,10,13
45,1,7:26.0,J. Valančiūnas makes free throw 2 of 2,,11,13
46,1,7:10.0,,Turnover by J. Okafor (step out of bounds),11,13
47,1,6:59.0,K. Lowry misses 3-pt jump shot from 28 ft,,11,13
48,1,6:57.0,,Defensive rebound by J. Grant,11,13
49,1,6:49.0,,J. Sampson makes 2-pt dunk at rim (assist by T. McConnell),11,15
50,1,6:35.0,J. Valančiūnas misses 2-pt jump shot from 3 ft,,11,15
51,1,6:32.0,,Defensive rebound by J. Sampson,11,15
52,1,6:24.0,,T. McConnell misses 2-pt jump shot from 11 ft,11,15
53,1,6:22.0,Defensive rebound by L. Scola,,11,15
54,1,6:16.0,D. DeRozan makes 3-pt jump shot from 23 ft (assist by L. Scola),,14,15
55,1,6:15.0,,Philadelphia full timeout,14,15
56,1,6:15.0,,C. Wood enters the game for J. Grant,14,15
57,1,5:58.0,,J. Sampson misses 2-pt jump shot from 4 ft (block by J. Johnson),14,15
58,1,5:55.0,Defensive rebound by J. Valančiūnas,,14,15
59,1,5:44.0,L. Scola makes 2-pt jump shot from 5 ft,,16,15
60,1,5:26.0,,J. Okafor makes 2-pt layup from 2 ft (assist by T. McConnell),16,17
61,1,5:08.0,Shooting foul by J. Sampson (drawn by K. Lowry),,16,17
62,1,5:08.0,K. Lowry makes free throw 1 of 2,,17,17
63,1,5:08.0,,H. Thompson enters the game for J. Sampson,17,17
64,1,5:08.0,,I. Canaan enters the game for N. Stauskas,17,17
65,1,5:08.0,B. Biyombo enters the game for J. Valančiūnas,,17,17
66,1,5:08.0,P. Patterson enters the game for L. Scola,,17,17
67,1,5:08.0,K. Lowry makes free throw 2 of 2,,18,17
68,1,4:47.0,,J. Okafor makes 2-pt jump shot from 7 ft,18,19
69,1,4:35.0,D. DeRozan makes 2-pt jump shot from 6 ft (assist by K. Lowry),,20,19
70,1,4:17.0,,H. Thompson misses 2-pt jump shot from 13 ft,20,19
71,1,4:15.0,Defensive rebound by P. Patterson,,20,19
72,1,4:01.0,P. Patterson misses 3-pt jump shot from 25 ft,,20,19
73,1,3:59.0,,Defensive rebound by T. McConnell,20,19
74,1,3:48.0,,I. Canaan misses 3-pt jump shot from 25 ft,20,19
75,1,3:46.0,Defensive rebound by K. Lowry,,20,19
76,1,3:41.0,K. Lowry misses 3-pt jump shot from 26 ft,,20,19
77,1,3:39.0,,Defensive rebound by J. Okafor,20,19
78,1,3:28.0,,J. Okafor makes 2-pt jump shot from 3 ft,20,21
79,1,3:28.0,,Shooting foul by B. Biyombo (drawn by J. Okafor),20,21
80,1,3:28.0,C. Joseph enters the game for J. Johnson,,20,21
81,1,3:28.0,,J. Okafor misses free throw 1 of 1,20,21
82,1,3:26.0,,Offensive rebound by H. Thompson,20,21
83,1,3:17.0,Violation by C. Joseph (kicked ball),,20,21
84,1,3:17.0,,J. Grant enters the game for J. Okafor,20,21
85,1,3:05.0,,C. Wood misses 2-pt jump shot from 17 ft,20,21
86,1,3:04.0,Defensive rebound by P. Patterson,,20,21
87,1,2:57.0,Shooting foul by C. Wood (drawn by D. DeRozan),,20,21
88,1,2:57.0,Toronto full timeout,,20,21
89,1,2:57.0,,P. Pressey enters the game for T. McConnell,20,21
90,1,2:57.0,D. DeRozan makes free throw 1 of 2,,21,21
91,1,2:57.0,D. DeRozan makes free throw 2 of 2,,22,21
92,1,2:49.0,,C. Wood makes 2-pt dunk at rim (assist by P. Pressey),22,23
93,1,2:36.0,D. DeRozan misses 2-pt dunk at rim,,22,23
94,1,2:34.0,,Defensive rebound by P. Pressey,22,23
95,1,2:29.0,,I. Canaan makes 3-pt jump shot from 25 ft (assist by P. Pressey),22,26
96,1,2:10.0,D. DeRozan makes 2-pt jump shot from 14 ft,,24,26
97,1,1:56.0,,H. Thompson makes 3-pt jump shot from 25 ft (assist by P. Pressey),24,29
98,1,1:41.0,Personal foul by H. Thompson (drawn by D. DeRozan),,24,29
99,1,1:41.0,D. DeRozan makes free throw 1 of 2,,25,29
100,1,1:41.0,N. Powell enters the game for K. Lowry,,25,29
101,1,1:41.0,D. DeRozan misses free throw 2 of 2,,25,29
102,1,1:41.0,,Defensive rebound by Team,25,29
103,1,1:41.0,Loose ball foul by B. Biyombo (drawn by C. Wood),,25,29
104,1,1:27.0,,I. Canaan makes 3-pt jump shot from 25 ft (assist by H. Thompson),25,32
105,1,1:09.0,P. Patterson misses 3-pt jump shot from 26 ft,,25,32
106,1,1:08.0,Offensive rebound by B. Biyombo,,25,32
107,1,1:07.0,B. Biyombo misses 2-pt layup from 2 ft,,25,32
108,1,1:03.0,Offensive rebound by B. Biyombo,,25,32
109,1,0:59.0,N. Powell makes 2-pt layup from 1 ft,,27,32
110,1,0:47.0,,Shooting foul by D. DeRozan (drawn by H. Thompson),27,32
111,1,0:47.0,,H. Thompson makes free throw 1 of 2,27,33
112,1,0:47.0,L. Scola enters the game for B. Biyombo,,27,33
113,1,0:47.0,,H. Thompson makes free throw 2 of 2,27,34
114,1,0:27.0,L. Scola misses 2-pt jump shot from 4 ft,,27,34
115,1,0:26.0,,Defensive rebound by C. Wood,27,34
116,1,0:05.0,,Turnover by P. Pressey (bad pass; steal by P. Patterson),27,34
117,1,0:02.0,P. Patterson misses 2-pt layup at rim,,27,34
118,1,0:01.0,Offensive rebound by P. Patterson,,27,34
119,1,0:01.0,P. Patterson makes 2-pt jump shot from 14 ft,,29,34
120,2,11:52.0,Personal foul by P. Pressey (drawn by C. Joseph),,29,34
121,2,11:43.0,C. Joseph makes 2-pt layup from 1 ft,,31,34
122,2,11:20.0,,I. Canaan makes 3-pt jump shot from 26 ft (assist by N. Stauskas),31,37
123,2,11:05.0,Personal foul by I. Canaan (drawn by C. Joseph),,31,37
124,2,10:53.0,P. Patterson makes 2-pt jump shot from 5 ft (assist by C. Joseph),,33,37
125,2,10:41.0,,J. Grant makes 2-pt layup from 1 ft,33,39
126,2,10:33.0,Turnover by P. Patterson (traveling),,33,39
127,2,10:33.0,,J. Sampson enters the game for P. Pressey,33,39
128,2,10:20.0,,Turnover by I. Canaan (bad pass; steal by J. Johnson),33,39
129,2,10:15.0,,Violation by J. Sampson (def goaltending),33,39
130,2,10:15.0,N. Powell makes 2-pt layup from 1 ft (assist by J. Johnson),,35,39
131,2,10:03.0,,N. Stauskas misses 2-pt layup at rim,35,39
132,2,10:00.0,Defensive rebound by L. Scola,,35,39
133,2,9:58.0,Personal foul by I. Canaan (drawn by N. Powell),,35,39
134,2,9:48.0,J. Johnson makes 2-pt jump shot from 3 ft (assist by C. Joseph),,37,39
135,2,9:42.0,,Personal foul by L. Scola (drawn by J. Okafor),37,39
136,2,9:42.0,,T. McConnell enters the game for I. Canaan,37,39
137,2,9:42.0,J. Valančiūnas enters the game for L. Scola,,37,39
138,2,9:24.0,,N. Stauskas misses 3-pt jump shot from 26 ft,37,39
139,2,9:24.0,,Offensive rebound by Team,37,39
140,2,9:24.0,,Turnover by Team (shot clock),37,39
141,2,9:09.0,C. Joseph makes 2-pt jump shot from 8 ft (assist by J. Valančiūnas),,39,39
142,2,9:09.0,Shooting foul by J. Okafor (drawn by C. Joseph),,39,39
143,2,9:09.0,C. Joseph makes free throw 1 of 1,,40,39
144,2,8:56.0,,J. Sampson misses 2-pt layup from 2 ft,40,39
145,2,8:54.0,Defensive rebound by J. Valančiūnas,,40,39
146,2,8:45.0,N. Powell misses 2-pt layup from 2 ft,,40,39
147,2,8:41.0,Offensive rebound by N. Powell,,40,39
148,2,8:39.0,N. Powell misses 2-pt layup from 2 ft (block by J. Okafor),,40,39
149,2,8:37.0,,Defensive rebound by J. Okafor,40,39
150,2,8:35.0,,J. Sampson makes 2-pt layup at rim (assist by T. McConnell),40,41
151,2,8:20.0,C. Joseph makes 2-pt layup at rim,,42,41
152,2,8:20.0,,Philadelphia full timeout,42,41
153,2,7:59.0,,J. Okafor misses 2-pt jump shot from 7 ft,42,41
154,2,7:57.0,Defensive rebound by C. Joseph,,42,41
