,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,DETROIT_ACTION,BROOKLYN_SCORE,DETROIT_SCORE
0,1,11:46.0,,R. Jackson makes 3-pt jump shot from 23 ft (assist by K. Caldwell-Pope),0,3
1,1,11:24.0,Shooting foul by M. Morris (drawn by W. Reed),,0,3
2,1,11:24.0,W. Reed makes free throw 1 of 2,,1,3
3,1,11:24.0,W. Reed makes free throw 2 of 2,,2,3
4,1,11:03.0,,A. Drummond makes 2-pt layup at rim (assist by K. Caldwell-Pope),2,5
5,1,10:48.0,B. Bogdanović makes 2-pt layup at rim (assist by W. Ellington),,4,5
6,1,10:30.0,,T. Harris makes 2-pt jump shot from 9 ft (assist by R. Jackson),4,7
7,1,10:16.0,B. Bogdanović misses 3-pt jump shot from 27 ft,,4,7
8,1,10:15.0,,Defensive rebound by A. Drummond,4,7
9,1,9:58.0,,R. Jackson misses 3-pt jump shot from 26 ft,4,7
10,1,9:58.0,Defensive rebound by W. Reed,,4,7
11,1,9:51.0,W. Reed makes 2-pt dunk at rim (assist by D. Sloan),,6,7
12,1,9:35.0,,T. Harris misses 3-pt jump shot from 25 ft,6,7
13,1,9:35.0,Defensive rebound by T. Young,,6,7
14,1,9:21.0,T. Young misses 3-pt jump shot from 26 ft,,6,7
15,1,9:21.0,,Defensive rebound by K. Caldwell-Pope,6,7
16,1,9:13.0,,R. Jackson makes 2-pt layup from 1 ft,6,9
17,1,8:57.0,T. Young makes 2-pt layup at rim (assist by D. Sloan),,8,9
18,1,8:46.0,,A. Drummond makes 2-pt layup at rim (assist by M. Morris),8,11
19,1,8:46.0,,Shooting foul by W. Reed (drawn by A. Drummond),8,11
20,1,8:46.0,,A. Drummond misses free throw 1 of 1,8,11
21,1,8:45.0,Defensive rebound by B. Bogdanović,,8,11
22,1,8:23.0,B. Bogdanović misses 2-pt jump shot from 7 ft (block by T. Harris),,8,11
23,1,8:22.0,,Defensive rebound by K. Caldwell-Pope,8,11
24,1,8:19.0,,K. Caldwell-Pope misses 2-pt layup from 1 ft,8,11
25,1,8:19.0,,Offensive rebound by T. Harris,8,11
26,1,8:18.0,,T. Harris makes 2-pt dunk at rim,8,13
27,1,8:10.0,Personal foul by K. Caldwell-Pope,,8,13
28,1,8:06.0,Offensive foul by W. Reed (drawn by K. Caldwell-Pope),,8,13
29,1,8:06.0,Turnover by W. Reed (offensive foul),,8,13
30,1,8:06.0,H. Sims enters the game for W. Reed,,8,13
31,1,7:52.0,,T. Harris misses 2-pt layup at rim,8,13
32,1,7:52.0,Defensive rebound by H. Sims,,8,13
33,1,7:42.0,B. Bogdanović makes 2-pt layup at rim (assist by D. Sloan),,10,13
34,1,7:22.0,,T. Harris misses 2-pt jump shot from 4 ft,10,13
35,1,7:22.0,,Offensive rebound by Team,10,13
36,1,7:18.0,,T. Harris misses 2-pt jump shot from 16 ft,10,13
37,1,7:18.0,Defensive rebound by W. Ellington,,10,13
38,1,6:58.0,D. Sloan misses 3-pt jump shot from 26 ft,,10,13
39,1,6:57.0,,Defensive rebound by K. Caldwell-Pope,10,13
40,1,6:49.0,,Turnover by A. Drummond (3 sec),10,13
41,1,6:30.0,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by D. Sloan),,13,13
42,1,6:15.0,,Shooting foul by T. Young (drawn by A. Drummond),13,13
43,1,6:15.0,,A. Drummond misses free throw 1 of 2,13,13
44,1,6:15.0,,Offensive rebound by Team,13,13
45,1,6:15.0,,A. Drummond misses free throw 2 of 2,13,13
46,1,6:14.0,Defensive rebound by T. Young,,13,13
47,1,5:52.0,H. Sims misses 2-pt jump shot from 13 ft,,13,13
48,1,5:50.0,,Defensive rebound by T. Harris,13,13
49,1,5:38.0,,A. Drummond makes 2-pt hook shot from 7 ft (assist by R. Jackson),13,15
50,1,5:22.0,D. Sloan makes 2-pt jump shot from 20 ft,,15,15
51,1,5:08.0,,Personal foul by H. Sims,15,15
52,1,5:08.0,,Detroit full timeout,15,15
53,1,5:08.0,,S. Johnson enters the game for M. Morris,15,15
54,1,4:59.0,,T. Harris misses 2-pt layup at rim,15,15
55,1,4:58.0,Defensive rebound by H. Sims,,15,15
56,1,4:45.0,T. Young makes 2-pt jump shot from 7 ft (assist by D. Sloan),,17,15
57,1,4:24.0,,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,17,15
58,1,4:24.0,,Offensive rebound by A. Drummond,17,15
59,1,4:20.0,,A. Drummond misses 2-pt layup at rim,17,15
60,1,4:18.0,Defensive rebound by H. Sims,,17,15
61,1,4:05.0,H. Sims makes 2-pt hook shot from 8 ft (assist by T. Young),,19,15
62,1,3:46.0,,K. Caldwell-Pope makes 2-pt jump shot from 6 ft,19,17
63,1,3:35.0,Shooting foul by A. Drummond (drawn by T. Young),,19,17
64,1,3:35.0,T. Young misses free throw 1 of 2,,19,17
65,1,3:35.0,Offensive rebound by Team,,19,17
66,1,3:35.0,T. Young misses free throw 2 of 2,,19,17
67,1,3:34.0,Offensive rebound by H. Sims,,19,17
68,1,3:28.0,D. Sloan misses 2-pt layup at rim,,19,17
69,1,3:28.0,,Defensive rebound by Team,19,17
70,1,3:28.0,Loose ball foul by T. Young,,19,17
71,1,3:28.0,T. Robinson enters the game for T. Young,,19,17
72,1,3:07.0,,R. Jackson makes 2-pt layup at rim,19,19
73,1,2:44.0,T. Robinson misses 2-pt jump shot from 10 ft,,19,19
74,1,2:44.0,,Defensive rebound by S. Johnson,19,19
75,1,2:36.0,Violation by H. Sims (def goaltending),,19,19
76,1,2:36.0,,T. Harris makes 2-pt layup at rim (assist by R. Jackson),19,21
77,1,2:36.0,Brooklyn full timeout,,19,21
78,1,2:36.0,,S. Blake enters the game for R. Jackson,19,21
79,1,2:19.0,B. Bogdanović misses 2-pt jump shot from 8 ft,,19,21
80,1,2:19.0,,Defensive rebound by A. Drummond,19,21
81,1,2:03.0,,T. Harris misses 2-pt jump shot from 17 ft,19,21
82,1,2:03.0,,Offensive rebound by T. Harris,19,21
83,1,1:55.0,,K. Caldwell-Pope makes 2-pt layup at rim (assist by T. Harris),19,23
84,1,1:40.0,H. Sims makes 2-pt jump shot from 18 ft (assist by B. Bogdanović),,21,23
85,1,1:21.0,,A. Drummond makes 2-pt hook shot from 5 ft (assist by T. Harris),21,25
86,1,1:09.0,Turnover by H. Sims (lost ball; steal by S. Johnson),,21,25
87,1,0:59.0,,S. Johnson misses 2-pt layup from 2 ft,21,25
88,1,0:59.0,,Offensive rebound by T. Harris,21,25
89,1,0:55.0,,T. Harris makes 2-pt layup at rim,21,27
90,1,0:48.0,D. Sloan makes 2-pt jump shot from 18 ft,,23,27
91,1,0:30.0,,Turnover by S. Blake (bad pass; steal by H. Sims),23,27
92,1,0:23.0,B. Bogdanović misses 3-pt jump shot from 27 ft,,23,27
93,1,0:22.0,,Defensive rebound by A. Drummond,23,27
94,1,0:00.0,,S. Johnson makes 2-pt jump shot from 11 ft,23,29
95,2,11:44.0,S. Kilpatrick misses 2-pt jump shot from 16 ft,,23,29
96,2,11:44.0,,Defensive rebound by R. Bullock,23,29
97,2,11:26.0,,A. Baynes misses 2-pt hook shot from 6 ft,23,29
98,2,11:24.0,Defensive rebound by H. Sims,,23,29
99,2,11:03.0,H. Sims makes 2-pt jump shot from 5 ft (assist by T. Robinson),,25,29
100,2,10:39.0,,A. Baynes makes 2-pt layup at rim (assist by M. Morris),25,31
101,2,10:29.0,Personal foul by S. Blake,,25,31
102,2,10:29.0,W. Reed enters the game for H. Sims,,25,31
103,2,10:22.0,S. Larkin misses 2-pt jump shot from 8 ft,,25,31
104,2,10:22.0,Offensive rebound by Team,,25,31
105,2,10:21.0,,Violation by A. Baynes (def goaltending),25,31
106,2,10:21.0,S. Karasev makes 2-pt layup at rim (assist by S. Larkin),,27,31
107,2,10:08.0,,M. Morris makes 3-pt jump shot from 25 ft (assist by S. Blake),27,34
108,2,9:55.0,S. Kilpatrick makes 3-pt jump shot from 25 ft (assist by S. Larkin),,30,34
109,2,9:32.0,,M. Morris makes 2-pt jump shot from 14 ft,30,36
110,2,9:13.0,S. Kilpatrick makes 2-pt layup at rim,,32,36
111,2,9:01.0,,Shooting foul by S. Kilpatrick (drawn by R. Bullock),32,36
112,2,9:01.0,,R. Bullock makes free throw 1 of 2,32,37
113,2,9:01.0,,R. Bullock makes free throw 2 of 2,32,38
114,2,8:46.0,S. Kilpatrick makes 2-pt jump shot from 7 ft (assist by S. Karasev),,34,38
115,2,8:27.0,,A. Baynes misses 2-pt jump shot from 5 ft,34,38
116,2,8:27.0,Defensive rebound by S. Karasev,,34,38
117,2,8:21.0,Turnover by S. Kilpatrick (lost ball; steal by S. Johnson),,34,38
118,2,8:19.0,,Personal foul by S. Karasev,34,38
119,2,8:19.0,Official timeout,,34,38
120,2,8:03.0,,M. Morris misses 3-pt jump shot from 25 ft,34,38
121,2,8:03.0,,Offensive rebound by Team,34,38
122,2,7:56.0,,S. Blake misses 2-pt jump shot from 14 ft,34,38
123,2,7:56.0,,Offensive rebound by Team,34,38
124,2,7:56.0,,Turnover by Team (shot clock),34,38
125,2,7:43.0,S. Larkin misses 2-pt jump shot from 6 ft,,34,38
126,2,7:42.0,,Defensive rebound by S. Blake,34,38
127,2,7:30.0,,Turnover by M. Morris (bad pass),34,38
128,2,7:09.0,S. Larkin misses 2-pt jump shot from 19 ft,,34,38
129,2,7:08.0,,Defensive rebound by S. Johnson,34,38
130,2,6:59.0,,A. Baynes makes 2-pt jump shot from 11 ft (assist by S. Johnson),34,40
131,2,6:41.0,W. Reed misses 2-pt jump shot from 9 ft,,34,40
132,2,6:41.0,,Defensive rebound by R. Bullock,34,40
133,2,6:32.0,,M. Morris makes 2-pt layup at rim (assist by S. Blake),34,42
134,2,6:32.0,Brooklyn full timeout,,34,42
135,2,6:32.0,,R. Jackson enters the game for S. Blake,34,42
136,2,6:10.0,S. Kilpatrick makes 3-pt jump shot from 25 ft (assist by T. Robinson),,37,42
137,2,5:50.0,,S. Johnson misses 2-pt jump shot from 16 ft,37,42
138,2,5:49.0,Defensive rebound by T. Robinson,,37,42
139,2,5:48.0,Turnover by T. Robinson (bad pass; steal by R. Bullock),,37,42
140,2,5:38.0,,R. Bullock misses 3-pt jump shot from 23 ft,37,42
141,2,5:38.0,Defensive rebound by T. Robinson,,37,42
142,2,5:29.0,S. Larkin makes 2-pt layup at rim,,39,42
143,2,5:29.0,,Detroit full timeout,39,42
144,2,5:29.0,,K. Caldwell-Pope enters the game for A. Baynes,39,42
145,2,5:29.0,,A. Drummond enters the game for R. Bullock,39,42
146,2,5:08.0,,A. Drummond misses 2-pt hook shot from 8 ft,39,42
147,2,5:07.0,,Offensive rebound by M. Morris,39,42
148,2,5:04.0,,M. Morris misses 2-pt layup at rim,39,42
149,2,5:02.0,Defensive rebound by W. Reed,,39,42
150,2,4:48.0,T. Robinson misses 2-pt layup at rim,,39,42
151,2,4:47.0,,Defensive rebound by A. Drummond,39,42
152,2,4:40.0,,R. Jackson makes 3-pt jump shot from 26 ft (assist by K. Caldwell-Pope),39,45
153,2,4:26.0,Offensive foul by T. Robinson (drawn by S. Johnson),,39,45
154,2,4:26.0,Turnover by T. Robinson (offensive foul),,39,45
155,2,4:26.0,,T. Harris enters the game for S. Johnson,39,45
156,2,4:10.0,,R. Jackson misses 2-pt jump shot from 10 ft,39,45
157,2,4:10.0,Defensive rebound by W. Reed,,39,45
158,2,3:59.0,S. Larkin makes 2-pt layup at rim,,41,45
159,2,3:52.0,H. Sims enters the game for W. Reed,,41,45
160,2,3:52.0,B. Bogdanović enters the game for S. Karasev,,41,45
161,2,3:42.0,,T. Harris misses 2-pt layup from 1 ft (block by H. Sims),41,45
162,2,3:41.0,Defensive rebound by T. Robinson,,41,45
163,2,3:22.0,Shooting foul by K. Caldwell-Pope (drawn by S. Kilpatrick),,41,45
164,2,3:22.0,S. Kilpatrick makes free throw 1 of 2,,42,45
165,2,3:22.0,S. Kilpatrick makes free throw 2 of 2,,43,45
166,2,3:05.0,,A. Drummond misses 2-pt layup at rim,43,45
167,2,3:05.0,,Offensive rebound by A. Drummond,43,45
168,2,3:05.0,,A. Drummond makes 2-pt layup at rim,43,47
169,2,3:05.0,,Shooting foul by H. Sims (drawn by A. Drummond),43,47
170,2,3:05.0,W. Ellington enters the game for S. Kilpatrick,,43,47
171,2,3:05.0,,A. Drummond misses free throw 1 of 1,43,47
172,2,3:03.0,Defensive rebound by B. Bogdanović,,43,47
173,2,2:56.0,Personal foul by M. Morris,,43,47
174,2,2:48.0,B. Bogdanović misses 2-pt layup at rim (block by M. Morris),,43,47
175,2,2:48.0,Offensive rebound by H. Sims,,43,47
176,2,2:42.0,H. Sims makes 2-pt layup at rim,,45,47
177,2,2:34.0,,R. Jackson makes 2-pt jump shot from 14 ft,45,49
178,2,2:16.0,B. Bogdanović misses 2-pt jump shot from 8 ft,,45,49
179,2,2:16.0,,Defensive rebound by T. Harris,45,49
180,2,2:11.0,,Shooting foul by H. Sims (drawn by A. Drummond),45,49
181,2,2:11.0,,A. Drummond misses free throw 1 of 2,45,49
182,2,2:11.0,,Offensive rebound by Team,45,49
183,2,2:11.0,,R. Bullock enters the game for K. Caldwell-Pope,45,49
184,2,2:11.0,,S. Johnson enters the game for M. Morris,45,49
185,2,2:11.0,W. Reed enters the game for H. Sims,,45,49
186,2,2:11.0,,A. Drummond misses free throw 2 of 2,45,49
187,2,2:10.0,Defensive rebound by B. Bogdanović,,45,49
188,2,1:53.0,W. Ellington misses 2-pt jump shot from 18 ft (block by R. Bullock),,45,49
189,2,1:52.0,Offensive rebound by T. Robinson,,45,49
190,2,1:49.0,T. Robinson makes 2-pt layup at rim,,47,49
191,2,1:29.0,,T. Harris misses 2-pt jump shot from 20 ft,47,49
192,2,1:28.0,,Offensive rebound by A. Drummond,47,49
193,2,1:13.0,,R. Jackson misses 2-pt jump shot from 16 ft,47,49
194,2,1:12.0,Defensive rebound by W. Ellington,,47,49
195,2,1:10.0,S. Larkin makes 2-pt layup at rim (assist by W. Ellington),,49,49
196,2,1:08.0,,Technical foul by R. Jackson,49,49
197,2,1:08.0,W. Ellington makes technical free throw,,50,49
198,2,1:08.0,,S. Blake enters the game for R. Jackson,50,49
199,2,0:51.0,,S. Blake misses 3-pt jump shot from 25 ft,50,49
200,2,0:50.0,Defensive rebound by W. Reed,,50,49
201,2,0:41.0,S. Larkin makes 2-pt jump shot from 17 ft,,52,49
202,2,0:28.0,,S. Johnson makes 3-pt jump shot from 23 ft (assist by R. Bullock),52,52
203,2,0:05.0,W. Reed misses 2-pt jump shot from 7 ft,,52,52
204,2,0:05.0,,Defensive rebound by Team,52,52
205,2,0:05.0,Loose ball foul by W. Ellington,,52,52
206,2,0:05.0,,R. Bullock makes free throw 1 of 2,52,53
207,2,0:05.0,S. Kilpatrick enters the game for W. Reed,,52,53
208,2,0:05.0,,R. Bullock makes free throw 2 of 2,52,54
209,2,0:01.0,S. Larkin misses 3-pt jump shot from 23 ft,,52,54
210,2,0:00.0,Offensive rebound by Team,,52,54
211,3,11:42.0,T. Young misses 2-pt jump shot from 15 ft,,52,54
212,3,11:41.0,,Defensive rebound by M. Morris,52,54
213,3,11:34.0,,R. Jackson misses 2-pt layup from 1 ft,52,54
214,3,11:33.0,Defensive rebound by T. Young,,52,54
215,3,11:15.0,T. Young makes 2-pt jump shot from 6 ft (assist by B. Bogdanović),,54,54
216,3,11:06.0,,Personal foul by D. Sloan,54,54
217,3,10:52.0,,R. Jackson makes 2-pt jump shot from 8 ft,54,56
218,3,10:39.0,W. Reed makes 2-pt layup at rim (assist by D. Sloan),,56,56
219,3,10:16.0,,A. Drummond misses 2-pt hook shot from 5 ft,56,56
220,3,10:14.0,Defensive rebound by W. Reed,,56,56
221,3,10:07.0,W. Ellington misses 3-pt jump shot from 24 ft,,56,56
222,3,10:07.0,,Defensive rebound by Team,56,56
223,3,9:49.0,,M. Morris misses 2-pt jump shot from 14 ft,56,56
224,3,9:49.0,,Offensive rebound by M. Morris,56,56
225,3,9:45.0,,M. Morris makes 2-pt layup at rim,56,58
226,3,9:26.0,B. Bogdanović misses 3-pt jump shot from 26 ft,,56,58
227,3,9:24.0,,Defensive rebound by A. Drummond,56,58
228,3,9:09.0,,K. Caldwell-Pope makes 2-pt jump shot from 13 ft,56,60
229,3,8:57.0,W. Ellington misses 2-pt jump shot from 5 ft,,56,60
230,3,8:57.0,,Defensive rebound by T. Harris,56,60
231,3,8:52.0,,T. Harris makes 2-pt layup at rim,56,62
232,3,8:52.0,Brooklyn full timeout,,56,62
233,3,8:33.0,T. Young makes 2-pt hook shot from 6 ft,,58,62
234,3,8:21.0,,T. Harris makes 3-pt jump shot from 26 ft (assist by R. Jackson),58,65
235,3,7:55.0,T. Young makes 2-pt hook shot from 6 ft,,60,65
236,3,7:41.0,,R. Jackson misses 2-pt jump shot from 4 ft (block by W. Reed),60,65
237,3,7:39.0,Defensive rebound by W. Ellington,,60,65
238,3,7:32.0,W. Reed misses 2-pt hook shot from 6 ft,,60,65
239,3,7:30.0,Offensive rebound by T. Young,,60,65
240,3,7:27.0,T. Young makes 2-pt layup at rim,,62,65
241,3,7:25.0,,Detroit full timeout,62,65
242,3,7:15.0,,R. Jackson misses 3-pt jump shot from 25 ft,62,65
243,3,7:15.0,Defensive rebound by B. Bogdanović,,62,65
244,3,6:54.0,T. Young misses 2-pt jump shot from 8 ft,,62,65
245,3,6:54.0,Offensive rebound by Team,,62,65
246,3,6:43.0,B. Bogdanović makes 2-pt jump shot from 14 ft,,64,65
247,3,6:16.0,,A. Drummond misses 2-pt hook shot from 5 ft,64,65
248,3,6:15.0,Defensive rebound by T. Young,,64,65
249,3,6:11.0,,Violation by A. Drummond (kicked ball),64,65
250,3,6:03.0,T. Young makes 2-pt jump shot from 17 ft,,66,65
251,3,5:36.0,,M. Morris misses 2-pt jump shot from 4 ft (block by W. Reed),66,65
252,3,5:33.0,Defensive rebound by T. Young,,66,65
253,3,5:26.0,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by W. Ellington),,69,65
254,3,5:00.0,,K. Caldwell-Pope misses 2-pt jump shot from 3 ft,69,65
255,3,4:59.0,Defensive rebound by T. Young,,69,65
256,3,4:50.0,Personal foul by A. Drummond,,69,65
257,3,4:50.0,H. Sims enters the game for W. Reed,,69,65
258,3,4:50.0,,A. Tolliver enters the game for T. Harris,69,65
259,3,4:42.0,B. Bogdanović makes 2-pt jump shot from 9 ft (assist by D. Sloan),,71,65
260,3,4:36.0,,Detroit full timeout,71,65
261,3,4:36.0,,S. Johnson enters the game for M. Morris,71,65
262,3,4:28.0,,R. Jackson misses 2-pt jump shot from 19 ft,71,65
263,3,4:28.0,Defensive rebound by B. Bogdanović,,71,65
264,3,4:03.0,B. Bogdanović misses 3-pt jump shot from 26 ft,,71,65
265,3,4:03.0,,Defensive rebound by S. Johnson,71,65
266,3,3:41.0,,A. Drummond makes 2-pt dunk at rim (assist by S. Johnson),71,67
267,3,3:23.0,T. Young makes 2-pt layup at rim (assist by D. Sloan),,73,67
268,3,3:11.0,,R. Jackson misses 2-pt jump shot from 15 ft,73,67
269,3,3:10.0,Defensive rebound by D. Sloan,,73,67
270,3,3:03.0,H. Sims misses 2-pt jump shot from 5 ft,,73,67
271,3,3:03.0,,Defensive rebound by A. Drummond,73,67
272,3,2:54.0,,A. Tolliver makes 3-pt jump shot from 24 ft (assist by K. Caldwell-Pope),73,70
273,3,2:36.0,D. Sloan makes 2-pt layup at rim,,75,70
274,3,2:20.0,,A. Tolliver misses 3-pt jump shot from 25 ft (block by T. Young),75,70
275,3,2:18.0,,Offensive rebound by A. Tolliver,75,70
276,3,2:16.0,,Personal foul by H. Sims,75,70
277,3,2:16.0,,S. Blake enters the game for R. Jackson,75,70
278,3,2:03.0,,A. Drummond makes 2-pt layup at rim (assist by S. Johnson),75,72
279,3,1:44.0,H. Sims misses 2-pt hook shot from 5 ft,,75,72
280,3,1:42.0,,Defensive rebound by S. Johnson,75,72
281,3,1:38.0,,A. Drummond makes 2-pt dunk at rim (assist by S. Johnson),75,74
282,3,1:19.0,Personal foul by A. Tolliver,,75,74
283,3,1:19.0,W. Reed enters the game for H. Sims,,75,74
284,3,1:08.0,D. Sloan misses 2-pt jump shot from 14 ft,,75,74
285,3,1:08.0,,Defensive rebound by S. Blake,75,74
286,3,1:05.0,,Turnover by S. Blake (bad pass; steal by W. Ellington),75,74
287,3,0:59.0,Turnover by D. Sloan (offensive foul),,75,74
288,3,0:59.0,,Offensive charge foul by D. Sloan (drawn by S. Blake),75,74
289,3,0:38.0,,A. Tolliver makes 3-pt jump shot from 25 ft (assist by K. Caldwell-Pope),75,77
290,3,0:28.0,T. Young makes 2-pt jump shot from 17 ft (assist by D. Sloan),,77,77
291,3,0:09.0,,A. Drummond misses 2-pt hook shot from 10 ft,77,77
292,3,0:08.0,Defensive rebound by T. Young,,77,77
293,3,0:01.0,T. Young misses 2-pt jump shot from 18 ft,,77,77
294,3,0:00.0,Offensive rebound by Team,,77,77
295,4,11:49.0,,S. Johnson misses 3-pt jump shot from 25 ft,77,77
296,4,11:48.0,Defensive rebound by S. Kilpatrick,,77,77
297,4,11:35.0,Turnover by B. Bogdanović (lost ball; steal by S. Johnson),,77,77
298,4,11:30.0,,S. Johnson makes 2-pt layup at rim,77,79
299,4,11:30.0,,Shooting foul by B. Bogdanović (drawn by S. Johnson),77,79
300,4,11:30.0,,S. Johnson makes free throw 1 of 1,77,80
301,4,11:16.0,Personal foul by S. Johnson,,77,80
302,4,11:07.0,Turnover by B. Bogdanović (lost ball; steal by S. Johnson),,77,80
303,4,10:59.0,,Shooting foul by B. Bogdanović (drawn by A. Baynes),77,80
304,4,10:59.0,Brooklyn full timeout,,77,80
305,4,10:59.0,,A. Baynes makes free throw 1 of 2,77,81
306,4,10:59.0,,A. Baynes makes free throw 2 of 2,77,82
307,4,10:50.0,Shooting foul by A. Baynes (drawn by S. Kilpatrick),,77,82
308,4,10:50.0,S. Kilpatrick makes free throw 1 of 2,,78,82
309,4,10:50.0,S. Karasev enters the game for B. Bogdanović,,78,82
310,4,10:50.0,S. Kilpatrick misses free throw 2 of 2,,78,82
311,4,10:49.0,,Defensive rebound by S. Johnson,78,82
312,4,10:37.0,,Shooting foul by S. Karasev (drawn by S. Johnson),78,82
313,4,10:37.0,,S. Johnson makes free throw 1 of 2,78,83
314,4,10:37.0,,S. Johnson makes free throw 2 of 2,78,84
315,4,10:21.0,Personal foul by S. Johnson,,78,84
316,4,10:14.0,W. Reed makes 2-pt hook shot from 5 ft (assist by S. Larkin),,80,84
317,4,9:58.0,,K. Caldwell-Pope misses 2-pt jump shot from 18 ft,80,84
318,4,9:58.0,,Offensive rebound by A. Baynes,80,84
319,4,9:57.0,,A. Baynes misses 2-pt layup at rim,80,84
320,4,9:56.0,,Offensive rebound by A. Baynes,80,84
321,4,9:55.0,,Personal foul by T. Robinson,80,84
322,4,9:44.0,,A. Tolliver makes 3-pt jump shot from 25 ft (assist by K. Caldwell-Pope),80,87
323,4,9:17.0,S. Kilpatrick misses 2-pt jump shot from 15 ft,,80,87
324,4,9:17.0,Offensive rebound by T. Robinson,,80,87
325,4,9:17.0,Shooting foul by A. Baynes (drawn by T. Robinson),,80,87
326,4,9:17.0,T. Robinson misses free throw 1 of 2,,80,87
327,4,9:17.0,Offensive rebound by Team,,80,87
328,4,9:17.0,T. Robinson misses free throw 2 of 2,,80,87
329,4,9:16.0,,Defensive rebound by A. Baynes,80,87
330,4,8:59.0,,A. Baynes makes 2-pt layup at rim (assist by A. Tolliver),80,89
331,4,8:59.0,,Shooting foul by W. Reed (drawn by A. Baynes),80,89
332,4,8:59.0,H. Sims enters the game for W. Reed,,80,89
333,4,8:59.0,,A. Baynes makes free throw 1 of 1,80,90
334,4,8:40.0,Personal foul by A. Tolliver,,80,90
335,4,8:40.0,S. Larkin makes free throw 1 of 2,,81,90
336,4,8:40.0,S. Larkin misses free throw 2 of 2,,81,90
337,4,8:39.0,,Defensive rebound by S. Johnson,81,90
338,4,8:21.0,,S. Blake misses 3-pt jump shot from 23 ft,81,90
339,4,8:21.0,Defensive rebound by H. Sims,,81,90
340,4,8:06.0,T. Robinson misses 2-pt layup at rim,,81,90
341,4,8:05.0,,Defensive rebound by A. Baynes,81,90
342,4,7:57.0,,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,81,90
343,4,7:56.0,Defensive rebound by S. Kilpatrick,,81,90
344,4,7:45.0,S. Kilpatrick misses 2-pt jump shot from 9 ft,,81,90
