,QUARTER,TIME_REMAINING,ATLANTA_ACTION,PHILADELPHIA_ACTION,ATLANTA_SCORE,PHILADELPHIA_SCORE
0,1,11:49.0,P. Millsap misses 2-pt layup from 2 ft (block by J. Okafor),,0,0
1,1,11:48.0,,Defensive rebound by N. Noel,0,0
2,1,11:28.0,,I. Smith makes 2-pt layup from 1 ft (assist by J. Sampson),0,2
3,1,11:15.0,J. Teague misses 2-pt jump shot from 5 ft,,0,2
4,1,11:14.0,,Defensive rebound by N. Noel,0,2
5,1,11:10.0,,N. Stauskas misses 2-pt jump shot from 11 ft (block by A. Horford),0,2
6,1,11:09.0,Defensive rebound by K. Bazemore,,0,2
7,1,11:03.0,K. Bazemore makes 3-pt jump shot from 26 ft,,3,2
8,1,10:38.0,,J. Okafor makes 2-pt layup from 2 ft (assist by N. Stauskas),3,4
9,1,10:12.0,Personal foul by N. Stauskas (drawn by K. Bazemore),,3,4
10,1,10:04.0,A. Horford misses 2-pt jump shot from 17 ft,,3,4
11,1,10:03.0,,Defensive rebound by N. Noel,3,4
12,1,9:54.0,,J. Okafor misses 2-pt jump shot from 15 ft,3,4
13,1,9:52.0,,Offensive rebound by N. Noel,3,4
14,1,9:49.0,,N. Stauskas misses 2-pt dunk at rim,3,4
15,1,9:47.0,Defensive rebound by K. Bazemore,,3,4
16,1,9:42.0,K. Bazemore makes 2-pt layup at rim,,5,4
17,1,9:23.0,,J. Okafor makes 2-pt jump shot from 10 ft (assist by I. Smith),5,6
18,1,9:10.0,P. Millsap misses 2-pt jump shot from 13 ft,,5,6
19,1,9:09.0,,Defensive rebound by J. Sampson,5,6
20,1,8:56.0,,J. Okafor misses 2-pt jump shot from 12 ft,5,6
21,1,8:53.0,Defensive rebound by P. Millsap,,5,6
22,1,8:47.0,P. Millsap makes 2-pt layup at rim,,7,6
23,1,8:47.0,,Philadelphia full timeout,7,6
24,1,8:34.0,,Turnover by N. Noel (lost ball; steal by K. Korver),7,6
25,1,8:29.0,Turnover by K. Bazemore (step out of bounds),,7,6
26,1,8:17.0,,Turnover by J. Sampson (lost ball; steal by A. Horford),7,6
27,1,8:01.0,K. Bazemore misses 3-pt jump shot from 25 ft,,7,6
28,1,7:58.0,Offensive rebound by A. Horford,,7,6
29,1,7:55.0,K. Korver misses 2-pt jump shot from 17 ft,,7,6
30,1,7:53.0,,Defensive rebound by N. Noel,7,6
31,1,7:49.0,Violation by A. Horford (def goaltending),,7,6
32,1,7:49.0,,N. Stauskas makes 2-pt layup from 1 ft (assist by I. Smith),7,8
33,1,7:34.0,A. Horford makes 2-pt jump shot from 19 ft (assist by J. Teague),,9,8
34,1,7:15.0,,Personal foul by K. Bazemore (drawn by N. Noel),9,8
35,1,7:15.0,T. Sefolosha enters the game for K. Bazemore,,9,8
36,1,7:09.0,,I. Smith misses 2-pt jump shot from 17 ft,9,8
37,1,7:08.0,Defensive rebound by K. Korver,,9,8
38,1,7:03.0,Turnover by P. Millsap (bad pass; steal by J. Okafor),,9,8
39,1,6:58.0,,N. Noel makes 2-pt layup at rim (assist by I. Smith),9,10
40,1,6:43.0,J. Teague misses 2-pt jump shot from 3 ft,,9,10
41,1,6:42.0,,Defensive rebound by N. Stauskas,9,10
42,1,6:39.0,T. Splitter enters the game for A. Horford,,9,10
43,1,6:39.0,,R. Holmes enters the game for J. Okafor,9,10
44,1,6:24.0,,I. Smith makes 2-pt jump shot from 17 ft,9,12
45,1,6:17.0,Shooting foul by R. Holmes (drawn by P. Millsap),,9,12
46,1,6:17.0,P. Millsap makes free throw 1 of 2,,10,12
47,1,6:17.0,P. Millsap makes free throw 2 of 2,,11,12
48,1,6:05.0,,Turnover by N. Noel (lost ball; steal by P. Millsap),11,12
49,1,5:55.0,Personal foul by J. Sampson (drawn by P. Millsap),,11,12
50,1,5:55.0,,Philadelphia full timeout,11,12
51,1,5:52.0,Turnover by J. Teague (bad pass; steal by R. Holmes),,11,12
52,1,5:42.0,,N. Noel misses 2-pt layup from 1 ft,11,12
53,1,5:39.0,Defensive rebound by P. Millsap,,11,12
54,1,5:35.0,K. Korver makes 2-pt jump shot from 5 ft (assist by P. Millsap),,13,12
55,1,5:10.0,,J. Sampson misses 3-pt jump shot from 26 ft,13,12
56,1,5:09.0,Defensive rebound by J. Teague,,13,12
57,1,4:48.0,J. Teague misses 2-pt layup from 1 ft,,13,12
58,1,4:47.0,Offensive rebound by T. Splitter,,13,12
59,1,4:47.0,T. Splitter misses 2-pt layup from 2 ft,,13,12
60,1,4:46.0,,Defensive rebound by N. Noel,13,12
61,1,4:30.0,,N. Stauskas makes 3-pt jump shot from 27 ft (assist by I. Smith),13,15
62,1,4:13.0,,H. Thompson enters the game for J. Sampson,13,15
63,1,4:13.0,,J. Grant enters the game for N. Noel,13,15
64,1,4:13.0,K. Bazemore enters the game for K. Korver,,13,15
65,1,4:13.0,D. Schröder enters the game for J. Teague,,13,15
66,1,4:03.0,,T. McConnell enters the game for I. Smith,13,15
67,1,4:03.0,Shooting foul by R. Holmes (drawn by T. Splitter),,13,15
68,1,4:03.0,T. Splitter makes free throw 1 of 2,,14,15
69,1,4:03.0,T. Splitter makes free throw 2 of 2,,15,15
70,1,3:51.0,,R. Holmes makes 2-pt layup from 1 ft (assist by T. McConnell),15,17
71,1,3:23.0,K. Bazemore misses 3-pt jump shot from 25 ft,,15,17
72,1,3:23.0,,Defensive rebound by R. Holmes,15,17
73,1,3:14.0,,Personal foul by T. Sefolosha (drawn by R. Holmes),15,17
74,1,3:14.0,,I. Canaan enters the game for N. Stauskas,15,17
75,1,3:07.0,,Turnover by H. Thompson (bad pass; steal by T. Sefolosha),15,17
76,1,2:53.0,D. Schröder misses 2-pt layup at rim,,15,17
77,1,2:52.0,Offensive rebound by D. Schröder,,15,17
78,1,2:43.0,Atlanta full timeout,,15,17
79,1,2:43.0,M. Scott enters the game for P. Millsap,,15,17
80,1,2:43.0,Turnover by K. Bazemore (bad pass; steal by T. McConnell),,15,17
81,1,2:38.0,,I. Canaan misses 3-pt jump shot from 26 ft,15,17
82,1,2:37.0,,Offensive rebound by Team,15,17
83,1,2:25.0,,Personal foul by T. Splitter (drawn by R. Holmes),15,17
84,1,2:09.0,,H. Thompson makes 2-pt jump shot from 19 ft (assist by T. McConnell),15,19
85,1,1:44.0,Turnover by K. Bazemore (lost ball; steal by I. Canaan),,15,19
86,1,1:39.0,,I. Canaan makes 2-pt layup from 1 ft,15,21
87,1,1:20.0,T. Sefolosha misses 3-pt jump shot from 25 ft,,15,21
88,1,1:19.0,Offensive rebound by T. Splitter,,15,21
89,1,1:16.0,T. Splitter misses 2-pt layup from 2 ft,,15,21
90,1,1:14.0,Offensive rebound by T. Splitter,,15,21
91,1,1:07.0,D. Schröder misses 3-pt jump shot from 26 ft,,15,21
92,1,1:05.0,,Defensive rebound by J. Grant,15,21
93,1,0:55.0,A. Horford enters the game for T. Splitter,,15,21
94,1,0:54.0,,Turnover by H. Thompson (bad pass; steal by A. Horford),15,21
95,1,0:51.0,K. Bazemore misses 2-pt layup from 2 ft,,15,21
96,1,0:46.0,Offensive rebound by A. Horford,,15,21
97,1,0:46.0,A. Horford makes 2-pt layup from 2 ft,,17,21
98,1,0:38.0,,T. McConnell misses 2-pt jump shot from 11 ft,17,21
99,1,0:35.0,Defensive rebound by Team,,17,21
100,1,0:31.0,M. Scott makes 2-pt jump shot from 15 ft (assist by T. Sefolosha),,19,21
101,1,0:08.0,,H. Thompson misses 3-pt jump shot from 25 ft,19,21
102,1,0:08.0,Defensive rebound by K. Bazemore,,19,21
103,1,0:00.0,M. Scott makes 3-pt jump shot from 26 ft (assist by T. Sefolosha),,22,21
104,2,12:00.0,,R. Covington misses 3-pt jump shot from 25 ft,22,21
105,2,11:37.0,Defensive rebound by D. Schröder,,22,21
106,2,11:34.0,,Violation by J. Okafor (def goaltending),22,21
107,2,11:34.0,D. Schröder makes 2-pt layup from 2 ft,,24,21
108,2,11:21.0,,J. Grant misses 2-pt layup from 2 ft (block by A. Horford),24,21
109,2,11:20.0,Defensive rebound by T. Hardaway,,24,21
110,2,11:17.0,A. Horford makes 3-pt jump shot from 25 ft (assist by T. Hardaway),,27,21
111,2,11:02.0,,R. Covington misses 2-pt jump shot from 12 ft (block by T. Sefolosha),27,21
112,2,11:00.0,Defensive rebound by T. Sefolosha,,27,21
113,2,10:57.0,M. Scott misses 2-pt layup from 2 ft (block by J. Grant),,27,21
114,2,10:54.0,,Defensive rebound by J. Okafor,27,21
115,2,10:37.0,,R. Covington misses 2-pt layup from 1 ft (block by M. Scott),27,21
116,2,10:36.0,Defensive rebound by T. Sefolosha,,27,21
117,2,10:30.0,T. Hardaway makes 3-pt jump shot from 28 ft (assist by D. Schröder),,30,21
118,2,10:17.0,,J. Grant misses 2-pt jump shot from 17 ft,30,21
119,2,10:16.0,Defensive rebound by D. Schröder,,30,21
120,2,10:08.0,M. Scott makes 2-pt layup from 1 ft (assist by D. Schröder),,32,21
121,2,10:06.0,,Philadelphia full timeout,32,21
122,2,10:06.0,,I. Smith enters the game for T. McConnell,32,21
123,2,10:06.0,,N. Stauskas enters the game for R. Covington,32,21
124,2,9:46.0,,I. Canaan misses 3-pt jump shot from 27 ft,32,21
125,2,9:45.0,Defensive rebound by T. Sefolosha,,32,21
126,2,9:36.0,M. Scott misses 3-pt jump shot from 27 ft,,32,21
127,2,9:34.0,,Defensive rebound by I. Canaan,32,21
128,2,9:24.0,,Turnover by I. Smith (lost ball),32,21
129,2,9:02.0,A. Horford makes 2-pt jump shot from 9 ft (assist by D. Schröder),,34,21
130,2,8:49.0,,J. Grant misses 3-pt jump shot from 26 ft,34,21
131,2,8:48.0,Defensive rebound by T. Hardaway,,34,21
132,2,8:40.0,Turnover by D. Schröder (bad pass; steal by I. Smith),,34,21
133,2,8:32.0,,Def 3 sec tech foul by A. Horford,34,21
134,2,8:32.0,,I. Canaan makes technical free throw,34,22
135,2,8:32.0,,N. Noel enters the game for J. Grant,34,22
136,2,8:23.0,,I. Smith misses 2-pt jump shot from 11 ft,34,22
137,2,8:23.0,Defensive rebound by A. Horford,,34,22
