,QUARTER,TIME_REMAINING,DETROIT_ACTION,INDIANA_ACTION,DETROIT_SCORE,INDIANA_SCORE
0,1,11:45.0,S. Johnson misses 2-pt layup from 3 ft,,0,0
1,1,11:45.0,,Defensive rebound by M. Ellis,0,0
2,1,11:22.0,,M. Ellis misses 2-pt jump shot from 16 ft,0,0
3,1,11:22.0,Defensive rebound by R. Jackson,,0,0
4,1,11:13.0,S. Johnson misses 3-pt jump shot from 25 ft,,0,0
5,1,11:13.0,,Defensive rebound by M. Ellis,0,0
6,1,10:55.0,,G. Hill makes 2-pt jump shot from 21 ft (assist by M. Ellis),0,2
7,1,10:32.0,S. Johnson makes 2-pt jump shot from 3 ft (assist by M. Morris),,2,2
8,1,10:16.0,,I. Mahinmi makes 2-pt layup from 1 ft (assist by M. Turner),2,4
9,1,9:54.0,Personal foul by I. Mahinmi (drawn by A. Drummond),,2,4
10,1,9:41.0,E. İlyasova misses 3-pt jump shot from 23 ft,,2,4
11,1,9:40.0,,Defensive rebound by Team,2,4
12,1,9:25.0,,P. George makes 2-pt jump shot from 15 ft,2,6
13,1,9:04.0,Turnover by A. Drummond (offensive goaltending),,2,6
14,1,8:55.0,,Personal foul by S. Johnson (drawn by M. Ellis),2,6
15,1,8:45.0,,P. George makes 2-pt jump shot from 17 ft (assist by G. Hill),2,8
16,1,8:30.0,R. Jackson makes 2-pt jump shot from 15 ft,,4,8
17,1,8:13.0,,M. Turner misses 2-pt layup from 2 ft,4,8
18,1,8:13.0,Defensive rebound by A. Drummond,,4,8
19,1,8:06.0,M. Morris misses 3-pt jump shot from 25 ft,,4,8
20,1,8:06.0,,Defensive rebound by M. Turner,4,8
21,1,7:55.0,,G. Hill makes 2-pt jump shot from 18 ft,4,10
22,1,7:47.0,Detroit full timeout,,4,10
23,1,7:35.0,Turnover by A. Drummond (lost ball; steal by M. Ellis),,4,10
24,1,7:30.0,,P. George makes 3-pt jump shot from 25 ft (assist by M. Turner),4,13
25,1,7:11.0,R. Jackson makes 2-pt jump shot from 18 ft,,6,13
26,1,6:53.0,,M. Ellis makes 2-pt jump shot from 13 ft,6,15
27,1,6:38.0,E. İlyasova misses 2-pt jump shot from 18 ft,,6,15
28,1,6:38.0,,Defensive rebound by P. George,6,15
29,1,6:26.0,,Offensive foul by I. Mahinmi (drawn by M. Morris),6,15
30,1,6:26.0,,Turnover by I. Mahinmi (offensive foul),6,15
31,1,6:26.0,,J. Hill enters the game for I. Mahinmi,6,15
32,1,6:18.0,Turnover by E. İlyasova (traveling),,6,15
33,1,6:00.0,,M. Turner makes 2-pt jump shot from 17 ft (assist by J. Hill),6,17
34,1,5:36.0,Shooting foul by G. Hill (drawn by E. İlyasova),,6,17
35,1,5:36.0,E. İlyasova misses free throw 1 of 2,,6,17
36,1,5:36.0,Offensive rebound by Team,,6,17
37,1,5:36.0,E. İlyasova makes free throw 2 of 2,,7,17
38,1,5:29.0,,Personal block foul by R. Jackson (drawn by G. Hill),7,17
39,1,5:18.0,,M. Turner makes 2-pt jump shot from 17 ft (assist by G. Hill),7,19
40,1,5:01.0,M. Morris makes 3-pt jump shot from 22 ft (assist by S. Johnson),,10,19
41,1,4:47.0,,G. Hill makes 3-pt jump shot from 25 ft,10,22
42,1,4:24.0,Turnover by R. Jackson (bad pass; steal by J. Hill),,10,22
43,1,4:17.0,,M. Turner makes 2-pt layup at rim (assist by P. George),10,24
44,1,4:09.0,Detroit full timeout,,10,24
45,1,4:09.0,A. Baynes enters the game for E. İlyasova,,10,24
46,1,4:09.0,D. Hilliard enters the game for A. Drummond,,10,24
47,1,4:09.0,A. Tolliver enters the game for S. Johnson,,10,24
48,1,3:58.0,R. Jackson misses 2-pt jump shot from 3 ft,,10,24
49,1,3:55.0,Offensive rebound by A. Baynes,,10,24
50,1,3:48.0,A. Baynes misses 2-pt layup from 2 ft,,10,24
51,1,3:48.0,Offensive rebound by A. Baynes,,10,24
52,1,3:47.0,A. Baynes makes 2-pt layup from 2 ft,,12,24
53,1,3:36.0,,M. Turner makes 2-pt jump shot from 17 ft (assist by M. Ellis),12,26
54,1,3:21.0,Turnover by A. Baynes (lost ball; steal by J. Hill),,12,26
55,1,3:11.0,,Turnover by J. Hill (bad pass),12,26
56,1,2:57.0,M. Morris makes 2-pt jump shot from 17 ft,,14,26
57,1,2:32.0,,M. Turner makes 2-pt layup from 3 ft (assist by M. Ellis),14,28
58,1,2:19.0,Turnover by A. Tolliver (bad pass; steal by P. George),,14,28
