,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,BROOKLYN_ACTION,MEMPHIS_SCORE,BROOKLYN_SCORE
0,1,11:44.0,,W. Ellington misses 2-pt jump shot from 19 ft,0,0
1,1,11:43.0,Defensive rebound by M. Conley,,0,0
2,1,11:29.0,Z. Randolph misses 2-pt jump shot from 20 ft,,0,0
3,1,11:28.0,,Defensive rebound by T. Young,0,0
4,1,11:17.0,,T. Young makes 2-pt layup from 2 ft (assist by B. Lopez),0,2
5,1,11:04.0,Shooting foul by T. Young (drawn by C. Lee),,0,2
6,1,11:04.0,C. Lee misses free throw 1 of 2,,0,2
7,1,11:04.0,Offensive rebound by Team,,0,2
8,1,11:04.0,C. Lee misses free throw 2 of 2,,0,2
9,1,11:03.0,,Defensive rebound by B. Lopez,0,2
10,1,10:55.0,,Turnover by B. Lopez (lost ball; steal by Z. Randolph),0,2
11,1,10:49.0,M. Conley misses 2-pt jump shot from 12 ft,,0,2
12,1,10:48.0,Offensive rebound by T. Allen,,0,2
13,1,10:41.0,T. Allen misses 2-pt hook shot from 7 ft,,0,2
14,1,10:40.0,,Defensive rebound by W. Ellington,0,2
15,1,10:29.0,,Turnover by B. Lopez (bad pass; steal by J. Green),0,2
16,1,10:25.0,M. Conley misses 2-pt layup from 2 ft,,0,2
17,1,10:23.0,,Defensive rebound by J. Johnson,0,2
18,1,10:03.0,,Turnover by J. Johnson (lost ball; steal by C. Lee),0,2
19,1,9:57.0,T. Allen misses 2-pt layup from 2 ft,,0,2
20,1,9:56.0,Offensive rebound by T. Allen,,0,2
21,1,9:44.0,Z. Randolph makes 2-pt jump shot from 16 ft,,2,2
22,1,9:30.0,,B. Lopez makes 2-pt layup from 1 ft (assist by D. Sloan),2,4
23,1,9:04.0,J. Green makes 2-pt jump shot from 21 ft (assist by Z. Randolph),,4,4
24,1,8:47.0,,Turnover by B. Lopez (bad pass; steal by T. Allen),4,4
25,1,8:43.0,T. Allen makes 2-pt dunk at rim (assist by M. Conley),,6,4
26,1,8:20.0,,W. Ellington makes 3-pt jump shot from 23 ft (assist by T. Young),6,7
27,1,8:01.0,Z. Randolph makes 2-pt hook shot from 4 ft,,8,7
28,1,7:47.0,,B. Lopez makes 2-pt jump shot from 6 ft (assist by D. Sloan),8,9
29,1,7:31.0,M. Conley makes 2-pt jump shot from 10 ft,,10,9
30,1,7:21.0,,D. Sloan makes 2-pt layup from 2 ft (assist by B. Lopez),10,11
31,1,7:07.0,Z. Randolph makes 2-pt jump shot from 15 ft (assist by C. Lee),,12,11
32,1,6:54.0,,B. Lopez makes 2-pt jump shot from 17 ft (assist by D. Sloan),12,13
33,1,6:37.0,C. Lee misses 2-pt layup from 1 ft,,12,13
34,1,6:36.0,,Defensive rebound by T. Young,12,13
35,1,6:33.0,,Personal foul by T. Allen (drawn by T. Young),12,13
36,1,6:26.0,,Turnover by J. Johnson (lost ball; steal by Z. Randolph),12,13
37,1,6:22.0,T. Allen makes 2-pt layup from 2 ft (assist by M. Conley),,14,13
38,1,6:07.0,,B. Lopez misses 2-pt jump shot from 18 ft,14,13
39,1,6:06.0,Defensive rebound by M. Conley,,14,13
40,1,5:53.0,C. Lee makes 2-pt jump shot from 18 ft (assist by Z. Randolph),,16,13
41,1,5:47.0,,Brooklyn full timeout,16,13
42,1,5:47.0,J. Green enters the game for J. Green,,16,13
43,1,5:34.0,,T. Young makes 2-pt jump shot from 7 ft (assist by D. Sloan),16,15
44,1,5:14.0,M. Conley misses 2-pt jump shot from 14 ft,,16,15
45,1,5:13.0,,Defensive rebound by T. Young,16,15
46,1,4:57.0,,W. Ellington makes 2-pt jump shot from 19 ft (assist by B. Lopez),16,17
47,1,4:37.0,Shooting foul by D. Sloan (drawn by M. Conley),,16,17
48,1,4:37.0,M. Conley makes free throw 1 of 2,,17,17
49,1,4:37.0,M. Barnes enters the game for T. Allen,,17,17
50,1,4:37.0,M. Conley makes free throw 2 of 2,,18,17
51,1,4:19.0,,Turnover by B. Lopez (bad pass; steal by Z. Randolph),18,17
52,1,4:13.0,J. Green makes 2-pt layup from 2 ft,,20,17
53,1,4:03.0,,T. Young misses 2-pt hook shot from 4 ft,20,17
54,1,4:02.0,Defensive rebound by M. Barnes,,20,17
55,1,3:51.0,M. Barnes misses 3-pt jump shot from 22 ft,,20,17
56,1,3:50.0,,Defensive rebound by T. Young,20,17
57,1,3:32.0,,B. Lopez makes 2-pt layup from 1 ft,20,19
58,1,3:26.0,Memphis full timeout,,20,19
59,1,3:26.0,R. Hollins enters the game for M. Conley,,20,19
60,1,3:26.0,M. Chalmers enters the game for C. Lee,,20,19
61,1,3:06.0,Z. Randolph misses 2-pt jump shot from 14 ft,,20,19
62,1,3:05.0,Offensive rebound by Team,,20,19
63,1,3:05.0,Turnover by Team (shot clock),,20,19
64,1,2:53.0,,J. Johnson misses 2-pt jump shot from 11 ft,20,19
65,1,2:52.0,Defensive rebound by R. Hollins,,20,19
66,1,2:39.0,J. Green misses 2-pt jump shot from 18 ft,,20,19
67,1,2:38.0,,Defensive rebound by Team,20,19
68,1,2:38.0,Loose ball foul by Z. Randolph (drawn by D. Sloan),,20,19
69,1,2:26.0,,Turnover by J. Johnson (lost ball; steal by M. Barnes),20,19
70,1,2:26.0,Personal foul by J. Johnson (drawn by Z. Randolph),,20,19
71,1,2:15.0,Z. Randolph misses 2-pt jump shot from 17 ft,,20,19
72,1,2:14.0,,Defensive rebound by T. Young,20,19
73,1,2:05.0,,W. Ellington makes 3-pt jump shot from 24 ft (assist by J. Johnson),20,22
74,1,1:58.0,Turnover by R. Hollins (offensive foul),,20,22
75,1,1:58.0,Offensive foul by R. Hollins (drawn by D. Sloan),,20,22
76,1,1:58.0,V. Carter enters the game for Z. Randolph,,20,22
77,1,1:40.0,,B. Lopez misses 2-pt hook shot from 7 ft,20,22
78,1,1:39.0,Defensive rebound by J. Green,,20,22
79,1,1:21.0,J. Green misses 3-pt jump shot from 23 ft,,20,22
80,1,1:20.0,,Defensive rebound by W. Ellington,20,22
81,1,1:10.0,,W. Ellington makes 3-pt jump shot from 23 ft (assist by T. Young),20,25
82,1,1:01.0,Turnover by V. Carter (bad pass; steal by D. Sloan),,20,25
83,1,0:58.0,,D. Sloan makes 2-pt layup from 1 ft (assist by W. Ellington),20,27
84,1,0:58.0,Memphis full timeout,,20,27
85,1,0:58.0,,B. Bogdanović enters the game for J. Johnson,20,27
86,1,0:45.0,R. Hollins makes 2-pt dunk at rim (assist by J. Green),,22,27
87,1,0:28.0,,D. Sloan misses 3-pt jump shot from 23 ft,22,27
88,1,0:27.0,,Offensive rebound by T. Young,22,27
89,1,0:17.0,,T. Young misses 2-pt jump shot from 5 ft (block by M. Chalmers),22,27
90,1,0:16.0,,Offensive rebound by Team,22,27
91,1,0:14.0,,Turnover by B. Bogdanović (bad pass; steal by M. Chalmers),22,27
92,1,0:06.0,Turnover by M. Chalmers (bad pass; steal by B. Lopez),,22,27
93,1,0:01.0,,T. Young misses 2-pt jump shot from 10 ft,22,27
94,1,0:00.0,,Offensive rebound by Team,22,27
