,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,CHARLOTTE_ACTION,LA LAKERS_SCORE,CHARLOTTE_SCORE
0,1,11:35.0,R. Hibbert makes 2-pt hook shot from 9 ft,,2,0
1,1,11:22.0,,C. Zeller makes 2-pt jump shot from 7 ft (assist by N. Batum),2,2
2,1,10:57.0,R. Hibbert misses 2-pt jump shot from 7 ft,,2,2
3,1,10:56.0,,Defensive rebound by K. Walker,2,2
4,1,10:47.0,,P. Hairston misses 3-pt jump shot from 25 ft,2,2
5,1,10:46.0,Defensive rebound by L. Nance,,2,2
6,1,10:32.0,K. Bryant misses 2-pt jump shot from 14 ft,,2,2
7,1,10:31.0,,Defensive rebound by M. Williams,2,2
8,1,10:18.0,,N. Batum misses 3-pt jump shot from 25 ft,2,2
9,1,10:17.0,Defensive rebound by L. Williams,,2,2
10,1,10:12.0,L. Williams misses 2-pt jump shot from 10 ft,,2,2
11,1,10:10.0,,Defensive rebound by C. Zeller,2,2
12,1,10:06.0,,K. Walker misses 2-pt layup at rim (block by J. Clarkson),2,2
13,1,10:03.0,Defensive rebound by R. Hibbert,,2,2
14,1,9:56.0,J. Clarkson misses 2-pt jump shot from 20 ft,,2,2
15,1,9:54.0,,Defensive rebound by C. Zeller,2,2
16,1,9:43.0,,K. Walker misses 2-pt jump shot from 6 ft,2,2
17,1,9:42.0,Defensive rebound by R. Hibbert,,2,2
18,1,9:37.0,Turnover by K. Bryant (bad pass; steal by K. Walker),,2,2
19,1,9:30.0,,M. Williams makes 2-pt dunk at rim (assist by K. Walker),2,4
20,1,9:06.0,L. Nance makes 2-pt jump shot from 18 ft (assist by J. Clarkson),,4,4
21,1,8:46.0,,M. Williams misses 2-pt jump shot from 20 ft,4,4
22,1,8:45.0,Defensive rebound by J. Clarkson,,4,4
23,1,8:33.0,K. Bryant makes 3-pt jump shot from 25 ft (assist by J. Clarkson),,7,4
24,1,8:12.0,,C. Zeller makes 2-pt dunk at rim (assist by N. Batum),7,6
25,1,7:59.0,Turnover by Team (back court),,7,6
26,1,7:45.0,,N. Batum makes 2-pt jump shot from 8 ft,7,8
27,1,7:34.0,R. Hibbert makes 2-pt dunk at rim (assist by L. Williams),,9,8
28,1,7:18.0,,N. Batum misses 2-pt jump shot from 16 ft,9,8
29,1,7:16.0,,Offensive rebound by Team,9,8
30,1,7:13.0,,P. Hairston misses 3-pt jump shot from 25 ft,9,8
31,1,7:12.0,Defensive rebound by L. Nance,,9,8
32,1,7:06.0,K. Bryant misses 3-pt jump shot from 25 ft,,9,8
33,1,7:03.0,,Defensive rebound by N. Batum,9,8
34,1,6:58.0,,P. Hairston makes 2-pt layup from 1 ft (assist by N. Batum),9,10
35,1,6:40.0,L. Nance makes 2-pt jump shot from 18 ft (assist by L. Williams),,11,10
36,1,6:25.0,,P. Hairston makes 3-pt jump shot from 22 ft (assist by C. Zeller),11,13
37,1,6:14.0,Turnover by K. Bryant (bad pass; steal by K. Walker),,11,13
38,1,5:57.0,,P. Hairston makes 3-pt jump shot from 24 ft (assist by N. Batum),11,16
39,1,5:42.0,L. Williams makes 3-pt jump shot from 24 ft,,14,16
40,1,5:21.0,,K. Walker makes 2-pt jump shot from 12 ft (assist by M. Williams),14,18
41,1,5:05.0,L. Williams misses 2-pt jump shot from 8 ft,,14,18
42,1,5:04.0,,Defensive rebound by C. Zeller,14,18
43,1,5:00.0,,Shooting foul by R. Hibbert (drawn by C. Zeller),14,18
44,1,5:00.0,,Charlotte full timeout,14,18
45,1,5:00.0,D. Russell enters the game for L. Williams,,14,18
46,1,5:00.0,,J. Lin enters the game for P. Hairston,14,18
47,1,5:00.0,,C. Zeller misses free throw 1 of 2,14,18
48,1,5:00.0,,Offensive rebound by Team,14,18
49,1,5:00.0,,C. Zeller misses free throw 2 of 2,14,18
50,1,4:59.0,Defensive rebound by R. Hibbert,,14,18
51,1,4:47.0,L. Nance makes 2-pt dunk at rim (assist by K. Bryant),,16,18
52,1,4:34.0,,C. Zeller misses 2-pt layup from 1 ft (block by R. Hibbert),16,18
53,1,4:32.0,,Offensive rebound by N. Batum,16,18
54,1,4:28.0,,J. Lin misses 2-pt layup from 1 ft (block by R. Hibbert),16,18
55,1,4:28.0,,Offensive rebound by Team,16,18
56,1,4:26.0,,N. Batum misses 3-pt jump shot from 25 ft,16,18
57,1,4:23.0,,Offensive rebound by M. Williams,16,18
58,1,4:20.0,,K. Walker makes 3-pt jump shot from 24 ft,16,21
59,1,3:53.0,K. Bryant misses 3-pt jump shot from 24 ft,,16,21
60,1,3:52.0,,Defensive rebound by M. Williams,16,21
61,1,3:48.0,,N. Batum makes 2-pt dunk at rim (assist by K. Walker),16,23
62,1,3:38.0,Shooting foul by M. Williams (drawn by K. Bryant),,16,23
63,1,3:38.0,K. Bryant makes free throw 1 of 2,,17,23
64,1,3:38.0,J. Randle enters the game for L. Nance,,17,23
65,1,3:38.0,B. Bass enters the game for R. Hibbert,,17,23
66,1,3:38.0,,F. Kaminsky enters the game for M. Williams,17,23
67,1,3:38.0,K. Bryant makes free throw 2 of 2,,18,23
68,1,3:16.0,,N. Batum misses 3-pt jump shot from 24 ft,18,23
69,1,3:15.0,Defensive rebound by J. Randle,,18,23
70,1,3:07.0,J. Clarkson misses 2-pt jump shot from 6 ft (block by J. Lin),,18,23
71,1,3:07.0,,Defensive rebound by J. Lin,18,23
72,1,3:07.0,,Personal foul by J. Clarkson (drawn by J. Lin),18,23
73,1,3:07.0,N. Young enters the game for K. Bryant,,18,23
74,1,2:53.0,,Shooting foul by J. Randle (drawn by F. Kaminsky),18,23
75,1,2:53.0,LA Lakers full timeout,,18,23
76,1,2:53.0,,A. Jefferson enters the game for C. Zeller,18,23
77,1,2:53.0,,F. Kaminsky makes free throw 1 of 2,18,24
78,1,2:53.0,,F. Kaminsky makes free throw 2 of 2,18,25
79,1,2:31.0,B. Bass makes 2-pt layup from 2 ft (assist by N. Young),,20,25
80,1,2:14.0,,Turnover by K. Walker (bad pass; steal by B. Bass),20,25
81,1,2:08.0,J. Randle makes 2-pt layup from 1 ft (assist by B. Bass),,22,25
82,1,1:49.0,,F. Kaminsky misses 3-pt jump shot from 25 ft,22,25
83,1,1:48.0,Defensive rebound by Team,,22,25
84,1,1:46.0,,J. Lamb enters the game for N. Batum,22,25
85,1,1:27.0,B. Bass makes 2-pt jump shot from 3 ft (assist by J. Clarkson),,24,25
86,1,1:15.0,,K. Walker makes 2-pt jump shot from 6 ft,24,27
87,1,0:55.0,B. Bass makes 2-pt jump shot from 12 ft (assist by D. Russell),,26,27
88,1,0:35.0,,K. Walker makes 2-pt jump shot from 13 ft,26,29
89,1,0:11.0,J. Clarkson misses 2-pt jump shot from 16 ft (block by J. Lin),,26,29
90,1,0:11.0,Offensive rebound by Team,,26,29
91,1,0:10.0,Turnover by D. Russell (bad pass; steal by J. Lamb),,26,29
92,1,0:07.0,,Shooting foul by J. Clarkson (drawn by J. Lamb),26,29
93,1,0:07.0,,J. Lamb makes 2-pt layup from 1 ft,26,31
94,1,0:07.0,,J. Lamb misses free throw 1 of 1,26,31
95,1,0:05.0,Defensive rebound by N. Young,,26,31
96,1,0:00.0,N. Young misses 2-pt jump shot from 20 ft,,26,31
97,1,0:00.0,Offensive rebound by Team,,26,31
98,2,11:45.0,,A. Jefferson misses 2-pt layup from 1 ft,26,31
99,2,11:44.0,Defensive rebound by D. Russell,,26,31
100,2,11:35.0,Shooting foul by F. Kaminsky (drawn by B. Bass),,26,31
101,2,11:35.0,B. Bass makes free throw 1 of 2,,27,31
102,2,11:35.0,B. Bass makes free throw 2 of 2,,28,31
103,2,11:20.0,,Turnover by J. Lin (bad pass; steal by L. Williams),28,31
104,2,11:14.0,J. Randle makes 2-pt layup at rim (assist by L. Williams),,30,31
105,2,10:56.0,,J. Lin makes 2-pt jump shot from 21 ft (assist by F. Kaminsky),30,33
106,2,10:43.0,Shooting foul by J. Lamb (drawn by N. Young),,30,33
107,2,10:43.0,N. Young makes free throw 1 of 3,,31,33
108,2,10:43.0,N. Young misses free throw 2 of 3,,31,33
109,2,10:43.0,Offensive rebound by Team,,31,33
110,2,10:43.0,N. Young makes free throw 3 of 3,,32,33
111,2,10:28.0,,Shooting foul by B. Bass (drawn by A. Jefferson),32,33
112,2,10:28.0,,A. Jefferson misses free throw 1 of 2,32,33
113,2,10:28.0,,Offensive rebound by Team,32,33
114,2,10:28.0,K. Bryant enters the game for N. Young,,32,33
