,QUARTER,TIME_REMAINING,MIAMI_ACTION,BOSTON_ACTION,MIAMI_SCORE,BOSTON_SCORE
0,1,11:48.0,Turnover by J. Winslow (bad pass; steal by A. Johnson),,0,0
1,1,11:27.0,,Turnover by A. Johnson (offensive foul),0,0
2,1,11:27.0,,Offensive foul by A. Johnson (drawn by L. Deng),0,0
3,1,11:04.0,A. Stoudemire misses 2-pt layup from 2 ft (block by J. Sullinger),,0,0
4,1,11:02.0,,Defensive rebound by J. Crowder,0,0
5,1,10:55.0,,J. Sullinger misses 2-pt hook shot from 5 ft,0,0
6,1,10:54.0,Defensive rebound by G. Dragić,,0,0
7,1,10:42.0,G. Dragić misses 3-pt jump shot from 23 ft,,0,0
8,1,10:41.0,,Defensive rebound by J. Sullinger,0,0
9,1,10:26.0,,I. Thomas misses 2-pt jump shot from 7 ft,0,0
10,1,10:25.0,Defensive rebound by A. Stoudemire,,0,0
11,1,10:15.0,L. Deng misses 2-pt jump shot from 22 ft,,0,0
12,1,10:14.0,,Defensive rebound by I. Thomas,0,0
13,1,10:04.0,,A. Bradley misses 3-pt jump shot from 23 ft,0,0
14,1,10:03.0,,Offensive rebound by A. Johnson,0,0
15,1,9:51.0,,J. Sullinger makes 2-pt layup from 2 ft (assist by J. Crowder),0,2
16,1,9:41.0,,Violation by J. Sullinger (kicked ball),0,2
17,1,9:32.0,A. Stoudemire makes 2-pt dunk at rim (assist by G. Dragić),,2,2
18,1,9:24.0,,J. Sullinger misses 2-pt jump shot from 19 ft,2,2
19,1,9:23.0,Defensive rebound by L. Deng,,2,2
20,1,9:10.0,A. Stoudemire makes 2-pt jump shot from 18 ft (assist by G. Dragić),,4,2
21,1,8:56.0,,Turnover by I. Thomas (bad pass; steal by D. Wade),4,2
22,1,8:50.0,L. Deng misses 3-pt jump shot from 23 ft,,4,2
23,1,8:49.0,,Defensive rebound by J. Sullinger,4,2
24,1,8:35.0,,J. Sullinger misses 2-pt layup from 1 ft,4,2
25,1,8:34.0,Defensive rebound by A. Stoudemire,,4,2
26,1,8:30.0,Shooting foul by J. Crowder (drawn by L. Deng),,4,2
27,1,8:30.0,L. Deng makes 2-pt layup from 1 ft (assist by J. Winslow),,6,2
28,1,8:30.0,L. Deng misses free throw 1 of 1,,6,2
29,1,8:30.0,,Defensive rebound by A. Johnson,6,2
30,1,8:18.0,,J. Crowder misses 3-pt jump shot from 26 ft,6,2
31,1,8:17.0,Defensive rebound by J. Winslow,,6,2
32,1,7:59.0,D. Wade misses 2-pt jump shot from 5 ft,,6,2
33,1,7:58.0,Offensive rebound by L. Deng,,6,2
34,1,7:57.0,J. Winslow makes 2-pt layup from 2 ft (assist by L. Deng),,8,2
35,1,7:57.0,,Boston full timeout,8,2
36,1,7:39.0,,Turnover by A. Johnson (3 sec),8,2
37,1,7:26.0,A. Stoudemire misses 2-pt jump shot from 17 ft,,8,2
38,1,7:25.0,,Defensive rebound by A. Johnson,8,2
39,1,7:18.0,,I. Thomas misses 2-pt jump shot from 8 ft,8,2
40,1,7:17.0,,Offensive rebound by A. Johnson,8,2
