,QUARTER,TIME_REMAINING,BOSTON_ACTION,WASHINGTON_ACTION,BOSTON_SCORE,WASHINGTON_SCORE
0,1,11:42.0,,N. Hilário misses 2-pt layup from 2 ft,0,0
1,1,11:41.0,,Offensive rebound by O. Porter,0,0
2,1,11:30.0,,G. Temple misses 3-pt jump shot from 26 ft,0,0
3,1,11:29.0,Defensive rebound by A. Johnson,,0,0
4,1,11:06.0,A. Bradley makes 2-pt jump shot from 21 ft,,2,0
5,1,10:59.0,,G. Temple misses 3-pt jump shot from 24 ft,2,0
6,1,10:58.0,Defensive rebound by J. Crowder,,2,0
7,1,10:39.0,J. Sullinger misses 2-pt jump shot from 7 ft,,2,0
8,1,10:38.0,,Defensive rebound by M. Gortat,2,0
9,1,10:27.0,,O. Porter makes 2-pt jump shot from 15 ft (assist by M. Gortat),2,2
10,1,10:06.0,J. Crowder misses 3-pt jump shot from 28 ft,,2,2
11,1,10:05.0,,Defensive rebound by J. Wall,2,2
12,1,9:50.0,,N. Hilário misses 2-pt jump shot from 16 ft,2,2
13,1,9:49.0,,Offensive rebound by M. Gortat,2,2
14,1,9:30.0,,O. Porter misses 2-pt jump shot from 18 ft,2,2
15,1,9:28.0,Defensive rebound by J. Sullinger,,2,2
16,1,9:21.0,I. Thomas makes 2-pt layup from 1 ft,,4,2
17,1,9:11.0,,Offensive foul by M. Gortat (drawn by I. Thomas),4,2
18,1,9:11.0,,Turnover by M. Gortat (offensive foul),4,2
19,1,8:57.0,I. Thomas makes 3-pt jump shot from 25 ft (assist by J. Sullinger),,7,2
20,1,8:46.0,,Shooting foul by J. Sullinger (drawn by N. Hilário),7,2
21,1,8:46.0,,N. Hilário makes free throw 1 of 2,7,3
22,1,8:46.0,,N. Hilário makes free throw 2 of 2,7,4
23,1,8:33.0,A. Bradley misses 3-pt jump shot from 24 ft,,7,4
24,1,8:32.0,Offensive rebound by A. Johnson,,7,4
25,1,8:28.0,Personal foul by G. Temple (drawn by A. Bradley),,7,4
26,1,8:18.0,I. Thomas makes 2-pt layup from 1 ft,,9,4
27,1,8:05.0,,N. Hilário makes 2-pt jump shot from 17 ft (assist by G. Temple),9,6
28,1,7:47.0,J. Sullinger misses 2-pt jump shot from 5 ft,,9,6
29,1,7:45.0,,Defensive rebound by M. Gortat,9,6
30,1,7:39.0,,O. Porter makes 2-pt jump shot from 17 ft (assist by J. Wall),9,8
31,1,7:25.0,I. Thomas misses 3-pt jump shot from 24 ft,,9,8
32,1,7:24.0,,Defensive rebound by G. Temple,9,8
33,1,7:17.0,,J. Wall makes 2-pt jump shot from 15 ft,9,10
34,1,7:03.0,Turnover by J. Sullinger (bad pass),,9,10
35,1,6:44.0,,Turnover by N. Hilário (bad pass; steal by J. Sullinger),9,10
36,1,6:34.0,Turnover by A. Bradley (bad pass; steal by N. Hilário),,9,10
37,1,6:30.0,,J. Wall misses 2-pt layup at rim,9,10
38,1,6:28.0,Defensive rebound by J. Sullinger,,9,10
39,1,6:23.0,I. Thomas misses 2-pt layup from 2 ft,,9,10
40,1,6:21.0,,Defensive rebound by M. Gortat,9,10
41,1,6:18.0,,Shooting foul by J. Sullinger (drawn by G. Temple),9,10
42,1,6:18.0,,G. Temple makes free throw 1 of 2,9,11
43,1,6:18.0,M. Smart enters the game for A. Bradley,,9,11
44,1,6:18.0,,J. Dudley enters the game for N. Hilário,9,11
45,1,6:18.0,E. Turner enters the game for J. Sullinger,,9,11
46,1,6:18.0,,G. Temple makes free throw 2 of 2,9,12
47,1,5:59.0,J. Crowder misses 2-pt jump shot from 12 ft,,9,12
48,1,5:58.0,,Defensive rebound by J. Dudley,9,12
49,1,5:54.0,,G. Temple misses 2-pt layup from 2 ft (block by A. Johnson),9,12
50,1,5:52.0,Defensive rebound by M. Smart,,9,12
51,1,5:48.0,J. Crowder makes 2-pt layup at rim (assist by M. Smart),,11,12
52,1,5:34.0,,M. Gortat misses 2-pt jump shot from 12 ft,11,12
53,1,5:33.0,Defensive rebound by E. Turner,,11,12
54,1,5:23.0,Turnover by E. Turner (traveling),,11,12
55,1,5:23.0,,Washington full timeout,11,12
56,1,5:23.0,,B. Beal enters the game for O. Porter,11,12
57,1,4:58.0,,J. Wall misses 3-pt jump shot from 24 ft,11,12
58,1,4:56.0,Defensive rebound by J. Crowder,,11,12
59,1,4:42.0,J. Crowder misses 2-pt jump shot from 18 ft,,11,12
60,1,4:41.0,,Defensive rebound by M. Gortat,11,12
61,1,4:34.0,,B. Beal misses 3-pt jump shot from 24 ft,11,12
62,1,4:33.0,Defensive rebound by M. Smart,,11,12
63,1,4:24.0,A. Johnson makes 2-pt layup from 1 ft (assist by J. Crowder),,13,12
64,1,4:18.0,,M. Gortat makes 2-pt layup from 1 ft (assist by J. Wall),13,14
65,1,4:07.0,K. Olynyk enters the game for J. Crowder,,13,14
66,1,4:00.0,M. Smart misses 3-pt jump shot from 27 ft,,13,14
67,1,4:00.0,,Defensive rebound by G. Temple,13,14
68,1,3:49.0,,J. Wall misses 2-pt jump shot from 16 ft,13,14
69,1,3:48.0,Defensive rebound by A. Johnson,,13,14
70,1,3:24.0,Turnover by Team (shot clock),,13,14
71,1,3:08.0,,B. Beal makes 2-pt jump shot from 7 ft (assist by J. Wall),13,16
72,1,2:54.0,A. Johnson misses 2-pt layup from 1 ft (block by J. Wall),,13,16
73,1,2:53.0,Offensive rebound by Team,,13,16
74,1,2:53.0,Boston full timeout,,13,16
75,1,2:53.0,J. Jerebko enters the game for A. Johnson,,13,16
76,1,2:42.0,E. Turner makes 2-pt jump shot from 15 ft,,15,16
77,1,2:27.0,,Turnover by B. Beal (bad pass),15,16
78,1,2:10.0,J. Jerebko misses 2-pt jump shot from 12 ft,,15,16
79,1,2:09.0,,Defensive rebound by M. Gortat,15,16
80,1,2:01.0,,M. Gortat makes 2-pt layup from 2 ft (assist by B. Beal),15,18
81,1,1:49.0,Turnover by I. Thomas (bad pass; steal by B. Beal),,15,18
82,1,1:44.0,,G. Temple misses 2-pt layup at rim,15,18
83,1,1:42.0,Defensive rebound by M. Smart,,15,18
84,1,1:34.0,M. Smart misses 2-pt layup from 1 ft,,15,18
85,1,1:33.0,,Defensive rebound by B. Beal,15,18
86,1,1:24.0,,B. Beal makes 2-pt jump shot from 10 ft,15,20
87,1,1:09.0,Shooting foul by B. Beal (drawn by I. Thomas),,15,20
88,1,1:09.0,I. Thomas makes free throw 1 of 2,,16,20
89,1,1:09.0,,R. Sessions enters the game for J. Wall,16,20
90,1,1:09.0,,G. Neal enters the game for G. Temple,16,20
91,1,1:09.0,I. Thomas makes free throw 2 of 2,,17,20
92,1,0:58.0,,B. Beal misses 2-pt jump shot from 15 ft,17,20
93,1,0:57.0,Defensive rebound by Team,,17,20
94,1,0:46.0,K. Olynyk misses 2-pt jump shot from 17 ft,,17,20
95,1,0:45.0,,Defensive rebound by R. Sessions,17,20
96,1,0:34.0,,Turnover by B. Beal (bad pass; steal by M. Smart),17,20
97,1,0:30.0,K. Olynyk makes 2-pt layup from 1 ft (assist by M. Smart),,19,20
98,1,0:08.0,,B. Beal misses 3-pt jump shot from 25 ft,19,20
99,1,0:07.0,Defensive rebound by I. Thomas,,19,20
100,1,0:01.0,Shooting foul by B. Beal (drawn by E. Turner),,19,20
101,1,0:01.0,E. Turner makes free throw 1 of 3,,20,20
102,1,0:01.0,E. Turner makes free throw 2 of 3,,21,20
103,1,0:01.0,A. Johnson enters the game for I. Thomas,,21,20
104,1,0:01.0,E. Turner makes free throw 3 of 3,,22,20
105,1,0:00.0,,B. Beal misses 3-pt jump shot from 63 ft,22,20
106,1,0:00.0,,Offensive rebound by Team,22,20
107,2,11:43.0,A. Bradley misses 3-pt jump shot from 25 ft,,22,20
108,2,11:42.0,,Defensive rebound by R. Sessions,22,20
109,2,11:21.0,,N. Hilário misses 2-pt jump shot from 14 ft,22,20
110,2,11:20.0,Defensive rebound by M. Smart,,22,20
111,2,11:06.0,A. Bradley misses 2-pt jump shot from 18 ft,,22,20
112,2,11:04.0,,Defensive rebound by N. Hilário,22,20
113,2,10:55.0,,R. Sessions misses 2-pt jump shot from 20 ft,22,20
114,2,10:54.0,Defensive rebound by J. Jerebko,,22,20
115,2,10:45.0,K. Olynyk misses 2-pt jump shot from 5 ft,,22,20
116,2,10:45.0,,Defensive rebound by Team,22,20
117,2,10:45.0,Loose ball foul by K. Olynyk (drawn by N. Hilário),,22,20
118,2,10:33.0,,Turnover by R. Sessions (offensive foul),22,20
119,2,10:33.0,,Offensive foul by R. Sessions (drawn by K. Olynyk),22,20
120,2,10:22.0,K. Olynyk misses 3-pt jump shot from 25 ft,,22,20
121,2,10:21.0,,Defensive rebound by G. Neal,22,20
122,2,10:10.0,,G. Neal makes 2-pt jump shot from 18 ft (assist by N. Hilário),22,22
123,2,9:59.0,Personal foul by G. Neal (drawn by E. Turner),,22,22
124,2,9:48.0,A. Bradley makes 2-pt jump shot from 4 ft,,24,22
125,2,9:36.0,,N. Hilário makes 2-pt layup from 1 ft,24,24
126,2,9:17.0,E. Turner makes 2-pt jump shot from 17 ft (assist by K. Olynyk),,26,24
127,2,9:11.0,,Turnover by B. Beal (lost ball; steal by A. Bradley),26,24
128,2,9:05.0,A. Bradley misses 2-pt jump shot from 19 ft,,26,24
129,2,9:03.0,,Defensive rebound by N. Hilário,26,24
130,2,8:48.0,,J. Dudley makes 3-pt jump shot from 23 ft (assist by G. Neal),26,27
131,2,8:20.0,M. Smart makes 2-pt layup at rim (assist by K. Olynyk),,28,27
132,2,8:03.0,,Personal foul by M. Smart (drawn by N. Hilário),28,27
133,2,8:03.0,Official timeout,,28,27
134,2,8:03.0,,O. Porter enters the game for B. Beal,28,27
135,2,8:03.0,T. Zeller enters the game for J. Jerebko,,28,27
136,2,7:51.0,,Offensive foul by G. Neal (drawn by M. Smart),28,27
137,2,7:51.0,,Turnover by G. Neal (offensive foul),28,27
138,2,7:42.0,T. Zeller makes 2-pt layup from 2 ft (assist by E. Turner),,30,27
139,2,7:42.0,Shooting foul by G. Neal (drawn by T. Zeller),,30,27
140,2,7:42.0,T. Zeller makes free throw 1 of 1,,31,27
141,2,7:31.0,Violation by K. Olynyk (def goaltending),,31,27
142,2,7:31.0,,R. Sessions makes 2-pt layup at rim (assist by N. Hilário),31,29
143,2,7:15.0,Shooting foul by O. Porter (drawn by E. Turner),,31,29
144,2,7:15.0,E. Turner makes free throw 1 of 2,,32,29
145,2,7:15.0,,J. Wall enters the game for G. Neal,32,29
146,2,7:15.0,E. Turner misses free throw 2 of 2,,32,29
147,2,7:14.0,,Defensive rebound by O. Porter,32,29
148,2,6:56.0,,J. Dudley makes 2-pt layup at rim (assist by J. Wall),32,31
149,2,6:37.0,T. Zeller misses 2-pt layup from 2 ft,,32,31
150,2,6:36.0,,Defensive rebound by Team,32,31
151,2,6:36.0,Loose ball foul by T. Zeller (drawn by O. Porter),,32,31
152,2,6:30.0,,Personal foul by A. Bradley (drawn by J. Wall),32,31
153,2,6:30.0,J. Crowder enters the game for K. Olynyk,,32,31
154,2,6:24.0,,Shooting foul by T. Zeller (drawn by R. Sessions),32,31
155,2,6:24.0,,R. Sessions makes free throw 1 of 2,32,32
156,2,6:24.0,,R. Sessions makes free throw 2 of 2,32,33
157,2,6:14.0,J. Crowder makes 2-pt layup from 1 ft (assist by A. Bradley),,34,33
158,2,6:06.0,,J. Dudley makes 3-pt jump shot from 25 ft (assist by J. Wall),34,36
159,2,5:55.0,E. Turner misses 2-pt jump shot from 10 ft,,34,36
160,2,5:54.0,,Defensive rebound by O. Porter,34,36
161,2,5:49.0,,Shooting foul by M. Smart (drawn by R. Sessions),34,36
162,2,5:49.0,,Washington full timeout,34,36
163,2,5:49.0,,R. Sessions makes free throw 1 of 2,34,37
164,2,5:49.0,,R. Sessions makes free throw 2 of 2,34,38
165,2,5:33.0,M. Smart misses 2-pt jump shot from 8 ft,,34,38
166,2,5:32.0,,Defensive rebound by O. Porter,34,38
167,2,5:18.0,,O. Porter makes 3-pt jump shot from 24 ft (assist by J. Dudley),34,41
168,2,4:59.0,M. Smart makes 2-pt jump shot from 17 ft,,36,41
169,2,4:42.0,,Turnover by J. Wall (bad pass; steal by T. Zeller),36,41
170,2,4:34.0,T. Zeller makes 2-pt layup from 1 ft (assist by A. Bradley),,38,41
171,2,4:11.0,,M. Gortat enters the game for N. Hilário,38,41
172,2,4:11.0,I. Thomas enters the game for E. Turner,,38,41
173,2,4:11.0,J. Sullinger enters the game for M. Smart,,38,41
174,2,4:11.0,,Turnover by J. Dudley (lost ball; steal by T. Zeller),38,41
175,2,3:49.0,J. Sullinger makes 2-pt jump shot from 21 ft (assist by I. Thomas),,40,41
176,2,3:38.0,,M. Gortat makes 2-pt jump shot from 16 ft (assist by O. Porter),40,43
177,2,3:21.0,J. Crowder makes 2-pt jump shot from 21 ft (assist by I. Thomas),,42,43
178,2,3:12.0,,J. Wall misses 2-pt jump shot from 20 ft,42,43
179,2,3:11.0,Defensive rebound by J. Crowder,,42,43
180,2,3:01.0,T. Zeller makes 2-pt jump shot from 5 ft (assist by I. Thomas),,44,43
181,2,2:50.0,,Shooting foul by J. Crowder (drawn by M. Gortat),44,43
182,2,2:50.0,Boston full timeout,,44,43
183,2,2:50.0,,G. Temple enters the game for R. Sessions,44,43
184,2,2:50.0,,M. Gortat makes free throw 1 of 2,44,44
185,2,2:50.0,,M. Gortat makes free throw 2 of 2,44,45
186,2,2:38.0,I. Thomas misses 2-pt jump shot from 9 ft,,44,45
187,2,2:37.0,,Defensive rebound by G. Temple,44,45
188,2,2:19.0,,J. Dudley misses 2-pt jump shot from 18 ft,44,45
189,2,2:19.0,,Offensive rebound by Team,44,45
190,2,2:19.0,Loose ball foul by J. Crowder (drawn by O. Porter),,44,45
191,2,2:19.0,,O. Porter misses free throw 1 of 2,44,45
192,2,2:19.0,,Offensive rebound by Team,44,45
193,2,2:19.0,,O. Porter makes free throw 2 of 2,44,46
194,2,2:01.0,J. Crowder misses 3-pt jump shot from 26 ft,,44,46
195,2,1:59.0,Offensive rebound by J. Crowder,,44,46
196,2,1:55.0,A. Bradley misses 3-pt jump shot from 26 ft,,44,46
197,2,1:55.0,,Defensive rebound by J. Wall,44,46
198,2,1:50.0,,Personal foul by A. Bradley (drawn by J. Wall),44,46
199,2,1:50.0,,J. Wall misses free throw 1 of 2,44,46
200,2,1:50.0,,Offensive rebound by Team,44,46
201,2,1:50.0,A. Johnson enters the game for T. Zeller,,44,46
202,2,1:50.0,,J. Wall makes free throw 2 of 2,44,47
203,2,1:37.0,J. Sullinger makes 2-pt jump shot from 20 ft (assist by I. Thomas),,46,47
204,2,1:23.0,,Turnover by J. Wall (bad pass),46,47
205,2,1:15.0,Turnover by I. Thomas (bad pass; steal by J. Wall),,46,47
206,2,1:14.0,,Turnover by J. Dudley (bad pass; steal by I. Thomas),46,47
207,2,1:11.0,A. Bradley makes 2-pt jump shot from 13 ft (assist by I. Thomas),,48,47
208,2,0:57.0,,J. Dudley makes 2-pt jump shot from 16 ft (assist by M. Gortat),48,49
209,2,0:38.0,I. Thomas makes 2-pt jump shot from 18 ft,,50,49
210,2,0:32.0,,J. Wall misses 3-pt jump shot from 29 ft,50,49
211,2,0:30.0,Defensive rebound by A. Bradley,,50,49
212,2,0:07.0,I. Thomas makes 3-pt jump shot from 25 ft,,53,49
213,2,0:01.0,,G. Temple misses 3-pt jump shot from 24 ft,53,49
214,2,0:00.0,,Offensive rebound by Team,53,49
215,3,11:46.0,J. Crowder makes 2-pt jump shot from 19 ft (assist by A. Bradley),,55,49
216,3,11:23.0,,N. Hilário misses 2-pt jump shot from 9 ft,55,49
217,3,11:23.0,Defensive rebound by J. Sullinger,,55,49
218,3,11:05.0,J. Crowder misses 3-pt jump shot from 27 ft,,55,49
219,3,11:04.0,,Defensive rebound by M. Gortat,55,49
220,3,10:57.0,,O. Porter makes 3-pt jump shot from 25 ft (assist by J. Wall),55,52
221,3,10:39.0,Shooting foul by M. Gortat (drawn by J. Sullinger),,55,52
222,3,10:39.0,J. Sullinger misses free throw 1 of 2,,55,52
223,3,10:39.0,Offensive rebound by Team,,55,52
224,3,10:39.0,J. Sullinger makes free throw 2 of 2,,56,52
225,3,10:29.0,,Turnover by J. Wall (bad pass; steal by A. Bradley),56,52
