,QUARTER,TIME_REMAINING,MIAMI_ACTION,ATLANTA_ACTION,MIAMI_SCORE,ATLANTA_SCORE
0,1,11:44.0,,Turnover by K. Bazemore (bad pass),0,0
1,1,11:26.0,A. Stoudemire misses 2-pt jump shot from 7 ft (block by A. Horford),,0,0
2,1,11:26.0,,Defensive rebound by Team,0,0
3,1,11:14.0,,Shooting foul by L. Deng (drawn by P. Millsap),0,0
4,1,11:14.0,,P. Millsap makes free throw 1 of 2,0,1
5,1,11:14.0,,P. Millsap makes free throw 2 of 2,0,2
6,1,11:02.0,J. Winslow misses 3-pt jump shot from 23 ft,,0,2
7,1,11:01.0,,Defensive rebound by K. Bazemore,0,2
8,1,10:55.0,,Turnover by K. Bazemore (bad pass; steal by G. Dragić),0,2
9,1,10:50.0,G. Dragić makes 2-pt layup from 1 ft,,2,2
10,1,10:29.0,,P. Millsap misses 2-pt jump shot from 11 ft,2,2
11,1,10:27.0,Defensive rebound by G. Dragić,,2,2
12,1,10:23.0,Personal foul by J. Teague,,2,2
13,1,10:10.0,G. Green misses 2-pt dunk from 1 ft,,2,2
14,1,10:09.0,Offensive rebound by A. Stoudemire,,2,2
15,1,10:08.0,Shooting foul by P. Millsap (drawn by A. Stoudemire),,2,2
16,1,10:08.0,A. Stoudemire makes free throw 1 of 2,,3,2
17,1,10:08.0,A. Stoudemire misses free throw 2 of 2,,3,2
18,1,10:07.0,,Defensive rebound by K. Bazemore,3,2
19,1,9:58.0,,Turnover by K. Korver (bad pass),3,2
20,1,9:47.0,J. Winslow misses 3-pt jump shot from 23 ft,,3,2
21,1,9:45.0,,Defensive rebound by A. Horford,3,2
22,1,9:38.0,,P. Millsap misses 3-pt jump shot from 24 ft,3,2
23,1,9:36.0,Defensive rebound by G. Green,,3,2
24,1,9:25.0,L. Deng misses 3-pt jump shot from 22 ft,,3,2
25,1,9:23.0,,Defensive rebound by P. Millsap,3,2
26,1,9:15.0,,K. Korver makes 2-pt jump shot from 19 ft,3,4
27,1,9:00.0,G. Dragić misses 2-pt jump shot from 17 ft,,3,4
28,1,8:59.0,,Defensive rebound by P. Millsap,3,4
29,1,8:47.0,,J. Teague misses 3-pt jump shot from 25 ft,3,4
30,1,8:46.0,Defensive rebound by G. Green,,3,4
31,1,8:27.0,J. Winslow misses 2-pt jump shot from 17 ft,,3,4
32,1,8:24.0,,Defensive rebound by P. Millsap,3,4
33,1,8:14.0,,K. Bazemore misses 3-pt jump shot from 23 ft,3,4
34,1,8:12.0,Defensive rebound by L. Deng,,3,4
35,1,8:05.0,Turnover by G. Dragić (bad pass; steal by K. Bazemore),,3,4
36,1,8:00.0,,J. Teague makes 2-pt layup from 1 ft (assist by K. Bazemore),3,6
37,1,7:46.0,L. Deng makes 2-pt jump shot from 18 ft (assist by G. Dragić),,5,6
38,1,7:33.0,,A. Horford misses 2-pt jump shot from 16 ft,5,6
39,1,7:32.0,Defensive rebound by L. Deng,,5,6
40,1,7:22.0,Shooting foul by K. Korver (drawn by J. Winslow),,5,6
41,1,7:22.0,J. Winslow misses free throw 1 of 2,,5,6
42,1,7:22.0,Offensive rebound by Team,,5,6
43,1,7:22.0,J. Winslow makes free throw 2 of 2,,6,6
44,1,7:10.0,,A. Horford misses 2-pt layup from 3 ft,6,6
45,1,7:09.0,Defensive rebound by A. Stoudemire,,6,6
46,1,7:04.0,G. Dragić misses 2-pt layup at rim,,6,6
47,1,7:03.0,Offensive rebound by J. Winslow,,6,6
48,1,7:02.0,J. Winslow makes 2-pt layup at rim,,8,6
