,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,PORTLAND_ACTION,PHILADELPHIA_SCORE,PORTLAND_SCORE
0,1,11:37.0,,C. McCollum misses 3-pt jump shot from 23 ft,0,0
1,1,11:37.0,Defensive rebound by H. Thompson,,0,0
2,1,11:32.0,Personal foul by M. Plumlee,,0,0
3,1,11:14.0,I. Canaan misses 2-pt jump shot from 18 ft,,0,0
4,1,11:14.0,,Defensive rebound by D. Lillard,0,0
5,1,11:03.0,,A. Aminu misses 3-pt jump shot from 24 ft,0,0
6,1,11:03.0,Defensive rebound by I. Smith,,0,0
7,1,10:44.0,Shooting foul by A. Aminu (drawn by J. Grant),,0,0
8,1,10:44.0,J. Grant makes free throw 1 of 2,,1,0
9,1,10:44.0,J. Grant misses free throw 2 of 2,,1,0
10,1,10:43.0,,Defensive rebound by M. Harkless,1,0
11,1,10:35.0,,D. Lillard makes 2-pt jump shot from 19 ft,1,2
12,1,10:22.0,C. Landry makes 2-pt jump shot from 20 ft (assist by I. Smith),,3,2
13,1,10:08.0,,C. McCollum misses 2-pt jump shot from 9 ft,3,2
14,1,10:05.0,,Offensive rebound by M. Plumlee,3,2
15,1,10:01.0,,C. McCollum makes 3-pt jump shot from 23 ft (assist by D. Lillard),3,5
16,1,9:52.0,I. Canaan misses 3-pt jump shot from 24 ft,,3,5
17,1,9:50.0,,Defensive rebound by M. Harkless,3,5
18,1,9:35.0,,Turnover by C. McCollum (bad pass; steal by H. Thompson),3,5
19,1,9:26.0,H. Thompson makes 2-pt jump shot from 11 ft (assist by I. Smith),,5,5
20,1,9:06.0,,M. Harkless makes 2-pt dunk at rim,5,7
21,1,8:55.0,C. Landry makes 2-pt jump shot from 17 ft (assist by I. Smith),,7,7
22,1,8:32.0,,M. Plumlee makes 2-pt jump shot from 6 ft (assist by C. McCollum),7,9
23,1,8:17.0,I. Smith makes 3-pt jump shot from 23 ft (assist by C. Landry),,10,9
24,1,7:59.0,,M. Harkless misses 3-pt jump shot from 22 ft,10,9
25,1,7:57.0,Defensive rebound by I. Canaan,,10,9
26,1,7:46.0,Turnover by J. Grant (lost ball; steal by C. McCollum),,10,9
27,1,7:40.0,,C. McCollum makes 2-pt layup from 1 ft,10,11
28,1,7:24.0,Turnover by I. Smith (bad pass; steal by C. McCollum),,10,11
29,1,7:23.0,,Personal foul by C. Landry,10,11
30,1,7:06.0,,A. Aminu makes 3-pt jump shot from 24 ft (assist by C. McCollum),10,14
31,1,6:51.0,Turnover by J. Grant (step out of bounds),,10,14
32,1,6:42.0,,Shooting foul by C. Landry (drawn by M. Harkless),10,14
33,1,6:42.0,,M. Harkless makes free throw 1 of 2,10,15
34,1,6:42.0,R. Holmes enters the game for C. Landry,,10,15
35,1,6:42.0,R. Covington enters the game for H. Thompson,,10,15
36,1,6:42.0,,M. Harkless makes free throw 2 of 2,10,16
37,1,6:32.0,I. Smith makes 2-pt jump shot from 7 ft,,12,16
38,1,6:22.0,,D. Lillard misses 2-pt layup from 2 ft (block by R. Holmes),12,16
39,1,6:21.0,Defensive rebound by R. Covington,,12,16
40,1,6:12.0,I. Canaan misses 2-pt jump shot from 18 ft,,12,16
41,1,6:11.0,,Defensive rebound by A. Aminu,12,16
42,1,6:04.0,,M. Harkless makes 3-pt jump shot from 23 ft (assist by A. Aminu),12,19
43,1,5:50.0,R. Holmes misses 2-pt jump shot from 19 ft,,12,19
44,1,5:50.0,,Defensive rebound by A. Aminu,12,19
45,1,5:41.0,,D. Lillard misses 3-pt jump shot from 25 ft,12,19
46,1,5:40.0,Defensive rebound by R. Holmes,,12,19
47,1,5:33.0,R. Covington misses 3-pt jump shot from 25 ft,,12,19
48,1,5:32.0,Offensive rebound by J. Grant,,12,19
49,1,5:30.0,Shooting foul by M. Plumlee (drawn by J. Grant),,12,19
50,1,5:30.0,,Portland full timeout,12,19
