,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,OKLAHOMA CITY_ACTION,CLEVELAND_SCORE,OKLAHOMA CITY_SCORE
0,1,11:44.0,,S. Ibaka misses 2-pt jump shot from 17 ft,0,0
1,1,11:43.0,,Offensive rebound by S. Adams,0,0
2,1,11:37.0,,R. Westbrook misses 2-pt jump shot from 13 ft,0,0
3,1,11:36.0,Defensive rebound by K. Irving,,0,0
4,1,11:19.0,K. Irving makes 2-pt jump shot from 20 ft,,2,0
5,1,11:05.0,,K. Durant makes 3-pt jump shot from 24 ft (assist by D. Waiters),2,3
6,1,10:53.0,Personal foul by K. Durant (drawn by K. Love),,2,3
7,1,10:39.0,K. Love misses 2-pt jump shot from 11 ft,,2,3
8,1,10:39.0,Offensive rebound by L. James,,2,3
9,1,10:31.0,K. Love misses 2-pt jump shot from 6 ft (block by K. Durant),,2,3
10,1,10:26.0,Offensive rebound by K. Love,,2,3
11,1,10:18.0,K. Love misses 3-pt jump shot from 24 ft,,2,3
12,1,10:17.0,,Defensive rebound by R. Westbrook,2,3
13,1,10:14.0,,Personal block foul by K. Irving (drawn by R. Westbrook),2,3
14,1,10:02.0,,Turnover by S. Adams (traveling),2,3
15,1,9:48.0,L. James misses 2-pt jump shot from 18 ft,,2,3
16,1,9:47.0,,Defensive rebound by K. Durant,2,3
17,1,9:41.0,,D. Waiters misses 3-pt jump shot from 25 ft,2,3
18,1,9:40.0,Defensive rebound by K. Love,,2,3
19,1,9:29.0,T. Thompson makes 2-pt layup from 1 ft (assist by L. James),,4,3
20,1,9:09.0,,D. Waiters misses 2-pt dunk at rim (block by T. Thompson),4,3
21,1,9:06.0,Defensive rebound by T. Thompson,,4,3
22,1,9:01.0,T. Thompson makes 2-pt dunk at rim (assist by K. Love),,6,3
23,1,8:50.0,,S. Adams makes 2-pt dunk at rim (assist by R. Westbrook),6,5
24,1,8:24.0,K. Love makes 2-pt layup from 1 ft,,8,5
25,1,8:12.0,,K. Durant misses 3-pt jump shot from 24 ft,8,5
26,1,8:11.0,Defensive rebound by K. Love,,8,5
27,1,7:58.0,Personal foul by D. Waiters (drawn by K. Love),,8,5
28,1,7:47.0,J. Smith makes 3-pt jump shot from 26 ft (assist by L. James),,11,5
29,1,7:28.0,,S. Adams makes 2-pt dunk at rim (assist by R. Westbrook),11,7
30,1,7:08.0,K. Irving misses 2-pt jump shot from 22 ft,,11,7
31,1,7:07.0,,Defensive rebound by Team,11,7
32,1,6:55.0,,S. Adams makes 2-pt layup from 1 ft (assist by R. Westbrook),11,9
33,1,6:55.0,,Shooting foul by J. Smith (drawn by S. Adams),11,9
34,1,6:55.0,,S. Adams makes free throw 1 of 1,11,10
35,1,6:41.0,,Violation by R. Westbrook (kicked ball),11,10
36,1,6:32.0,J. Smith makes 3-pt jump shot from 24 ft (assist by L. James),,14,10
37,1,6:20.0,,R. Westbrook makes 2-pt layup at rim,14,12
38,1,6:09.0,K. Irving misses 2-pt layup from 2 ft (block by S. Adams),,14,12
39,1,6:09.0,Offensive rebound by T. Thompson,,14,12
40,1,6:09.0,Shooting foul by S. Adams (drawn by T. Thompson),,14,12
41,1,6:09.0,T. Thompson makes free throw 1 of 2,,15,12
42,1,6:09.0,T. Thompson misses free throw 2 of 2,,15,12
43,1,6:08.0,,Defensive rebound by K. Durant,15,12
44,1,5:56.0,,K. Durant makes 2-pt jump shot from 7 ft,15,14
45,1,5:43.0,K. Irving misses 3-pt jump shot from 23 ft,,15,14
46,1,5:42.0,,Defensive rebound by Team,15,14
47,1,5:42.0,Loose ball foul by T. Thompson (drawn by S. Adams),,15,14
48,1,5:42.0,,Oklahoma City full timeout,15,14
49,1,5:19.0,,S. Ibaka misses 2-pt jump shot from 4 ft,15,14
50,1,5:19.0,,Offensive rebound by S. Adams,15,14
51,1,5:16.0,,S. Ibaka makes 2-pt jump shot from 5 ft (assist by S. Adams),15,16
52,1,4:52.0,K. Love makes 2-pt jump shot from 18 ft (assist by K. Irving),,17,16
53,1,4:31.0,,K. Durant makes 2-pt jump shot from 7 ft,17,18
54,1,4:08.0,L. James misses 2-pt jump shot from 14 ft,,17,18
55,1,4:06.0,,Defensive rebound by S. Ibaka,17,18
56,1,4:02.0,,R. Westbrook makes 2-pt dunk at rim,17,20
57,1,3:44.0,K. Irving misses 2-pt layup from 2 ft,,17,20
58,1,3:43.0,,Defensive rebound by R. Westbrook,17,20
59,1,3:36.0,,D. Waiters misses 3-pt jump shot from 22 ft,17,20
60,1,3:36.0,Defensive rebound by J. Smith,,17,20
61,1,3:31.0,J. Smith misses 2-pt layup at rim (block by K. Durant),,17,20
62,1,3:30.0,Offensive rebound by L. James,,17,20
63,1,3:28.0,L. James makes 2-pt layup from 1 ft,,19,20
