,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,TORONTO_ACTION,MINNESOTA_SCORE,TORONTO_SCORE
0,1,11:33.0,,K. Lowry misses 2-pt layup from 1 ft,0,0
1,1,11:32.0,,Offensive rebound by J. Valančiūnas,0,0
2,1,11:30.0,,J. Valančiūnas misses 2-pt layup at rim,0,0
3,1,11:29.0,,Offensive rebound by J. Valančiūnas,0,0
4,1,11:29.0,,J. Valančiūnas makes 2-pt layup at rim,0,2
5,1,11:17.0,Turnover by A. Wiggins (lost ball; steal by L. Scola),,0,2
6,1,11:12.0,,L. Scola makes 2-pt layup from 1 ft,0,4
7,1,10:54.0,A. Wiggins makes 2-pt jump shot from 20 ft (assist by R. Rubio),,2,4
8,1,10:29.0,,J. Johnson makes 2-pt hook shot from 3 ft,2,6
9,1,10:16.0,A. Wiggins makes 2-pt hook shot from 2 ft,,4,6
10,1,10:16.0,Shooting foul by J. Valančiūnas (drawn by A. Wiggins),,4,6
11,1,10:16.0,A. Wiggins makes free throw 1 of 1,,5,6
12,1,9:50.0,,L. Scola misses 3-pt jump shot from 23 ft,5,6
13,1,9:50.0,Defensive rebound by K. Towns,,5,6
14,1,9:39.0,G. Dieng makes 2-pt jump shot from 2 ft (assist by R. Rubio),,7,6
15,1,9:26.0,,Personal foul by A. Wiggins,7,6
16,1,9:17.0,,Turnover by D. DeRozan (lost ball; steal by R. Rubio),7,6
17,1,9:11.0,T. Prince makes 2-pt layup from 1 ft (assist by R. Rubio),,9,6
18,1,8:52.0,,L. Scola makes 2-pt hook shot from 3 ft (assist by K. Lowry),9,8
19,1,8:31.0,A. Wiggins misses 2-pt jump shot from 19 ft,,9,8
20,1,8:30.0,Offensive rebound by G. Dieng,,9,8
21,1,8:26.0,A. Wiggins makes 3-pt jump shot from 26 ft (assist by G. Dieng),,12,8
22,1,8:10.0,,J. Johnson misses 3-pt jump shot from 22 ft,12,8
23,1,8:10.0,Defensive rebound by Team,,12,8
24,1,7:56.0,K. Towns makes 2-pt jump shot from 16 ft (assist by R. Rubio),,14,8
25,1,7:48.0,,Toronto full timeout,14,8
26,1,7:39.0,,D. DeRozan makes 2-pt jump shot from 17 ft (assist by K. Lowry),14,10
27,1,7:23.0,K. Towns misses 2-pt jump shot from 14 ft,,14,10
28,1,7:22.0,Offensive rebound by T. Prince,,14,10
29,1,7:16.0,R. Rubio makes 3-pt jump shot from 25 ft (assist by A. Wiggins),,17,10
30,1,6:58.0,Violation by R. Rubio (kicked ball),,17,10
31,1,6:51.0,,J. Johnson misses 2-pt layup from 4 ft,17,10
32,1,6:50.0,Defensive rebound by R. Rubio,,17,10
33,1,6:42.0,K. Towns makes 2-pt jump shot from 3 ft (assist by R. Rubio),,19,10
34,1,6:24.0,,Shooting foul by T. Prince (drawn by J. Valančiūnas),19,10
35,1,6:24.0,,J. Valančiūnas makes free throw 1 of 2,19,11
36,1,6:24.0,,J. Valančiūnas makes free throw 2 of 2,19,12
37,1,6:14.0,,Offensive charge foul by A. Wiggins (drawn by L. Scola),19,12
38,1,6:14.0,Turnover by A. Wiggins (offensive foul),,19,12
39,1,6:14.0,Z. LaVine enters the game for A. Wiggins,,19,12
40,1,5:59.0,,D. DeRozan makes 2-pt jump shot from 14 ft,19,14
41,1,5:41.0,K. Towns misses 3-pt jump shot from 24 ft,,19,14
42,1,5:40.0,,Defensive rebound by J. Valančiūnas,19,14
43,1,5:35.0,,Shooting block foul by R. Rubio (drawn by K. Lowry),19,14
44,1,5:35.0,,K. Lowry makes free throw 1 of 2,19,15
45,1,5:35.0,,T. Ross enters the game for J. Johnson,19,15
46,1,5:35.0,,P. Patterson enters the game for L. Scola,19,15
47,1,5:35.0,S. Muhammad enters the game for T. Prince,,19,15
48,1,5:35.0,,K. Lowry makes free throw 2 of 2,19,16
49,1,5:18.0,G. Dieng makes 2-pt hook shot from 3 ft,,21,16
50,1,5:05.0,,J. Valančiūnas makes 2-pt jump shot from 3 ft (assist by D. DeRozan),21,18
51,1,4:48.0,Z. LaVine misses 3-pt jump shot from 22 ft,,21,18
52,1,4:48.0,,Defensive rebound by D. DeRozan,21,18
53,1,4:39.0,,Shooting foul by S. Muhammad (drawn by D. DeRozan),21,18
54,1,4:39.0,,D. DeRozan makes free throw 1 of 2,21,19
