,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,PORTLAND_ACTION,MILWAUKEE_SCORE,PORTLAND_SCORE
0,1,11:38.0,K. Middleton misses 2-pt jump shot from 10 ft,,0,0
1,1,11:37.0,Offensive rebound by K. Middleton,,0,0
2,1,11:35.0,K. Middleton misses 2-pt jump shot from 6 ft (block by M. Plumlee),,0,0
3,1,11:34.0,,Defensive rebound by M. Plumlee,0,0
4,1,11:18.0,,M. Plumlee misses 2-pt layup at rim,0,0
5,1,11:18.0,Defensive rebound by G. Monroe,,0,0
6,1,11:13.0,Shooting foul by N. Vonleh (drawn by G. Antetokounmpo),,0,0
7,1,11:13.0,G. Antetokounmpo misses free throw 1 of 2,,0,0
8,1,11:13.0,Offensive rebound by Team,,0,0
9,1,11:13.0,G. Antetokounmpo misses free throw 2 of 2,,0,0
10,1,11:12.0,,Defensive rebound by M. Plumlee,0,0
11,1,10:59.0,,A. Aminu misses 3-pt jump shot from 24 ft,0,0
12,1,10:56.0,Defensive rebound by G. Antetokounmpo,,0,0
13,1,10:50.0,G. Antetokounmpo misses 2-pt jump shot from 5 ft,,0,0
14,1,10:49.0,Offensive rebound by M. Carter-Williams,,0,0
15,1,10:49.0,M. Carter-Williams makes 2-pt dunk at rim,,2,0
16,1,10:21.0,,M. Plumlee makes 2-pt layup from 1 ft (assist by C. McCollum),2,2
17,1,10:13.0,J. Parker misses 2-pt jump shot from 20 ft,,2,2
18,1,10:12.0,,Defensive rebound by D. Lillard,2,2
19,1,9:56.0,,C. McCollum makes 2-pt layup from 1 ft,2,4
20,1,9:56.0,,Shooting foul by K. Middleton (drawn by C. McCollum),2,4
21,1,9:56.0,,C. McCollum misses free throw 1 of 1,2,4
22,1,9:55.0,Defensive rebound by G. Monroe,,2,4
23,1,9:37.0,Turnover by K. Middleton (lost ball; steal by A. Aminu),,2,4
24,1,9:31.0,,C. McCollum makes 3-pt jump shot from 24 ft (assist by D. Lillard),2,7
25,1,9:12.0,Shooting foul by M. Plumlee (drawn by G. Monroe),,2,7
26,1,9:12.0,G. Monroe makes free throw 1 of 2,,3,7
27,1,9:12.0,G. Monroe makes free throw 2 of 2,,4,7
28,1,9:00.0,,A. Aminu makes 3-pt jump shot from 22 ft (assist by D. Lillard),4,10
29,1,8:47.0,G. Monroe misses 2-pt layup from 1 ft (block by M. Plumlee),,4,10
30,1,8:46.0,,Defensive rebound by D. Lillard,4,10
31,1,8:41.0,,C. McCollum misses 3-pt jump shot from 24 ft,4,10
32,1,8:39.0,Defensive rebound by K. Middleton,,4,10
33,1,8:37.0,Shooting foul by C. McCollum (drawn by K. Middleton),,4,10
34,1,8:37.0,K. Middleton makes free throw 1 of 2,,5,10
35,1,8:37.0,K. Middleton makes free throw 2 of 2,,6,10
36,1,8:20.0,,A. Aminu makes 3-pt jump shot from 23 ft (assist by D. Lillard),6,13
37,1,8:06.0,K. Middleton misses 3-pt jump shot from 25 ft,,6,13
38,1,8:05.0,,Defensive rebound by N. Vonleh,6,13
39,1,7:55.0,,A. Aminu makes 2-pt dunk at rim (assist by D. Lillard),6,15
40,1,7:55.0,Milwaukee full timeout,,6,15
41,1,7:55.0,J. Bayless enters the game for K. Middleton,,6,15
42,1,7:31.0,G. Antetokounmpo makes 2-pt layup from 1 ft,,8,15
43,1,7:10.0,,A. Aminu makes 2-pt jump shot from 21 ft,8,17
44,1,6:55.0,M. Carter-Williams misses 3-pt jump shot from 24 ft,,8,17
45,1,6:54.0,Offensive rebound by G. Antetokounmpo,,8,17
46,1,6:43.0,G. Antetokounmpo misses 2-pt layup from 1 ft,,8,17
47,1,6:43.0,Offensive rebound by M. Carter-Williams,,8,17
48,1,6:38.0,G. Antetokounmpo misses 2-pt jump shot from 14 ft,,8,17
49,1,6:38.0,,Defensive rebound by M. Plumlee,8,17
50,1,6:22.0,,C. McCollum makes 2-pt jump shot from 14 ft,8,19
51,1,6:03.0,G. Monroe makes 2-pt hook shot from 4 ft (assist by J. Bayless),,10,19
52,1,5:45.0,,M. Plumlee misses 2-pt layup at rim,10,19
53,1,5:44.0,,Offensive rebound by M. Plumlee,10,19
54,1,5:44.0,,M. Plumlee misses 2-pt layup at rim,10,19
55,1,5:42.0,Defensive rebound by M. Carter-Williams,,10,19
56,1,5:33.0,G. Monroe makes 2-pt layup from 1 ft,,12,19
57,1,5:33.0,Shooting block foul by M. Plumlee (drawn by G. Monroe),,12,19
58,1,5:33.0,G. Monroe misses free throw 1 of 1,,12,19
59,1,5:32.0,,Defensive rebound by A. Aminu,12,19
60,1,5:18.0,,C. McCollum misses 3-pt jump shot from 24 ft,12,19
61,1,5:16.0,Defensive rebound by G. Antetokounmpo,,12,19
62,1,5:09.0,Turnover by J. Parker (bad pass; steal by A. Aminu),,12,19
63,1,5:03.0,,D. Lillard makes 2-pt layup at rim (assist by C. McCollum),12,21
64,1,4:45.0,Shooting foul by A. Aminu (drawn by G. Antetokounmpo),,12,21
65,1,4:45.0,G. Antetokounmpo makes free throw 1 of 2,,13,21
66,1,4:45.0,,E. Davis enters the game for N. Vonleh,13,21
67,1,4:45.0,,M. Leonard enters the game for M. Plumlee,13,21
68,1,4:45.0,,A. Crabbe enters the game for C. McCollum,13,21
69,1,4:45.0,K. Middleton enters the game for J. Parker,,13,21
70,1,4:45.0,G. Antetokounmpo makes free throw 2 of 2,,14,21
71,1,4:27.0,,E. Davis misses 2-pt layup from 2 ft,14,21
72,1,4:26.0,Defensive rebound by G. Antetokounmpo,,14,21
73,1,4:23.0,Shooting foul by M. Leonard (drawn by G. Antetokounmpo),,14,21
74,1,4:23.0,G. Antetokounmpo makes free throw 1 of 2,,15,21
75,1,4:23.0,M. Plumlee enters the game for G. Monroe,,15,21
76,1,4:23.0,G. Antetokounmpo misses free throw 2 of 2,,15,21
77,1,4:22.0,,Defensive rebound by E. Davis,15,21
78,1,4:08.0,,Turnover by D. Lillard (lost ball; steal by K. Middleton),15,21
79,1,4:05.0,G. Antetokounmpo makes 2-pt dunk at rim (assist by K. Middleton),,17,21
80,1,3:35.0,,D. Lillard makes 2-pt layup from 3 ft,17,23
81,1,3:26.0,M. Plumlee misses 2-pt layup from 2 ft,,17,23
82,1,3:26.0,,Defensive rebound by E. Davis,17,23
83,1,3:22.0,,Turnover by M. Leonard (bad pass),17,23
84,1,3:22.0,,G. Henderson enters the game for A. Aminu,17,23
85,1,3:05.0,K. Middleton misses 2-pt jump shot from 12 ft,,17,23
86,1,3:04.0,,Defensive rebound by G. Henderson,17,23
87,1,2:54.0,,D. Lillard makes 2-pt layup at rim,17,25
88,1,2:41.0,M. Carter-Williams misses 2-pt jump shot from 18 ft,,17,25
89,1,2:41.0,,Defensive rebound by G. Henderson,17,25
90,1,2:28.0,,D. Lillard makes 2-pt jump shot from 7 ft,17,27
91,1,2:08.0,G. Antetokounmpo misses 2-pt jump shot from 21 ft,,17,27
92,1,2:07.0,,Defensive rebound by E. Davis,17,27
93,1,1:58.0,,D. Lillard misses 3-pt jump shot from 24 ft,17,27
94,1,1:58.0,Defensive rebound by Team,,17,27
95,1,1:58.0,,Portland full timeout,17,27
96,1,1:48.0,M. Plumlee makes 2-pt dunk at rim (assist by G. Antetokounmpo),,19,27
97,1,1:22.0,,G. Henderson misses 2-pt jump shot from 12 ft,19,27
98,1,1:21.0,Defensive rebound by M. Carter-Williams,,19,27
99,1,1:04.0,K. Middleton misses 2-pt jump shot from 19 ft,,19,27
100,1,1:04.0,,Defensive rebound by D. Lillard,19,27
101,1,0:57.0,,A. Crabbe misses 3-pt jump shot from 24 ft,19,27
102,1,0:56.0,Defensive rebound by M. Plumlee,,19,27
103,1,0:36.0,K. Middleton misses 2-pt jump shot from 7 ft,,19,27
104,1,0:35.0,,Defensive rebound by Team,19,27
105,1,0:26.0,,D. Lillard misses 3-pt jump shot from 25 ft,19,27
106,1,0:24.0,Defensive rebound by K. Middleton,,19,27
107,1,0:06.0,Turnover by M. Carter-Williams (lost ball),,19,27
108,2,11:36.0,,G. Henderson misses 2-pt jump shot from 9 ft,19,27
109,2,11:36.0,Defensive rebound by R. Vaughn,,19,27
110,2,11:24.0,K. Middleton misses 2-pt jump shot from 20 ft,,19,27
111,2,11:23.0,,Defensive rebound by M. Leonard,19,27
112,2,11:07.0,,E. Davis makes 2-pt dunk at rim (assist by C. McCollum),19,29
113,2,11:07.0,,Shooting foul by J. Parker (drawn by E. Davis),19,29
114,2,11:07.0,,E. Davis misses free throw 1 of 1,19,29
115,2,11:06.0,Defensive rebound by G. Monroe,,19,29
116,2,10:56.0,J. Bayless makes 2-pt jump shot from 19 ft,,21,29
117,2,10:47.0,,Personal foul by J. Parker (drawn by C. McCollum),21,29
118,2,10:34.0,,G. Henderson misses 2-pt jump shot from 6 ft,21,29
119,2,10:33.0,Defensive rebound by R. Vaughn,,21,29
120,2,10:22.0,G. Monroe makes 2-pt jump shot from 17 ft (assist by J. Bayless),,23,29
121,2,10:03.0,,E. Davis misses 2-pt layup from 2 ft,23,29
122,2,10:02.0,Defensive rebound by Team,,23,29
123,2,9:55.0,Turnover by J. Bayless (traveling),,23,29
124,2,9:47.0,,C. McCollum misses 2-pt jump shot from 3 ft (block by J. Bayless),23,29
125,2,9:47.0,,Offensive rebound by Team,23,29
126,2,9:41.0,,Offensive foul by M. Leonard (drawn by J. Bayless),23,29
127,2,9:41.0,,Turnover by M. Leonard (offensive foul),23,29
128,2,9:29.0,K. Middleton misses 3-pt jump shot from 25 ft,,23,29
129,2,9:29.0,,Defensive rebound by A. Crabbe,23,29
130,2,9:18.0,,M. Leonard makes 3-pt jump shot from 24 ft (assist by E. Davis),23,32
131,2,9:04.0,J. Bayless makes 2-pt jump shot from 18 ft (assist by G. Monroe),,25,32
132,2,8:55.0,,C. McCollum makes 2-pt layup at rim,25,34
133,2,8:42.0,Turnover by K. Middleton (traveling),,25,34
134,2,8:42.0,Official timeout,,25,34
135,2,8:42.0,G. Antetokounmpo enters the game for K. Middleton,,25,34
136,2,8:32.0,,Turnover by C. McCollum (palming),25,34
137,2,8:20.0,R. Vaughn misses 3-pt jump shot from 22 ft,,25,34
138,2,8:19.0,,Defensive rebound by G. Henderson,25,34
139,2,8:08.0,,Shooting foul by J. Parker (drawn by G. Henderson),25,34
140,2,8:08.0,,G. Henderson misses free throw 1 of 2,25,34
141,2,8:08.0,,Offensive rebound by Team,25,34
142,2,8:08.0,K. Middleton enters the game for J. Parker,,25,34
143,2,8:08.0,,G. Henderson makes free throw 2 of 2,25,35
144,2,7:50.0,J. Bayless makes 2-pt jump shot from 16 ft,,27,35
145,2,7:43.0,,Shooting foul by J. Bayless (drawn by C. McCollum),27,35
146,2,7:43.0,,C. McCollum makes free throw 1 of 2,27,36
147,2,7:43.0,,C. McCollum makes free throw 2 of 2,27,37
148,2,7:34.0,Turnover by R. Vaughn (bad pass; steal by C. McCollum),,27,37
149,2,7:34.0,,Personal foul by G. Monroe (drawn by C. McCollum),27,37
150,2,7:34.0,,C. McCollum makes free throw 1 of 2,27,38
151,2,7:34.0,,C. McCollum makes free throw 2 of 2,27,39
152,2,7:22.0,Offensive foul by G. Monroe (drawn by M. Leonard),,27,39
153,2,7:22.0,Turnover by G. Monroe (offensive foul),,27,39
154,2,7:13.0,,Def 3 sec tech foul by G. Antetokounmpo,27,39
155,2,7:13.0,,A. Crabbe makes technical free throw,27,40
156,2,7:04.0,,M. Leonard misses 3-pt jump shot from 24 ft,27,40
157,2,7:03.0,Defensive rebound by G. Monroe,,27,40
158,2,6:45.0,G. Antetokounmpo misses 2-pt hook shot from 3 ft,,27,40
159,2,6:44.0,,Defensive rebound by M. Leonard,27,40
160,2,6:38.0,,Turnover by C. McCollum (bad pass; steal by R. Vaughn),27,40
161,2,6:34.0,,M. Plumlee enters the game for M. Leonard,27,40
162,2,6:34.0,,N. Vonleh enters the game for E. Davis,27,40
163,2,6:30.0,K. Middleton misses 2-pt jump shot from 15 ft,,27,40
164,2,6:30.0,,Defensive rebound by A. Crabbe,27,40
165,2,6:22.0,,C. McCollum misses 2-pt jump shot from 14 ft,27,40
166,2,6:21.0,Defensive rebound by K. Middleton,,27,40
167,2,6:09.0,K. Middleton makes 3-pt jump shot from 23 ft (assist by G. Monroe),,30,40
168,2,6:09.0,,Portland full timeout,30,40
169,2,6:09.0,,A. Aminu enters the game for G. Henderson,30,40
170,2,5:58.0,,Offensive foul by A. Aminu (drawn by R. Vaughn),30,40
171,2,5:58.0,,Turnover by A. Aminu (offensive foul),30,40
172,2,5:43.0,G. Monroe misses 2-pt jump shot from 4 ft,,30,40
173,2,5:42.0,,Defensive rebound by A. Aminu,30,40
174,2,5:35.0,,C. McCollum makes 3-pt jump shot from 24 ft (assist by M. Plumlee),30,43
175,2,5:19.0,K. Middleton makes 2-pt jump shot from 18 ft,,32,43
176,2,4:58.0,,Shooting foul by K. Middleton (drawn by A. Aminu),32,43
177,2,4:58.0,,A. Aminu misses free throw 1 of 3,32,43
178,2,4:58.0,,Offensive rebound by Team,32,43
179,2,4:58.0,,A. Aminu makes free throw 2 of 3,32,44
180,2,4:58.0,,D. Lillard enters the game for C. McCollum,32,44
181,2,4:58.0,,A. Aminu misses free throw 3 of 3,32,44
182,2,4:56.0,,Offensive rebound by M. Plumlee,32,44
183,2,4:53.0,,Shooting foul by G. Monroe (drawn by A. Aminu),32,44
184,2,4:53.0,,A. Aminu makes free throw 1 of 2,32,45
185,2,4:53.0,M. Plumlee enters the game for G. Monroe,,32,45
186,2,4:53.0,,A. Aminu makes free throw 2 of 2,32,46
187,2,4:34.0,M. Plumlee makes 2-pt dunk at rim (assist by K. Middleton),,34,46
188,2,4:14.0,,A. Aminu misses 3-pt jump shot from 24 ft,34,46
189,2,4:14.0,Defensive rebound by Team,,34,46
190,2,4:14.0,,Loose ball foul by N. Vonleh (drawn by M. Plumlee),34,46
191,2,3:57.0,Shooting foul by M. Plumlee (drawn by G. Antetokounmpo),,34,46
192,2,3:57.0,G. Antetokounmpo makes 2-pt layup from 2 ft,,36,46
193,2,3:57.0,,M. Leonard enters the game for M. Plumlee,36,46
194,2,3:57.0,G. Antetokounmpo makes free throw 1 of 1,,37,46
195,2,3:45.0,,A. Crabbe makes 2-pt layup from 1 ft (assist by D. Lillard),37,48
