,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,PHOENIX_ACTION,MINNESOTA_SCORE,PHOENIX_SCORE
0,1,11:39.0,,Turnover by E. Bledsoe (bad pass; steal by R. Rubio),0,0
1,1,11:34.0,A. Wiggins makes 2-pt layup at rim (assist by R. Rubio),,2,0
2,1,11:23.0,,E. Bledsoe misses 2-pt jump shot from 7 ft,2,0
3,1,11:21.0,,Offensive rebound by B. Knight,2,0
4,1,11:19.0,,A. Len misses 2-pt layup from 2 ft (block by K. Towns),2,0
5,1,11:18.0,,Offensive rebound by Team,2,0
6,1,11:14.0,,B. Knight misses 3-pt jump shot from 25 ft,2,0
7,1,11:12.0,Defensive rebound by K. Martin,,2,0
8,1,10:48.0,K. Towns misses 2-pt hook shot from 9 ft,,2,0
9,1,10:44.0,,Defensive rebound by P. Tucker,2,0
10,1,10:32.0,,J. Leuer misses 3-pt jump shot from 24 ft,2,0
11,1,10:29.0,Defensive rebound by K. Martin,,2,0
12,1,10:20.0,Shooting foul by J. Leuer (drawn by K. Garnett),,2,0
13,1,10:20.0,K. Garnett makes free throw 1 of 2,,3,0
14,1,10:20.0,K. Garnett makes free throw 2 of 2,,4,0
15,1,10:07.0,,P. Tucker misses 2-pt jump shot from 5 ft,4,0
16,1,10:04.0,Defensive rebound by K. Garnett,,4,0
17,1,9:55.0,K. Martin misses 3-pt jump shot from 25 ft,,4,0
18,1,9:53.0,,Defensive rebound by J. Leuer,4,0
19,1,9:39.0,,Shooting foul by A. Wiggins (drawn by A. Len),4,0
20,1,9:39.0,,A. Len makes free throw 1 of 2,4,1
21,1,9:39.0,,A. Len makes free throw 2 of 2,4,2
22,1,9:21.0,K. Towns makes 2-pt layup from 2 ft,,6,2
23,1,9:04.0,,Shooting foul by K. Towns (drawn by A. Len),6,2
24,1,9:04.0,,A. Len makes free throw 1 of 2,6,3
25,1,9:04.0,,A. Len makes free throw 2 of 2,6,4
26,1,8:55.0,Personal foul by A. Len (drawn by K. Towns),,6,4
27,1,8:49.0,R. Rubio misses 2-pt jump shot from 21 ft,,6,4
28,1,8:47.0,,Defensive rebound by J. Leuer,6,4
29,1,8:42.0,,Personal foul by R. Rubio (drawn by B. Knight),6,4
30,1,8:37.0,,Turnover by B. Knight (bad pass),6,4
31,1,8:29.0,Shooting block foul by J. Leuer (drawn by R. Rubio),,6,4
32,1,8:29.0,R. Rubio misses free throw 1 of 2,,6,4
33,1,8:29.0,Offensive rebound by Team,,6,4
34,1,8:29.0,,M. Teletović enters the game for J. Leuer,6,4
35,1,8:29.0,R. Rubio makes free throw 2 of 2,,7,4
36,1,8:16.0,,Turnover by B. Knight (bad pass; steal by R. Rubio),7,4
37,1,8:14.0,Turnover by A. Wiggins (lost ball; steal by B. Knight),,7,4
38,1,8:05.0,,M. Teletović misses 3-pt jump shot from 25 ft,7,4
39,1,8:04.0,Defensive rebound by R. Rubio,,7,4
40,1,8:01.0,Personal foul by B. Knight (drawn by A. Wiggins),,7,4
41,1,7:54.0,K. Martin makes 3-pt jump shot from 23 ft (assist by R. Rubio),,10,4
42,1,7:36.0,,B. Knight makes 3-pt jump shot from 22 ft (assist by A. Len),10,7
43,1,7:17.0,A. Wiggins makes 2-pt jump shot from 18 ft (assist by K. Garnett),,12,7
44,1,7:07.0,,Shooting foul by K. Towns (drawn by A. Len),12,7
45,1,7:07.0,,A. Len makes free throw 1 of 2,12,8
46,1,7:07.0,G. Dieng enters the game for K. Towns,,12,8
47,1,7:07.0,,A. Len makes free throw 2 of 2,12,9
48,1,6:49.0,K. Martin makes 2-pt jump shot from 6 ft,,14,9
49,1,6:37.0,,E. Bledsoe makes 2-pt layup from 1 ft,14,11
50,1,6:24.0,R. Rubio misses 3-pt jump shot from 24 ft,,14,11
51,1,6:22.0,,Defensive rebound by A. Len,14,11
52,1,6:07.0,,Turnover by E. Bledsoe (bad pass),14,11
53,1,6:02.0,Minnesota full timeout,,14,11
54,1,6:02.0,N. Bjelica enters the game for K. Garnett,,14,11
55,1,5:56.0,A. Wiggins misses 2-pt jump shot from 20 ft,,14,11
56,1,5:54.0,,Defensive rebound by B. Knight,14,11
57,1,5:35.0,,A. Len makes 2-pt dunk at rim (assist by E. Bledsoe),14,13
58,1,5:20.0,Shooting foul by P. Tucker (drawn by A. Wiggins),,14,13
59,1,5:20.0,A. Wiggins makes free throw 1 of 2,,15,13
60,1,5:20.0,A. Wiggins makes free throw 2 of 2,,16,13
61,1,5:04.0,,Shooting block foul by G. Dieng (drawn by A. Len),16,13
62,1,5:04.0,,A. Len makes free throw 1 of 2,16,14
63,1,5:04.0,,T. Warren enters the game for P. Tucker,16,14
64,1,5:04.0,,A. Len makes free throw 2 of 2,16,15
65,1,4:49.0,K. Martin misses 2-pt jump shot from 15 ft,,16,15
66,1,4:46.0,Offensive rebound by R. Rubio,,16,15
67,1,4:41.0,G. Dieng makes 2-pt dunk at rim (assist by R. Rubio),,18,15
68,1,4:27.0,,Offensive foul by M. Teletović (drawn by R. Rubio),18,15
69,1,4:27.0,,Turnover by M. Teletović (offensive foul),18,15
70,1,4:27.0,,T. Chandler enters the game for A. Len,18,15
71,1,4:16.0,R. Rubio misses 2-pt layup from 2 ft (block by E. Bledsoe),,18,15
72,1,4:12.0,,Defensive rebound by T. Warren,18,15
73,1,4:00.0,,B. Knight makes 3-pt jump shot from 27 ft,18,18
74,1,3:45.0,K. Martin makes 2-pt jump shot from 12 ft (assist by R. Rubio),,20,18
75,1,3:33.0,,B. Knight misses 2-pt jump shot from 13 ft (block by N. Bjelica),20,18
76,1,3:31.0,Defensive rebound by A. Wiggins,,20,18
77,1,3:27.0,A. Wiggins misses 2-pt layup from 1 ft,,20,18
78,1,3:24.0,,Defensive rebound by M. Teletović,20,18
79,1,3:23.0,,Turnover by B. Knight (bad pass; steal by K. Martin),20,18
80,1,3:23.0,Turnover by K. Martin (step out of bounds),,20,18
81,1,3:23.0,,Phoenix full timeout,20,18
82,1,3:23.0,,D. Booker enters the game for E. Bledsoe,20,18
83,1,3:23.0,Z. LaVine enters the game for R. Rubio,,20,18
84,1,3:13.0,,B. Knight misses 3-pt jump shot from 27 ft,20,18
85,1,3:11.0,Defensive rebound by Z. LaVine,,20,18
86,1,2:57.0,K. Martin misses 3-pt jump shot from 23 ft,,20,18
87,1,2:57.0,Offensive rebound by Team,,20,18
88,1,2:57.0,,Loose ball foul by D. Booker (drawn by G. Dieng),20,18
89,1,2:57.0,G. Dieng makes free throw 1 of 2,,21,18
90,1,2:57.0,S. Muhammad enters the game for K. Martin,,21,18
91,1,2:57.0,G. Dieng misses free throw 2 of 2,,21,18
92,1,2:56.0,,Defensive rebound by T. Chandler,21,18
93,1,2:45.0,,T. Warren makes 2-pt jump shot from 12 ft (assist by B. Knight),21,20
94,1,2:29.0,N. Bjelica misses 3-pt jump shot from 24 ft,,21,20
95,1,2:27.0,,Defensive rebound by T. Chandler,21,20
96,1,2:16.0,,D. Booker misses 2-pt jump shot from 13 ft,21,20
97,1,2:13.0,Defensive rebound by S. Muhammad,,21,20
98,1,2:08.0,Turnover by G. Dieng (traveling),,21,20
99,1,2:08.0,T. Prince enters the game for A. Wiggins,,21,20
100,1,1:57.0,,M. Teletović misses 3-pt jump shot from 25 ft,21,20
101,1,1:55.0,Defensive rebound by G. Dieng,,21,20
102,1,1:34.0,Turnover by S. Muhammad (bad pass; steal by B. Knight),,21,20
103,1,1:25.0,,B. Knight makes 3-pt jump shot from 24 ft,21,23
104,1,1:07.0,S. Muhammad makes 2-pt layup from 2 ft (assist by G. Dieng),,23,23
105,1,0:55.0,,T. Warren misses 2-pt jump shot from 9 ft,23,23
106,1,0:52.0,Defensive rebound by T. Prince,,23,23
107,1,0:49.0,Z. LaVine makes 2-pt dunk at rim,,25,23
108,1,0:38.0,,Shooting foul by S. Muhammad (drawn by D. Booker),25,23
109,1,0:38.0,,D. Booker makes free throw 1 of 2,25,24
110,1,0:38.0,,D. Booker makes free throw 2 of 2,25,25
111,1,0:25.0,Shooting foul by T. Chandler (drawn by S. Muhammad),,25,25
112,1,0:25.0,S. Muhammad makes free throw 1 of 2,,26,25
113,1,0:25.0,S. Muhammad makes free throw 2 of 2,,27,25
114,1,0:02.0,,B. Knight misses 3-pt jump shot from 25 ft,27,25
115,1,0:00.0,Defensive rebound by N. Bjelica,,27,25
116,2,11:50.0,Personal foul by D. Booker (drawn by N. Bjelica),,27,25
117,2,11:42.0,Turnover by G. Dieng (bad pass),,27,25
118,2,11:23.0,,T. Chandler misses 2-pt dunk at rim,27,25
119,2,11:20.0,,Offensive rebound by D. Booker,27,25
120,2,11:18.0,,T. Warren makes 2-pt jump shot from 13 ft (assist by D. Booker),27,27
121,2,10:57.0,G. Dieng misses 2-pt layup from 2 ft (block by T. Chandler),,27,27
122,2,10:57.0,Offensive rebound by Team,,27,27
123,2,10:48.0,N. Bjelica misses 3-pt jump shot from 33 ft,,27,27
124,2,10:48.0,Offensive rebound by Team,,27,27
125,2,10:48.0,Turnover by Team (shot clock),,27,27
126,2,10:40.0,,D. Booker makes 2-pt jump shot from 20 ft (assist by E. Bledsoe),27,29
127,2,10:25.0,Turnover by G. Dieng (bad pass; steal by T. Chandler),,27,29
128,2,10:11.0,,E. Bledsoe makes 2-pt layup at rim,27,31
129,2,9:57.0,Z. LaVine misses 2-pt jump shot from 18 ft,,27,31
130,2,9:52.0,,Defensive rebound by T. Warren,27,31
131,2,9:47.0,,T. Warren misses 2-pt jump shot from 6 ft,27,31
132,2,9:45.0,,Offensive rebound by T. Warren,27,31
133,2,9:43.0,,T. Warren misses 2-pt layup from 2 ft,27,31
134,2,9:39.0,Defensive rebound by N. Bjelica,,27,31
135,2,9:36.0,Turnover by N. Bjelica (lost ball; steal by T. Warren),,27,31
136,2,9:33.0,,T. Warren makes 2-pt layup at rim (assist by T. Chandler),27,33
137,2,9:15.0,Z. LaVine misses 3-pt jump shot from 24 ft,,27,33
138,2,9:14.0,Offensive rebound by Team,,27,33
139,2,9:14.0,,A. Len enters the game for T. Chandler,27,33
140,2,9:07.0,Z. LaVine makes 2-pt jump shot from 5 ft,,29,33
141,2,9:07.0,Shooting foul by A. Len (drawn by Z. LaVine),,29,33
142,2,9:07.0,Z. LaVine makes free throw 1 of 1,,30,33
143,2,8:59.0,,Personal block foul by N. Bjelica (drawn by E. Bledsoe),30,33
144,2,8:59.0,Official timeout,,30,33
145,2,8:41.0,,T. Warren misses 3-pt jump shot from 27 ft,30,33
146,2,8:39.0,Defensive rebound by N. Bjelica,,30,33
147,2,8:30.0,Z. LaVine makes 3-pt jump shot from 24 ft,,33,33
148,2,8:13.0,,Personal foul by G. Dieng (drawn by D. Booker),33,33
149,2,8:10.0,,Personal foul by S. Muhammad (drawn by D. Booker),33,33
150,2,7:56.0,,A. Len misses 3-pt jump shot from 25 ft,33,33
151,2,7:54.0,Defensive rebound by N. Bjelica,,33,33
152,2,7:42.0,Turnover by G. Dieng (bad pass),,33,33
153,2,7:27.0,,Shooting foul by N. Bjelica (drawn by T. Warren),33,33
154,2,7:27.0,,T. Warren misses free throw 1 of 2,33,33
155,2,7:27.0,,Offensive rebound by Team,33,33
156,2,7:27.0,,P. Tucker enters the game for D. Booker,33,33
157,2,7:27.0,,J. Leuer enters the game for M. Teletović,33,33
158,2,7:27.0,A. Wiggins enters the game for S. Muhammad,,33,33
159,2,7:27.0,,T. Warren makes free throw 2 of 2,33,34
160,2,7:12.0,Z. LaVine misses 2-pt jump shot from 14 ft,,33,34
161,2,7:10.0,,Defensive rebound by A. Len,33,34
162,2,7:03.0,,Shooting foul by N. Bjelica (drawn by E. Bledsoe),33,34
163,2,7:03.0,,E. Bledsoe makes free throw 1 of 2,33,35
164,2,7:03.0,D. Rudež enters the game for N. Bjelica,,33,35
165,2,7:03.0,,E. Bledsoe makes free throw 2 of 2,33,36
166,2,6:56.0,Offensive foul by G. Dieng (drawn by P. Tucker),,33,36
