,QUARTER,TIME_REMAINING,NEW YORK_ACTION,CHICAGO_ACTION,NEW YORK_SCORE,CHICAGO_SCORE
0,1,11:43.0,,D. Rose misses 2-pt jump shot from 19 ft,0,0
1,1,11:41.0,Defensive rebound by K. Porziņģis,,0,0
2,1,11:24.0,K. Porziņģis makes 2-pt jump shot from 23 ft (assist by J. Calderón),,2,0
3,1,11:13.0,,T. Gibson makes 2-pt layup from 2 ft,2,2
4,1,11:13.0,,Shooting foul by K. Porziņģis (drawn by T. Gibson),2,2
5,1,11:13.0,,T. Gibson makes free throw 1 of 1,2,3
6,1,10:58.0,C. Anthony misses 2-pt jump shot from 22 ft,,2,3
7,1,10:57.0,Offensive rebound by K. Porziņģis,,2,3
8,1,10:51.0,S. Vujačić makes 3-pt jump shot from 22 ft (assist by C. Anthony),,5,3
9,1,10:32.0,,J. Butler misses 2-pt jump shot from 20 ft,5,3
10,1,10:31.0,Defensive rebound by J. Calderón,,5,3
11,1,10:08.0,K. Porziņģis makes 3-pt jump shot from 24 ft (assist by S. Vujačić),,8,3
12,1,9:57.0,,P. Gasol makes 2-pt jump shot from 21 ft (assist by D. Rose),8,5
13,1,9:30.0,Turnover by Team (shot clock),,8,5
14,1,9:18.0,,P. Gasol misses 3-pt jump shot from 24 ft,8,5
15,1,9:17.0,,Offensive rebound by T. Gibson,8,5
16,1,9:10.0,,Chicago full timeout,8,5
17,1,9:00.0,,P. Gasol misses 2-pt layup from 3 ft (block by R. Lopez),8,5
18,1,8:58.0,Defensive rebound by C. Anthony,,8,5
19,1,8:41.0,K. Porziņģis misses 3-pt jump shot from 24 ft,,8,5
20,1,8:40.0,,Defensive rebound by P. Gasol,8,5
21,1,8:25.0,,T. Gibson makes 2-pt layup from 1 ft (assist by P. Gasol),8,7
22,1,8:03.0,C. Anthony makes 2-pt jump shot from 9 ft,,10,7
23,1,7:44.0,,M. Dunleavy misses 3-pt jump shot from 25 ft,10,7
24,1,7:43.0,Defensive rebound by K. Porziņģis,,10,7
25,1,7:31.0,R. Lopez makes 2-pt jump shot from 8 ft (assist by C. Anthony),,12,7
26,1,7:24.0,,D. Rose makes 2-pt layup from 1 ft,12,9
27,1,7:10.0,C. Anthony misses 2-pt jump shot from 19 ft,,12,9
28,1,7:09.0,,Defensive rebound by P. Gasol,12,9
29,1,7:05.0,,D. Rose makes 2-pt jump shot from 4 ft,12,11
30,1,7:05.0,,Shooting foul by J. Calderón (drawn by D. Rose),12,11
31,1,7:05.0,,D. Rose makes free throw 1 of 1,12,12
32,1,6:51.0,S. Vujačić makes 3-pt jump shot from 24 ft (assist by R. Lopez),,15,12
33,1,6:34.0,,D. Rose misses 2-pt jump shot from 13 ft,15,12
34,1,6:33.0,Defensive rebound by S. Vujačić,,15,12
35,1,6:12.0,J. Calderón misses 2-pt jump shot from 20 ft,,15,12
36,1,6:11.0,Offensive rebound by R. Lopez,,15,12
37,1,6:10.0,Turnover by Team (shot clock),,15,12
38,1,5:53.0,,Shooting foul by S. Vujačić (drawn by T. Gibson),15,12
39,1,5:53.0,,T. Gibson makes free throw 1 of 2,15,13
40,1,5:53.0,,N. Mirotić enters the game for P. Gasol,15,13
41,1,5:53.0,A. Afflalo enters the game for S. Vujačić,,15,13
42,1,5:53.0,,T. Gibson makes free throw 2 of 2,15,14
43,1,5:42.0,J. Calderón misses 3-pt jump shot from 24 ft,,15,14
44,1,5:40.0,,Defensive rebound by T. Gibson,15,14
45,1,5:27.0,,N. Mirotić misses 3-pt jump shot from 26 ft,15,14
46,1,5:26.0,Defensive rebound by R. Lopez,,15,14
47,1,5:18.0,K. Porziņģis misses 2-pt jump shot from 5 ft,,15,14
48,1,5:15.0,Offensive rebound by R. Lopez,,15,14
49,1,5:11.0,A. Afflalo misses 3-pt jump shot from 23 ft,,15,14
50,1,5:10.0,,Defensive rebound by J. Butler,15,14
51,1,5:07.0,,M. Dunleavy makes 2-pt layup from 1 ft (assist by J. Butler),15,16
52,1,4:51.0,K. Porziņģis makes 2-pt jump shot from 21 ft (assist by J. Calderón),,17,16
53,1,4:35.0,,D. Rose makes 3-pt jump shot from 24 ft (assist by J. Butler),17,19
54,1,4:26.0,Turnover by K. Porziņģis (bad pass),,17,19
55,1,4:26.0,,A. Brooks enters the game for D. Rose,17,19
56,1,4:02.0,,A. Brooks misses 3-pt jump shot from 25 ft,17,19
57,1,4:01.0,Defensive rebound by Team,,17,19
58,1,3:41.0,C. Anthony makes 2-pt layup from 1 ft,,19,19
59,1,3:24.0,,M. Dunleavy misses 2-pt layup from 1 ft (block by R. Lopez),19,19
60,1,3:22.0,Defensive rebound by K. Porziņģis,,19,19
61,1,3:15.0,Turnover by C. Anthony (bad pass; steal by T. Gibson),,19,19
62,1,3:11.0,,J. Butler misses 2-pt layup from 2 ft,19,19
63,1,3:10.0,Defensive rebound by C. Anthony,,19,19
64,1,2:54.0,K. Porziņģis makes 2-pt dunk at rim (assist by C. Anthony),,21,19
65,1,2:38.0,,J. Butler misses 2-pt jump shot from 8 ft,21,19
66,1,2:37.0,Defensive rebound by R. Lopez,,21,19
67,1,2:34.0,New York full timeout,,21,19
68,1,2:34.0,,D. McDermott enters the game for M. Dunleavy,21,19
69,1,2:34.0,,B. Portis enters the game for T. Gibson,21,19
70,1,2:34.0,,J. Holiday enters the game for J. Butler,21,19
71,1,2:34.0,K. Séraphin enters the game for K. Porziņģis,,21,19
72,1,2:34.0,D. Williams enters the game for R. Lopez,,21,19
73,1,2:24.0,K. Séraphin misses 2-pt jump shot from 8 ft,,21,19
74,1,2:23.0,,Defensive rebound by N. Mirotić,21,19
75,1,2:02.0,,Shooting foul by K. Séraphin (drawn by N. Mirotić),21,19
76,1,2:02.0,,N. Mirotić makes free throw 1 of 2,21,20
77,1,2:02.0,,N. Mirotić misses free throw 2 of 2,21,20
78,1,2:00.0,Defensive rebound by A. Afflalo,,21,20
79,1,1:48.0,D. Williams misses 3-pt jump shot from 25 ft,,21,20
80,1,1:47.0,,Defensive rebound by D. McDermott,21,20
81,1,1:41.0,,D. McDermott misses 3-pt jump shot from 24 ft,21,20
82,1,1:41.0,,Offensive rebound by N. Mirotić,21,20
83,1,1:41.0,,Shooting foul by D. Williams (drawn by N. Mirotić),21,20
84,1,1:41.0,,N. Mirotić makes free throw 1 of 2,21,21
85,1,1:41.0,J. Grant enters the game for J. Calderón,,21,21
86,1,1:41.0,,N. Mirotić makes free throw 2 of 2,21,22
87,1,1:15.0,C. Anthony misses 2-pt jump shot from 18 ft,,21,22
88,1,1:13.0,Offensive rebound by D. Williams,,21,22
89,1,1:08.0,C. Anthony misses 2-pt layup from 3 ft (block by B. Portis),,21,22
90,1,1:06.0,Offensive rebound by Team,,21,22
91,1,0:56.0,C. Anthony makes 2-pt layup from 2 ft,,23,22
92,1,0:50.0,,D. McDermott makes 3-pt jump shot from 24 ft (assist by J. Holiday),23,25
93,1,0:39.0,Turnover by J. Grant (bad pass; steal by A. Brooks),,23,25
94,1,0:34.0,,D. McDermott makes 2-pt layup from 2 ft (assist by A. Brooks),23,27
95,1,0:19.0,Personal foul by J. Holiday,,23,27
96,1,0:08.0,Turnover by J. Grant (traveling),,23,27
97,1,0:03.0,,A. Brooks makes 3-pt jump shot from 28 ft,23,30
98,2,11:43.0,D. Williams makes 2-pt jump shot from 16 ft (assist by A. Afflalo),,25,30
99,2,11:23.0,,B. Portis misses 2-pt jump shot from 15 ft,25,30
