,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,BROOKLYN_ACTION,LA LAKERS_SCORE,BROOKLYN_SCORE
0,1,11:50.0,,Turnover by T. Young (bad pass),0,0
1,1,11:35.0,R. Hibbert misses 2-pt jump shot from 18 ft,,0,0
2,1,11:33.0,,Defensive rebound by J. Johnson,0,0
3,1,11:27.0,,Turnover by J. Johnson (bad pass; steal by J. Randle),0,0
4,1,11:22.0,J. Randle makes 2-pt dunk from 1 ft,,2,0
5,1,11:10.0,,Turnover by R. Hollis-Jefferson (bad pass; steal by D. Russell),2,0
6,1,11:08.0,Turnover by D. Russell (bad pass),,2,0
7,1,10:58.0,,Turnover by B. Lopez (palming),2,0
8,1,10:48.0,K. Bryant misses 2-pt jump shot from 20 ft,,2,0
9,1,10:47.0,,Defensive rebound by J. Jack,2,0
10,1,10:39.0,,J. Johnson misses 2-pt hook shot from 9 ft,2,0
11,1,10:38.0,Defensive rebound by J. Randle,,2,0
12,1,10:14.0,J. Randle misses 2-pt jump shot from 18 ft,,2,0
13,1,10:13.0,,Defensive rebound by J. Johnson,2,0
14,1,10:07.0,,J. Jack makes 2-pt jump shot from 6 ft,2,2
15,1,9:57.0,Turnover by J. Randle (bad pass; steal by J. Johnson),,2,2
16,1,9:53.0,,J. Johnson makes 2-pt layup from 1 ft,2,4
17,1,9:40.0,K. Bryant misses 2-pt jump shot from 17 ft,,2,4
18,1,9:37.0,,Defensive rebound by B. Lopez,2,4
19,1,9:33.0,,J. Jack misses 2-pt layup from 3 ft,2,4
20,1,9:31.0,Defensive rebound by J. Randle,,2,4
21,1,9:25.0,J. Randle makes 2-pt layup at rim,,4,4
22,1,9:13.0,,B. Lopez misses 2-pt layup from 1 ft,4,4
23,1,9:12.0,Defensive rebound by D. Russell,,4,4
24,1,8:52.0,K. Bryant misses 2-pt layup from 4 ft (block by B. Lopez),,4,4
25,1,8:51.0,Offensive rebound by Team,,4,4
26,1,8:47.0,K. Bryant misses 2-pt jump shot from 18 ft,,4,4
27,1,8:45.0,,Defensive rebound by R. Hollis-Jefferson,4,4
28,1,8:33.0,,T. Young misses 2-pt layup from 2 ft,4,4
29,1,8:32.0,,Offensive rebound by B. Lopez,4,4
30,1,8:31.0,,B. Lopez misses 2-pt layup from 3 ft (block by R. Hibbert),4,4
31,1,8:29.0,,Offensive rebound by R. Hollis-Jefferson,4,4
32,1,8:27.0,,B. Lopez makes 2-pt layup from 2 ft (assist by R. Hollis-Jefferson),4,6
33,1,8:27.0,,Shooting foul by R. Hibbert (drawn by B. Lopez),4,6
34,1,8:27.0,,B. Lopez makes free throw 1 of 1,4,7
35,1,8:11.0,R. Hibbert misses 2-pt layup from 3 ft (block by T. Young),,4,7
36,1,8:09.0,,Defensive rebound by R. Hollis-Jefferson,4,7
37,1,7:51.0,,R. Hollis-Jefferson misses 2-pt jump shot from 19 ft,4,7
38,1,7:50.0,Defensive rebound by J. Clarkson,,4,7
39,1,7:44.0,J. Clarkson misses 2-pt jump shot from 10 ft,,4,7
40,1,7:43.0,,Defensive rebound by R. Hollis-Jefferson,4,7
41,1,7:30.0,,J. Johnson makes 2-pt jump shot from 14 ft,4,9
42,1,7:21.0,Offensive foul by R. Hibbert (drawn by J. Jack),,4,9
43,1,7:21.0,Turnover by R. Hibbert (offensive foul),,4,9
44,1,7:06.0,,Turnover by B. Lopez (bad pass; steal by D. Russell),4,9
45,1,7:01.0,D. Russell misses 2-pt layup from 2 ft,,4,9
46,1,6:59.0,,Defensive rebound by R. Hollis-Jefferson,4,9
47,1,6:51.0,,J. Johnson misses 2-pt jump shot from 7 ft,4,9
48,1,6:50.0,,Offensive rebound by B. Lopez,4,9
49,1,6:49.0,,B. Lopez misses 2-pt layup from 2 ft,4,9
50,1,6:48.0,,Offensive rebound by B. Lopez,4,9
51,1,6:47.0,,B. Lopez makes 2-pt layup from 3 ft,4,11
52,1,6:30.0,J. Clarkson makes 2-pt jump shot from 8 ft,,6,11
53,1,6:09.0,,B. Lopez makes 2-pt jump shot from 4 ft (assist by R. Hollis-Jefferson),6,13
54,1,5:55.0,K. Bryant misses 2-pt jump shot from 17 ft,,6,13
55,1,5:54.0,,Defensive rebound by J. Jack,6,13
56,1,5:52.0,,J. Johnson makes 2-pt layup at rim (assist by J. Jack),6,15
57,1,5:42.0,LA Lakers full timeout,,6,15
58,1,5:42.0,L. Williams enters the game for D. Russell,,6,15
59,1,5:42.0,T. Black enters the game for R. Hibbert,,6,15
60,1,5:34.0,T. Black misses 2-pt layup from 1 ft (block by B. Lopez),,6,15
61,1,5:33.0,,Defensive rebound by J. Jack,6,15
62,1,5:17.0,,B. Lopez misses 2-pt jump shot from 15 ft,6,15
63,1,5:16.0,,Offensive rebound by T. Young,6,15
64,1,5:15.0,,T. Young makes 2-pt layup at rim,6,17
65,1,5:04.0,Turnover by K. Bryant (lost ball; steal by J. Johnson),,6,17
66,1,5:04.0,,Personal foul by K. Bryant (drawn by J. Johnson),6,17
67,1,5:04.0,M. World Peace enters the game for K. Bryant,,6,17
68,1,4:47.0,,B. Lopez misses 2-pt jump shot from 13 ft,6,17
69,1,4:45.0,Defensive rebound by T. Black,,6,17
70,1,4:35.0,J. Randle misses 2-pt jump shot from 9 ft,,6,17
71,1,4:34.0,Offensive rebound by T. Black,,6,17
72,1,4:33.0,Personal foul by B. Lopez (drawn by T. Black),,6,17
73,1,4:33.0,T. Black makes free throw 1 of 2,,7,17
74,1,4:33.0,,B. Bogdanović enters the game for J. Johnson,7,17
75,1,4:33.0,T. Black makes free throw 2 of 2,,8,17
76,1,4:23.0,,T. Young misses 2-pt layup from 2 ft,8,17
77,1,4:22.0,,Offensive rebound by Team,8,17
78,1,4:19.0,,B. Bogdanović makes 2-pt jump shot from 3 ft (assist by R. Hollis-Jefferson),8,19
79,1,3:57.0,J. Clarkson makes 3-pt jump shot from 25 ft (assist by J. Randle),,11,19
80,1,3:43.0,,Turnover by R. Hollis-Jefferson (bad pass; steal by J. Clarkson),11,19
81,1,3:37.0,Personal foul by R. Hollis-Jefferson (drawn by J. Clarkson),,11,19
82,1,3:37.0,L. Nance enters the game for J. Randle,,11,19
83,1,3:31.0,Shooting foul by R. Hollis-Jefferson (drawn by L. Williams),,11,19
84,1,3:31.0,L. Williams makes free throw 1 of 3,,12,19
85,1,3:31.0,L. Williams makes free throw 2 of 3,,13,19
