,QUARTER,TIME_REMAINING,TORONTO_ACTION,NEW YORK_ACTION,TORONTO_SCORE,NEW YORK_SCORE
0,1,11:40.0,Turnover by K. Lowry (lost ball; steal by R. Lopez),,0,0
1,1,11:34.0,,A. Afflalo misses 2-pt jump shot from 10 ft,0,0
2,1,11:33.0,Defensive rebound by D. DeRozan,,0,0
3,1,11:26.0,K. Lowry misses 3-pt jump shot from 25 ft,,0,0
4,1,11:25.0,,Defensive rebound by C. Anthony,0,0
5,1,11:08.0,,J. Calderón misses 2-pt layup from 2 ft (block by J. Valančiūnas),0,0
6,1,11:07.0,Defensive rebound by J. Valančiūnas,,0,0
7,1,11:00.0,K. Lowry misses 2-pt layup from 1 ft,,0,0
8,1,10:59.0,Offensive rebound by K. Lowry,,0,0
9,1,10:56.0,K. Lowry misses 2-pt layup from 3 ft (block by A. Afflalo),,0,0
10,1,10:55.0,Offensive rebound by K. Lowry,,0,0
11,1,10:44.0,J. Johnson misses 2-pt jump shot from 16 ft,,0,0
12,1,10:43.0,,Defensive rebound by A. Afflalo,0,0
13,1,10:30.0,,K. Porziņģis misses 3-pt jump shot from 24 ft,0,0
14,1,10:29.0,Defensive rebound by K. Lowry,,0,0
15,1,10:09.0,D. DeRozan makes 2-pt layup from 2 ft,,2,0
16,1,9:50.0,,Turnover by J. Calderón (bad pass; steal by L. Scola),2,0
17,1,9:34.0,D. DeRozan misses 2-pt jump shot from 21 ft,,2,0
18,1,9:33.0,,Defensive rebound by J. Calderón,2,0
19,1,9:25.0,,R. Lopez makes 2-pt dunk at rim (assist by K. Porziņģis),2,2
20,1,9:08.0,J. Valančiūnas misses 2-pt jump shot from 6 ft,,2,2
21,1,9:07.0,,Defensive rebound by J. Calderón,2,2
22,1,9:00.0,,J. Calderón misses 3-pt jump shot from 24 ft,2,2
23,1,8:59.0,Defensive rebound by Team,,2,2
24,1,8:46.0,D. DeRozan makes 2-pt jump shot from 11 ft,,4,2
25,1,8:30.0,,C. Anthony makes 2-pt jump shot from 15 ft,4,4
26,1,8:19.0,J. Valančiūnas makes 2-pt layup from 1 ft (assist by D. DeRozan),,6,4
27,1,8:19.0,Shooting foul by R. Lopez (drawn by J. Valančiūnas),,6,4
28,1,8:19.0,J. Valančiūnas makes free throw 1 of 1,,7,4
29,1,8:05.0,,K. Porziņģis makes 3-pt jump shot from 22 ft (assist by C. Anthony),7,7
30,1,7:41.0,L. Scola misses 3-pt jump shot from 23 ft,,7,7
31,1,7:40.0,Offensive rebound by K. Lowry,,7,7
32,1,7:32.0,L. Scola makes 2-pt hook shot from 4 ft (assist by K. Lowry),,9,7
33,1,7:13.0,,K. Porziņģis misses 2-pt jump shot from 12 ft,9,7
34,1,7:12.0,,Offensive rebound by R. Lopez,9,7
35,1,7:11.0,,R. Lopez misses 2-pt layup from 1 ft (block by J. Valančiūnas),9,7
36,1,7:10.0,,Offensive rebound by R. Lopez,9,7
37,1,7:10.0,,R. Lopez makes 2-pt layup from 1 ft,9,9
38,1,6:47.0,Shooting foul by J. Calderón (drawn by K. Lowry),,9,9
39,1,6:47.0,K. Lowry makes free throw 1 of 2,,10,9
40,1,6:47.0,K. Lowry makes free throw 2 of 2,,11,9
41,1,6:31.0,,R. Lopez makes 2-pt hook shot from 4 ft (assist by A. Afflalo),11,11
42,1,6:21.0,D. DeRozan misses 2-pt layup from 2 ft,,11,11
43,1,6:20.0,,Defensive rebound by K. Porziņģis,11,11
44,1,6:15.0,,C. Anthony misses 3-pt jump shot from 24 ft,11,11
45,1,6:14.0,Defensive rebound by Team,,11,11
46,1,6:07.0,Personal foul by A. Afflalo,,11,11
47,1,6:01.0,Shooting foul by C. Anthony (drawn by J. Johnson),,11,11
48,1,6:01.0,J. Johnson makes free throw 1 of 2,,12,11
49,1,6:01.0,J. Johnson makes free throw 2 of 2,,13,11
50,1,5:43.0,,A. Afflalo misses 3-pt jump shot from 23 ft,13,11
51,1,5:42.0,Defensive rebound by L. Scola,,13,11
52,1,5:33.0,Turnover by J. Valančiūnas (3 sec),,13,11
53,1,5:33.0,,New York full timeout,13,11
54,1,5:33.0,,L. Thomas enters the game for K. Porziņģis,13,11
55,1,5:18.0,,L. Thomas misses 2-pt jump shot from 7 ft (block by J. Valančiūnas),13,11
56,1,5:17.0,Defensive rebound by L. Scola,,13,11
57,1,5:11.0,J. Johnson makes 2-pt layup from 2 ft (assist by L. Scola),,15,11
58,1,5:00.0,,C. Anthony misses 2-pt jump shot from 14 ft,15,11
59,1,4:59.0,Defensive rebound by J. Valančiūnas,,15,11
60,1,4:44.0,L. Scola makes 2-pt layup from 2 ft,,17,11
61,1,4:25.0,,R. Lopez makes 2-pt layup at rim (assist by C. Anthony),17,13
62,1,4:03.0,Turnover by K. Lowry (bad pass),,17,13
63,1,4:03.0,,L. Galloway enters the game for J. Calderón,17,13
64,1,3:44.0,,L. Thomas misses 3-pt jump shot from 23 ft,17,13
65,1,3:43.0,,Offensive rebound by R. Lopez,17,13
66,1,3:43.0,,R. Lopez makes 2-pt layup from 3 ft,17,15
67,1,3:17.0,L. Scola misses 2-pt jump shot from 12 ft,,17,15
68,1,3:16.0,,Defensive rebound by R. Lopez,17,15
69,1,3:06.0,,L. Thomas misses 3-pt jump shot from 23 ft,17,15
70,1,3:05.0,Defensive rebound by L. Scola,,17,15
71,1,2:50.0,K. Lowry misses 2-pt jump shot from 20 ft,,17,15
72,1,2:49.0,,Defensive rebound by C. Anthony,17,15
73,1,2:37.0,,R. Lopez makes 2-pt hook shot from 5 ft (assist by C. Anthony),17,17
74,1,2:30.0,Toronto full timeout,,17,17
75,1,2:30.0,,K. O'Quinn enters the game for R. Lopez,17,17
76,1,2:30.0,B. Biyombo enters the game for J. Johnson,,17,17
