,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,MIAMI_ACTION,SACRAMENTO_SCORE,MIAMI_SCORE
0,1,11:38.0,,D. Wade makes 2-pt jump shot from 12 ft,0,2
1,1,11:16.0,K. Koufos makes 2-pt hook shot from 8 ft (assist by R. Rondo),,2,2
2,1,10:45.0,,H. Whiteside misses 2-pt hook shot from 7 ft,2,2
3,1,10:44.0,,Offensive rebound by G. Dragić,2,2
4,1,10:42.0,,G. Dragić misses 2-pt layup at rim,2,2
5,1,10:41.0,Defensive rebound by R. Gay,,2,2
6,1,10:33.0,O. Casspi misses 3-pt jump shot from 23 ft,,2,2
7,1,10:32.0,,Defensive rebound by C. Bosh,2,2
8,1,10:20.0,,D. Wade misses 2-pt hook shot from 8 ft,2,2
9,1,10:19.0,Defensive rebound by Team,,2,2
10,1,10:05.0,Shooting foul by H. Whiteside (drawn by K. Koufos),,2,2
11,1,10:05.0,K. Koufos misses free throw 1 of 2,,2,2
12,1,10:05.0,Offensive rebound by Team,,2,2
13,1,10:05.0,K. Koufos misses free throw 2 of 2,,2,2
14,1,10:04.0,,Defensive rebound by C. Bosh,2,2
15,1,9:44.0,,G. Dragić misses 3-pt jump shot from 23 ft,2,2
16,1,9:43.0,Defensive rebound by R. Gay,,2,2
17,1,9:38.0,B. McLemore makes 2-pt layup from 1 ft (assist by R. Gay),,4,2
18,1,9:20.0,,L. Deng misses 2-pt jump shot from 5 ft,4,2
19,1,9:19.0,Defensive rebound by K. Koufos,,4,2
20,1,9:03.0,R. Gay misses 2-pt jump shot from 10 ft,,4,2
21,1,9:02.0,,Defensive rebound by C. Bosh,4,2
22,1,8:49.0,,D. Wade misses 2-pt jump shot from 9 ft,4,2
23,1,8:48.0,Defensive rebound by R. Rondo,,4,2
24,1,8:38.0,K. Koufos makes 2-pt jump shot from 6 ft (assist by R. Rondo),,6,2
25,1,8:29.0,,Personal foul by R. Rondo (drawn by G. Dragić),6,2
26,1,8:18.0,,L. Deng misses 3-pt jump shot from 24 ft,6,2
27,1,8:17.0,Defensive rebound by Team,,6,2
28,1,8:17.0,,Loose ball foul by H. Whiteside (drawn by R. Rondo),6,2
29,1,8:17.0,,A. Stoudemire enters the game for H. Whiteside,6,2
30,1,8:04.0,K. Koufos misses 2-pt hook shot from 10 ft,,6,2
