,QUARTER,TIME_REMAINING,INDIANA_ACTION,MIAMI_ACTION,INDIANA_SCORE,MIAMI_SCORE
0,1,11:36.0,,L. Deng misses 2-pt jump shot from 15 ft,0,0
1,1,11:35.0,Defensive rebound by P. George,,0,0
2,1,11:09.0,I. Mahinmi makes 2-pt jump shot from 13 ft,,2,0
3,1,10:57.0,Violation by G. Hill (kicked ball),,2,0
4,1,10:48.0,,Turnover by A. Stoudemire (lost ball),2,0
5,1,10:33.0,M. Turner makes 2-pt jump shot from 15 ft (assist by P. George),,4,0
6,1,10:11.0,,G. Green misses 2-pt jump shot from 20 ft,4,0
7,1,10:10.0,Defensive rebound by I. Mahinmi,,4,0
8,1,10:01.0,M. Turner misses 2-pt jump shot from 15 ft,,4,0
9,1,10:00.0,,Defensive rebound by A. Stoudemire,4,0
10,1,9:50.0,,Turnover by G. Dragić (bad pass),4,0
11,1,9:44.0,P. George makes 2-pt jump shot from 18 ft (assist by G. Hill),,6,0
12,1,9:28.0,,G. Dragić misses 2-pt jump shot from 15 ft,6,0
13,1,9:27.0,,Offensive rebound by G. Dragić,6,0
14,1,9:23.0,,D. Wade misses 3-pt jump shot from 24 ft,6,0
15,1,9:22.0,Defensive rebound by P. George,,6,0
16,1,9:08.0,M. Ellis misses 2-pt jump shot from 20 ft,,6,0
17,1,9:07.0,,Defensive rebound by A. Stoudemire,6,0
18,1,8:49.0,,G. Green misses 2-pt jump shot from 18 ft,6,0
19,1,8:48.0,Defensive rebound by G. Hill,,6,0
20,1,8:44.0,P. George makes 2-pt layup at rim (assist by G. Hill),,8,0
21,1,8:44.0,,Miami full timeout,8,0
22,1,8:35.0,,L. Deng misses 2-pt layup from 2 ft,8,0
23,1,8:34.0,Defensive rebound by M. Turner,,8,0
24,1,8:25.0,P. George makes 3-pt jump shot from 24 ft (assist by M. Ellis),,11,0
25,1,8:14.0,,G. Dragić makes 2-pt jump shot from 6 ft,11,2
26,1,7:58.0,P. George misses 2-pt jump shot from 19 ft,,11,2
27,1,7:57.0,,Defensive rebound by D. Wade,11,2
28,1,7:39.0,,Turnover by A. Stoudemire (lost ball; steal by M. Ellis),11,2
29,1,7:33.0,G. Hill misses 2-pt jump shot from 9 ft,,11,2
30,1,7:32.0,,Defensive rebound by A. Stoudemire,11,2
31,1,7:27.0,,Turnover by D. Wade (bad pass),11,2
32,1,7:14.0,I. Mahinmi makes 2-pt layup from 1 ft (assist by M. Ellis),,13,2
33,1,7:00.0,,G. Green misses 2-pt jump shot from 14 ft,13,2
34,1,6:59.0,Defensive rebound by I. Mahinmi,,13,2
35,1,6:51.0,P. George makes 3-pt jump shot from 24 ft (assist by G. Hill),,16,2
36,1,6:29.0,,Turnover by A. Stoudemire (step out of bounds),16,2
37,1,6:29.0,,J. Winslow enters the game for G. Green,16,2
38,1,6:29.0,,H. Whiteside enters the game for A. Stoudemire,16,2
39,1,6:08.0,P. George misses 2-pt jump shot from 19 ft,,16,2
40,1,6:07.0,,Defensive rebound by H. Whiteside,16,2
41,1,6:02.0,,G. Dragić makes 2-pt layup from 2 ft (assist by J. Winslow),16,4
42,1,5:56.0,Turnover by Team (back court),,16,4
43,1,5:45.0,,Shooting foul by M. Turner (drawn by D. Wade),16,4
44,1,5:45.0,,D. Wade makes free throw 1 of 2,16,5
45,1,5:45.0,,D. Wade misses free throw 2 of 2,16,5
46,1,5:44.0,Defensive rebound by P. George,,16,5
47,1,5:26.0,M. Ellis misses 2-pt jump shot from 17 ft,,16,5
48,1,5:25.0,,Defensive rebound by H. Whiteside,16,5
49,1,5:19.0,,L. Deng misses 2-pt layup from 1 ft,16,5
50,1,5:18.0,,Offensive rebound by J. Winslow,16,5
51,1,5:17.0,,J. Winslow makes 2-pt jump shot from 5 ft,16,7
52,1,5:01.0,G. Hill misses 2-pt jump shot from 20 ft,,16,7
53,1,5:00.0,,Defensive rebound by D. Wade,16,7
54,1,5:00.0,,Personal foul by I. Mahinmi (drawn by D. Wade),16,7
