,QUARTER,TIME_REMAINING,NEW YORK_ACTION,CLEVELAND_ACTION,NEW YORK_SCORE,CLEVELAND_SCORE
0,1,11:46.0,Shooting foul by R. Jefferson (drawn by C. Anthony),,0,0
1,1,11:46.0,C. Anthony makes free throw 1 of 2,,1,0
2,1,11:46.0,C. Anthony makes free throw 2 of 2,,2,0
3,1,11:22.0,,L. James misses 2-pt jump shot from 23 ft,2,0
4,1,11:22.0,Defensive rebound by R. Lopez,,2,0
5,1,11:10.0,R. Lopez makes 2-pt layup at rim (assist by J. Calderón),,4,0
6,1,10:53.0,,T. Mozgov misses 2-pt layup from 2 ft,4,0
7,1,10:52.0,Defensive rebound by S. Vujačić,,4,0
8,1,10:37.0,J. Calderón misses 2-pt jump shot from 17 ft,,4,0
9,1,10:37.0,,Defensive rebound by K. Love,4,0
10,1,10:25.0,,R. Jefferson misses 3-pt jump shot from 26 ft,4,0
11,1,10:25.0,Defensive rebound by C. Anthony,,4,0
12,1,10:17.0,K. Porziņģis makes 2-pt layup from 1 ft (assist by C. Anthony),,6,0
13,1,9:56.0,,K. Love makes 2-pt jump shot from 15 ft,6,2
14,1,9:43.0,K. Porziņģis makes 2-pt jump shot from 15 ft,,8,2
15,1,9:30.0,,K. Love misses 3-pt jump shot from 26 ft,8,2
16,1,9:29.0,Defensive rebound by R. Lopez,,8,2
17,1,9:20.0,C. Anthony makes 3-pt jump shot from 25 ft (assist by K. Porziņģis),,11,2
18,1,9:19.0,,Cleveland full timeout,11,2
19,1,8:57.0,,Shooting foul by K. Porziņģis (drawn by R. Jefferson),11,2
20,1,8:57.0,,R. Jefferson misses free throw 1 of 2,11,2
21,1,8:57.0,,Offensive rebound by Team,11,2
22,1,8:57.0,,R. Jefferson makes free throw 2 of 2,11,3
23,1,8:32.0,S. Vujačić makes 2-pt layup from 1 ft,,13,3
24,1,8:18.0,,L. James misses 3-pt jump shot from 27 ft,13,3
25,1,8:18.0,Defensive rebound by S. Vujačić,,13,3
26,1,7:59.0,C. Anthony misses 2-pt jump shot from 22 ft,,13,3
27,1,7:58.0,,Defensive rebound by M. Williams,13,3
28,1,7:49.0,,M. Williams makes 2-pt jump shot from 20 ft,13,5
29,1,7:39.0,J. Calderón misses 3-pt jump shot from 24 ft,,13,5
30,1,7:37.0,,Defensive rebound by K. Love,13,5
31,1,7:31.0,,M. Williams makes 2-pt jump shot from 19 ft (assist by K. Love),13,7
32,1,7:12.0,R. Lopez misses 2-pt jump shot from 12 ft,,13,7
33,1,7:11.0,Offensive rebound by R. Lopez,,13,7
34,1,7:08.0,S. Vujačić makes 2-pt jump shot from 19 ft (assist by R. Lopez),,15,7
35,1,6:53.0,,K. Love misses 2-pt jump shot from 12 ft,15,7
36,1,6:51.0,Defensive rebound by K. Porziņģis,,15,7
37,1,6:48.0,S. Vujačić misses 3-pt jump shot from 26 ft,,15,7
38,1,6:48.0,,Defensive rebound by Team,15,7
39,1,6:30.0,,R. Jefferson misses 3-pt jump shot from 23 ft,15,7
40,1,6:30.0,Defensive rebound by C. Anthony,,15,7
41,1,6:18.0,K. Porziņģis misses 2-pt jump shot from 14 ft,,15,7
42,1,6:13.0,,Defensive rebound by T. Mozgov,15,7
43,1,6:12.0,,M. Williams makes 2-pt jump shot from 6 ft,15,9
44,1,6:12.0,New York full timeout,,15,9
45,1,6:12.0,K. Séraphin enters the game for K. Porziņģis,,15,9
46,1,6:12.0,K. O'Quinn enters the game for R. Lopez,,15,9
47,1,6:00.0,S. Vujačić makes 3-pt jump shot from 24 ft (assist by C. Anthony),,18,9
48,1,5:46.0,,L. James misses 2-pt layup from 1 ft (block by C. Anthony),18,9
49,1,5:43.0,Defensive rebound by C. Anthony,,18,9
50,1,5:35.0,K. O'Quinn makes 2-pt hook shot from 10 ft,,20,9
