,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,DENVER_ACTION,SAN ANTONIO_SCORE,DENVER_SCORE
0,1,11:37.0,,J. Sampson misses 2-pt hook shot from 4 ft,0,0
1,1,11:36.0,Defensive rebound by T. Duncan,,0,0
2,1,11:20.0,Turnover by A. Miller (lost ball; steal by E. Mudiay),,0,0
3,1,11:08.0,,N. Jokić misses 2-pt jump shot from 15 ft,0,0
4,1,11:06.0,Defensive rebound by K. Anderson,,0,0
5,1,10:53.0,T. Duncan misses 2-pt jump shot from 16 ft,,0,0
6,1,10:52.0,,Defensive rebound by N. Jokić,0,0
7,1,10:42.0,,J. Nurkić misses 2-pt hook shot from 6 ft,0,0
8,1,10:41.0,,Offensive rebound by N. Jokić,0,0
9,1,10:37.0,,N. Jokić misses 2-pt layup from 1 ft,0,0
10,1,10:37.0,Defensive rebound by D. West,,0,0
11,1,10:28.0,D. West makes 2-pt dunk at rim (assist by K. Anderson),,2,0
12,1,10:14.0,,J. Nurkić makes 2-pt jump shot from 16 ft (assist by E. Mudiay),2,2
13,1,9:58.0,Turnover by T. Duncan (lost ball; steal by J. Nurkić),,2,2
14,1,9:55.0,,E. Mudiay makes 2-pt layup from 1 ft,2,4
15,1,9:55.0,,Shooting foul by A. Miller (drawn by E. Mudiay),2,4
16,1,9:55.0,,E. Mudiay makes free throw 1 of 1,2,5
17,1,9:42.0,D. West misses 2-pt jump shot from 20 ft,,2,5
18,1,9:41.0,,Defensive rebound by J. Sampson,2,5
19,1,9:23.0,,E. Mudiay makes 2-pt jump shot from 18 ft (assist by N. Jokić),2,7
20,1,8:57.0,T. Duncan misses 2-pt layup from 3 ft (block by J. Nurkić),,2,7
21,1,8:55.0,,Defensive rebound by N. Jokić,2,7
22,1,8:41.0,,E. Mudiay misses 3-pt jump shot from 26 ft,2,7
23,1,8:40.0,Defensive rebound by J. Simmons,,2,7
24,1,8:32.0,Shooting foul by N. Jokić (drawn by D. West),,2,7
25,1,8:32.0,D. West makes free throw 1 of 2,,3,7
26,1,8:32.0,D. West makes free throw 2 of 2,,4,7
27,1,8:15.0,,J. Nurkić makes 2-pt hook shot from 6 ft,4,9
28,1,8:04.0,D. West makes 2-pt layup from 2 ft (assist by K. Anderson),,6,9
29,1,7:41.0,,G. Harris misses 3-pt jump shot from 26 ft,6,9
30,1,7:40.0,,Offensive rebound by N. Jokić,6,9
31,1,7:33.0,,J. Sampson makes 2-pt jump shot from 5 ft,6,11
32,1,7:15.0,D. West misses 2-pt jump shot from 20 ft,,6,11
33,1,7:15.0,,Defensive rebound by G. Harris,6,11
34,1,7:07.0,,J. Nurkić misses 2-pt jump shot from 21 ft,6,11
35,1,7:06.0,Defensive rebound by A. Miller,,6,11
36,1,6:48.0,D. West misses 2-pt layup from 3 ft,,6,11
37,1,6:47.0,,Defensive rebound by J. Nurkić,6,11
38,1,6:42.0,,Turnover by E. Mudiay (lost ball; steal by A. Miller),6,11
39,1,6:36.0,K. Anderson misses 2-pt jump shot from 8 ft,,6,11
40,1,6:35.0,Offensive rebound by K. Anderson,,6,11
