,QUARTER,TIME_REMAINING,DETROIT_ACTION,SAN ANTONIO_ACTION,DETROIT_SCORE,SAN ANTONIO_SCORE
0,1,11:43.0,,T. Duncan misses 2-pt layup from 1 ft (block by A. Drummond),0,0
1,1,11:42.0,Defensive rebound by T. Harris,,0,0
2,1,11:37.0,A. Drummond makes 2-pt dunk at rim (assist by T. Harris),,2,0
3,1,11:19.0,,K. Leonard makes 3-pt jump shot from 23 ft (assist by T. Parker),2,3
4,1,11:02.0,R. Jackson misses 2-pt layup from 1 ft,,2,3
5,1,11:01.0,Offensive rebound by A. Drummond,,2,3
6,1,10:55.0,R. Jackson makes 2-pt jump shot from 19 ft,,4,3
7,1,10:41.0,,Turnover by T. Parker (bad pass),4,3
8,1,10:31.0,T. Harris makes 2-pt layup from 2 ft,,6,3
9,1,10:11.0,,L. Aldridge misses 2-pt layup from 1 ft,6,3
10,1,10:09.0,,Offensive rebound by T. Duncan,6,3
11,1,10:09.0,,T. Duncan makes 2-pt layup at rim,6,5
12,1,9:58.0,Offensive foul by M. Morris (drawn by T. Duncan),,6,5
13,1,9:58.0,Turnover by M. Morris (offensive foul),,6,5
14,1,9:43.0,,Turnover by L. Aldridge (bad pass; steal by A. Drummond),6,5
15,1,9:27.0,A. Drummond misses 2-pt layup from 1 ft (block by D. Green),,6,5
16,1,9:25.0,Offensive rebound by T. Harris,,6,5
17,1,9:25.0,T. Harris misses 2-pt layup from 1 ft,,6,5
18,1,9:23.0,,Defensive rebound by T. Duncan,6,5
19,1,9:16.0,,T. Duncan makes 2-pt jump shot from 4 ft (assist by T. Parker),6,7
20,1,9:16.0,,Shooting foul by A. Drummond (drawn by T. Duncan),6,7
21,1,9:16.0,,T. Duncan misses free throw 1 of 1,6,7
22,1,9:15.0,Defensive rebound by A. Drummond,,6,7
23,1,9:08.0,Turnover by R. Jackson (bad pass),,6,7
24,1,8:49.0,,T. Duncan misses 2-pt jump shot from 19 ft,6,7
25,1,8:48.0,Defensive rebound by R. Jackson,,6,7
26,1,8:39.0,A. Drummond makes 2-pt hook shot from 6 ft (assist by R. Jackson),,8,7
27,1,8:31.0,,Shooting foul by A. Drummond (drawn by T. Parker),8,7
28,1,8:31.0,,T. Parker makes free throw 1 of 2,8,8
29,1,8:31.0,A. Baynes enters the game for A. Drummond,,8,8
30,1,8:31.0,,T. Parker makes free throw 2 of 2,8,9
31,1,8:18.0,T. Harris misses 2-pt jump shot from 20 ft,,8,9
32,1,8:17.0,,Defensive rebound by T. Parker,8,9
