,QUARTER,TIME_REMAINING,BOSTON_ACTION,TORONTO_ACTION,BOSTON_SCORE,TORONTO_SCORE
0,1,11:45.0,A. Bradley makes 2-pt jump shot from 20 ft (assist by J. Sullinger),,2,0
1,1,11:22.0,,Turnover by D. DeRozan (lost ball; steal by A. Bradley),2,0
2,1,11:09.0,J. Sullinger misses 2-pt jump shot from 21 ft,,2,0
3,1,11:08.0,,Defensive rebound by J. Johnson,2,0
4,1,11:02.0,,Personal foul by I. Thomas (drawn by K. Lowry),2,0
5,1,10:51.0,,D. DeRozan misses 2-pt jump shot from 21 ft,2,0
6,1,10:50.0,,Offensive rebound by L. Scola,2,0
7,1,10:49.0,,L. Scola makes 2-pt layup from 1 ft,2,2
8,1,10:33.0,J. Sullinger misses 2-pt layup at rim,,2,2
9,1,10:33.0,,Defensive rebound by J. Johnson,2,2
10,1,10:27.0,,L. Scola misses 2-pt layup from 3 ft,2,2
11,1,10:26.0,Defensive rebound by A. Bradley,,2,2
12,1,10:09.0,J. Crowder makes 3-pt jump shot from 24 ft (assist by I. Thomas),,5,2
13,1,9:47.0,,K. Lowry makes 3-pt jump shot from 24 ft (assist by D. DeRozan),5,5
14,1,9:35.0,I. Thomas makes 3-pt jump shot from 26 ft (assist by A. Bradley),,8,5
15,1,9:18.0,,L. Scola makes 2-pt hook shot from 6 ft,8,7
16,1,8:59.0,J. Crowder misses 2-pt jump shot from 20 ft (block by J. Johnson),,8,7
17,1,8:58.0,Offensive rebound by A. Johnson,,8,7
18,1,8:53.0,J. Crowder misses 3-pt jump shot from 25 ft,,8,7
19,1,8:52.0,,Defensive rebound by J. Valančiūnas,8,7
20,1,8:46.0,,J. Johnson makes 2-pt jump shot from 14 ft,8,9
21,1,8:30.0,I. Thomas misses 2-pt jump shot from 12 ft,,8,9
22,1,8:29.0,Offensive rebound by Team,,8,9
23,1,8:25.0,A. Bradley makes 2-pt jump shot from 20 ft (assist by I. Thomas),,10,9
24,1,8:04.0,,J. Johnson makes 3-pt jump shot from 22 ft (assist by K. Lowry),10,12
25,1,7:57.0,Personal block foul by D. DeRozan (drawn by I. Thomas),,10,12
26,1,7:48.0,J. Crowder makes 2-pt layup from 1 ft (assist by I. Thomas),,12,12
27,1,7:29.0,,L. Scola makes 3-pt jump shot from 26 ft (assist by D. DeRozan),12,15
28,1,7:19.0,Shooting foul by K. Lowry (drawn by I. Thomas),,12,15
29,1,7:19.0,I. Thomas makes free throw 1 of 2,,13,15
30,1,7:19.0,I. Thomas makes free throw 2 of 2,,14,15
31,1,7:02.0,,D. DeRozan makes 2-pt jump shot from 3 ft,14,17
32,1,7:02.0,,Shooting foul by A. Bradley (drawn by D. DeRozan),14,17
33,1,7:02.0,,D. DeRozan makes free throw 1 of 1,14,18
34,1,6:53.0,A. Bradley misses 3-pt jump shot from 26 ft,,14,18
35,1,6:52.0,Offensive rebound by J. Sullinger,,14,18
36,1,6:43.0,A. Johnson misses 3-pt jump shot from 23 ft,,14,18
37,1,6:42.0,,Defensive rebound by J. Valančiūnas,14,18
38,1,6:28.0,,J. Valančiūnas makes 2-pt hook shot from 3 ft (assist by D. DeRozan),14,20
39,1,6:28.0,Boston full timeout,,14,20
40,1,6:17.0,J. Sullinger misses 2-pt hook shot from 6 ft,,14,20
41,1,6:16.0,,Defensive rebound by J. Valančiūnas,14,20
42,1,6:10.0,,L. Scola makes 2-pt layup at rim (assist by K. Lowry),14,22
43,1,5:53.0,J. Sullinger misses 2-pt jump shot from 8 ft,,14,22
44,1,5:52.0,,Defensive rebound by J. Valančiūnas,14,22
45,1,5:41.0,,Personal foul by A. Johnson (drawn by L. Scola),14,22
46,1,5:41.0,M. Smart enters the game for J. Sullinger,,14,22
47,1,5:41.0,E. Turner enters the game for A. Bradley,,14,22
48,1,5:41.0,T. Zeller enters the game for A. Johnson,,14,22
49,1,5:27.0,,J. Valančiūnas makes 2-pt hook shot from 4 ft,14,24
50,1,5:13.0,J. Crowder makes 2-pt jump shot from 12 ft (assist by E. Turner),,16,24
51,1,4:55.0,,L. Scola misses 3-pt jump shot from 24 ft,16,24
52,1,4:55.0,Defensive rebound by M. Smart,,16,24
53,1,4:44.0,E. Turner misses 2-pt jump shot from 14 ft,,16,24
54,1,4:43.0,,Defensive rebound by D. DeRozan,16,24
55,1,4:28.0,,L. Scola misses 3-pt jump shot from 25 ft,16,24
56,1,4:28.0,,Offensive rebound by J. Valančiūnas,16,24
57,1,4:22.0,,J. Valančiūnas makes 2-pt jump shot from 4 ft,16,26
58,1,4:10.0,E. Turner makes 2-pt jump shot from 17 ft,,18,26
59,1,3:52.0,,L. Scola makes 2-pt jump shot from 5 ft,18,28
60,1,3:36.0,J. Crowder makes 2-pt jump shot from 15 ft (assist by E. Turner),,20,28
61,1,3:20.0,,Shooting foul by E. Turner (drawn by D. DeRozan),20,28
62,1,3:20.0,,D. DeRozan makes 2-pt layup from 2 ft (assist by J. Valančiūnas),20,30
63,1,3:20.0,,P. Patterson enters the game for L. Scola,20,30
64,1,3:20.0,,T. Ross enters the game for J. Johnson,20,30
65,1,3:20.0,,D. DeRozan makes free throw 1 of 1,20,31
66,1,3:09.0,T. Zeller misses 2-pt layup from 4 ft,,20,31
67,1,3:09.0,,Defensive rebound by J. Valančiūnas,20,31
68,1,2:57.0,,D. DeRozan makes 2-pt jump shot from 16 ft,20,33
69,1,2:36.0,T. Zeller misses 2-pt jump shot from 18 ft,,20,33
70,1,2:36.0,,Defensive rebound by K. Lowry,20,33
71,1,2:26.0,,Turnover by K. Lowry (lost ball),20,33
72,1,2:26.0,,Toronto full timeout,20,33
73,1,2:26.0,K. Olynyk enters the game for I. Thomas,,20,33
74,1,2:26.0,,C. Joseph enters the game for J. Valančiūnas,20,33
75,1,2:26.0,,B. Biyombo enters the game for K. Lowry,20,33
76,1,2:06.0,T. Zeller misses 2-pt layup from 2 ft,,20,33
77,1,2:05.0,Offensive rebound by T. Zeller,,20,33
78,1,2:03.0,T. Zeller makes 2-pt dunk at rim,,22,33
79,1,1:46.0,,D. DeRozan misses 2-pt jump shot from 15 ft,22,33
80,1,1:46.0,Defensive rebound by K. Olynyk,,22,33
81,1,1:40.0,Turnover by E. Turner (bad pass; steal by B. Biyombo),,22,33
82,1,1:28.0,,D. DeRozan makes 2-pt jump shot from 3 ft,22,35
83,1,1:09.0,Shooting foul by T. Ross (drawn by E. Turner),,22,35
84,1,1:09.0,E. Turner makes free throw 1 of 2,,23,35
85,1,1:09.0,E. Turner misses free throw 2 of 2,,23,35
86,1,1:08.0,,Defensive rebound by B. Biyombo,23,35
