,QUARTER,TIME_REMAINING,CHICAGO_ACTION,ATLANTA_ACTION,CHICAGO_SCORE,ATLANTA_SCORE
0,1,11:42.0,,J. Teague makes 2-pt layup from 1 ft (assist by A. Horford),0,2
1,1,11:14.0,Turnover by Team (shot clock),,0,2
2,1,10:54.0,,Personal foul by N. Mirotić (drawn by P. Millsap),0,2
3,1,10:42.0,,A. Horford makes 2-pt layup from 2 ft (assist by P. Millsap),0,4
4,1,10:23.0,N. Mirotić misses 3-pt jump shot from 24 ft,,0,4
5,1,10:21.0,,Defensive rebound by K. Bazemore,0,4
6,1,10:00.0,,P. Millsap makes 2-pt jump shot from 16 ft,0,6
7,1,9:50.0,D. Rose misses 2-pt layup from 2 ft,,0,6
8,1,9:49.0,,Defensive rebound by P. Millsap,0,6
9,1,9:39.0,,A. Horford misses 2-pt jump shot from 17 ft,0,6
10,1,9:38.0,Defensive rebound by N. Mirotić,,0,6
11,1,9:22.0,T. Gibson makes 2-pt hook shot from 8 ft,,2,6
12,1,9:11.0,,K. Korver makes 3-pt jump shot from 24 ft (assist by A. Horford),2,9
13,1,9:00.0,N. Mirotić makes 3-pt jump shot from 23 ft (assist by P. Gasol),,5,9
14,1,9:00.0,,Atlanta full timeout,5,9
15,1,9:00.0,,D. Schröder enters the game for J. Teague,5,9
16,1,8:38.0,,K. Bazemore makes 3-pt jump shot from 25 ft,5,12
17,1,8:18.0,J. Butler misses 2-pt jump shot from 19 ft,,5,12
18,1,8:17.0,,Defensive rebound by P. Millsap,5,12
19,1,8:10.0,,A. Horford misses 2-pt jump shot from 14 ft,5,12
20,1,8:09.0,Defensive rebound by N. Mirotić,,5,12
21,1,7:58.0,Personal foul by K. Bazemore (drawn by J. Butler),,5,12
22,1,7:47.0,Turnover by P. Gasol (bad pass; steal by P. Millsap),,5,12
23,1,7:38.0,,Turnover by P. Millsap (traveling),5,12
24,1,7:38.0,,T. Splitter enters the game for K. Bazemore,5,12
25,1,7:29.0,D. Rose makes 2-pt layup from 2 ft,,7,12
26,1,7:16.0,,P. Millsap misses 2-pt jump shot from 13 ft (block by J. Butler),7,12
27,1,7:14.0,,Offensive rebound by P. Millsap,7,12
28,1,7:10.0,,Personal foul by J. Butler (drawn by P. Millsap),7,12
29,1,7:02.0,,A. Horford makes 2-pt dunk at rim (assist by T. Splitter),7,14
30,1,6:50.0,Shooting foul by T. Splitter (drawn by T. Gibson),,7,14
31,1,6:50.0,T. Gibson makes 2-pt layup from 2 ft (assist by P. Gasol),,9,14
32,1,6:50.0,T. Gibson makes free throw 1 of 1,,10,14
33,1,6:38.0,,K. Korver makes 2-pt layup from 1 ft (assist by T. Splitter),10,16
34,1,6:27.0,J. Butler misses 2-pt layup from 2 ft (block by P. Millsap),,10,16
35,1,6:27.0,,Defensive rebound by Team,10,16
36,1,6:07.0,,A. Horford makes 2-pt hook shot from 8 ft,10,18
37,1,5:58.0,Turnover by D. Rose (step out of bounds),,10,18
38,1,5:44.0,,A. Horford makes 2-pt jump shot from 19 ft (assist by D. Schröder),10,20
39,1,5:44.0,Chicago full timeout,,10,20
40,1,5:31.0,N. Mirotić misses 3-pt jump shot from 23 ft,,10,20
41,1,5:29.0,,Defensive rebound by T. Splitter,10,20
42,1,5:20.0,,D. Schröder makes 3-pt jump shot from 23 ft,10,23
43,1,5:09.0,P. Gasol makes 2-pt jump shot from 18 ft (assist by D. Rose),,12,23
44,1,4:47.0,,P. Millsap misses 3-pt jump shot from 24 ft,12,23
45,1,4:44.0,Defensive rebound by T. Gibson,,12,23
46,1,4:35.0,J. Butler misses 2-pt jump shot from 17 ft,,12,23
47,1,4:34.0,Offensive rebound by N. Mirotić,,12,23
48,1,4:33.0,Shooting foul by K. Korver (drawn by N. Mirotić),,12,23
49,1,4:33.0,N. Mirotić makes free throw 1 of 2,,13,23
50,1,4:33.0,,K. Bazemore enters the game for K. Korver,13,23
51,1,4:33.0,,T. Hardaway enters the game for A. Horford,13,23
52,1,4:33.0,B. Portis enters the game for T. Gibson,,13,23
53,1,4:33.0,N. Mirotić misses free throw 2 of 2,,13,23
54,1,4:32.0,,Defensive rebound by K. Bazemore,13,23
55,1,4:10.0,,T. Splitter misses 2-pt hook shot from 7 ft,13,23
56,1,4:08.0,Defensive rebound by B. Portis,,13,23
57,1,3:59.0,N. Mirotić misses 2-pt jump shot from 18 ft,,13,23
58,1,3:58.0,,Defensive rebound by D. Schröder,13,23
59,1,3:50.0,,P. Millsap makes 2-pt hook shot from 2 ft,13,25
60,1,3:47.0,D. Rose misses 2-pt layup from 2 ft (block by P. Millsap),,13,25
61,1,3:41.0,Offensive rebound by N. Mirotić,,13,25
62,1,3:40.0,N. Mirotić makes 2-pt layup from 1 ft,,15,25
63,1,3:30.0,,Turnover by D. Schröder (bad pass; steal by B. Portis),15,25
64,1,3:28.0,Shooting foul by T. Splitter (drawn by J. Butler),,15,25
65,1,3:28.0,J. Butler makes free throw 1 of 2,,16,25
66,1,3:28.0,T. Snell enters the game for N. Mirotić,,16,25
67,1,3:28.0,A. Brooks enters the game for D. Rose,,16,25
68,1,3:28.0,J. Butler misses free throw 2 of 2,,16,25
69,1,3:27.0,Offensive rebound by B. Portis,,16,25
70,1,3:23.0,B. Portis misses 2-pt jump shot from 19 ft,,16,25
71,1,3:22.0,,Defensive rebound by D. Schröder,16,25
72,1,3:13.0,,K. Bazemore misses 2-pt jump shot from 16 ft,16,25
73,1,3:12.0,,Offensive rebound by T. Splitter,16,25
74,1,3:09.0,,T. Splitter misses 2-pt hook shot from 8 ft,16,25
75,1,3:07.0,Defensive rebound by P. Gasol,,16,25
76,1,2:54.0,Turnover by B. Portis (lost ball; steal by P. Millsap),,16,25
77,1,2:44.0,,D. Schröder misses 2-pt jump shot from 9 ft,16,25
78,1,2:42.0,Defensive rebound by B. Portis,,16,25
79,1,2:28.0,P. Gasol misses 2-pt jump shot from 11 ft (block by P. Millsap),,16,25
80,1,2:26.0,,Defensive rebound by D. Schröder,16,25
81,1,2:15.0,,P. Millsap misses 2-pt jump shot from 15 ft,16,25
82,1,2:11.0,Defensive rebound by J. Butler,,16,25
83,1,2:06.0,Turnover by P. Gasol (lost ball; steal by K. Bazemore),,16,25
84,1,2:00.0,,T. Hardaway makes 2-pt dunk at rim (assist by K. Bazemore),16,27
85,1,1:45.0,B. Portis misses 3-pt jump shot from 24 ft,,16,27
86,1,1:45.0,,Defensive rebound by Team,16,27
87,1,1:45.0,,M. Scott enters the game for P. Millsap,16,27
88,1,1:45.0,,A. Horford enters the game for T. Splitter,16,27
89,1,1:45.0,T. Gibson enters the game for P. Gasol,,16,27
90,1,1:29.0,,D. Schröder misses 3-pt jump shot from 23 ft,16,27
91,1,1:28.0,Defensive rebound by B. Portis,,16,27
92,1,1:20.0,Turnover by A. Brooks (lost ball; steal by D. Schröder),,16,27
93,1,1:16.0,Offensive charge foul by M. Scott (drawn by J. Butler),,16,27
94,1,1:16.0,,Turnover by M. Scott (offensive foul),16,27
95,1,0:57.0,T. Snell makes 3-pt jump shot from 22 ft (assist by A. Brooks),,19,27
96,1,0:48.0,,D. Schröder misses 2-pt jump shot from 18 ft,19,27
97,1,0:45.0,Defensive rebound by A. Brooks,,19,27
98,1,0:32.0,A. Brooks misses 3-pt jump shot from 24 ft,,19,27
99,1,0:31.0,,Defensive rebound by D. Schröder,19,27
100,1,0:23.0,,A. Horford makes 2-pt layup at rim (assist by M. Scott),19,29
101,1,0:23.0,,Shooting foul by J. Butler (drawn by A. Horford),19,29
102,1,0:23.0,,J. Holiday enters the game for D. Schröder,19,29
103,1,0:23.0,D. McDermott enters the game for T. Gibson,,19,29
104,1,0:23.0,,A. Horford makes free throw 1 of 1,19,30
