,QUARTER,TIME_REMAINING,TORONTO_ACTION,CHARLOTTE_ACTION,TORONTO_SCORE,CHARLOTTE_SCORE
0,1,11:39.0,L. Scola misses 3-pt jump shot from 22 ft,,0,0
1,1,11:37.0,,Defensive rebound by C. Zeller,0,0
2,1,11:24.0,,M. Williams makes 3-pt jump shot from 25 ft (assist by K. Walker),0,3
3,1,11:00.0,Shooting foul by P. Hairston (drawn by D. DeRozan),,0,3
4,1,11:00.0,D. DeRozan makes free throw 1 of 2,,1,3
5,1,11:00.0,D. DeRozan makes free throw 2 of 2,,2,3
6,1,10:42.0,,P. Hairston makes 3-pt jump shot from 23 ft (assist by C. Zeller),2,6
7,1,10:26.0,T. Ross makes 3-pt jump shot from 22 ft (assist by K. Lowry),,5,6
8,1,10:13.0,,M. Williams misses 3-pt jump shot from 24 ft,5,6
9,1,10:12.0,Defensive rebound by L. Scola,,5,6
10,1,10:00.0,L. Scola misses 2-pt jump shot from 7 ft,,5,6
11,1,9:57.0,,Defensive rebound by P. Hairston,5,6
12,1,9:50.0,,P. Hairston makes 3-pt jump shot from 26 ft (assist by K. Walker),5,9
13,1,9:35.0,Turnover by L. Scola (bad pass),,5,9
14,1,9:23.0,,J. Lin makes 2-pt jump shot from 18 ft,5,11
15,1,9:00.0,L. Scola misses 2-pt jump shot from 10 ft,,5,11
16,1,8:59.0,,Defensive rebound by C. Zeller,5,11
17,1,8:46.0,,J. Lin misses 2-pt layup from 2 ft (block by B. Biyombo),5,11
18,1,8:44.0,Defensive rebound by D. DeRozan,,5,11
19,1,8:35.0,K. Lowry misses 3-pt jump shot from 26 ft,,5,11
20,1,8:34.0,,Defensive rebound by C. Zeller,5,11
21,1,8:20.0,,C. Zeller makes 2-pt dunk at rim (assist by J. Lin),5,13
22,1,8:16.0,Toronto full timeout,,5,13
23,1,8:06.0,D. DeRozan makes 2-pt layup from 2 ft,,7,13
24,1,7:44.0,,Shooting foul by B. Biyombo (drawn by C. Zeller),7,13
25,1,7:44.0,,C. Zeller makes free throw 1 of 2,7,14
26,1,7:44.0,,C. Zeller misses free throw 2 of 2,7,14
27,1,7:43.0,Defensive rebound by B. Biyombo,,7,14
28,1,7:19.0,B. Biyombo makes 2-pt layup from 1 ft (assist by L. Scola),,9,14
29,1,6:58.0,,K. Walker makes 2-pt jump shot from 7 ft (assist by J. Lin),9,16
30,1,6:42.0,B. Biyombo makes 2-pt dunk at rim (assist by K. Lowry),,11,16
31,1,6:23.0,,Personal foul by L. Scola (drawn by K. Walker),11,16
32,1,6:08.0,,K. Walker misses 2-pt jump shot from 19 ft,11,16
33,1,6:06.0,Defensive rebound by T. Ross,,11,16
34,1,5:59.0,D. DeRozan misses 2-pt jump shot from 19 ft,,11,16
35,1,5:58.0,,Defensive rebound by M. Williams,11,16
36,1,5:46.0,,C. Zeller misses 2-pt layup from 1 ft (block by L. Scola),11,16
37,1,5:46.0,,Offensive rebound by Team,11,16
38,1,5:35.0,,K. Walker misses 2-pt jump shot from 21 ft,11,16
39,1,5:33.0,Defensive rebound by D. DeRozan,,11,16
40,1,5:25.0,Personal block foul by C. Zeller (drawn by K. Lowry),,11,16
41,1,5:13.0,D. DeRozan makes 2-pt layup from 1 ft,,13,16
42,1,5:02.0,,J. Lin makes 3-pt jump shot from 25 ft (assist by M. Williams),13,19
43,1,4:49.0,L. Scola misses 2-pt jump shot from 18 ft,,13,19
44,1,4:49.0,Offensive rebound by Team,,13,19
45,1,4:49.0,,Loose ball foul by C. Zeller (drawn by B. Biyombo),13,19
46,1,4:49.0,P. Patterson enters the game for L. Scola,,13,19
47,1,4:49.0,,S. Hawes enters the game for C. Zeller,13,19
48,1,4:49.0,,F. Kaminsky enters the game for M. Williams,13,19
49,1,4:40.0,D. DeRozan misses 2-pt jump shot from 17 ft,,13,19
50,1,4:39.0,,Defensive rebound by J. Lin,13,19
51,1,4:21.0,,K. Walker misses 2-pt jump shot from 8 ft,13,19
52,1,4:19.0,,Offensive rebound by K. Walker,13,19
53,1,4:17.0,,Turnover by P. Hairston (lost ball),13,19
54,1,3:56.0,K. Lowry misses 2-pt jump shot from 9 ft,,13,19
55,1,3:54.0,,Defensive rebound by F. Kaminsky,13,19
56,1,3:44.0,,F. Kaminsky misses 3-pt jump shot from 27 ft,13,19
57,1,3:42.0,Defensive rebound by B. Biyombo,,13,19
58,1,3:29.0,D. DeRozan makes 2-pt layup from 1 ft,,15,19
59,1,3:17.0,,P. Hairston misses 3-pt jump shot from 27 ft,15,19
60,1,3:16.0,Defensive rebound by B. Biyombo,,15,19
61,1,3:10.0,K. Lowry misses 3-pt jump shot from 26 ft,,15,19
62,1,3:09.0,,Defensive rebound by S. Hawes,15,19
63,1,3:04.0,,J. Lin makes 2-pt layup from 1 ft (assist by K. Walker),15,21
64,1,2:42.0,T. Ross misses 3-pt jump shot from 25 ft,,15,21
65,1,2:41.0,,Defensive rebound by S. Hawes,15,21
66,1,2:35.0,,Charlotte full timeout,15,21
67,1,2:35.0,C. Joseph enters the game for K. Lowry,,15,21
68,1,2:35.0,,T. Daniels enters the game for P. Hairston,15,21
69,1,2:35.0,,J. Lamb enters the game for J. Lin,15,21
70,1,2:25.0,,T. Daniels misses 3-pt jump shot from 26 ft,15,21
71,1,2:23.0,,Offensive rebound by Team,15,21
72,1,2:21.0,,Turnover by T. Daniels (bad pass; steal by B. Biyombo),15,21
73,1,2:02.0,P. Patterson misses 3-pt jump shot from 24 ft,,15,21
74,1,2:01.0,Offensive rebound by B. Biyombo,,15,21
75,1,2:01.0,Shooting foul by S. Hawes (drawn by B. Biyombo),,15,21
76,1,2:01.0,B. Biyombo misses free throw 1 of 2,,15,21
77,1,2:01.0,Offensive rebound by Team,,15,21
78,1,2:01.0,B. Biyombo makes free throw 2 of 2,,16,21
79,1,1:45.0,,T. Daniels misses 2-pt layup from 1 ft (block by B. Biyombo),16,21
80,1,1:43.0,Defensive rebound by C. Joseph,,16,21
81,1,1:38.0,P. Patterson misses 3-pt jump shot from 22 ft,,16,21
82,1,1:35.0,,Defensive rebound by S. Hawes,16,21
83,1,1:20.0,,J. Lamb misses 3-pt jump shot from 24 ft,16,21
84,1,1:19.0,Defensive rebound by P. Patterson,,16,21
85,1,1:11.0,Shooting foul by T. Daniels (drawn by D. DeRozan),,16,21
86,1,1:11.0,D. DeRozan makes free throw 1 of 2,,17,21
87,1,1:11.0,D. DeRozan makes free throw 2 of 2,,18,21
88,1,0:56.0,,K. Walker makes 2-pt jump shot from 16 ft,18,23
89,1,0:45.0,D. DeRozan makes 2-pt jump shot from 10 ft,,20,23
90,1,0:36.0,,K. Walker misses 2-pt jump shot from 17 ft,20,23
91,1,0:34.0,Defensive rebound by B. Biyombo,,20,23
92,1,0:23.0,T. Ross misses 2-pt jump shot from 16 ft,,20,23
93,1,0:22.0,,Defensive rebound by S. Hawes,20,23
94,1,0:03.0,,K. Walker makes 2-pt layup from 2 ft,20,25
95,1,0:00.0,C. Joseph misses 2-pt jump shot from 11 ft,,20,25
96,1,0:00.0,Offensive rebound by Team,,20,25
97,2,11:51.0,,J. Lin makes 2-pt jump shot from 19 ft (assist by S. Hawes),20,27
98,2,11:34.0,C. Joseph misses 2-pt jump shot from 19 ft,,20,27
99,2,11:33.0,,Defensive rebound by J. Lamb,20,27
100,2,11:13.0,,S. Hawes makes 3-pt jump shot from 25 ft (assist by J. Lin),20,30
101,2,10:58.0,Shooting foul by J. Lamb (drawn by L. Nogueira),,20,30
102,2,10:58.0,L. Nogueira misses free throw 1 of 2,,20,30
103,2,10:58.0,Offensive rebound by Team,,20,30
104,2,10:58.0,L. Nogueira makes free throw 2 of 2,,21,30
105,2,10:50.0,,J. Lamb makes 3-pt jump shot from 24 ft (assist by J. Lin),21,33
106,2,10:28.0,L. Nogueira makes 2-pt layup at rim (assist by K. Lowry),,23,33
107,2,10:00.0,,F. Kaminsky misses 3-pt jump shot from 26 ft,23,33
108,2,9:59.0,Defensive rebound by Team,,23,33
109,2,9:45.0,Turnover by J. Johnson (bad pass; steal by S. Hawes),,23,33
110,2,9:37.0,,J. Lamb misses 3-pt jump shot from 24 ft,23,33
111,2,9:36.0,Defensive rebound by P. Patterson,,23,33
112,2,9:23.0,J. Johnson makes 2-pt layup from 1 ft (assist by K. Lowry),,25,33
113,2,9:02.0,,J. Lamb makes 2-pt layup from 1 ft,25,35
114,2,8:52.0,K. Lowry misses 3-pt jump shot from 24 ft,,25,35
115,2,8:51.0,Offensive rebound by L. Nogueira,,25,35
116,2,8:46.0,K. Lowry misses 3-pt jump shot from 24 ft,,25,35
117,2,8:45.0,,Defensive rebound by S. Hawes,25,35
118,2,8:25.0,,F. Kaminsky misses 2-pt jump shot from 12 ft,25,35
119,2,8:24.0,Defensive rebound by L. Nogueira,,25,35
120,2,8:20.0,J. Johnson makes 2-pt layup from 1 ft,,27,35
121,2,8:20.0,Shooting foul by S. Hawes (drawn by J. Johnson),,27,35
122,2,8:20.0,Official timeout,,27,35
123,2,8:20.0,,T. Hansbrough enters the game for S. Hawes,27,35
124,2,8:20.0,J. Johnson misses free throw 1 of 1,,27,35
125,2,8:16.0,,Defensive rebound by J. Lamb,27,35
126,2,8:06.0,,J. Lin makes 2-pt layup from 1 ft (assist by F. Kaminsky),27,37
127,2,7:46.0,K. Lowry misses 2-pt jump shot from 15 ft,,27,37
128,2,7:44.0,Offensive rebound by L. Nogueira,,27,37
129,2,7:38.0,P. Patterson misses 3-pt jump shot from 24 ft,,27,37
130,2,7:37.0,Offensive rebound by J. Johnson,,27,37
131,2,7:37.0,J. Johnson makes 2-pt dunk at rim,,29,37
132,2,7:17.0,,J. Lamb misses 2-pt jump shot from 8 ft,29,37
133,2,7:13.0,Defensive rebound by J. Johnson,,29,37
134,2,7:08.0,K. Lowry misses 2-pt layup from 1 ft (block by J. Lin),,29,37
135,2,7:06.0,Offensive rebound by C. Joseph,,29,37
136,2,7:03.0,P. Patterson misses 3-pt jump shot from 25 ft,,29,37
137,2,7:02.0,,Defensive rebound by T. Hansbrough,29,37
138,2,6:51.0,,J. Lin makes 2-pt layup from 1 ft,29,39
139,2,6:45.0,Personal foul by J. Lamb (drawn by J. Johnson),,29,39
140,2,6:45.0,B. Biyombo enters the game for L. Nogueira,,29,39
141,2,6:45.0,,P. Hairston enters the game for J. Lamb,29,39
142,2,6:36.0,Shooting foul by P. Hairston (drawn by J. Johnson),,29,39
143,2,6:36.0,J. Johnson makes free throw 1 of 2,,30,39
144,2,6:36.0,D. DeRozan enters the game for P. Patterson,,30,39
145,2,6:36.0,J. Johnson misses free throw 2 of 2,,30,39
146,2,6:35.0,,Defensive rebound by F. Kaminsky,30,39
147,2,6:18.0,,Shooting foul by J. Johnson (drawn by F. Kaminsky),30,39
148,2,6:18.0,,F. Kaminsky misses free throw 1 of 2,30,39
149,2,6:18.0,,Offensive rebound by Team,30,39
150,2,6:18.0,,F. Kaminsky makes free throw 2 of 2,30,40
151,2,6:06.0,Shooting foul by J. Lin (drawn by K. Lowry),,30,40
152,2,6:06.0,K. Lowry makes free throw 1 of 2,,31,40
153,2,6:06.0,K. Lowry makes free throw 2 of 2,,32,40
