,QUARTER,TIME_REMAINING,UTAH_ACTION,DENVER_ACTION,UTAH_SCORE,DENVER_SCORE
0,1,11:39.0,R. Gobert misses 2-pt layup from 2 ft,,0,0
1,1,11:39.0,Offensive rebound by Team,,0,0
2,1,11:22.0,R. Gobert misses 2-pt layup from 2 ft,,0,0
3,1,11:22.0,Offensive rebound by D. Favors,,0,0
4,1,11:12.0,R. Neto misses 3-pt jump shot from 24 ft,,0,0
5,1,11:12.0,,Defensive rebound by G. Harris,0,0
6,1,11:00.0,,Turnover by G. Harris (discontinued dribble),0,0
7,1,10:43.0,,Offensive charge foul by D. Favors (drawn by G. Harris),0,0
8,1,10:43.0,Turnover by D. Favors (offensive foul),,0,0
9,1,10:19.0,,K. Faried makes 2-pt hook shot from 3 ft,0,2
10,1,9:59.0,D. Favors makes 2-pt jump shot from 1 ft,,2,2
11,1,9:46.0,,Personal foul by R. Hood (drawn by K. Faried),2,2
12,1,9:36.0,,E. Mudiay misses 2-pt jump shot from 14 ft,2,2
13,1,9:35.0,Defensive rebound by R. Gobert,,2,2
14,1,9:28.0,Shooting foul by E. Mudiay (drawn by R. Gobert),,2,2
15,1,9:28.0,R. Gobert misses free throw 1 of 2,,2,2
16,1,9:28.0,Offensive rebound by Team,,2,2
17,1,9:28.0,R. Gobert makes free throw 2 of 2,,3,2
18,1,9:25.0,,Turnover by J. Hickson (bad pass; steal by R. Neto),3,2
19,1,9:11.0,G. Hayward makes 2-pt jump shot from 13 ft,,5,2
20,1,9:05.0,,K. Faried makes 2-pt layup from 2 ft (assist by E. Mudiay),5,4
21,1,8:38.0,R. Neto makes 2-pt jump shot from 22 ft (assist by R. Gobert),,7,4
22,1,8:26.0,,G. Harris makes 2-pt jump shot from 14 ft,7,6
23,1,8:06.0,D. Favors misses 2-pt jump shot from 13 ft,,7,6
24,1,8:06.0,,Defensive rebound by K. Faried,7,6
25,1,7:55.0,,J. Hickson makes 2-pt jump shot from 10 ft (assist by K. Faried),7,8
26,1,7:39.0,R. Hood misses 3-pt jump shot from 27 ft,,7,8
27,1,7:38.0,,Defensive rebound by J. Hickson,7,8
28,1,7:22.0,,E. Mudiay makes 3-pt jump shot from 24 ft (assist by G. Harris),7,11
29,1,7:06.0,G. Hayward misses 3-pt jump shot from 24 ft,,7,11
30,1,7:04.0,,Defensive rebound by E. Mudiay,7,11
31,1,6:51.0,,Personal block foul by G. Hayward (drawn by D. Gallinari),7,11
32,1,6:43.0,,E. Mudiay misses 2-pt jump shot from 17 ft,7,11
33,1,6:39.0,,Offensive rebound by J. Hickson,7,11
34,1,6:39.0,,J. Hickson makes 2-pt layup from 1 ft,7,13
35,1,6:24.0,R. Gobert misses 2-pt jump shot from 3 ft,,7,13
36,1,6:23.0,,Defensive rebound by K. Faried,7,13
37,1,6:16.0,Loose ball foul by G. Hayward (drawn by E. Mudiay),,7,13
38,1,6:16.0,A. Burks enters the game for G. Hayward,,7,13
39,1,6:02.0,,D. Gallinari misses 2-pt jump shot from 3 ft,7,13
40,1,6:02.0,Defensive rebound by R. Gobert,,7,13
41,1,5:47.0,R. Gobert misses 2-pt dunk at rim (block by J. Hickson),,7,13
42,1,5:46.0,,Defensive rebound by E. Mudiay,7,13
43,1,5:41.0,,K. Faried makes 2-pt dunk from 1 ft (assist by G. Harris),7,15
44,1,5:19.0,D. Favors misses 2-pt layup from 1 ft,,7,15
45,1,5:17.0,Offensive rebound by D. Favors,,7,15
46,1,5:17.0,D. Favors makes 2-pt layup from 2 ft,,9,15
47,1,5:09.0,,Shooting block foul by R. Hood (drawn by D. Gallinari),9,15
48,1,5:09.0,,Denver full timeout,9,15
49,1,5:09.0,C. Johnson enters the game for R. Hood,,9,15
50,1,5:09.0,,D. Gallinari misses free throw 1 of 2,9,15
51,1,5:09.0,,Offensive rebound by Team,9,15
52,1,5:09.0,,D. Gallinari makes free throw 2 of 2,9,16
53,1,4:48.0,D. Favors misses 2-pt jump shot from 16 ft,,9,16
54,1,4:47.0,,Defensive rebound by E. Mudiay,9,16
55,1,4:33.0,,J. Hickson misses 2-pt jump shot from 5 ft,9,16
56,1,4:32.0,Defensive rebound by A. Burks,,9,16
57,1,4:12.0,A. Burks misses 2-pt jump shot from 8 ft,,9,16
58,1,4:11.0,,Defensive rebound by E. Mudiay,9,16
59,1,3:55.0,,J. Hickson misses 2-pt jump shot from 15 ft,9,16
60,1,3:52.0,,Offensive rebound by K. Faried,9,16
61,1,3:52.0,,K. Faried misses 2-pt layup from 1 ft,9,16
62,1,3:50.0,,Offensive rebound by K. Faried,9,16
63,1,3:46.0,,K. Faried makes 2-pt layup from 1 ft,9,18
64,1,3:30.0,Turnover by R. Gobert (bad pass),,9,18
65,1,3:30.0,,D. Arthur enters the game for K. Faried,9,18
66,1,3:30.0,T. Booker enters the game for D. Favors,,9,18
67,1,3:30.0,T. Burke enters the game for R. Neto,,9,18
68,1,3:20.0,,Personal foul by T. Burke (drawn by E. Mudiay),9,18
69,1,3:20.0,,E. Mudiay makes free throw 1 of 2,9,19
70,1,3:20.0,,R. Foye enters the game for G. Harris,9,19
71,1,3:20.0,,N. Jokić enters the game for J. Hickson,9,19
