,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,CLEVELAND_ACTION,MILWAUKEE_SCORE,CLEVELAND_SCORE
0,1,11:46.0,,K. Irving makes 2-pt jump shot from 16 ft (assist by L. James),0,2
1,1,11:25.0,K. Middleton misses 2-pt jump shot from 18 ft,,0,2
2,1,11:25.0,,Defensive rebound by K. Love,0,2
3,1,11:19.0,,L. James makes 2-pt dunk at rim (assist by K. Love),0,4
4,1,11:05.0,J. Parker makes 2-pt jump shot from 19 ft (assist by G. Antetokounmpo),,2,4
5,1,10:50.0,,K. Irving makes 2-pt layup at rim,2,6
6,1,10:38.0,G. Antetokounmpo misses 2-pt jump shot from 21 ft,,2,6
7,1,10:37.0,,Defensive rebound by K. Irving,2,6
8,1,10:24.0,,J. Smith misses 3-pt jump shot from 23 ft,2,6
9,1,10:24.0,Defensive rebound by G. Antetokounmpo,,2,6
10,1,10:15.0,J. Bayless makes 3-pt jump shot from 22 ft (assist by G. Antetokounmpo),,5,6
11,1,9:56.0,,T. Mozgov makes 2-pt layup at rim (assist by J. Smith),5,8
12,1,9:39.0,J. Bayless misses 2-pt layup from 1 ft,,5,8
13,1,9:39.0,,Defensive rebound by K. Irving,5,8
14,1,9:32.0,,K. Love misses 3-pt jump shot from 26 ft,5,8
15,1,9:32.0,,Offensive rebound by L. James,5,8
16,1,9:32.0,,L. James misses 2-pt layup at rim,5,8
17,1,9:30.0,,Offensive rebound by L. James,5,8
18,1,9:30.0,,L. James makes 2-pt layup from 1 ft,5,10
19,1,9:13.0,G. Monroe misses 2-pt hook shot from 7 ft,,5,10
20,1,9:12.0,,Defensive rebound by K. Love,5,10
21,1,9:05.0,,Shooting foul by J. Parker (drawn by K. Love),5,10
22,1,9:05.0,,K. Love misses free throw 1 of 2,5,10
23,1,9:05.0,,Offensive rebound by Team,5,10
24,1,9:05.0,,K. Love makes free throw 2 of 2,5,11
25,1,8:46.0,G. Monroe makes 2-pt layup from 1 ft (assist by K. Middleton),,7,11
26,1,8:27.0,,T. Mozgov makes 2-pt jump shot from 6 ft (assist by K. Irving),7,13
27,1,8:17.0,K. Middleton makes 2-pt jump shot from 16 ft,,9,13
