,QUARTER,TIME_REMAINING,MIAMI_ACTION,WASHINGTON_ACTION,MIAMI_SCORE,WASHINGTON_SCORE
0,1,11:38.0,,O. Porter makes 2-pt jump shot from 21 ft,0,2
1,1,11:13.0,D. Wade makes 2-pt layup at rim,,2,2
2,1,11:09.0,,Shooting foul by G. Dragić (drawn by G. Temple),2,2
3,1,11:09.0,,G. Temple makes free throw 1 of 2,2,3
4,1,11:09.0,,G. Temple misses free throw 2 of 2,2,3
5,1,11:07.0,Defensive rebound by H. Whiteside,,2,3
6,1,10:49.0,G. Dragić misses 2-pt jump shot from 17 ft,,2,3
7,1,10:48.0,,Defensive rebound by J. Dudley,2,3
8,1,10:41.0,,O. Porter misses 3-pt jump shot from 24 ft,2,3
9,1,10:40.0,Defensive rebound by H. Whiteside,,2,3
10,1,10:29.0,Personal foul by J. Dudley (drawn by C. Bosh),,2,3
11,1,10:14.0,G. Dragić misses 2-pt jump shot from 14 ft,,2,3
12,1,10:13.0,,Defensive rebound by J. Dudley,2,3
13,1,10:04.0,,J. Wall misses 2-pt jump shot from 13 ft,2,3
14,1,10:03.0,,Offensive rebound by M. Gortat,2,3
15,1,10:00.0,,M. Gortat misses 2-pt layup from 1 ft,2,3
16,1,9:59.0,Defensive rebound by L. Deng,,2,3
17,1,9:52.0,C. Bosh makes 2-pt jump shot from 17 ft (assist by G. Dragić),,4,3
18,1,9:38.0,,G. Temple misses 2-pt jump shot from 17 ft,4,3
19,1,9:37.0,,Offensive rebound by M. Gortat,4,3
20,1,9:29.0,,M. Gortat misses 2-pt jump shot from 11 ft (block by H. Whiteside),4,3
21,1,9:28.0,Defensive rebound by H. Whiteside,,4,3
22,1,9:22.0,G. Dragić misses 2-pt layup from 2 ft,,4,3
23,1,9:21.0,Offensive rebound by L. Deng,,4,3
24,1,9:14.0,H. Whiteside misses 2-pt jump shot from 14 ft,,4,3
25,1,9:13.0,,Defensive rebound by M. Gortat,4,3
26,1,9:04.0,,Turnover by O. Porter (lost ball; steal by C. Bosh),4,3
27,1,9:04.0,Clear path foul by J. Wall,,4,3
28,1,9:04.0,C. Bosh makes clear path free throw 1 of 2,,5,3
29,1,9:04.0,C. Bosh makes clear path free throw 2 of 2,,6,3
30,1,8:45.0,L. Deng makes 2-pt layup from 2 ft (assist by C. Bosh),,8,3
31,1,8:30.0,,Turnover by G. Temple (bad pass; steal by G. Dragić),8,3
32,1,8:27.0,G. Dragić makes 2-pt layup from 1 ft,,10,3
33,1,8:09.0,,J. Wall makes 2-pt jump shot from 20 ft,10,5
34,1,7:48.0,D. Wade misses 2-pt jump shot from 20 ft,,10,5
35,1,7:47.0,,Defensive rebound by J. Wall,10,5
36,1,7:38.0,,J. Wall makes 3-pt jump shot from 25 ft (assist by G. Temple),10,8
37,1,7:20.0,H. Whiteside misses 2-pt layup from 1 ft,,10,8
38,1,7:19.0,,Defensive rebound by J. Dudley,10,8
39,1,7:11.0,,G. Temple misses 2-pt jump shot from 13 ft,10,8
40,1,7:10.0,Defensive rebound by L. Deng,,10,8
41,1,6:47.0,L. Deng makes 2-pt jump shot from 20 ft (assist by C. Bosh),,12,8
42,1,6:34.0,,O. Porter makes 2-pt jump shot from 19 ft (assist by J. Wall),12,10
43,1,6:12.0,H. Whiteside misses 2-pt jump shot from 15 ft,,12,10
44,1,6:11.0,,Defensive rebound by O. Porter,12,10
45,1,6:02.0,,Turnover by M. Gortat (bad pass; steal by H. Whiteside),12,10
46,1,5:55.0,G. Dragić makes 2-pt jump shot from 15 ft,,14,10
47,1,5:41.0,,M. Gortat misses 2-pt layup from 1 ft (block by H. Whiteside),14,10
48,1,5:39.0,,Offensive rebound by M. Gortat,14,10
49,1,5:32.0,,J. Dudley misses 2-pt jump shot from 14 ft,14,10
50,1,5:31.0,Defensive rebound by L. Deng,,14,10
51,1,5:07.0,C. Bosh makes 2-pt jump shot from 18 ft (assist by G. Dragić),,16,10
52,1,5:00.0,,Washington full timeout,16,10
53,1,5:00.0,G. Green enters the game for C. Bosh,,16,10
54,1,4:48.0,,G. Temple misses 2-pt jump shot from 19 ft,16,10
55,1,4:47.0,Defensive rebound by H. Whiteside,,16,10
56,1,4:29.0,H. Whiteside misses 2-pt jump shot from 5 ft,,16,10
57,1,4:28.0,,Defensive rebound by M. Gortat,16,10
58,1,4:07.0,,J. Wall misses 3-pt jump shot from 25 ft,16,10
59,1,4:06.0,,Offensive rebound by M. Gortat,16,10
60,1,4:03.0,,M. Gortat makes 2-pt layup at rim,16,12
61,1,3:58.0,Miami full timeout,,16,12
62,1,3:58.0,,K. Oubre enters the game for J. Dudley,16,12
63,1,3:58.0,T. Johnson enters the game for D. Wade,,16,12
64,1,3:51.0,Turnover by T. Johnson (lost ball; steal by K. Oubre),,16,12
65,1,3:46.0,,J. Wall makes 2-pt layup at rim,16,14
66,1,3:23.0,L. Deng misses 2-pt jump shot from 20 ft,,16,14
