,QUARTER,TIME_REMAINING,PORTLAND_ACTION,GOLDEN STATE_ACTION,PORTLAND_SCORE,GOLDEN STATE_SCORE
0,1,11:35.0,N. Vonleh misses 2-pt jump shot from 16 ft,,0,0
1,1,11:35.0,,Defensive rebound by S. Curry,0,0
2,1,11:27.0,,D. Green misses 3-pt jump shot from 25 ft,0,0
3,1,11:27.0,Defensive rebound by N. Vonleh,,0,0
4,1,11:18.0,D. Lillard misses 3-pt jump shot from 25 ft,,0,0
5,1,11:17.0,,Defensive rebound by H. Barnes,0,0
6,1,11:00.0,,K. Thompson makes 3-pt jump shot from 26 ft (assist by H. Barnes),0,3
7,1,10:34.0,A. Aminu misses 3-pt jump shot from 24 ft,,0,3
8,1,10:34.0,Offensive rebound by Team,,0,3
9,1,10:34.0,Turnover by Team (shot clock),,0,3
10,1,10:24.0,,K. Thompson makes 3-pt jump shot from 25 ft (assist by S. Curry),0,6
11,1,10:07.0,C. McCollum misses 2-pt jump shot from 15 ft,,0,6
12,1,10:06.0,,Defensive rebound by A. Bogut,0,6
13,1,9:57.0,,K. Thompson misses 3-pt jump shot from 26 ft,0,6
14,1,9:56.0,Defensive rebound by A. Aminu,,0,6
15,1,9:42.0,A. Aminu misses 2-pt jump shot from 10 ft,,0,6
16,1,9:41.0,,Defensive rebound by A. Bogut,0,6
17,1,9:27.0,,S. Curry misses 2-pt layup at rim,0,6
18,1,9:26.0,Defensive rebound by M. Plumlee,,0,6
19,1,9:12.0,C. McCollum makes 2-pt jump shot from 15 ft (assist by M. Plumlee),,2,6
20,1,8:59.0,,A. Bogut makes 2-pt layup from 1 ft (assist by D. Green),2,8
21,1,8:42.0,C. McCollum misses 3-pt jump shot from 25 ft,,2,8
22,1,8:41.0,,Defensive rebound by A. Bogut,2,8
23,1,8:32.0,,D. Green makes 2-pt jump shot from 4 ft,2,10
24,1,8:18.0,Turnover by D. Lillard (bad pass; steal by A. Bogut),,2,10
25,1,8:11.0,,S. Curry misses 2-pt layup at rim (block by D. Lillard),2,10
26,1,8:10.0,,Offensive rebound by K. Thompson,2,10
27,1,8:10.0,,K. Thompson misses 2-pt layup from 1 ft,2,10
28,1,8:05.0,Defensive rebound by N. Vonleh,,2,10
29,1,7:59.0,A. Aminu makes 3-pt jump shot from 24 ft,,5,10
30,1,7:54.0,,K. Thompson misses 2-pt layup from 2 ft,5,10
31,1,7:53.0,Defensive rebound by M. Plumlee,,5,10
32,1,7:43.0,N. Vonleh misses 3-pt jump shot from 25 ft,,5,10
33,1,7:42.0,Offensive rebound by M. Plumlee,,5,10
34,1,7:33.0,D. Lillard makes 3-pt jump shot from 27 ft,,8,10
35,1,7:15.0,,S. Curry misses 3-pt jump shot from 26 ft,8,10
36,1,7:14.0,Defensive rebound by M. Plumlee,,8,10
37,1,7:05.0,N. Vonleh misses 3-pt jump shot from 24 ft,,8,10
38,1,7:04.0,,Defensive rebound by H. Barnes,8,10
39,1,6:57.0,,Personal foul by N. Vonleh,8,10
40,1,6:50.0,,A. Bogut misses 2-pt hook shot from 5 ft,8,10
41,1,6:49.0,Defensive rebound by N. Vonleh,,8,10
42,1,6:39.0,D. Lillard misses 2-pt jump shot from 18 ft,,8,10
43,1,6:38.0,,Defensive rebound by D. Green,8,10
44,1,6:30.0,,K. Thompson makes 3-pt jump shot from 24 ft (assist by A. Bogut),8,13
45,1,6:08.0,Personal foul by A. Bogut,,8,13
46,1,6:08.0,M. Plumlee misses free throw 1 of 2,,8,13
47,1,6:08.0,Offensive rebound by Team,,8,13
48,1,6:08.0,M. Plumlee makes free throw 2 of 2,,9,13
49,1,5:57.0,,K. Thompson makes 3-pt jump shot from 25 ft (assist by S. Curry),9,16
50,1,5:55.0,Portland full timeout,,9,16
51,1,5:55.0,G. Henderson enters the game for N. Vonleh,,9,16
52,1,5:55.0,E. Davis enters the game for C. McCollum,,9,16
53,1,5:55.0,A. Crabbe enters the game for M. Plumlee,,9,16
54,1,5:39.0,D. Lillard misses 2-pt jump shot from 4 ft,,9,16
55,1,5:38.0,,Defensive rebound by D. Green,9,16
56,1,5:27.0,,H. Barnes makes 2-pt jump shot from 18 ft (assist by S. Curry),9,18
57,1,5:11.0,Personal foul by K. Thompson,,9,18
58,1,5:11.0,,A. Iguodala enters the game for H. Barnes,9,18
59,1,5:07.0,G. Henderson makes 2-pt jump shot from 16 ft,,11,18
60,1,4:55.0,,S. Curry makes 3-pt jump shot from 26 ft (assist by D. Green),11,21
61,1,4:39.0,Shooting foul by A. Bogut (drawn by E. Davis),,11,21
62,1,4:39.0,E. Davis makes free throw 1 of 2,,12,21
63,1,4:39.0,,M. Speights enters the game for A. Bogut,12,21
64,1,4:39.0,E. Davis makes free throw 2 of 2,,13,21
65,1,4:28.0,,S. Curry makes 3-pt jump shot from 23 ft (assist by A. Iguodala),13,24
66,1,4:18.0,D. Lillard misses 2-pt jump shot from 14 ft,,13,24
67,1,4:17.0,,Defensive rebound by S. Curry,13,24
68,1,4:09.0,,S. Curry makes 3-pt jump shot from 25 ft,13,27
69,1,3:55.0,Personal foul by S. Curry,,13,27
70,1,3:55.0,,L. Barbosa enters the game for K. Thompson,13,27
71,1,3:49.0,Shooting foul by M. Speights (drawn by A. Crabbe),,13,27
72,1,3:49.0,A. Crabbe makes free throw 1 of 2,,14,27
73,1,3:49.0,M. Leonard enters the game for A. Aminu,,14,27
74,1,3:49.0,,Golden State full timeout,14,27
75,1,3:49.0,A. Crabbe makes free throw 2 of 2,,15,27
76,1,3:31.0,,D. Green makes 2-pt jump shot from 16 ft,15,29
77,1,3:14.0,G. Henderson makes 2-pt jump shot from 14 ft,,17,29
78,1,3:02.0,,S. Curry makes 3-pt jump shot from 25 ft,17,32
79,1,2:45.0,D. Lillard misses 2-pt jump shot from 3 ft,,17,32
80,1,2:45.0,,Defensive rebound by M. Speights,17,32
81,1,2:38.0,,S. Curry misses 3-pt jump shot from 25 ft,17,32
82,1,2:38.0,Defensive rebound by M. Leonard,,17,32
83,1,2:21.0,G. Henderson misses 2-pt jump shot from 3 ft,,17,32
84,1,2:21.0,,Defensive rebound by S. Curry,17,32
85,1,2:19.0,,Turnover by S. Curry (dbl dribble),17,32
86,1,2:16.0,G. Henderson makes 2-pt layup from 1 ft,,19,32
87,1,1:58.0,,S. Curry makes 2-pt layup from 2 ft,19,34
88,1,1:47.0,M. Leonard makes 3-pt jump shot from 24 ft (assist by A. Crabbe),,22,34
89,1,1:36.0,,S. Curry makes 2-pt jump shot from 21 ft,22,36
90,1,1:20.0,Shooting foul by D. Green (drawn by D. Lillard),,22,36
91,1,1:20.0,D. Lillard makes free throw 1 of 2,,23,36
92,1,1:20.0,D. Lillard makes free throw 2 of 2,,24,36
93,1,1:10.0,,S. Curry makes 2-pt layup from 2 ft,24,38
94,1,0:59.0,G. Henderson makes 3-pt jump shot from 26 ft (assist by M. Leonard),,27,38
95,1,0:46.0,,Shooting foul by E. Davis (drawn by D. Green),27,38
96,1,0:46.0,,D. Green makes free throw 1 of 2,27,39
97,1,0:46.0,,D. Green makes free throw 2 of 2,27,40
98,1,0:31.0,D. Lillard misses 2-pt layup from 2 ft,,27,40
99,1,0:31.0,,Defensive rebound by D. Green,27,40
100,1,0:31.0,Personal foul by A. Iguodala,,27,40
101,1,0:31.0,,Personal foul by M. Leonard,27,40
102,1,0:12.0,,S. Curry misses 3-pt jump shot from 26 ft,27,40
103,1,0:10.0,,Offensive rebound by D. Green,27,40
