,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,OKLAHOMA CITY_ACTION,CHARLOTTE_SCORE,OKLAHOMA CITY_SCORE
0,1,11:44.0,,K. Durant misses 2-pt jump shot from 13 ft,0,0
1,1,11:43.0,,Offensive rebound by S. Adams,0,0
2,1,11:43.0,,Personal foul by K. Walker (drawn by S. Adams),0,0
3,1,11:36.0,,Shooting foul by N. Batum (drawn by S. Adams),0,0
4,1,11:36.0,,S. Adams makes free throw 1 of 2,0,1
5,1,11:36.0,,S. Adams misses free throw 2 of 2,0,1
6,1,11:34.0,,Offensive rebound by S. Ibaka,0,1
7,1,11:26.0,,Turnover by R. Westbrook (bad pass; steal by C. Zeller),0,1
8,1,11:13.0,C. Zeller misses 2-pt layup at rim,,0,1
9,1,11:12.0,Offensive rebound by C. Zeller,,0,1
10,1,11:12.0,C. Zeller misses 2-pt layup at rim,,0,1
11,1,11:11.0,,Defensive rebound by A. Roberson,0,1
12,1,11:04.0,,Turnover by K. Durant (bad pass; steal by K. Walker),0,1
13,1,11:00.0,K. Walker makes 2-pt layup at rim,,2,1
14,1,10:45.0,,K. Durant makes 2-pt jump shot from 16 ft (assist by R. Westbrook),2,3
15,1,10:30.0,Turnover by M. Williams (lost ball; steal by A. Roberson),,2,3
16,1,10:19.0,,R. Westbrook misses 2-pt jump shot from 13 ft,2,3
17,1,10:19.0,Defensive rebound by N. Batum,,2,3
18,1,10:07.0,K. Walker misses 2-pt jump shot from 18 ft,,2,3
19,1,10:07.0,,Defensive rebound by S. Adams,2,3
20,1,9:56.0,,S. Adams makes 2-pt dunk at rim (assist by R. Westbrook),2,5
21,1,9:48.0,Charlotte full timeout,,2,5
22,1,9:33.0,M. Williams misses 2-pt jump shot from 16 ft,,2,5
23,1,9:32.0,,Defensive rebound by S. Adams,2,5
24,1,9:24.0,,K. Durant misses 2-pt jump shot from 10 ft,2,5
25,1,9:23.0,Defensive rebound by M. Williams,,2,5
26,1,9:08.0,Turnover by P. Hairston (bad pass; steal by R. Westbrook),,2,5
27,1,9:05.0,,Shooting foul by P. Hairston (drawn by R. Westbrook),2,5
28,1,9:05.0,,R. Westbrook misses free throw 1 of 2,2,5
29,1,9:05.0,,Offensive rebound by Team,2,5
30,1,9:05.0,,R. Westbrook makes free throw 2 of 2,2,6
31,1,8:52.0,K. Walker makes 3-pt jump shot from 24 ft (assist by N. Batum),,5,6
32,1,8:28.0,,Turnover by S. Ibaka (lost ball; steal by P. Hairston),5,6
33,1,8:19.0,M. Williams misses 3-pt jump shot from 24 ft,,5,6
34,1,8:19.0,,Defensive rebound by R. Westbrook,5,6
35,1,8:13.0,,K. Durant makes 3-pt jump shot from 25 ft,5,9
36,1,7:51.0,N. Batum misses 3-pt jump shot from 24 ft,,5,9
37,1,7:50.0,,Defensive rebound by S. Adams,5,9
38,1,7:35.0,,R. Westbrook misses 3-pt jump shot from 24 ft,5,9
39,1,7:35.0,,Offensive rebound by A. Roberson,5,9
40,1,7:33.0,,R. Westbrook makes 2-pt layup at rim (assist by A. Roberson),5,11
41,1,7:33.0,,Shooting foul by C. Zeller (drawn by R. Westbrook),5,11
42,1,7:33.0,,R. Westbrook makes free throw 1 of 1,5,12
43,1,7:12.0,P. Hairston misses 2-pt jump shot from 6 ft,,5,12
44,1,7:12.0,,Defensive rebound by S. Ibaka,5,12
45,1,7:05.0,,K. Durant misses 3-pt jump shot from 24 ft,5,12
46,1,7:03.0,,Offensive rebound by Team,5,12
47,1,7:02.0,,A. Roberson makes 2-pt dunk at rim (assist by R. Westbrook),5,14
48,1,6:54.0,Charlotte full timeout,,5,14
49,1,6:43.0,K. Walker makes 3-pt jump shot from 24 ft (assist by N. Batum),,8,14
50,1,6:30.0,,S. Ibaka misses 2-pt jump shot from 20 ft,8,14
51,1,6:30.0,,Offensive rebound by Team,8,14
52,1,6:30.0,Loose ball foul by C. Zeller (drawn by S. Adams),,8,14
53,1,6:30.0,,S. Adams makes free throw 1 of 2,8,15
54,1,6:30.0,,S. Adams makes free throw 2 of 2,8,16
55,1,6:16.0,Shooting foul by R. Westbrook (drawn by C. Zeller),,8,16
56,1,6:16.0,C. Zeller misses free throw 1 of 2,,8,16
57,1,6:16.0,Offensive rebound by Team,,8,16
58,1,6:16.0,C. Zeller makes free throw 2 of 2,,9,16
59,1,6:08.0,,K. Durant makes 2-pt layup from 1 ft (assist by R. Westbrook),9,18
60,1,5:55.0,Turnover by N. Batum (bad pass; steal by R. Westbrook),,9,18
61,1,5:50.0,,K. Durant makes 2-pt layup from 1 ft (assist by R. Westbrook),9,20
62,1,5:35.0,M. Williams makes 2-pt layup from 2 ft,,11,20
63,1,5:28.0,,S. Ibaka misses 3-pt jump shot from 24 ft,11,20
64,1,5:27.0,,Offensive rebound by S. Adams,11,20
65,1,5:15.0,,Turnover by R. Westbrook (bad pass; steal by P. Hairston),11,20
66,1,5:10.0,P. Hairston makes 2-pt layup from 1 ft,,13,20
67,1,4:53.0,,R. Westbrook makes 2-pt jump shot from 16 ft (assist by K. Durant),13,22
68,1,4:43.0,Turnover by K. Walker (lost ball; steal by R. Westbrook),,13,22
69,1,4:24.0,,K. Durant makes 2-pt dunk at rim,13,24
70,1,3:51.0,K. Walker misses 3-pt jump shot from 24 ft,,13,24
71,1,3:50.0,Offensive rebound by Team,,13,24
72,1,3:50.0,S. Hawes enters the game for C. Zeller,,13,24
73,1,3:50.0,J. Lin enters the game for P. Hairston,,13,24
74,1,3:45.0,S. Hawes makes 2-pt jump shot from 9 ft (assist by K. Walker),,15,24
75,1,3:21.0,,K. Durant misses 2-pt jump shot from 18 ft,15,24
76,1,3:21.0,Defensive rebound by K. Walker,,15,24
77,1,3:04.0,M. Williams misses 3-pt jump shot from 26 ft,,15,24
78,1,3:04.0,,Defensive rebound by S. Adams,15,24
79,1,2:59.0,,S. Ibaka makes 2-pt layup from 1 ft (assist by R. Westbrook),15,26
80,1,2:35.0,J. Lin misses 2-pt jump shot from 20 ft,,15,26
81,1,2:34.0,Offensive rebound by Team,,15,26
82,1,2:34.0,,Oklahoma City full timeout,15,26
83,1,2:34.0,,C. Payne enters the game for S. Ibaka,15,26
84,1,2:34.0,,E. Freedom enters the game for S. Adams,15,26
85,1,2:34.0,,K. Singler enters the game for A. Roberson,15,26
86,1,2:34.0,,D. Waiters enters the game for R. Westbrook,15,26
87,1,2:34.0,F. Kaminsky enters the game for M. Williams,,15,26
88,1,2:34.0,P. Hairston enters the game for N. Batum,,15,26
89,1,2:26.0,J. Lin makes 2-pt jump shot from 4 ft,,17,26
90,1,2:06.0,,K. Durant misses 2-pt jump shot from 14 ft,17,26
91,1,2:05.0,Defensive rebound by F. Kaminsky,,17,26
92,1,1:52.0,K. Walker makes 2-pt layup from 2 ft,,19,26
93,1,1:30.0,,Turnover by E. Freedom (3 sec),19,26
94,1,1:21.0,J. Lin misses 3-pt jump shot from 23 ft,,19,26
95,1,1:20.0,,Defensive rebound by K. Durant,19,26
96,1,1:09.0,,Shooting foul by P. Hairston (drawn by K. Durant),19,26
97,1,1:09.0,,K. Durant makes free throw 1 of 3,19,27
98,1,1:09.0,,K. Durant makes free throw 2 of 3,19,28
99,1,1:09.0,,K. Durant makes free throw 3 of 3,19,29
100,1,0:54.0,P. Hairston makes 3-pt jump shot from 25 ft (assist by F. Kaminsky),,22,29
101,1,0:42.0,,Shooting foul by P. Hairston (drawn by K. Durant),22,29
102,1,0:42.0,,K. Durant makes free throw 1 of 2,22,30
103,1,0:42.0,T. Daniels enters the game for P. Hairston,,22,30
104,1,0:42.0,,K. Durant misses free throw 2 of 2,22,30
105,1,0:42.0,,Offensive rebound by E. Freedom,22,30
106,1,0:42.0,,E. Freedom misses 2-pt layup from 1 ft,22,30
107,1,0:39.0,,Offensive rebound by Team,22,30
108,1,0:36.0,,E. Freedom misses 2-pt layup from 2 ft,22,30
109,1,0:35.0,Defensive rebound by K. Walker,,22,30
110,1,0:16.0,S. Hawes misses 2-pt jump shot from 15 ft,,22,30
111,1,0:16.0,,Defensive rebound by K. Durant,22,30
112,1,0:03.0,,D. Waiters misses 3-pt jump shot from 24 ft,22,30
113,1,0:01.0,Defensive rebound by T. Daniels,,22,30
114,2,11:47.0,T. Daniels misses 3-pt jump shot from 25 ft,,22,30
115,2,11:47.0,,Defensive rebound by D. Waiters,22,30
116,2,11:38.0,,D. Waiters misses 2-pt layup at rim,22,30
117,2,11:38.0,Defensive rebound by S. Hawes,,22,30
118,2,11:23.0,S. Hawes misses 3-pt jump shot from 23 ft,,22,30
119,2,11:23.0,,Defensive rebound by K. Singler,22,30
120,2,11:01.0,,E. Freedom misses 2-pt hook shot from 4 ft,22,30
121,2,11:00.0,,Offensive rebound by E. Freedom,22,30
122,2,10:59.0,,Shooting foul by F. Kaminsky (drawn by E. Freedom),22,30
123,2,10:59.0,,E. Freedom makes free throw 1 of 2,22,31
124,2,10:59.0,,E. Freedom makes free throw 2 of 2,22,32
125,2,10:36.0,Personal foul by K. Singler (drawn by J. Lin),,22,32
126,2,10:29.0,J. Lin misses 2-pt layup from 1 ft,,22,32
127,2,10:28.0,,Defensive rebound by C. Payne,22,32
128,2,10:18.0,,E. Freedom misses 2-pt layup from 1 ft,22,32
129,2,10:17.0,,Offensive rebound by E. Freedom,22,32
130,2,10:17.0,,E. Freedom makes 2-pt layup from 1 ft,22,34
131,2,9:57.0,Turnover by J. Lin (bad pass; steal by E. Freedom),,22,34
132,2,9:50.0,,Shooting foul by T. Daniels (drawn by E. Freedom),22,34
133,2,9:50.0,,E. Freedom makes free throw 1 of 2,22,35
134,2,9:50.0,,E. Freedom misses free throw 2 of 2,22,35
135,2,9:50.0,Defensive rebound by N. Batum,,22,35
136,2,9:34.0,N. Batum misses 3-pt jump shot from 24 ft,,22,35
137,2,9:33.0,,Defensive rebound by S. Ibaka,22,35
138,2,9:23.0,,D. Waiters misses 2-pt jump shot from 18 ft,22,35
139,2,9:22.0,Defensive rebound by F. Kaminsky,,22,35
140,2,9:11.0,F. Kaminsky makes 2-pt jump shot from 16 ft (assist by S. Hawes),,24,35
141,2,8:56.0,,C. Payne misses 2-pt jump shot from 15 ft,24,35
142,2,8:55.0,Defensive rebound by N. Batum,,24,35
143,2,8:40.0,F. Kaminsky makes 2-pt layup from 1 ft,,26,35
144,2,8:18.0,,Personal foul by J. Lin (drawn by E. Freedom),26,35
145,2,8:18.0,Official timeout,,26,35
146,2,8:18.0,,R. Westbrook enters the game for D. Waiters,26,35
147,2,8:18.0,,A. Roberson enters the game for K. Singler,26,35
148,2,8:11.0,,C. Payne misses 3-pt jump shot from 25 ft,26,35
149,2,8:10.0,Defensive rebound by N. Batum,,26,35
150,2,7:57.0,Turnover by J. Lin (bad pass; steal by R. Westbrook),,26,35
151,2,7:53.0,,A. Roberson makes 2-pt dunk at rim (assist by R. Westbrook),26,37
152,2,7:35.0,J. Lin makes 2-pt layup at rim (assist by S. Hawes),,28,37
153,2,7:22.0,,A. Roberson makes 3-pt jump shot from 23 ft (assist by R. Westbrook),28,40
154,2,7:14.0,Charlotte full timeout,,28,40
155,2,7:06.0,T. Daniels makes 3-pt jump shot from 24 ft (assist by F. Kaminsky),,31,40
156,2,6:51.0,,E. Freedom makes 3-pt jump shot from 23 ft (assist by R. Westbrook),31,43
157,2,6:30.0,F. Kaminsky misses 2-pt jump shot from 8 ft,,31,43
158,2,6:29.0,Offensive rebound by S. Hawes,,31,43
159,2,6:29.0,S. Hawes makes 2-pt layup from 1 ft,,33,43
160,2,6:11.0,,C. Payne misses 2-pt jump shot from 5 ft,33,43
161,2,6:11.0,Defensive rebound by N. Batum,,33,43
162,2,6:07.0,,Violation by S. Ibaka (def goaltending),33,43
163,2,6:07.0,J. Lin makes 2-pt layup from 1 ft,,35,43
164,2,6:07.0,K. Walker enters the game for J. Lin,,35,43
165,2,6:07.0,,K. Durant enters the game for C. Payne,35,43
166,2,5:58.0,,R. Westbrook misses 2-pt jump shot from 12 ft,35,43
167,2,5:57.0,,Offensive rebound by E. Freedom,35,43
168,2,5:57.0,,E. Freedom makes 2-pt layup at rim,35,45
169,2,5:31.0,T. Daniels misses 2-pt jump shot from 6 ft (block by E. Freedom),,35,45
170,2,5:30.0,,Defensive rebound by A. Roberson,35,45
171,2,5:16.0,,S. Ibaka misses 3-pt jump shot from 26 ft,35,45
172,2,5:16.0,,Offensive rebound by R. Westbrook,35,45
173,2,5:05.0,,K. Durant misses 3-pt jump shot from 24 ft,35,45
174,2,5:04.0,Defensive rebound by S. Hawes,,35,45
175,2,4:56.0,F. Kaminsky makes 3-pt jump shot from 25 ft (assist by K. Walker),,38,45
176,2,4:48.0,,Oklahoma City full timeout,38,45
177,2,4:48.0,,S. Adams enters the game for E. Freedom,38,45
178,2,4:48.0,M. Williams enters the game for T. Daniels,,38,45
179,2,4:36.0,,R. Westbrook misses 2-pt jump shot from 15 ft,38,45
180,2,4:36.0,Defensive rebound by Team,,38,45
181,2,4:23.0,N. Batum misses 2-pt jump shot from 16 ft,,38,45
182,2,4:23.0,,Defensive rebound by R. Westbrook,38,45
183,2,4:18.0,,K. Durant misses 3-pt jump shot from 24 ft,38,45
184,2,4:17.0,Defensive rebound by N. Batum,,38,45
185,2,4:06.0,K. Walker misses 2-pt layup from 2 ft,,38,45
186,2,4:06.0,,Defensive rebound by S. Adams,38,45
187,2,4:02.0,,S. Ibaka makes 2-pt dunk at rim (assist by R. Westbrook),38,47
188,2,3:45.0,N. Batum misses 3-pt jump shot from 24 ft,,38,47
189,2,3:45.0,,Defensive rebound by R. Westbrook,38,47
190,2,3:36.0,,K. Durant misses 2-pt jump shot from 15 ft,38,47
191,2,3:35.0,Defensive rebound by S. Hawes,,38,47
192,2,3:21.0,K. Walker makes 2-pt layup from 1 ft,,40,47
193,2,2:57.0,,R. Westbrook misses 3-pt jump shot from 24 ft,40,47
194,2,2:57.0,Defensive rebound by Team,,40,47
195,2,2:56.0,,D. Waiters enters the game for A. Roberson,40,47
