,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,UTAH_ACTION,MINNESOTA_SCORE,UTAH_SCORE
0,1,11:40.0,R. Rubio misses 2-pt jump shot from 14 ft,,0,0
1,1,11:40.0,Offensive rebound by K. Towns,,0,0
2,1,11:33.0,K. Towns makes 2-pt jump shot from 17 ft,,2,0
3,1,11:18.0,,R. Gobert makes 2-pt dunk at rim (assist by R. Neto),2,2
4,1,11:05.0,K. Towns makes 2-pt jump shot from 22 ft (assist by G. Dieng),,4,2
5,1,10:43.0,,R. Neto misses 2-pt jump shot from 10 ft,4,2
6,1,10:43.0,Defensive rebound by R. Rubio,,4,2
7,1,10:38.0,Shooting foul by R. Hood (drawn by A. Wiggins),,4,2
8,1,10:38.0,A. Wiggins makes free throw 1 of 2,,5,2
9,1,10:38.0,A. Wiggins misses free throw 2 of 2,,5,2
10,1,10:38.0,,Defensive rebound by R. Gobert,5,2
11,1,10:22.0,,G. Hayward misses 3-pt jump shot from 24 ft,5,2
12,1,10:22.0,Defensive rebound by G. Dieng,,5,2
13,1,10:06.0,G. Dieng misses 2-pt jump shot from 2 ft (block by R. Gobert),,5,2
14,1,10:06.0,,Defensive rebound by R. Neto,5,2
15,1,9:52.0,,R. Gobert makes 2-pt layup from 2 ft,5,4
16,1,9:32.0,R. Rubio misses 2-pt jump shot from 19 ft,,5,4
17,1,9:32.0,,Defensive rebound by R. Gobert,5,4
18,1,9:18.0,,Turnover by R. Gobert (lost ball; steal by G. Dieng),5,4
19,1,9:13.0,G. Dieng makes 2-pt dunk at rim (assist by T. Prince),,7,4
20,1,8:51.0,,R. Hood makes 3-pt jump shot from 24 ft (assist by G. Hayward),7,7
21,1,8:23.0,K. Towns misses 3-pt jump shot from 25 ft,,7,7
22,1,8:22.0,Offensive rebound by Team,,7,7
23,1,8:22.0,Turnover by Team (shot clock),,7,7
24,1,7:59.0,,R. Neto makes 2-pt jump shot from 9 ft,7,9
25,1,7:43.0,K. Towns makes 2-pt jump shot from 16 ft (assist by R. Rubio),,9,9
26,1,7:30.0,,Turnover by R. Hood (bad pass; steal by G. Dieng),9,9
27,1,7:26.0,G. Dieng makes 2-pt dunk at rim,,11,9
28,1,7:26.0,,Utah full timeout,11,9
29,1,7:10.0,,D. Favors misses 2-pt hook shot from 4 ft,11,9
30,1,7:09.0,Defensive rebound by G. Dieng,,11,9
31,1,6:53.0,Shooting foul by G. Hayward (drawn by G. Dieng),,11,9
32,1,6:53.0,G. Dieng makes free throw 1 of 2,,12,9
33,1,6:53.0,G. Dieng misses free throw 2 of 2,,12,9
34,1,6:53.0,,Defensive rebound by G. Hayward,12,9
35,1,6:28.0,,Turnover by Team (shot clock),12,9
36,1,6:14.0,K. Towns makes 2-pt layup from 3 ft,,14,9
37,1,6:09.0,,Shooting foul by R. Rubio (drawn by R. Neto),14,9
38,1,6:09.0,,R. Neto makes free throw 1 of 2,14,10
39,1,6:09.0,,R. Neto makes free throw 2 of 2,14,11
40,1,5:48.0,R. Rubio misses 2-pt layup from 2 ft (block by R. Gobert),,14,11
41,1,5:47.0,,Defensive rebound by D. Favors,14,11
42,1,5:42.0,,D. Favors makes 2-pt dunk at rim (assist by R. Neto),14,13
43,1,5:25.0,T. Prince misses 2-pt jump shot from 21 ft,,14,13
44,1,5:23.0,Offensive rebound by G. Dieng,,14,13
45,1,5:11.0,T. Prince misses 3-pt jump shot from 23 ft,,14,13
46,1,5:10.0,Offensive rebound by G. Dieng,,14,13
47,1,5:05.0,A. Wiggins misses 2-pt jump shot from 15 ft,,14,13
48,1,5:04.0,,Defensive rebound by Team,14,13
49,1,5:04.0,S. Muhammad enters the game for T. Prince,,14,13
50,1,4:49.0,,D. Favors misses 2-pt hook shot from 3 ft,14,13
51,1,4:49.0,,Offensive rebound by R. Gobert,14,13
52,1,4:46.0,,D. Favors makes 2-pt jump shot from 12 ft (assist by R. Gobert),14,15
53,1,4:31.0,A. Wiggins misses 2-pt layup from 2 ft,,14,15
54,1,4:30.0,Offensive rebound by K. Towns,,14,15
55,1,4:30.0,K. Towns makes 2-pt layup from 2 ft,,16,15
56,1,4:03.0,,G. Hayward makes 2-pt layup from 1 ft (assist by R. Neto),16,17
57,1,3:50.0,S. Muhammad makes 3-pt jump shot from 23 ft (assist by R. Rubio),,19,17
58,1,3:42.0,,R. Hood makes 2-pt layup from 1 ft (assist by R. Neto),19,19
59,1,3:30.0,Minnesota full timeout,,19,19
60,1,3:30.0,Z. LaVine enters the game for R. Rubio,,19,19
61,1,3:30.0,,C. Johnson enters the game for R. Hood,19,19
62,1,3:30.0,,T. Booker enters the game for D. Favors,19,19
63,1,3:26.0,S. Muhammad makes 2-pt layup from 3 ft (assist by Z. LaVine),,21,19
64,1,3:08.0,,R. Gobert makes 2-pt layup at rim (assist by G. Hayward),21,21
65,1,2:46.0,Shooting foul by G. Hayward (drawn by G. Dieng),,21,21
66,1,2:46.0,G. Dieng misses free throw 1 of 2,,21,21
67,1,2:46.0,Offensive rebound by Team,,21,21
68,1,2:46.0,,T. Burke enters the game for R. Neto,21,21
69,1,2:46.0,,R. Hood enters the game for G. Hayward,21,21
70,1,2:46.0,G. Dieng makes free throw 2 of 2,,22,21
71,1,2:29.0,,T. Booker makes 2-pt jump shot from 18 ft (assist by C. Johnson),22,23
72,1,2:17.0,S. Muhammad misses 3-pt jump shot from 24 ft,,22,23
73,1,2:17.0,Offensive rebound by G. Dieng,,22,23
74,1,2:02.0,G. Dieng makes 2-pt dunk at rim,,24,23
75,1,1:37.0,,T. Burke misses 3-pt jump shot from 22 ft,24,23
76,1,1:36.0,,Offensive rebound by R. Gobert,24,23
77,1,1:34.0,,R. Gobert makes 2-pt layup at rim,24,25
78,1,1:21.0,G. Dieng makes 2-pt layup from 2 ft,,26,25
79,1,1:21.0,Shooting foul by R. Gobert (drawn by G. Dieng),,26,25
80,1,1:21.0,N. Bjelica enters the game for K. Towns,,26,25
81,1,1:21.0,,J. Withey enters the game for R. Gobert,26,25
82,1,1:21.0,G. Dieng makes free throw 1 of 1,,27,25
83,1,1:01.0,,T. Booker makes 2-pt layup from 2 ft (assist by J. Withey),27,27
84,1,0:47.0,Turnover by Z. LaVine (lost ball),,27,27
85,1,0:47.0,N. Peković enters the game for G. Dieng,,27,27
86,1,0:47.0,T. Prince enters the game for A. Wiggins,,27,27
87,1,0:26.0,,Turnover by C. Johnson (lost ball),27,27
88,1,0:05.0,Z. LaVine makes 2-pt jump shot from 15 ft,,29,27
89,1,0:02.0,,Personal foul by Z. LaVine (drawn by T. Burke),29,27
90,1,0:00.0,,J. Withey misses 3-pt jump shot from 24 ft,29,27
91,1,0:00.0,,Offensive rebound by Team,29,27
92,2,11:39.0,,R. Hood misses 2-pt jump shot from 9 ft,29,27
93,2,11:39.0,Defensive rebound by N. Bjelica,,29,27
94,2,11:22.0,Turnover by N. Peković (3 sec),,29,27
95,2,11:07.0,,Shooting foul by T. Prince (drawn by R. Hood),29,27
96,2,11:07.0,,R. Hood makes free throw 1 of 2,29,28
97,2,11:07.0,,R. Hood makes free throw 2 of 2,29,29
98,2,10:55.0,N. Peković misses 2-pt hook shot from 6 ft,,29,29
99,2,10:54.0,,Defensive rebound by T. Burke,29,29
100,2,10:31.0,,R. Hood makes 2-pt layup from 1 ft,29,31
101,2,10:19.0,S. Muhammad misses 2-pt jump shot from 5 ft,,29,31
102,2,10:19.0,Offensive rebound by S. Muhammad,,29,31
103,2,10:19.0,Shooting foul by J. Withey (drawn by S. Muhammad),,29,31
104,2,10:19.0,S. Muhammad makes free throw 1 of 2,,30,31
105,2,10:19.0,,J. Ingles enters the game for C. Johnson,30,31
106,2,10:19.0,,D. Favors enters the game for J. Withey,30,31
107,2,10:19.0,S. Muhammad makes free throw 2 of 2,,31,31
108,2,10:03.0,,D. Favors misses 2-pt jump shot from 19 ft,31,31
109,2,10:03.0,Defensive rebound by Z. LaVine,,31,31
110,2,9:51.0,Personal foul by D. Favors (drawn by N. Peković),,31,31
111,2,9:46.0,S. Muhammad makes 2-pt dunk at rim (assist by Z. LaVine),,33,31
112,2,9:30.0,,T. Burke misses 3-pt jump shot from 23 ft,33,31
113,2,9:30.0,Defensive rebound by S. Muhammad,,33,31
114,2,9:16.0,Turnover by S. Muhammad (bad pass; steal by T. Burke),,33,31
115,2,9:10.0,,T. Burke misses 2-pt layup from 2 ft (block by T. Prince),33,31
116,2,9:10.0,,Offensive rebound by T. Booker,33,31
117,2,9:04.0,,T. Burke makes 3-pt jump shot from 23 ft (assist by T. Booker),33,34
118,2,8:58.0,Minnesota full timeout,,33,34
