,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,MILWAUKEE_ACTION,LA LAKERS_SCORE,MILWAUKEE_SCORE
0,1,11:35.0,J. Clarkson misses 2-pt jump shot from 21 ft,,0,0
1,1,11:33.0,,Defensive rebound by G. Antetokounmpo,0,0
2,1,11:21.0,,J. Parker makes 2-pt jump shot from 16 ft (assist by O. Mayo),0,2
3,1,10:58.0,K. Bryant misses 3-pt jump shot from 28 ft,,0,2
4,1,10:56.0,,Defensive rebound by M. Plumlee,0,2
5,1,10:49.0,,M. Plumlee makes 2-pt dunk at rim (assist by K. Middleton),0,4
6,1,10:29.0,R. Hibbert misses 2-pt jump shot from 18 ft,,0,4
7,1,10:27.0,,Defensive rebound by J. Parker,0,4
8,1,10:19.0,,G. Antetokounmpo makes 2-pt layup at rim,0,6
9,1,10:05.0,R. Hibbert misses 2-pt jump shot from 3 ft,,0,6
10,1,10:04.0,,Defensive rebound by M. Plumlee,0,6
11,1,9:57.0,,J. Parker misses 2-pt jump shot from 7 ft,0,6
12,1,9:56.0,Defensive rebound by J. Randle,,0,6
13,1,9:46.0,Personal foul by O. Mayo,,0,6
14,1,9:35.0,K. Bryant makes 2-pt jump shot from 11 ft,,2,6
15,1,9:21.0,,G. Antetokounmpo misses 3-pt jump shot from 23 ft,2,6
16,1,9:20.0,Defensive rebound by J. Randle,,2,6
17,1,9:11.0,Turnover by J. Clarkson (lost ball),,2,6
18,1,8:59.0,,J. Parker misses 2-pt jump shot from 20 ft,2,6
19,1,8:58.0,,Offensive rebound by G. Antetokounmpo,2,6
20,1,8:55.0,,G. Antetokounmpo makes 2-pt layup at rim,2,8
21,1,8:42.0,K. Bryant misses 2-pt jump shot from 11 ft,,2,8
22,1,8:37.0,,Defensive rebound by O. Mayo,2,8
23,1,8:35.0,,Personal foul by K. Bryant,2,8
24,1,8:29.0,,J. Parker misses 2-pt jump shot from 10 ft,2,8
25,1,8:27.0,Defensive rebound by K. Bryant,,2,8
26,1,8:17.0,R. Hibbert makes 2-pt layup at rim (assist by D. Russell),,4,8
27,1,8:06.0,,K. Middleton misses 2-pt jump shot from 20 ft,4,8
28,1,8:04.0,Defensive rebound by K. Bryant,,4,8
29,1,7:59.0,J. Clarkson makes 2-pt layup at rim,,6,8
30,1,7:44.0,,G. Antetokounmpo misses 2-pt jump shot from 4 ft,6,8
31,1,7:43.0,,Offensive rebound by M. Plumlee,6,8
32,1,7:35.0,,K. Middleton makes 3-pt jump shot from 24 ft,6,11
33,1,7:14.0,D. Russell makes 3-pt jump shot from 24 ft (assist by J. Clarkson),,9,11
34,1,7:00.0,,O. Mayo misses 3-pt jump shot from 24 ft,9,11
35,1,6:58.0,Defensive rebound by K. Bryant,,9,11
36,1,6:41.0,Turnover by J. Clarkson (bad pass; steal by J. Parker),,9,11
37,1,6:35.0,,G. Antetokounmpo makes 2-pt layup at rim (assist by J. Parker),9,13
38,1,6:25.0,J. Randle misses 2-pt jump shot from 15 ft,,9,13
39,1,6:24.0,,Defensive rebound by J. Parker,9,13
40,1,6:14.0,,M. Plumlee makes 2-pt dunk at rim (assist by J. Parker),9,15
41,1,6:00.0,Shooting foul by J. Parker (drawn by K. Bryant),,9,15
42,1,6:00.0,K. Bryant makes free throw 1 of 2,,10,15
43,1,6:00.0,L. Williams enters the game for J. Clarkson,,10,15
44,1,6:00.0,K. Bryant makes free throw 2 of 2,,11,15
45,1,5:48.0,,Turnover by J. Parker (lost ball; steal by K. Bryant),11,15
46,1,5:31.0,K. Bryant misses 2-pt jump shot from 20 ft,,11,15
47,1,5:30.0,,Defensive rebound by G. Antetokounmpo,11,15
48,1,5:30.0,,Personal foul by K. Bryant,11,15
49,1,5:30.0,,Milwaukee full timeout,11,15
50,1,5:30.0,,G. Monroe enters the game for M. Plumlee,11,15
51,1,5:30.0,,M. Carter-Williams enters the game for O. Mayo,11,15
52,1,5:16.0,,K. Middleton misses 3-pt jump shot from 23 ft,11,15
53,1,5:14.0,Defensive rebound by K. Bryant,,11,15
54,1,5:06.0,R. Hibbert misses 2-pt hook shot from 7 ft,,11,15
55,1,5:01.0,,Defensive rebound by G. Monroe,11,15
56,1,4:57.0,,G. Antetokounmpo makes 2-pt dunk at rim (assist by M. Carter-Williams),11,17
57,1,4:41.0,Turnover by L. Williams (kicked ball),,11,17
58,1,4:41.0,B. Bass enters the game for R. Hibbert,,11,17
59,1,4:25.0,,K. Middleton misses 3-pt jump shot from 25 ft,11,17
60,1,4:22.0,Defensive rebound by D. Russell,,11,17
61,1,4:15.0,L. Williams misses 2-pt layup from 2 ft,,11,17
62,1,4:15.0,,Defensive rebound by J. Parker,11,17
63,1,4:15.0,Loose ball foul by L. Williams,,11,17
