,QUARTER,TIME_REMAINING,INDIANA_ACTION,TORONTO_ACTION,INDIANA_SCORE,TORONTO_SCORE
0,1,11:44.0,Def 3 sec tech foul by J. Valančiūnas,,0,0
1,1,11:44.0,P. George makes technical free throw,,1,0
2,1,11:34.0,P. George makes 2-pt jump shot from 17 ft (assist by G. Hill),,3,0
3,1,11:16.0,,J. Valančiūnas makes 2-pt jump shot from 14 ft,3,2
4,1,10:59.0,Offensive foul by L. Allen (drawn by C. Joseph),,3,2
5,1,10:59.0,Turnover by L. Allen (offensive foul),,3,2
6,1,10:45.0,,J. Johnson misses 3-pt jump shot from 24 ft,3,2
7,1,10:44.0,,Offensive rebound by J. Thompson,3,2
8,1,10:35.0,,N. Powell misses 2-pt layup from 2 ft (block by I. Mahinmi),3,2
9,1,10:34.0,Defensive rebound by L. Allen,,3,2
10,1,10:27.0,M. Ellis makes 2-pt layup at rim,,5,2
11,1,10:13.0,,Personal foul by I. Mahinmi,5,2
12,1,9:58.0,,N. Powell misses 3-pt jump shot from 24 ft,5,2
13,1,9:58.0,,Offensive rebound by J. Thompson,5,2
14,1,9:53.0,,J. Thompson misses 2-pt layup from 1 ft,5,2
15,1,9:52.0,Defensive rebound by I. Mahinmi,,5,2
16,1,9:40.0,G. Hill misses 2-pt jump shot from 15 ft,,5,2
17,1,9:39.0,,Defensive rebound by N. Powell,5,2
18,1,9:31.0,,J. Johnson makes 2-pt dunk at rim,5,4
19,1,9:17.0,P. George makes 2-pt jump shot from 12 ft,,7,4
20,1,9:09.0,,Personal foul by I. Mahinmi,7,4
21,1,9:09.0,M. Turner enters the game for I. Mahinmi,,7,4
22,1,8:53.0,,Turnover by J. Johnson (lost ball),7,4
23,1,8:39.0,M. Turner misses 2-pt jump shot from 19 ft,,7,4
24,1,8:38.0,,Defensive rebound by J. Johnson,7,4
25,1,8:23.0,,J. Valančiūnas makes 2-pt jump shot from 14 ft,7,6
26,1,8:11.0,P. George misses 3-pt jump shot from 24 ft,,7,6
27,1,8:09.0,,Defensive rebound by Team,7,6
28,1,7:46.0,,J. Thompson misses 2-pt jump shot from 11 ft,7,6
29,1,7:46.0,Defensive rebound by M. Ellis,,7,6
30,1,7:37.0,M. Ellis misses 2-pt layup from 2 ft,,7,6
31,1,7:37.0,,Defensive rebound by N. Powell,7,6
32,1,7:17.0,,Shooting foul by P. George (drawn by J. Johnson),7,6
33,1,7:17.0,,J. Johnson misses free throw 1 of 2,7,6
34,1,7:17.0,,Offensive rebound by Team,7,6
35,1,7:17.0,,J. Johnson makes free throw 2 of 2,7,7
36,1,7:00.0,Personal foul by J. Johnson,,7,7
37,1,6:50.0,P. George makes 3-pt jump shot from 23 ft (assist by M. Turner),,10,7
38,1,6:28.0,,C. Joseph makes 2-pt jump shot from 12 ft,10,9
39,1,6:15.0,L. Allen makes 2-pt jump shot from 21 ft (assist by G. Hill),,12,9
40,1,5:58.0,,Def 3 sec tech foul by M. Turner,12,9
41,1,5:58.0,,Toronto full timeout,12,9
42,1,5:58.0,,C. Joseph makes technical free throw,12,10
43,1,5:47.0,,J. Valančiūnas makes 2-pt layup from 1 ft (assist by J. Johnson),12,12
44,1,5:19.0,M. Ellis misses 3-pt jump shot from 24 ft,,12,12
45,1,5:18.0,,Defensive rebound by N. Powell,12,12
46,1,5:06.0,,Turnover by C. Joseph (bad pass; steal by P. George),12,12
47,1,4:51.0,P. George misses 2-pt jump shot from 21 ft,,12,12
48,1,4:51.0,,Defensive rebound by Team,12,12
49,1,4:34.0,,J. Valančiūnas misses 2-pt jump shot from 19 ft,12,12
50,1,4:34.0,,Offensive rebound by Team,12,12
51,1,4:34.0,Loose ball foul by M. Turner,,12,12
52,1,4:30.0,,Turnover by N. Powell (lost ball; steal by M. Ellis),12,12
53,1,4:19.0,M. Ellis misses 2-pt jump shot from 18 ft,,12,12
54,1,4:18.0,Offensive rebound by L. Allen,,12,12
55,1,4:14.0,Turnover by L. Allen (lost ball; steal by C. Joseph),,12,12
56,1,4:06.0,,Turnover by N. Powell (bad pass; steal by L. Allen),12,12
57,1,3:58.0,P. George misses 3-pt jump shot from 24 ft,,12,12
58,1,3:57.0,,Defensive rebound by J. Valančiūnas,12,12
59,1,3:41.0,,N. Powell misses 2-pt jump shot from 18 ft,12,12
60,1,3:40.0,Defensive rebound by P. George,,12,12
61,1,3:34.0,Personal foul by J. Thompson,,12,12
62,1,3:34.0,S. Hill enters the game for L. Allen,,12,12
63,1,3:34.0,R. Stuckey enters the game for G. Hill,,12,12
64,1,3:34.0,,P. Patterson enters the game for J. Thompson,12,12
65,1,3:34.0,,T. Ross enters the game for N. Powell,12,12
66,1,3:24.0,Turnover by R. Stuckey (bad pass),,12,12
67,1,3:02.0,,C. Joseph makes 2-pt layup from 2 ft,12,14
68,1,2:55.0,Indiana full timeout,,12,14
69,1,2:55.0,,D. Wright enters the game for J. Valančiūnas,12,14
70,1,2:55.0,,B. Biyombo enters the game for C. Joseph,12,14
71,1,2:55.0,T. Lawson enters the game for M. Ellis,,12,14
72,1,2:46.0,Turnover by S. Hill (bad pass),,12,14
73,1,2:34.0,,Turnover by T. Ross (lost ball; steal by R. Stuckey),12,14
74,1,2:24.0,S. Hill makes 3-pt jump shot from 22 ft (assist by T. Lawson),,15,14
75,1,2:00.0,,J. Johnson misses 2-pt jump shot from 9 ft (block by P. George),15,14
76,1,1:58.0,Defensive rebound by R. Stuckey,,15,14
77,1,1:55.0,Personal foul by T. Ross,,15,14
78,1,1:37.0,Turnover by Team (shot clock),,15,14
79,1,1:25.0,,T. Ross makes 2-pt jump shot from 15 ft,15,16
80,1,1:08.0,S. Hill misses 3-pt jump shot from 23 ft,,15,16
81,1,1:08.0,Offensive rebound by Team,,15,16
82,1,0:54.0,R. Stuckey misses 2-pt jump shot from 5 ft,,15,16
83,1,0:54.0,,Defensive rebound by B. Biyombo,15,16
84,1,0:49.0,,D. Wright makes 2-pt layup from 2 ft,15,18
85,1,0:24.0,P. George misses 3-pt jump shot from 23 ft,,15,18
86,1,0:24.0,,Defensive rebound by D. Wright,15,18
87,1,0:04.0,,D. Wright makes 2-pt hook shot from 6 ft,15,20
88,1,0:00.0,S. Hill misses 3-pt jump shot from 26 ft,,15,20
89,1,0:00.0,Offensive rebound by Team,,15,20
90,2,11:46.0,,T. Ross makes 2-pt dunk at rim (assist by N. Powell),15,22
91,2,11:26.0,R. Stuckey misses 2-pt jump shot from 19 ft,,15,22
92,2,11:25.0,,Defensive rebound by P. Patterson,15,22
93,2,11:12.0,,D. Wright misses 2-pt jump shot from 10 ft,15,22
94,2,11:10.0,Defensive rebound by M. Turner,,15,22
95,2,11:03.0,S. Hill misses 2-pt layup from 4 ft (block by P. Patterson),,15,22
96,2,11:01.0,,Defensive rebound by B. Biyombo,15,22
97,2,11:00.0,,Shooting foul by M. Turner (drawn by N. Powell),15,22
98,2,11:00.0,,N. Powell makes free throw 1 of 2,15,23
99,2,11:00.0,I. Mahinmi enters the game for M. Turner,,15,23
100,2,11:00.0,,N. Powell makes free throw 2 of 2,15,24
101,2,10:50.0,I. Mahinmi misses 2-pt layup from 2 ft,,15,24
102,2,10:49.0,,Defensive rebound by B. Biyombo,15,24
103,2,10:42.0,,T. Ross makes 3-pt jump shot from 24 ft (assist by N. Powell),15,27
104,2,10:42.0,Indiana full timeout,,15,27
105,2,10:32.0,S. Hill makes 2-pt layup from 2 ft (assist by R. Stuckey),,17,27
106,2,10:15.0,,Turnover by D. Wright (bad pass),17,27
107,2,10:00.0,I. Mahinmi makes 2-pt hook shot from 6 ft (assist by S. Hill),,19,27
108,2,9:48.0,,Shooting foul by C. Miles (drawn by N. Powell),19,27
109,2,9:48.0,,N. Powell makes free throw 1 of 2,19,28
110,2,9:48.0,,N. Powell makes free throw 2 of 2,19,29
111,2,9:36.0,C. Miles misses 2-pt jump shot from 15 ft,,19,29
112,2,9:36.0,,Defensive rebound by N. Powell,19,29
113,2,9:28.0,Offensive charge foul by N. Powell (drawn by R. Stuckey),,19,29
114,2,9:28.0,,Turnover by N. Powell (offensive foul),19,29
115,2,9:14.0,C. Miles makes 3-pt jump shot from 23 ft (assist by S. Hill),,22,29
116,2,8:58.0,,Personal foul by T. Lawson,22,29
117,2,8:53.0,,N. Powell misses 2-pt layup from 4 ft (block by R. Stuckey),22,29
118,2,8:53.0,,Offensive rebound by Team,22,29
119,2,8:45.0,,D. Wright misses 2-pt jump shot from 7 ft (block by I. Mahinmi),22,29
120,2,8:45.0,,Offensive rebound by Team,22,29
121,2,8:42.0,,T. Ross misses 3-pt jump shot from 24 ft,22,29
122,2,8:42.0,,Offensive rebound by Team,22,29
123,2,8:42.0,,Turnover by Team (shot clock),22,29
124,2,8:30.0,I. Mahinmi misses 2-pt dunk at rim,,22,29
125,2,8:29.0,Offensive rebound by T. Lawson,,22,29
