,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,GOLDEN STATE_ACTION,PHILADELPHIA_SCORE,GOLDEN STATE_SCORE
0,1,11:39.0,,S. Curry makes 2-pt jump shot from 22 ft (assist by A. Bogut),0,2
1,1,11:25.0,C. Landry makes 2-pt jump shot from 20 ft (assist by J. Grant),,2,2
2,1,11:15.0,,K. Thompson makes 3-pt jump shot from 24 ft (assist by D. Green),2,5
3,1,11:08.0,Turnover by C. Landry (lost ball),,2,5
4,1,10:58.0,,Turnover by S. Curry (bad pass),2,5
5,1,10:48.0,J. Grant misses 2-pt jump shot from 15 ft,,2,5
6,1,10:48.0,,Defensive rebound by Team,2,5
7,1,10:42.0,,H. Barnes makes 2-pt jump shot from 18 ft (assist by S. Curry),2,7
8,1,10:25.0,I. Smith makes 3-pt jump shot from 25 ft (assist by C. Landry),,5,7
9,1,10:14.0,,D. Green makes 2-pt layup from 2 ft,5,9
10,1,10:14.0,Philadelphia full timeout,,5,9
11,1,10:03.0,I. Canaan misses 3-pt jump shot from 25 ft,,5,9
12,1,10:03.0,,Defensive rebound by A. Bogut,5,9
13,1,9:56.0,,Shooting foul by J. Grant (drawn by S. Curry),5,9
14,1,9:56.0,,S. Curry misses free throw 1 of 2,5,9
15,1,9:56.0,,Offensive rebound by Team,5,9
16,1,9:56.0,,S. Curry makes free throw 2 of 2,5,10
17,1,9:43.0,J. Grant misses 3-pt jump shot from 24 ft,,5,10
18,1,9:42.0,,Defensive rebound by D. Green,5,10
19,1,9:34.0,,H. Barnes makes 2-pt layup from 1 ft (assist by D. Green),5,12
20,1,9:20.0,C. Landry misses 2-pt jump shot from 7 ft,,5,12
21,1,9:20.0,,Defensive rebound by A. Bogut,5,12
22,1,9:15.0,,Turnover by A. Bogut (bad pass; steal by H. Thompson),5,12
23,1,9:07.0,I. Smith makes 2-pt jump shot from 1 ft,,7,12
24,1,8:47.0,,K. Thompson misses 2-pt jump shot from 2 ft,7,12
25,1,8:47.0,,Offensive rebound by K. Thompson,7,12
26,1,8:47.0,,K. Thompson makes 2-pt layup from 2 ft,7,14
27,1,8:47.0,,Shooting foul by I. Canaan (drawn by K. Thompson),7,14
28,1,8:47.0,R. Covington enters the game for J. Grant,,7,14
29,1,8:47.0,,K. Thompson makes free throw 1 of 1,7,15
30,1,8:37.0,C. Landry makes 2-pt jump shot from 19 ft (assist by I. Smith),,9,15
31,1,8:22.0,,K. Thompson misses 2-pt jump shot from 11 ft,9,15
32,1,8:21.0,Defensive rebound by R. Covington,,9,15
33,1,8:03.0,Turnover by H. Thompson (traveling),,9,15
34,1,7:56.0,,K. Thompson misses 3-pt jump shot from 26 ft,9,15
35,1,7:55.0,Defensive rebound by H. Thompson,,9,15
36,1,7:46.0,C. Landry makes 2-pt jump shot from 18 ft (assist by I. Smith),,11,15
37,1,7:33.0,,Turnover by D. Green (lost ball; steal by C. Landry),11,15
38,1,7:32.0,Personal foul by A. Bogut,,11,15
39,1,7:32.0,N. Stauskas enters the game for I. Canaan,,11,15
40,1,7:17.0,C. Landry makes 2-pt layup from 1 ft,,13,15
41,1,7:07.0,,Personal foul by N. Stauskas,13,15
42,1,7:01.0,,S. Curry misses 3-pt jump shot from 29 ft,13,15
43,1,7:01.0,Defensive rebound by R. Covington,,13,15
44,1,6:53.0,R. Covington makes 3-pt jump shot from 24 ft (assist by I. Smith),,16,15
45,1,6:37.0,,K. Thompson misses 2-pt layup from 1 ft,16,15
46,1,6:37.0,,Offensive rebound by K. Thompson,16,15
47,1,6:36.0,,K. Thompson misses 2-pt layup from 1 ft,16,15
48,1,6:34.0,,Offensive rebound by Team,16,15
49,1,6:34.0,,Golden State full timeout,16,15
50,1,6:33.0,,Turnover by D. Green (lost ball),16,15
51,1,6:15.0,R. Covington misses 3-pt jump shot from 25 ft,,16,15
52,1,6:14.0,,Defensive rebound by H. Barnes,16,15
53,1,6:04.0,,J. McAdoo enters the game for A. Bogut,16,15
54,1,5:51.0,,H. Barnes misses 2-pt jump shot from 7 ft,16,15
55,1,5:51.0,,Offensive rebound by Team,16,15
56,1,5:51.0,K. Marshall enters the game for H. Thompson,,16,15
57,1,5:48.0,,K. Thompson makes 2-pt jump shot from 16 ft (assist by S. Curry),16,17
58,1,5:35.0,R. Covington misses 2-pt jump shot from 13 ft,,16,17
59,1,5:34.0,Offensive rebound by C. Landry,,16,17
60,1,5:33.0,Shooting foul by J. McAdoo (drawn by C. Landry),,16,17
61,1,5:33.0,C. Landry makes free throw 1 of 2,,17,17
62,1,5:33.0,C. Landry makes free throw 2 of 2,,18,17
63,1,5:13.0,,S. Curry misses 2-pt jump shot from 17 ft,18,17
64,1,5:13.0,Defensive rebound by R. Covington,,18,17
65,1,5:05.0,C. Landry makes 2-pt dunk at rim (assist by I. Smith),,20,17
66,1,4:52.0,,S. Curry misses 3-pt jump shot from 25 ft,20,17
67,1,4:51.0,Defensive rebound by R. Covington,,20,17
68,1,4:43.0,I. Smith makes 2-pt layup from 1 ft,,22,17
69,1,4:30.0,,J. McAdoo makes 2-pt layup from 2 ft (assist by S. Curry),22,19
70,1,4:24.0,I. Smith makes 2-pt layup from 2 ft,,24,19
71,1,4:14.0,,D. Green makes 3-pt jump shot from 25 ft (assist by J. McAdoo),24,22
72,1,3:52.0,C. Landry misses 2-pt jump shot from 13 ft,,24,22
73,1,3:51.0,,Defensive rebound by J. McAdoo,24,22
74,1,3:39.0,,H. Barnes misses 2-pt jump shot from 12 ft,24,22
75,1,3:38.0,Defensive rebound by C. Landry,,24,22
76,1,3:20.0,I. Smith makes 2-pt jump shot from 16 ft,,26,22
77,1,3:11.0,,D. Green makes 3-pt jump shot from 26 ft (assist by S. Curry),26,25
78,1,2:48.0,Personal foul by J. McAdoo,,26,25
79,1,2:48.0,,L. Barbosa enters the game for K. Thompson,26,25
80,1,2:48.0,,B. Rush enters the game for H. Barnes,26,25
81,1,2:48.0,T. McConnell enters the game for I. Smith,,26,25
82,1,2:48.0,E. Brand enters the game for C. Landry,,26,25
83,1,2:38.0,T. McConnell misses 2-pt hook shot from 2 ft,,26,25
84,1,2:38.0,,Defensive rebound by D. Green,26,25
85,1,2:29.0,,S. Curry misses 3-pt jump shot from 29 ft,26,25
86,1,2:28.0,Defensive rebound by N. Stauskas,,26,25
87,1,2:13.0,K. Marshall misses 2-pt jump shot from 18 ft,,26,25
88,1,2:13.0,,Defensive rebound by L. Barbosa,26,25
89,1,2:05.0,,Turnover by J. McAdoo (lost ball),26,25
90,1,2:05.0,,M. Speights enters the game for J. McAdoo,26,25
91,1,1:53.0,N. Stauskas misses 2-pt jump shot from 12 ft,,26,25
92,1,1:51.0,,Defensive rebound by M. Speights,26,25
93,1,1:42.0,,S. Curry misses 3-pt jump shot from 23 ft,26,25
94,1,1:41.0,,Offensive rebound by M. Speights,26,25
95,1,1:36.0,,L. Barbosa misses 2-pt layup at rim (block by E. Brand),26,25
96,1,1:33.0,,Offensive rebound by M. Speights,26,25
97,1,1:33.0,,M. Speights makes 2-pt layup from 2 ft,26,27
98,1,1:23.0,N. Stauskas makes 2-pt dunk at rim (assist by E. Brand),,28,27
99,1,1:15.0,,Turnover by S. Curry (bad pass; steal by N. Stauskas),28,27
100,1,1:08.0,Personal foul by L. Barbosa,,28,27
101,1,1:08.0,T. McConnell makes free throw 1 of 2,,29,27
102,1,1:08.0,,I. Clark enters the game for S. Curry,29,27
103,1,1:08.0,T. McConnell misses free throw 2 of 2,,29,27
104,1,1:03.0,,Defensive rebound by D. Green,29,27
105,1,0:47.0,,D. Green misses 2-pt layup from 1 ft,29,27
106,1,0:47.0,,Offensive rebound by M. Speights,29,27
107,1,0:47.0,,M. Speights makes 2-pt layup at rim,29,29
108,1,0:30.0,Turnover by K. Marshall (bad pass; steal by L. Barbosa),,29,29
109,1,0:08.0,,I. Clark makes 2-pt layup from 2 ft,29,31
110,1,0:08.0,,Shooting foul by T. McConnell (drawn by I. Clark),29,31
111,1,0:08.0,,I. Clark makes free throw 1 of 1,29,32
112,1,0:02.0,T. McConnell makes 2-pt jump shot from 14 ft,,31,32
113,2,11:41.0,H. Thompson makes 2-pt layup from 1 ft (assist by N. Stauskas),,33,32
114,2,11:24.0,,M. Speights makes 3-pt jump shot from 25 ft (assist by I. Clark),33,35
115,2,11:05.0,N. Stauskas misses 3-pt jump shot from 23 ft,,33,35
116,2,11:04.0,,Defensive rebound by B. Rush,33,35
117,2,10:56.0,,I. Clark makes 2-pt layup from 1 ft (assist by M. Speights),33,37
118,2,10:32.0,I. Canaan misses 2-pt jump shot from 7 ft,,33,37
119,2,10:32.0,,Defensive rebound by M. Speights,33,37
120,2,10:26.0,,Turnover by K. Thompson (bad pass; steal by N. Stauskas),33,37
121,2,10:19.0,I. Canaan makes 3-pt jump shot from 24 ft (assist by N. Stauskas),,36,37
122,2,10:04.0,,K. Thompson misses 2-pt jump shot from 6 ft,36,37
123,2,10:04.0,,Offensive rebound by Team,36,37
124,2,9:56.0,,K. Thompson makes 3-pt jump shot from 24 ft,36,40
125,2,9:37.0,I. Canaan makes 3-pt jump shot from 23 ft (assist by T. McConnell),,39,40
126,2,9:37.0,Shooting foul by I. Clark (drawn by I. Canaan),,39,40
127,2,9:37.0,K. Marshall enters the game for N. Stauskas,,39,40
128,2,9:37.0,I. Canaan makes free throw 1 of 1,,40,40
129,2,9:22.0,,Turnover by M. Speights (traveling),40,40
130,2,9:07.0,K. Marshall misses 2-pt hook shot from 10 ft,,40,40
131,2,9:05.0,,Defensive rebound by M. Speights,40,40
132,2,8:56.0,,B. Rush makes 2-pt jump shot from 18 ft (assist by M. Speights),40,42
133,2,8:55.0,Philadelphia full timeout,,40,42
134,2,8:33.0,K. Marshall misses 3-pt jump shot from 28 ft,,40,42
135,2,8:32.0,,Defensive rebound by L. Barbosa,40,42
136,2,8:16.0,,M. Speights makes 2-pt hook shot from 6 ft (assist by B. Rush),40,44
137,2,8:16.0,,Shooting foul by C. Wood (drawn by M. Speights),40,44
138,2,8:16.0,,M. Speights makes free throw 1 of 1,40,45
139,2,8:06.0,Personal foul by M. Speights,,40,45
